Date,Open,High,Low,Close,Volume,Currency
2017-12-01,1.35,1.38,0.83,1.18,14539956,USD
2017-12-02,1.18,1.2,0.9778,1.08,7715562,USD
2017-12-03,1.08,1.09,0.85,0.937,5305971,USD
2017-12-04,0.937,1.11,0.8199,1.04,10807012,USD
2017-12-05,1.04,1.07,0.93,0.994,11754580,USD
2017-12-06,0.994,1.04,0.9,0.921,10509730,USD
2017-12-07,0.921,0.952,0.72,0.788,9802384,USD
2017-12-08,0.788,0.83,0.66,0.775,12761764,USD
2017-12-09,0.775,0.775,0.687,0.746,10653667,USD
2017-12-10,0.746,0.7471,0.6137,0.68,5936928,USD
2017-12-11,0.68,0.725,0.515,0.627,21013836,USD
2017-12-12,0.627,0.6473,0.55,0.6148,16767957,USD
2017-12-13,0.6148,0.8197,0.5608,0.68,22983768,USD
2017-12-14,0.6836,0.79,0.6602,0.7376,11439620,USD
2017-12-15,0.7376,0.78,0.58,0.695,11796097,USD
2017-12-16,0.695,1.24,0.6902,1.23,42725456,USD
2017-12-17,1.23,1.27,0.93,0.9728,25805304,USD
2017-12-18,0.9728,1.14,0.855,1.07,20746972,USD
2017-12-19,1.07,1.12,0.878,0.96,18280824,USD
2017-12-20,0.96,1.02,0.8567,0.9679,9744173,USD
2017-12-21,0.9679,1.13,0.874,0.943,15230970,USD
2017-12-22,0.943,0.9508,0.5893,0.733,14798991,USD
2017-12-23,0.733,0.914,0.73,0.834,7700706,USD
2017-12-24,0.834,0.88,0.6958,0.825,6197267,USD
2017-12-25,0.825,0.8988,0.787,0.865,4685201,USD
2017-12-26,0.865,0.898,0.84,0.8699,3304454,USD
2017-12-27,0.8699,1.03,0.85,0.976,9445063,USD
2017-12-28,0.976,0.9897,0.8202,0.8738,4321546,USD
2017-12-29,0.8738,0.89,0.819,0.8725,3546515,USD
2017-12-30,0.8725,0.88,0.73,0.803,2679463,USD
2017-12-31,0.803,0.87,0.77,0.8381,2076341,USD
2018-01-01,0.8381,0.9,0.82,0.8712,2574379,USD
2018-01-02,0.8712,1.03,0.8678,0.9832,6333611,USD
2018-01-03,0.9832,1.15,0.9147,1.06,9199811,USD
2018-01-04,1.06,1.17,0.9795,1.17,7529450,USD
2018-01-05,1.17,1.91,1.12,1.6,29949034,USD
2018-01-06,1.6,2.22,1.51,2.06,13610363,USD
2018-01-07,2.06,2.2,1.72,2.06,9065133,USD
2018-01-08,2.06,2.07,1.52,1.77,9619525,USD
2018-01-09,1.77,1.89,1.64,1.79,4675564,USD
2018-01-10,1.79,1.96,1.45,1.84,7027029,USD
2018-01-11,1.839,1.88,1.5,1.763,6311869,USD
2018-01-12,1.763,1.939,1.701,1.8508,4349132,USD
2018-01-13,1.8508,2.39,1.809,2.3882,10194787,USD
2018-01-14,2.3882,2.44,2.001,2.395,6472294,USD
2018-01-15,2.3897,2.4527,2.1422,2.209,3357989,USD
2018-01-16,2.209,2.2291,1.2888,1.5728,11663576,USD
2018-01-17,1.5728,1.7525,1.131,1.684,7491100,USD
2018-01-18,1.684,1.87,1.566,1.6449,3697048,USD
2018-01-19,1.6449,1.7399,1.543,1.5951,3559942,USD
2018-01-20,1.5951,1.879,1.5951,1.8175,2200504,USD
2018-01-21,1.8175,1.849,1.52,1.6506,2690936,USD
2018-01-22,1.6506,1.7,1.27,1.4499,4125701,USD
2018-01-23,1.4499,1.5,1.18,1.3675,9053819,USD
2018-01-24,1.3675,1.5,1.275,1.489,3075102,USD
2018-01-25,1.489,1.534,1.372,1.44,1727367,USD
2018-01-26,1.44,1.49,1.202,1.4019,3190634,USD
2018-01-27,1.4019,1.5569,1.356,1.5109,1123309,USD
2018-01-28,1.5109,1.6428,1.473,1.6108,1347669,USD
2018-01-29,1.6108,1.6108,1.409,1.4539,834619,USD
2018-01-30,1.45098,3.18835,1.17909,1.24576,2397029,USD
2018-01-31,1.24576,1.246,1.15408,1.21631,973304,USD
2018-02-01,1.21631,1.24068,0.99059,1.02364,2160694,USD
2018-02-02,1.02364,1.02798,0.74268,0.92949,2864773,USD
2018-02-03,0.92954,1.07412,0.87979,1.03979,958007,USD
2018-02-04,1.03979,1.06918,0.81402,0.84751,1353792,USD
2018-02-05,0.84757,0.85514,0.62951,0.66794,2319920,USD
2018-02-06,0.66794,0.8034,0.53856,0.79803,2682860,USD
2018-02-07,0.79803,0.8957,0.71238,0.76622,1663694,USD
2018-02-08,0.76622,0.8674,0.75594,0.83865,761110,USD
2018-02-09,0.83865,0.95609,0.79503,0.95609,756771,USD
2018-02-10,0.95609,0.98554,0.80895,0.87003,1079014,USD
2018-02-11,0.87003,0.88878,0.7833,0.83858,600817,USD
2018-02-12,0.83858,0.9052,0.83518,0.89138,640599,USD
2018-02-13,0.89138,0.89574,0.81794,0.84657,458581,USD
2018-02-14,0.84657,0.93916,0.84642,0.93915,1024355,USD
2018-02-15,0.93915,0.96056,0.89992,0.95407,970907,USD
2018-02-16,0.95407,0.97577,0.92986,0.9721,790724,USD
2018-02-17,0.9721,1.06444,0.96359,1.06443,1158729,USD
2018-02-18,1.06443,1.0723,0.95621,0.97191,910673,USD
2018-02-19,0.97506,1.06429,0.97224,1.02286,770736,USD
2018-02-20,1.02286,1.06416,0.95718,0.95866,759888,USD
2018-02-21,0.95866,0.96283,0.8294,0.86506,1101472,USD
2018-02-22,0.86506,0.89944,0.80614,0.80701,817020,USD
2018-02-23,0.80701,0.87561,0.80068,0.83998,677225,USD
2018-02-24,0.83998,0.86944,0.79577,0.81971,323387,USD
2018-02-25,0.81971,0.85764,0.78012,0.81123,298999,USD
2018-02-26,0.81123,0.84465,0.78426,0.84052,527801,USD
2018-02-27,0.84052,0.88634,0.83071,0.84675,532242,USD
2018-02-28,0.84675,0.86703,0.80111,0.81613,528939,USD
2018-03-01,0.81613,0.83057,0.80215,0.82379,193287,USD
2018-03-02,0.82379,0.84309,0.81945,0.82917,1134186,USD
2018-03-03,0.82917,0.84066,0.822,0.82814,789282,USD
2018-03-04,0.82814,0.83441,0.79232,0.80726,619486,USD
2018-03-05,0.80726,0.8261,0.797,0.81669,249753,USD
2018-03-06,0.81669,0.81669,0.7555,0.76528,406959,USD
2018-03-07,0.76528,0.78221,0.6522,0.68987,632932,USD
2018-03-08,0.68987,0.7046,0.61827,0.63886,712158,USD
2018-03-09,0.63886,0.67523,0.58239,0.67165,517351,USD
2018-03-10,0.65707,0.6955,0.61169,0.66499,594742,USD
2018-03-11,0.66499,0.69271,0.60074,0.67476,177472,USD
2018-03-12,0.67476,0.70974,0.63108,0.65192,304740,USD
2018-03-13,0.65192,0.67129,0.62684,0.65488,216583,USD
2018-03-14,0.65488,0.66322,0.56602,0.57455,367604,USD
2018-03-15,0.57455,0.58824,0.53654,0.58447,398776,USD
2018-03-16,0.58447,0.58447,0.55555,0.57055,143352,USD
2018-03-17,0.57055,0.57055,0.49986,0.49986,416079,USD
2018-03-18,0.49986,0.52638,0.41445,0.52098,598774,USD
2018-03-19,0.52098,0.53981,0.49082,0.52898,328598,USD
2018-03-20,0.52898,0.57138,0.51059,0.56283,614543,USD
2018-03-21,0.56283,0.71818,0.5595,0.70539,873129,USD
2018-03-22,0.70536,0.71576,0.5967,0.68319,989521,USD
2018-03-23,0.68319,0.72994,0.60803,0.72904,573494,USD
2018-03-24,0.72904,0.78047,0.71675,0.72333,766873,USD
2018-03-25,0.72333,0.73852,0.70863,0.71529,274875,USD
2018-03-26,0.71529,0.72073,0.59299,0.63821,1070825,USD
2018-03-27,0.63821,0.64276,0.58949,0.59002,478882,USD
2018-03-28,0.59002,0.68388,0.57639,0.63664,569757,USD
2018-03-29,0.63664,0.65316,0.57804,0.59081,394030,USD
2018-03-30,0.59081,0.61019,0.56212,0.59181,311147,USD
2018-03-31,0.59181,0.69154,0.59181,0.60805,262309,USD
2018-04-01,0.60805,0.61681,0.54101,0.58864,218717,USD
2018-04-02,0.58864,0.60685,0.57165,0.59856,106916,USD
2018-04-03,0.59856,0.63541,0.5862,0.621,187676,USD
2018-04-04,0.621,0.62159,0.5402,0.56092,164097,USD
2018-04-05,0.56092,0.5616,0.52165,0.53831,318071,USD
2018-04-06,0.53831,0.58168,0.48661,0.49911,628413,USD
2018-04-07,0.49911,0.57209,0.49844,0.53946,642743,USD
2018-04-08,0.53946,0.57073,0.52938,0.55994,205089,USD
2018-04-09,0.55994,0.57549,0.52685,0.52993,255167,USD
2018-04-10,0.52993,0.54131,0.51635,0.52641,332819,USD
2018-04-11,0.52641,0.5613,0.52588,0.55466,354326,USD
2018-04-12,0.55466,0.61833,0.52809,0.61409,737231,USD
2018-04-13,0.61409,0.64791,0.59484,0.62164,571248,USD
2018-04-14,0.62164,0.64483,0.5967,0.6317,313760,USD
2018-04-15,0.6317,0.66199,0.62697,0.65644,188330,USD
2018-04-16,0.65644,0.6629,0.6116,0.62886,343997,USD
2018-04-17,0.62884,0.64989,0.62088,0.62221,124817,USD
2018-04-18,0.62221,0.64861,0.61404,0.64861,258119,USD
2018-04-19,0.64861,0.72678,0.6444,0.72539,694235,USD
2018-04-20,0.7256,0.78052,0.68838,0.77634,574010,USD
2018-04-21,0.77634,0.79802,0.71369,0.75791,554862,USD
2018-04-22,0.75791,0.79477,0.73722,0.76658,385304,USD
2018-04-23,0.76658,0.79197,0.73367,0.74135,327056,USD
2018-04-24,0.74135,0.88858,0.73601,0.87974,781623,USD
2018-04-25,0.87198,0.8882,0.71307,0.72452,1111557,USD
2018-04-26,0.72452,0.79767,0.71311,0.78416,561618,USD
2018-04-27,0.78403,0.7865,0.73325,0.73811,416889,USD
2018-04-28,0.73811,0.76472,0.71274,0.74263,711869,USD
2018-04-29,0.74263,0.93697,0.74169,0.93088,1027858,USD
