Date,Open,High,Low,Close,Volume,Currency
2018-02-02,0.346965,0.356708,0.262774,0.317707,267434,USD
2018-02-03,0.317707,0.364144,0.291409,0.339174,41890,USD
2018-02-04,0.339174,0.343094,0.262166,0.285873,62332,USD
2018-02-05,0.285873,0.285883,0.177879,0.205413,50635,USD
2018-02-06,0.205413,0.314148,0.1603,0.294406,99785,USD
2018-02-07,0.294406,0.308559,0.242209,0.265148,94922,USD
2018-02-08,0.265148,0.318975,0.252729,0.288615,55904,USD
2018-02-09,0.288615,0.316957,0.259161,0.309831,80266,USD
2018-02-10,0.309831,0.318292,0.2648,0.268023,225112,USD
2018-02-11,0.268023,0.303289,0.242935,0.265324,60660,USD
2018-02-12,0.265324,0.31724,0.261313,0.296716,71485,USD
2018-02-13,0.296716,0.300359,0.266638,0.276729,47850,USD
2018-02-14,0.276729,0.333373,0.274572,0.314643,32244,USD
2018-02-15,0.314643,0.36907,0.311356,0.341507,82375,USD
2018-02-16,0.341507,0.34648,0.32491,0.326302,8496,USD
2018-02-17,0.326302,0.357722,0.326302,0.354565,42926,USD
2018-02-18,0.354565,0.354567,0.313083,0.318528,22846,USD
2018-02-19,0.318528,0.350217,0.316049,0.3178,20534,USD
2018-02-20,0.3178,0.321017,0.288639,0.288668,92880,USD
2018-02-21,0.288668,0.288757,0.266442,0.274566,89191,USD
2018-02-22,0.274566,0.34231,0.2578,0.290661,45286,USD
2018-02-23,0.290661,0.354088,0.260936,0.304074,122716,USD
2018-02-24,0.304074,0.322949,0.294047,0.294047,156325,USD
2018-02-25,0.294047,0.299346,0.290656,0.2964,8929,USD
2018-02-26,0.2964,0.324794,0.289656,0.295514,56196,USD
2018-02-27,0.295514,0.324716,0.295514,0.305487,40034,USD
2018-02-28,0.305487,0.309651,0.280958,0.280958,8757,USD
2018-03-01,0.280958,0.311996,0.278253,0.286973,38903,USD
2018-03-02,0.286973,0.308315,0.282092,0.295969,60092,USD
2018-03-03,0.295969,0.31141,0.286809,0.298598,5224,USD
2018-03-04,0.298598,0.298598,0.270105,0.293421,4682,USD
2018-03-05,0.293421,0.303958,0.293421,0.294381,18823,USD
2018-03-06,0.294381,0.294386,0.264675,0.264676,9036,USD
2018-03-07,0.264682,0.269217,0.220242,0.240285,48441,USD
2018-03-08,0.240285,0.24029,0.211424,0.211921,17130,USD
2018-03-09,0.211921,0.211921,0.180598,0.208225,34979,USD
2018-03-10,0.208225,0.228514,0.196212,0.196234,45177,USD
2018-03-11,0.196234,0.223304,0.185233,0.214222,26902,USD
2018-03-12,0.214222,0.220028,0.200318,0.200318,76590,USD
2018-03-13,0.200318,0.216179,0.20004,0.202798,14449,USD
2018-03-14,0.202798,0.215252,0.184996,0.185165,30628,USD
2018-03-15,0.185165,0.192433,0.154253,0.191488,28456,USD
2018-03-16,0.191488,0.193892,0.161692,0.181429,15083,USD
2018-03-17,0.181429,0.185991,0.158706,0.158706,11921,USD
2018-03-18,0.158706,0.161004,0.113947,0.158698,76056,USD
2018-03-19,0.158699,0.217774,0.145038,0.173316,81224,USD
2018-03-20,0.173316,0.213855,0.166653,0.213855,67627,USD
2018-03-21,0.213855,0.239107,0.205213,0.234526,55701,USD
2018-03-22,0.234526,0.256964,0.205282,0.219846,44655,USD
2018-03-23,0.219846,0.226718,0.193721,0.206635,37424,USD
2018-03-24,0.206636,0.247952,0.206536,0.231152,15710,USD
2018-03-25,0.231146,0.272719,0.227217,0.248043,32250,USD
2018-03-26,0.248042,0.269891,0.211754,0.234629,96806,USD
2018-03-27,0.234629,0.234629,0.210103,0.222746,18604,USD
2018-03-28,0.222746,0.223294,0.210321,0.210911,36386,USD
2018-03-29,0.21087,0.216362,0.182985,0.182985,42369,USD
2018-03-30,0.182985,0.231984,0.15679,0.162171,116084,USD
2018-03-31,0.162171,0.1781,0.130837,0.130837,202175,USD
2018-04-01,0.130837,0.162133,0.13081,0.149347,22480,USD
2018-04-02,0.149347,0.150242,0.145352,0.147509,5937,USD
2018-04-03,0.147509,0.185912,0.147509,0.164782,14255,USD
2018-04-04,0.164782,0.171707,0.145824,0.148246,94247,USD
2018-04-05,0.148246,0.149604,0.14061,0.145706,59582,USD
2018-04-06,0.145706,0.149896,0.1381,0.142604,49974,USD
2018-04-07,0.142596,0.16424,0.141177,0.157287,96909,USD
2018-04-08,0.157287,0.17109,0.152226,0.168808,74107,USD
2018-04-09,0.168808,0.173539,0.155238,0.155901,19224,USD
2018-04-10,0.155901,0.164901,0.151776,0.157174,5092,USD
2018-04-11,0.157174,0.170454,0.155255,0.168942,44538,USD
2018-04-12,0.168942,0.187761,0.144156,0.184311,165525,USD
