Date,Open,High,Low,Close,Volume,Currency
2017-09-01,0.049861,0.049861,0.047645,0.04823,35539476,USD
2017-09-02,0.04823,0.04875,0.040161,0.041076,45767400,USD
2017-09-03,0.041076,0.042698,0.038006,0.041442,54194548,USD
2017-09-04,0.041442,0.041524,0.028834,0.032564,81860576,USD
2017-09-05,0.032564,0.035514,0.027244,0.034992,89258624,USD
2017-09-06,0.034992,0.043477,0.031481,0.042774,94411248,USD
2017-09-07,0.042774,0.042774,0.036702,0.038725,76159048,USD
2017-09-08,0.038725,0.038725,0.029432,0.030797,97151744,USD
2017-09-09,0.030797,0.032178,0.029473,0.031193,79428520,USD
2017-09-10,0.031193,0.031781,0.027766,0.030433,77680560,USD
2017-09-11,0.030433,0.031324,0.028751,0.029299,83907120,USD
2017-09-12,0.029066,0.03091,0.028156,0.028593,103220368,USD
2017-09-13,0.028593,0.028593,0.024868,0.026259,78608576,USD
2017-09-14,0.026259,0.026377,0.020144,0.020224,74449712,USD
2017-09-15,0.020224,0.023224,0.0159,0.02256,135543440,USD
2017-09-16,0.02256,0.023206,0.020428,0.021619,123435792,USD
2017-09-17,0.021619,0.022045,0.020004,0.022045,118785176,USD
2017-09-18,0.022045,0.029213,0.021901,0.029213,126419344,USD
2017-09-19,0.029213,0.029418,0.024181,0.024514,96444184,USD
2017-09-20,0.024404,0.024952,0.023691,0.024533,81648632,USD
2017-09-21,0.024533,0.024533,0.020623,0.020972,101678320,USD
2017-09-22,0.020972,0.021883,0.020414,0.021226,83629728,USD
2017-09-23,0.021226,0.02301,0.02112,0.022691,88470632,USD
2017-09-24,0.022691,0.023015,0.021447,0.022007,80501160,USD
2017-09-25,0.022007,0.023333,0.021732,0.023333,78971888,USD
2017-09-26,0.023333,0.027656,0.023221,0.027428,91809736,USD
2017-09-27,0.027428,0.031495,0.027125,0.029774,81957472,USD
2017-09-28,0.029774,0.030194,0.028113,0.029067,75198216,USD
2017-09-29,0.029067,0.029399,0.026193,0.027634,92096584,USD
2017-09-30,0.027634,0.030721,0.027446,0.030508,71765608,USD
2017-10-01,0.030508,0.032408,0.030374,0.031568,72440320,USD
2017-10-02,0.031568,0.031568,0.028888,0.029185,94403848,USD
2017-10-03,0.029185,0.030684,0.0262,0.026515,88148080,USD
2017-10-04,0.026515,0.027888,0.026383,0.027471,57931728,USD
2017-10-05,0.027471,0.027953,0.026244,0.027792,87423080,USD
2017-10-06,0.027792,0.02823,0.027656,0.027914,83244040,USD
