Date,Open,High,Low,Close,Volume,Currency
2018-02-02,0.38365,0.385,0.260051,0.260051,57,USD
2018-02-03,0.260051,0.468583,0.260051,0.468583,3655,USD
2018-02-04,0.468583,0.468583,0.29,0.453708,375,USD
2018-02-05,0.453708,0.453708,0.29,0.29,762,USD
2018-02-06,0.29,0.29,0.29,0.29,0,USD
2018-02-10,0.3413,0.3413,0.21004,0.21004,49,USD
2018-02-11,0.21004,0.21004,0.21004,0.21004,0,USD
2018-02-12,0.21004,0.23,0.21004,0.23,156,USD
2018-02-13,0.23,0.23,0.23,0.23,0,USD
2018-02-14,0.23,0.23,0.23,0.23,0,USD
2018-02-15,0.23,0.338998,0.23,0.237,1366,USD
2018-02-16,0.237,0.237,0.237,0.237,0,USD
2018-02-17,0.237,0.338998,0.237,0.31,259,USD
2018-02-18,0.31,0.338998,0.26,0.27,977,USD
2018-02-19,0.27,0.338998,0.118945,0.292331,4837,USD
2018-02-20,0.292331,0.319997,0.264666,0.319997,4525,USD
2018-02-21,0.319997,0.319997,0.264666,0.264666,328,USD
2018-02-22,0.264666,0.264666,0.237,0.24648,28,USD
2018-02-23,0.24648,0.298657,0.24648,0.298657,74,USD
2018-02-24,0.298657,0.298657,0.199,0.199,81,USD
2018-02-25,0.199,0.199,0.199,0.199,0,USD
2018-02-26,0.199,0.245918,0.199,0.2,23,USD
2018-02-27,0.2,0.2,0.2,0.2,0,USD
2018-02-28,0.2,0.2,0.2,0.2,0,USD
2018-03-01,0.2,0.2,0.2,0.2,0,USD
2018-03-02,0.2,0.338998,0.2,0.27,999,USD
2018-03-03,0.27,0.437,0.27,0.42837,728,USD
2018-03-04,0.42837,0.46,0.303837,0.303837,24,USD
2018-03-05,0.303837,0.303837,0.303837,0.303837,0,USD
2018-03-06,0.303837,0.44,0.272474,0.272474,22,USD
2018-03-07,0.272474,0.273837,0.272474,0.273837,28,USD
2018-03-08,0.273837,0.273837,0.23,0.23,9,USD
2018-03-09,0.23,0.23,0.23,0.23,0,USD
2018-03-10,0.23,0.31,0.23,0.23,22,USD
2018-03-11,0.23,0.23,0.23,0.23,0,USD
2018-03-12,0.23,0.23,0.223787,0.223787,121,USD
2018-03-13,0.223787,0.223787,0.186091,0.186091,1202,USD
2018-03-14,0.186091,0.186091,0.186091,0.186091,0,USD
2018-03-15,0.186091,0.186091,0.186091,0.186091,0,USD
2018-03-16,0.186091,0.31,0.186091,0.31,0,USD
2018-03-17,0.31,0.31,0.19,0.19,11,USD
2018-03-18,0.19,0.3,0.167,0.167,76,USD
2018-03-19,0.167,0.3,0.167,0.3,35,USD
2018-03-20,0.3,0.3,0.167004,0.167004,26,USD
2018-03-21,0.167004,0.3,0.167004,0.3,3,USD
2018-03-22,0.3,0.3,0.3,0.3,0,USD
2018-03-23,0.3,0.3,0.3,0.3,0,USD
2018-03-24,0.3,0.3,0.3,0.3,0,USD
2018-03-25,0.3,0.3,0.174,0.174,290,USD
2018-03-26,0.174,0.174,0.167,0.167,41,USD
2018-03-27,0.167,0.167,0.167,0.167,0,USD
2018-03-28,0.167,0.29,0.167,0.29,162,USD
2018-03-29,0.29,0.29,0.29,0.29,0,USD
2018-03-30,0.29,0.29,0.29,0.29,0,USD
2018-03-31,0.29,0.29,0.163,0.163,21,USD
2018-04-01,0.163,0.235,0.163,0.235,10,USD
2018-04-02,0.235,0.235,0.163,0.163,3,USD
2018-04-03,0.163,0.163,0.163,0.163,0,USD
2018-04-04,0.163,0.163,0.163,0.163,0,USD
2018-04-05,0.163,0.163,0.163,0.163,0,USD
2018-04-06,0.163,0.163,0.163,0.163,0,USD
