Date,Open,High,Low,Close,Volume,Currency
2018-05-23,0.0424,0.0452,0.032,0.0356,14571726,USD
2018-05-24,0.0356,0.0389,0.0338,0.0366,4786306,USD
2018-05-25,0.0366,0.038,0.0344,0.035,4856540,USD
2018-05-26,0.035,0.0355,0.0333,0.035,2538704,USD
2018-05-27,0.035,0.035,0.0313,0.0322,2996357,USD
2018-05-28,0.0322,0.033,0.0291,0.0293,4362446,USD
2018-05-29,0.0293,0.0363,0.028,0.0363,4021817,USD
2018-05-30,0.0363,0.0378,0.0332,0.0341,3173491,USD
2018-05-31,0.0345,0.0353,0.033,0.0336,2405607,USD
2018-06-01,0.0337,0.0374,0.0335,0.0358,4107170,USD
2018-06-02,0.0358,0.0391,0.0337,0.0363,4756580,USD
2018-06-03,0.036,0.0375,0.035,0.0366,2926333,USD
2018-06-04,0.0366,0.0376,0.032,0.0345,3750593,USD
2018-06-05,0.0345,0.0368,0.0321,0.0341,4282016,USD
2018-06-06,0.0341,0.035,0.0335,0.0347,1870899,USD
2018-06-07,0.0347,0.0369,0.034,0.0344,2276382,USD
2018-06-08,0.0344,0.0359,0.0325,0.0333,1606726,USD
2018-06-09,0.0333,0.0343,0.0305,0.031,1982847,USD
2018-06-10,0.031,0.0322,0.0259,0.0266,4651722,USD
2018-06-11,0.0266,0.0273,0.0236,0.0264,3040020,USD
2018-06-12,0.0264,0.0274,0.023,0.0236,927417,USD
2018-06-13,0.0236,0.0255,0.0222,0.0238,1055493,USD
2018-06-14,0.0238,0.0254,0.022,0.0238,2324249,USD
2018-06-15,0.0238,0.025,0.0232,0.0241,1046661,USD
2018-06-16,0.0241,0.0241,0.022,0.0237,856602,USD
2018-06-17,0.0237,0.0244,0.0233,0.0238,1012780,USD
2018-06-18,0.0238,0.0238,0.0223,0.0234,847261,USD
2018-06-19,0.0234,0.0248,0.0233,0.0239,1065019,USD
2018-06-20,0.0239,0.0246,0.022,0.0241,2987476,USD
2018-06-21,0.0241,0.0242,0.0221,0.023,760703,USD
2018-06-22,0.023,0.0231,0.018,0.0192,1874451,USD
2018-06-23,0.0192,0.0194,0.0176,0.0194,1570594,USD
2018-06-24,0.0194,0.0206,0.0156,0.0175,4236351,USD
2018-06-25,0.0175,0.0218,0.0165,0.0184,3778174,USD
2018-06-26,0.0185,0.0187,0.0172,0.0172,755120,USD
2018-06-27,0.0172,0.02,0.0161,0.017,2342975,USD
2018-06-28,0.017,0.0181,0.0155,0.0156,2157209,USD
2018-06-29,0.0156,0.017,0.0138,0.0165,3507631,USD
2018-06-30,0.0165,0.018,0.0151,0.0173,4163445,USD
2018-07-01,0.0173,0.0179,0.0154,0.0163,1702936,USD
2018-07-02,0.0163,0.0178,0.015,0.0171,4834840,USD
2018-07-03,0.0171,0.0185,0.0165,0.0166,1287692,USD
2018-07-04,0.0166,0.0191,0.0159,0.0184,936918,USD
2018-07-05,0.0184,0.0188,0.0171,0.0174,1568189,USD
2018-07-06,0.0174,0.0182,0.0166,0.0168,1287236,USD
2018-07-07,0.0168,0.0179,0.0165,0.0171,655352,USD
2018-07-08,0.0171,0.0183,0.0166,0.018,1036702,USD
2018-07-09,0.018,0.0186,0.0173,0.0173,1526378,USD
2018-07-10,0.0173,0.0181,0.016,0.0168,904137,USD
2018-07-11,0.0168,0.0169,0.0159,0.0162,265831,USD
2018-07-12,0.0162,0.017,0.0143,0.0151,890109,USD
2018-07-13,0.0151,0.0166,0.0151,0.0157,477715,USD
2018-07-14,0.0157,0.0165,0.0143,0.0155,687591,USD
2018-07-15,0.0155,0.0172,0.0146,0.0159,323950,USD
2018-07-16,0.0159,0.0171,0.0151,0.0163,347992,USD
2018-07-17,0.0163,0.0195,0.0159,0.0187,1096289,USD
2018-07-18,0.0187,0.0194,0.0179,0.0179,880773,USD
2018-07-19,0.0179,0.0185,0.0173,0.0173,415084,USD
2018-07-20,0.0173,0.0177,0.015,0.015,858762,USD
2018-07-21,0.015,0.0167,0.0146,0.0155,964638,USD
2018-07-22,0.0154,0.0159,0.0151,0.0152,761605,USD
2018-07-23,0.0152,0.0159,0.0027,0.0142,1439052,USD
2018-07-24,0.0142,0.0149,0.0133,0.0142,2411579,USD
2018-07-25,0.0142,0.0152,0.0122,0.015,1887537,USD
2018-07-26,0.015,0.017,0.014,0.015,1372205,USD
2018-07-27,0.015,0.0155,0.0138,0.0151,509717,USD
2018-07-28,0.0152,0.0152,0.014,0.0145,499207,USD
2018-07-29,0.0145,0.0159,0.0141,0.0151,1165440,USD
2018-07-30,0.0151,0.0158,0.0137,0.0148,2160154,USD
2018-07-31,0.0148,0.0151,0.0138,0.0139,375454,USD
2018-08-01,0.0139,0.0142,0.0128,0.0132,704605,USD
2018-08-02,0.0132,0.0138,0.0126,0.0131,517033,USD
2018-08-03,0.0131,0.0131,0.0101,0.0118,1170183,USD
2018-08-04,0.0118,0.013,0.0103,0.0104,889738,USD
2018-08-05,0.0102,0.012,0.0092,0.0106,715513,USD
2018-08-06,0.0106,0.0115,0.0102,0.0102,306810,USD
2018-08-07,0.0102,0.0109,0.0098,0.01,1445266,USD
2018-08-08,0.01,0.0102,0.009,0.009,2037043,USD
2018-08-09,0.009,0.0097,0.0085,0.009,434921,USD
2018-08-10,0.009,0.0095,0.0086,0.0086,1064426,USD
2018-08-11,0.0081,0.0085,0.0076,0.0085,940225,USD
2018-08-12,0.0085,0.0094,0.0082,0.0093,820313,USD
2018-08-13,0.0093,0.0094,0.0076,0.0081,422533,USD
2018-08-14,0.0081,0.0081,0.0064,0.0065,634818,USD
2018-08-15,0.0066,0.0085,0.0066,0.0071,123917,USD
2018-08-16,0.0071,0.0078,0.0071,0.0075,220743,USD
2018-08-17,0.0075,0.0088,0.0075,0.0088,475398,USD
2018-08-18,0.0088,0.0094,0.0076,0.0081,939714,USD
2018-08-19,0.0081,0.009,0.0073,0.0079,221097,USD
2018-08-20,0.0079,0.0087,0.0074,0.0075,173189,USD
2018-08-21,0.0075,0.0084,0.0073,0.0074,924021,USD
2018-08-22,0.0074,0.0079,0.0067,0.0067,537467,USD
2018-08-23,0.0067,0.0074,0.0067,0.0071,164172,USD
2018-08-24,0.0071,0.0075,0.0069,0.0071,32710,USD
2018-08-25,0.0071,0.0074,0.0064,0.0071,137218,USD
2018-08-26,0.0071,0.0078,0.0069,0.0076,576089,USD
2018-08-27,0.0076,0.0079,0.0067,0.0074,305044,USD
2018-08-28,0.0074,0.008,0.0072,0.0079,225125,USD
2018-08-29,0.0079,0.0082,0.0072,0.0079,253562,USD
2018-08-30,0.0079,0.008,0.0074,0.0075,181435,USD
2018-08-31,0.0075,0.0085,0.0072,0.0082,509227,USD
2018-09-01,0.0082,0.0095,0.0082,0.0093,452104,USD
2018-09-02,0.0093,0.01,0.0088,0.0093,641197,USD
2018-09-03,0.0093,0.01,0.0086,0.0096,294077,USD
2018-09-04,0.0096,0.0097,0.009,0.0093,451626,USD
2018-09-05,0.0094,0.0097,0.0077,0.0077,1592986,USD
2018-09-06,0.0077,0.0081,0.007,0.0081,632902,USD
2018-09-07,0.0081,0.0081,0.0074,0.0076,597312,USD
2018-09-08,0.0076,0.008,0.0065,0.0074,835881,USD
2018-09-09,0.0074,0.0079,0.0071,0.0075,480284,USD
2018-09-10,0.0075,0.0076,0.0071,0.0075,151245,USD
2018-09-11,0.0075,0.0075,0.0066,0.0066,309787,USD
2018-09-12,0.0066,0.0068,0.006,0.0065,399425,USD
2018-09-13,0.0065,0.0078,0.0065,0.0074,496725,USD
2018-09-14,0.0074,0.0076,0.007,0.0074,81979,USD
2018-09-15,0.0074,0.0076,0.0072,0.0075,113071,USD
2018-09-16,0.0075,0.0075,0.007,0.0075,111914,USD
2018-09-17,0.0075,0.0077,0.0069,0.007,336064,USD
2018-09-18,0.007,0.0074,0.0068,0.0073,475374,USD
2018-09-19,0.0073,0.0073,0.0069,0.0069,433151,USD
2018-09-20,0.0069,0.0075,0.0068,0.0073,338027,USD
2018-09-21,0.0073,0.008,0.007,0.008,651285,USD
2018-09-22,0.008,0.008,0.007,0.0075,886652,USD
2018-09-23,0.0076,0.0078,0.0074,0.0074,152584,USD
2018-09-24,0.0074,0.008,0.0073,0.0075,103737,USD
2018-09-25,0.0075,0.0075,0.0069,0.0071,1677651,USD
2018-09-26,0.0071,0.0075,0.0066,0.0072,452335,USD
2018-09-27,0.0072,0.0074,0.0069,0.0073,178746,USD
2018-09-28,0.0073,0.0081,0.0073,0.0074,257875,USD
2018-09-29,0.0074,0.0077,0.0073,0.0076,65717,USD
2018-09-30,0.0076,0.0076,0.0073,0.0074,622389,USD
2018-10-01,0.0074,0.0076,0.007,0.0072,413701,USD
2018-10-02,0.0072,0.0132,0.0071,0.0089,36344784,USD
2018-10-03,0.009,0.011,0.0078,0.0079,36407112,USD
2018-10-04,0.0079,0.0086,0.0079,0.008,10432808,USD
2018-10-05,0.008,0.008208,0.0076,0.007927,4853607,USD
2018-10-06,0.007927,0.008155,0.0077,0.008071,1692796,USD
2018-10-07,0.008071,0.008071,0.007401,0.007791,1589972,USD
2018-10-08,0.007791,0.00808,0.007539,0.007997,423828,USD
2018-10-09,0.007997,0.007998,0.007531,0.007589,843037,USD
2018-10-10,0.007589,0.008,0.00753,0.007998,2439259,USD
2018-10-11,0.007998,0.009,0.0063,0.0063,24149778,USD
2018-10-12,0.0063,0.007419,0.0063,0.007176,5511989,USD
2018-10-13,0.007176,0.00778,0.007105,0.007463,1891085,USD
2018-10-14,0.007463,0.007995,0.007021,0.007941,2291187,USD
2018-10-15,0.007941,0.009609,0.00745,0.008252,9033128,USD
2018-10-16,0.008252,0.0087,0.007,0.00866,6324905,USD
2018-10-17,0.00866,0.0087,0.00801,0.00803,2264171,USD
