Date,Open,High,Low,Close,Volume,Currency
2018-02-20,0.07853,0.080266,0.067297,0.067297,0,USD
2018-02-21,0.067499,0.068011,0.05898,0.060828,0,USD
2018-02-22,0.060711,0.066342,0.054745,0.0579,0,USD
2018-02-23,0.05776,0.060725,0.055911,0.060218,0,USD
2018-02-24,0.060103,0.067772,0.054059,0.055981,0,USD
2018-02-25,0.055915,0.056653,0.052373,0.055067,0,USD
2018-02-26,0.055226,0.056812,0.050681,0.052992,0,USD
2018-02-27,0.05302,0.054426,0.05047,0.051951,0,USD
2018-02-28,0.051775,0.053838,0.047135,0.047425,0,USD
2018-03-01,0.047437,0.055464,0.044131,0.052686,0,USD
2018-03-02,0.052692,0.059431,0.050994,0.052057,0,USD
2018-03-03,0.052034,0.053773,0.049132,0.050321,0,USD
2018-03-04,0.050275,0.050349,0.047516,0.048044,0,USD
2018-03-05,0.048055,0.051312,0.047311,0.047444,0,USD
2018-03-06,0.047017,0.048183,0.040571,0.041443,0,USD
2018-03-07,0.041551,0.042299,0.031455,0.034515,0,USD
2018-03-08,0.034566,0.03495,0.028876,0.02939,0,USD
2018-03-09,0.029294,0.031139,0.024736,0.030703,0,USD
2018-03-10,0.030691,0.032989,0.027749,0.027836,0,USD
2018-03-11,0.027829,0.032089,0.026768,0.03095,0,USD
2018-03-12,0.031009,0.031748,0.027599,0.029822,0,USD
2018-03-13,0.029836,0.03232,0.028432,0.03149,0,USD
2018-03-14,0.031441,0.03304,0.02475,0.026109,0,USD
2018-03-15,0.026081,0.028108,0.024411,0.02695,0,USD
2018-03-16,0.026931,0.028039,0.025411,0.026907,0,USD
2018-03-17,0.026609,0.027051,0.024491,0.024947,0,USD
2018-03-18,0.024894,0.02773,0.023004,0.027659,0,USD
2018-03-19,0.027748,0.032078,0.027136,0.03053,0,USD
2018-03-20,0.030488,0.035175,0.029645,0.033805,0,USD
2018-03-21,0.034058,0.039696,0.032878,0.035911,0,USD
2018-03-22,0.035911,0.042876,0.035447,0.038006,0,USD
2018-03-23,0.037913,0.040793,0.034526,0.039781,0,USD
2018-03-24,0.040055,0.041422,0.037215,0.037215,0,USD
2018-03-25,0.037383,0.038815,0.035516,0.038238,0,USD
2018-03-26,0.037614,0.041143,0.033491,0.036358,0,USD
2018-03-27,0.036459,0.036846,0.032702,0.033217,0,USD
2018-03-28,0.033245,0.035392,0.032606,0.033987,0,USD
2018-03-29,0.033876,0.034048,0.027601,0.028411,0,USD
2018-03-30,0.028406,0.02909,0.025469,0.026898,0,USD
2018-03-31,0.026883,0.029037,0.026883,0.027424,0,USD
2018-04-01,0.027389,0.028573,0.024807,0.026989,0,USD
