Date,Open,High,Low,Close,Volume,Currency
2018-08-27,0.0309,0.0316,0.0298,0.0311,2548993,USD
2018-08-28,0.0311,0.035,0.0305,0.033,12520478,USD
2018-08-29,0.033,0.033,0.0313,0.032,5393840,USD
2018-08-30,0.032,0.0328,0.0312,0.0321,4779164,USD
2018-08-31,0.0321,0.0323,0.0308,0.0319,1327237,USD
2018-09-01,0.0319,0.0343,0.0313,0.0335,2416175,USD
2018-09-02,0.0335,0.0335,0.031,0.0321,3738430,USD
2018-09-03,0.0321,0.0324,0.0315,0.0319,3670184,USD
2018-09-04,0.0319,0.0323,0.0312,0.0319,1384877,USD
2018-09-05,0.0319,0.0327,0.0297,0.0301,18458692,USD
2018-09-06,0.0301,0.0306,0.0289,0.0304,7084680,USD
2018-09-07,0.0304,0.0309,0.029,0.0299,5819718,USD
2018-09-08,0.0299,0.03,0.0287,0.0292,3316263,USD
2018-09-09,0.0292,0.03,0.0263,0.03,13399542,USD
2018-09-10,0.03,0.03,0.028,0.0297,4383300,USD
2018-09-11,0.0297,0.0298,0.0275,0.0283,3162605,USD
2018-09-12,0.0283,0.029,0.0253,0.0279,5783762,USD
2018-09-13,0.0279,0.029,0.0257,0.0283,3558363,USD
2018-09-14,0.0283,0.0286,0.0274,0.0284,1686035,USD
2018-09-15,0.0284,0.0284,0.0269,0.028,1711291,USD
2018-09-16,0.028,0.0281,0.027,0.0278,2183881,USD
2018-09-17,0.0278,0.0285,0.026,0.0262,3098724,USD
2018-09-18,0.0262,0.0277,0.0256,0.0269,3271110,USD
2018-09-19,0.0269,0.0276,0.0257,0.027,2482227,USD
2018-09-20,0.027,0.028,0.026,0.028,2533915,USD
2018-09-21,0.028,0.0286,0.0271,0.0281,5497895,USD
2018-09-22,0.0281,0.0286,0.0268,0.0275,3662536,USD
2018-09-23,0.0275,0.0277,0.0269,0.0274,1544619,USD
2018-09-24,0.0274,0.0275,0.0262,0.0274,642719,USD
2018-09-25,0.0274,0.0274,0.025,0.0263,5645292,USD
2018-09-26,0.0263,0.0273,0.0258,0.027,1549311,USD
2018-09-27,0.027,0.0276,0.0261,0.0274,1707183,USD
2018-09-28,0.0274,0.0275,0.0258,0.0264,3680326,USD
2018-09-29,0.0264,0.0267,0.0255,0.0266,2329362,USD
2018-09-30,0.0266,0.0271,0.0265,0.0271,1037282,USD
2018-10-01,0.0271,0.0271,0.026,0.0267,3035716,USD
2018-10-02,0.0267,0.0269,0.0262,0.0263,1682117,USD
2018-10-03,0.0263,0.0263,0.0259,0.0262,1935188,USD
2018-10-04,0.0262,0.0268,0.0262,0.0266,726498,USD
2018-10-05,0.0266,0.0268,0.0263,0.0268,2435292,USD
2018-10-06,0.0268,0.0274,0.0264,0.0274,2913023,USD
2018-10-07,0.0274,0.0281,0.0274,0.0281,4514916,USD
2018-10-08,0.0281,0.0327,0.0281,0.032,16577887,USD
2018-10-09,0.032,0.0322,0.031,0.0314,6400586,USD
2018-10-10,0.0314,0.0314,0.0308,0.0311,2490064,USD
2018-10-11,0.0311,0.0311,0.0282,0.0284,7479535,USD
2018-10-12,0.0284,0.0284,0.028,0.0281,3691429,USD
2018-10-13,0.0281,0.0295,0.0278,0.0295,4498663,USD
2018-10-14,0.0295,0.0297,0.029,0.0291,1157618,USD
