Date,Open,High,Low,Close,Volume,Currency
2018-02-21,2.69656,2.69656,2.41716,2.45186,0,USD
2018-02-22,2.45418,2.6154,2.12488,2.15747,0,USD
2018-02-23,2.16027,2.88756,2.1344,2.38651,0,USD
2018-02-24,2.38948,2.51782,2.12771,2.19025,0,USD
2018-02-25,2.19046,2.24843,2.10402,2.21893,0,USD
2018-02-26,2.22349,2.5123,2.2171,2.41516,0,USD
2018-02-27,2.41915,2.61186,2.32836,2.45383,0,USD
2018-02-28,2.44553,2.5798,2.26011,2.26565,0,USD
2018-03-01,2.26519,2.73806,2.21347,2.70737,0,USD
2018-03-02,2.67975,3.11333,2.58484,2.85735,0,USD
2018-03-03,2.84765,2.93787,2.70311,2.78176,0,USD
2018-03-04,2.78266,3.06349,2.55323,2.71392,0,USD
2018-03-05,2.70937,3.67738,2.69773,3.28449,0,USD
2018-03-06,3.34699,3.34699,2.78847,2.84474,0,USD
2018-03-07,2.82597,2.85956,2.39816,2.58518,0,USD
2018-03-08,2.58862,2.64668,2.30504,2.30504,0,USD
2018-03-09,2.30843,2.33548,1.8458,2.25908,0,USD
2018-03-10,2.25829,2.38987,1.99603,2.01476,0,USD
2018-03-11,2.016,2.24852,1.93884,2.19302,0,USD
2018-03-12,2.19529,2.26516,1.974,2.03046,0,USD
2018-03-13,2.0307,2.17259,1.96421,2.00229,0,USD
2018-03-14,2.00128,2.09602,1.68913,1.74371,0,USD
2018-03-15,1.73857,1.76805,1.60737,1.75491,0,USD
2018-03-16,1.75675,1.93774,1.6431,1.8516,0,USD
2018-03-17,1.84158,1.84423,1.61301,1.61876,0,USD
2018-03-18,1.61469,1.62367,1.40421,1.60374,0,USD
2018-03-19,1.60414,1.71394,1.5679,1.67957,0,USD
2018-03-20,1.67726,1.87193,1.60018,1.77114,0,USD
2018-03-21,1.77193,2.01879,1.76997,1.81745,0,USD
2018-03-22,1.81986,1.85122,1.64684,1.75009,0,USD
2018-03-23,1.74583,1.79901,1.68201,1.79901,0,USD
2018-03-24,1.80106,1.9666,1.80106,1.82258,0,USD
2018-03-25,1.82864,1.84938,1.71324,1.80329,0,USD
2018-03-26,1.8015,1.80748,1.53971,1.61493,0,USD
2018-03-27,1.6194,1.78968,1.52457,1.69883,0,USD
2018-03-28,1.69698,1.80006,1.66087,1.74388,0,USD
2018-03-29,1.74523,1.76086,1.38419,1.44145,0,USD
2018-03-30,1.44159,1.45016,1.22929,1.31193,0,USD
2018-03-31,1.31004,1.38178,1.2593,1.29587,0,USD
2018-04-01,1.29623,1.31402,1.15171,1.23285,0,USD
2018-04-02,1.23369,1.36296,1.22448,1.34823,0,USD
2018-04-03,1.34826,1.58147,1.33782,1.55787,0,USD
2018-04-04,1.55871,1.57664,1.33139,1.35629,0,USD
2018-04-05,1.3562,1.40178,1.27706,1.30658,0,USD
2018-04-06,1.30632,1.56294,1.22022,1.29078,0,USD
2018-04-07,1.29248,1.45502,1.26321,1.38247,0,USD
2018-04-08,1.382,1.43835,1.38019,1.41561,0,USD
2018-04-09,1.41599,1.47627,1.33388,1.36876,0,USD
2018-04-10,1.37073,2.48385,1.35648,1.76813,0,USD
2018-04-11,1.76792,2.0599,1.69562,1.90299,0,USD
2018-04-12,1.89038,2.11202,1.77847,2.06211,0,USD
2018-04-13,2.06436,2.25307,1.99205,2.13176,0,USD
2018-04-14,2.13441,2.32805,2.09469,2.26952,0,USD
2018-04-15,2.26771,2.51834,2.26771,2.4265,0,USD
2018-04-16,2.43571,2.4629,2.20271,2.32112,0,USD
2018-04-17,2.32112,2.42056,2.2262,2.31461,0,USD
2018-04-18,2.31603,2.50921,2.31202,2.48777,0,USD
2018-04-19,2.49289,2.5622,2.36443,2.53715,0,USD
2018-04-20,2.53698,2.8614,2.44349,2.74178,0,USD
2018-04-21,2.74348,2.74834,2.36316,2.68388,0,USD
2018-04-22,2.68718,2.84821,2.59455,2.62812,0,USD
2018-04-23,2.62563,2.76976,2.52989,2.54515,0,USD
2018-04-24,2.53974,2.64864,2.4539,2.53358,0,USD
2018-04-25,2.53481,2.55088,2.06117,2.20247,0,USD
2018-04-26,2.19925,2.42732,2.05347,2.36027,0,USD
2018-04-27,2.35576,2.4541,2.24491,2.25833,0,USD
2018-04-28,2.25591,2.38118,2.23131,2.31096,0,USD
2018-04-29,2.31408,2.34533,2.20797,2.29008,0,USD
2018-04-30,2.29267,2.31946,2.14221,2.21146,0,USD
2018-05-01,2.21337,2.31517,2.10302,2.2819,0,USD
2018-05-02,2.28395,2.40662,2.23379,2.38187,0,USD
2018-05-03,2.38139,2.45022,2.29286,2.34635,0,USD
2018-05-04,2.34509,2.37773,2.21439,2.34579,0,USD
2018-05-05,2.34465,2.3958,2.27843,2.29474,0,USD
2018-05-06,2.28286,2.45268,2.21769,2.33314,0,USD
2018-05-07,2.33111,2.33111,2.14533,2.2058,0,USD
2018-05-08,2.20129,2.26271,0.00024,2.20616,0,USD
2018-05-09,2.21263,2.28926,2.15073,2.23943,0,USD
2018-05-10,2.23987,2.33551,2.10155,2.10277,0,USD
2018-05-11,2.10131,2.10131,1.84021,1.91174,0,USD
2018-05-12,1.91631,1.9624,1.77925,1.81939,0,USD
2018-05-13,1.82209,1.97951,1.78432,1.96509,0,USD
2018-05-14,1.96516,1.9771,1.83045,1.93878,0,USD
2018-05-15,1.93862,1.97035,1.858,1.89542,0,USD
2018-05-16,1.89548,1.93592,1.80322,1.91175,0,USD
2018-05-17,1.9134,1.93373,1.76995,1.78558,0,USD
2018-05-18,1.78326,1.83938,1.75976,1.8335,0,USD
2018-05-19,1.8335,1.90982,1.80866,1.89914,0,USD
2018-05-20,1.89707,1.99504,1.84784,1.97583,0,USD
2018-05-21,1.97572,2.01049,1.82616,1.94936,0,USD
2018-05-22,1.94917,2.08126,1.77841,1.77841,0,USD
2018-05-23,1.77639,1.78121,1.56255,1.61227,0,USD
2018-05-24,1.61104,1.70044,1.59521,1.6914,0,USD
2018-05-25,1.69211,1.69936,1.55255,1.5869,0,USD
2018-05-26,1.58621,1.59826,1.49866,1.51385,0,USD
2018-05-27,1.51339,1.61309,1.4805,1.501,0,USD
2018-05-28,1.501,1.5146,1.32998,1.3476,0,USD
2018-05-29,1.34968,1.48313,1.31769,1.40878,0,USD
2018-05-30,1.41045,1.70308,1.39184,1.43701,0,USD
2018-05-31,1.43336,1.62225,1.42347,1.50255,0,USD
2018-06-01,1.50241,1.51826,1.44543,1.51591,0,USD
2018-06-02,1.51711,1.555,1.50543,1.54976,0,USD
2018-06-03,1.54858,1.6026,1.52972,1.57201,0,USD
2018-06-04,1.57342,1.5906,1.49824,1.5109,0,USD
2018-06-05,1.50961,1.5121,1.35045,1.39865,0,USD
2018-06-06,1.39961,1.55737,1.38,1.4469,0,USD
2018-06-07,1.44698,1.50128,1.23906,1.37052,0,USD
2018-06-08,1.37079,1.38708,1.32849,1.34396,0,USD
2018-06-09,1.34388,1.36789,1.2999,1.32568,0,USD
2018-06-10,1.32552,1.35684,1.0859,1.10314,0,USD
2018-06-11,1.10401,1.14163,1.06631,1.12065,0,USD
2018-06-12,1.11994,1.11994,0.9841,0.99352,0,USD
2018-06-13,0.9971,1.02022,0.86554,0.93726,0,USD
2018-06-14,0.93781,0.99954,0.91186,0.99646,0,USD
2018-06-15,0.99837,0.99967,0.91391,0.91603,0,USD
2018-06-16,0.91646,0.94349,0.90356,0.92527,0,USD
2018-06-17,0.92544,0.93817,0.89351,0.90922,0,USD
2018-06-18,0.90995,1.11168,0.88194,0.97242,0,USD
2018-06-19,0.96991,0.9822,0.92221,0.94024,0,USD
2018-06-20,0.93918,1.04315,0.91099,0.9863,0,USD
2018-06-21,0.97861,1.03006,0.95728,0.95834,0,USD
2018-06-22,0.9584,0.96526,0.82523,0.8378,0,USD
2018-06-23,0.8372,0.86258,0.81614,0.82335,0,USD
2018-06-24,0.82584,0.83454,0.75214,0.82639,0,USD
2018-06-25,0.82612,0.90697,0.82279,0.86024,0,USD
2018-06-26,0.86081,0.89903,0.79814,0.80765,0,USD
2018-06-27,0.80073,0.81834,0.76721,0.8065,0,USD
2018-06-28,0.8065,0.81531,0.76445,0.76823,0,USD
2018-06-29,0.767,0.82958,0.69149,0.821,0,USD
2018-06-30,0.82032,0.89336,0.81834,0.84937,0,USD
2018-07-01,0.85161,0.86226,0.80908,0.85689,0,USD
2018-07-02,0.8568,0.98204,1e-05,0.95821,0,USD
2018-07-03,0.96007,1.06819,0.01367,0.96173,0,USD
2018-07-04,0.96367,1.01997,0.94646,0.96039,0,USD
2018-07-05,0.96039,0.99085,0.92387,0.93686,0,USD
2018-07-06,0.93699,0.96441,0.91085,0.96116,0,USD
2018-07-07,0.96127,1.00066,0.92006,0.95784,0,USD
2018-07-08,0.95784,0.96767,0.88473,0.88682,0,USD
2018-07-09,0.88632,0.91352,0.87816,0.89005,0,USD
2018-07-10,0.88976,0.8968,0.82564,0.88527,0,USD
2018-07-11,0.88561,0.92357,0.85117,0.87429,0,USD
2018-07-12,0.87375,0.91818,0.83323,0.89118,0,USD
2018-07-13,0.89172,0.93343,0.8897,0.90548,0,USD
2018-07-14,0.90543,0.93353,0.90157,0.91116,0,USD
2018-07-15,0.91116,0.93811,0.90895,0.92747,0,USD
2018-07-16,0.92754,1.02306,0.92608,0.99381,0,USD
2018-07-17,0.99021,1.12613,0.98538,1.10242,0,USD
2018-07-18,1.10253,1.20512,1.09516,1.16422,0,USD
2018-07-19,1.16615,1.27404,1.16432,1.22551,0,USD
2018-07-20,1.2257,1.24941,1.05909,1.06664,0,USD
2018-07-21,1.06514,1.10042,1.05094,1.07349,0,USD
2018-07-22,1.07349,1.13533,1.05812,1.08057,0,USD
2018-07-23,1.0798,1.16272,1.07657,1.11337,0,USD
2018-07-24,1.11248,1.30766,1.10672,1.20494,0,USD
2018-07-25,1.19919,1.29425,1.19403,1.2301,0,USD
2018-07-26,1.23123,1.31953,1.22016,1.29462,0,USD
2018-07-27,1.29467,1.31759,1.23748,1.24325,0,USD
2018-07-28,1.24325,1.25913,1.20615,1.23443,0,USD
2018-07-29,1.23571,1.30253,1.2071,1.20945,0,USD
2018-07-30,1.20924,1.23914,1.14272,1.18181,0,USD
2018-07-31,1.18445,1.18937,1.10099,1.14259,0,USD
2018-08-01,1.13515,1.13987,1.06886,1.09147,0,USD
2018-08-02,1.09102,1.11067,1.05847,1.07012,0,USD
2018-08-03,1.06895,1.06895,1.02437,1.04395,0,USD
2018-08-04,1.04448,1.05731,0.92947,0.94016,0,USD
2018-08-05,0.94107,0.94388,0.90717,0.92397,0,USD
2018-08-06,0.92283,0.98614,0.9077,0.91614,0,USD
2018-08-07,0.91696,0.94091,0.8224,0.84501,0,USD
2018-08-08,0.84451,0.85166,0.68608,0.69456,0,USD
2018-08-09,0.69457,0.76255,0.66723,0.75086,0,USD
2018-08-10,0.75918,0.76912,0.62895,0.66332,0,USD
2018-08-11,0.66317,0.67051,0.6035,0.6035,0,USD
2018-08-12,0.60405,0.63511,0.59875,0.60544,0,USD
2018-08-13,0.60501,0.62923,0.48578,0.51266,0,USD
2018-08-14,0.512,0.60557,0.4467,0.47551,0,USD
2018-08-15,0.47584,0.55324,0.4753,0.51312,0,USD
2018-08-16,0.51258,0.53815,0.49748,0.52491,0,USD
2018-08-17,0.5229,0.62111,0.51973,0.6207,0,USD
2018-08-18,0.62018,0.6217,0.5533,0.5682,0,USD
2018-08-19,0.5683,0.5683,0.53898,0.5515,0,USD
2018-08-20,0.55128,0.55769,0.51844,0.51908,0,USD
2018-08-21,0.51883,0.54912,0.51866,0.52671,0,USD
2018-08-22,0.52728,0.56642,0.50339,0.51128,0,USD
2018-08-23,0.5118,0.55165,0.50194,0.53392,0,USD
2018-08-24,0.53433,0.56153,0.52375,0.53587,0,USD
2018-08-25,0.53601,0.54803,0.53053,0.54345,0,USD
2018-08-26,0.54311,0.54706,0.51796,0.52128,0,USD
2018-08-27,0.52054,0.54456,0.51349,0.54393,0,USD
2018-08-28,0.54452,0.58122,0.53818,0.5644,0,USD
2018-08-29,0.56465,0.60804,0.55827,0.58419,0,USD
2018-08-30,0.58347,0.59325,0.5519,0.58002,0,USD
2018-08-31,0.57953,0.59271,0.55675,0.56825,0,USD
2018-09-01,0.56825,0.62072,0.56774,0.60203,0,USD
2018-09-02,0.60203,0.65368,0.5966,0.63557,0,USD
2018-09-03,0.63561,0.78817,0.63461,0.70315,0,USD
2018-09-04,0.71288,0.74588,0.6935,0.7122,0,USD
2018-09-05,0.7122,0.72576,0.59694,0.59719,0,USD
2018-09-06,0.59702,0.59999,0.53728,0.55544,0,USD
2018-09-07,0.55562,0.58322,0.539,0.57835,0,USD
2018-09-08,0.57835,0.5815,0.50414,0.50884,0,USD
2018-09-09,0.50884,0.5266,0.5033,0.51134,0,USD
2018-09-10,0.5116,0.52097,0.49272,0.5172,0,USD
2018-09-11,0.5172,0.56018,0.51235,0.51609,0,USD
2018-09-12,0.51626,0.54822,0.50042,0.54822,0,USD
2018-09-13,0.54822,0.57737,0.54147,0.55975,0,USD
2018-09-14,0.55975,0.6227,0.55585,0.59154,0,USD
2018-09-15,0.59089,0.59806,0.5703,0.57768,0,USD
2018-09-16,0.57722,0.57977,0.52263,0.54675,0,USD
2018-09-17,0.54675,0.55522,0.49365,0.51599,0,USD
2018-09-18,0.51599,0.53478,0.50374,0.52635,0,USD
2018-09-19,0.52635,0.53179,0.50125,0.52029,0,USD
2018-09-20,0.52043,0.5329,0.51872,0.53063,0,USD
2018-09-21,0.53063,0.55499,0.53063,0.5489,0,USD
2018-09-22,0.54812,0.55658,0.52362,0.5422,0,USD
2018-09-23,0.54208,0.54867,0.53357,0.54198,0,USD
2018-09-24,0.5419,0.54794,0.5174,0.52032,0,USD
2018-09-25,0.52032,0.52391,0.49693,0.50169,0,USD
2018-09-26,0.50227,0.56678,0.49771,0.504,0,USD
2018-09-27,0.504,0.52187,0.49266,0.51823,0,USD
2018-09-28,0.51875,0.52265,0.46129,0.48462,0,USD
2018-09-29,0.48462,0.48726,0.46169,0.47894,0,USD
2018-09-30,0.47894,0.5107,0.4618,0.49986,0,USD
2018-10-01,0.49966,0.50397,0.47995,0.49447,0,USD
2018-10-02,0.49476,0.5345,0.48544,0.48779,0,USD
2018-10-03,0.48713,0.53316,0.48577,0.50064,0,USD
2018-10-04,0.501,0.52388,0.48758,0.51055,0,USD
2018-10-05,0.51071,0.53226,0.49919,0.51826,0,USD
2018-10-06,0.51826,0.52428,0.49701,0.50164,0,USD
2018-10-07,0.50164,0.5076,0.49361,0.49547,0,USD
2018-10-08,0.49547,0.51694,0.48651,0.49662,0,USD
2018-10-09,0.49419,0.51164,0.48341,0.49896,0,USD
2018-10-10,0.49896,0.54532,0.48611,0.54013,0,USD
2018-10-11,0.53679,0.53682,0.49245,0.49383,0,USD
2018-10-12,0.49356,0.5088,0.47943,0.48787,0,USD
2018-10-13,0.48782,0.52244,0.48315,0.52048,0,USD
2018-10-14,0.52057,0.5282,0.50368,0.50448,0,USD
2018-10-15,0.50463,0.60343,0.49716,0.51886,0,USD
2018-10-16,0.51886,0.54742,0.51611,0.52905,0,USD
2018-10-17,0.52875,0.53302,0.51093,0.51782,0,USD
2018-10-18,0.51789,0.52241,0.50029,0.50479,0,USD
2018-10-19,0.50479,0.52385,0.4974,0.50018,0,USD
2018-10-20,0.50021,0.50818,0.49768,0.50399,0,USD
2018-10-21,0.50415,0.5145,0.50089,0.50089,0,USD
2018-10-22,0.50111,0.51679,0.48925,0.50131,0,USD
2018-10-23,0.50131,0.53066,0.49899,0.52109,0,USD
2018-10-24,0.52112,0.57876,0.51856,0.57872,0,USD
2018-10-25,0.57872,0.57872,0.52994,0.55534,0,USD
2018-10-26,0.5557,0.5733,0.53864,0.54084,0,USD
2018-10-27,0.54084,0.5635,0.52947,0.54215,0,USD
2018-10-28,0.54215,0.54306,0.52027,0.52304,0,USD
2018-10-29,0.52304,0.524,0.50841,0.51802,0,USD
2018-10-30,0.51802,0.54024,0.51347,0.54024,0,USD
2018-10-31,0.54024,0.54853,0.51319,0.52908,0,USD
2018-11-01,0.52851,0.54386,0.52339,0.53988,0,USD
2018-11-02,0.53988,0.54957,0.53434,0.54147,0,USD
2018-11-03,0.54147,0.54666,0.52261,0.52668,0,USD
2018-11-04,0.52668,0.53557,0.5168,0.531,0,USD
2018-11-05,0.531,0.53468,0.51828,0.53033,0,USD
2018-11-06,0.52981,0.53148,0.51369,0.5276,0,USD
2018-11-07,0.5276,0.53924,0.52125,0.52746,0,USD
2018-11-08,0.52746,0.57876,0.52746,0.54315,0,USD
2018-11-09,0.54315,0.55877,0.53552,0.54658,0,USD
2018-11-10,0.54693,0.55235,0.53427,0.5386,0,USD
2018-11-11,0.5386,0.56119,0.5131,0.55258,0,USD
2018-11-12,0.55169,0.55428,0.52538,0.53242,0,USD
2018-11-13,0.53097,0.54163,0.52561,0.52983,0,USD
2018-11-14,0.52938,0.54256,0.42614,0.46157,0,USD
2018-11-15,0.46487,0.46796,0.4018,0.42216,0,USD
2018-11-16,0.42216,0.42658,0.39233,0.40489,0,USD
2018-11-17,0.40489,0.40489,0.39032,0.39032,0,USD
2018-11-18,0.39035,0.39781,0.3878,0.39228,0,USD
2018-11-19,0.39228,0.39385,0.26442,0.29536,0,USD
2018-11-20,0.29447,0.39561,0.29012,0.33865,0,USD
2018-11-21,0.33944,0.34953,0.29075,0.31631,0,USD
2018-11-22,0.31592,0.31982,0.29352,0.29352,0,USD
2018-11-23,0.29191,0.29559,0.26623,0.27023,0,USD
2018-11-24,0.27023,0.27664,0.23029,0.23766,0,USD
2018-11-25,0.23762,0.26209,0.20798,0.25639,0,USD
2018-11-26,0.25542,0.25739,0.21886,0.23091,0,USD
2018-11-27,0.23091,0.23942,0.2249,0.23814,0,USD
2018-11-28,0.23814,0.28424,0.23814,0.27689,0,USD
2018-11-29,0.27689,0.29128,0.26635,0.28633,0,USD
2018-11-30,0.28707,0.30415,0.25192,0.26317,0,USD
2018-12-01,0.26297,0.29438,0.26186,0.28555,0,USD
2018-12-02,0.28555,0.291,0.27152,0.27847,0,USD
2018-12-03,0.27936,0.27974,0.24707,0.2497,0,USD
2018-12-04,0.24942,0.26396,0.24226,0.25491,0,USD
2018-12-05,0.25502,0.2567,0.2399,0.24239,0,USD
2018-12-06,0.24262,0.25885,0.23099,0.23263,0,USD
2018-12-07,0.23218,0.27533,0.22184,0.25521,0,USD
2018-12-08,0.25697,0.29605,0.23465,0.25028,0,USD
2018-12-09,0.25026,0.26744,0.24443,0.25693,0,USD
2018-12-10,0.25667,0.26096,0.2429,0.2429,0,USD
2018-12-11,0.24273,0.27595,0.23931,0.24941,0,USD
2018-12-12,0.2486,0.25214,0.2425,0.24408,0,USD
2018-12-13,0.24398,0.24467,0.22029,0.22261,0,USD
2018-12-14,0.22278,0.22278,0.20799,0.21138,0,USD
2018-12-15,0.21141,0.21301,0.20399,0.2119,0,USD
2018-12-16,0.21178,0.21743,0.20632,0.20676,0,USD
2018-12-17,0.20693,0.2339,0.20657,0.23222,0,USD
2018-12-18,0.23239,0.23631,0.21911,0.23359,0,USD
2018-12-19,0.23381,0.2608,0.23311,0.24963,0,USD
2018-12-20,0.24913,0.27442,0.24763,0.27359,0,USD
2018-12-21,0.2734,0.27802,0.24676,0.24862,0,USD
2018-12-22,0.2489,0.27166,0.24432,0.26984,0,USD
2018-12-23,0.27045,0.27657,0.25029,0.25439,0,USD
2018-12-24,0.25448,0.27305,0.25107,0.25417,0,USD
2018-12-25,0.25401,0.25488,0.23363,0.23791,0,USD
2018-12-26,0.23818,0.24209,0.23064,0.23697,0,USD
2018-12-27,0.23698,0.23873,0.21713,0.21858,0,USD
2018-12-28,0.21857,0.24677,0.21857,0.24665,0,USD
2018-12-29,0.24648,0.26145,0.23472,0.24115,0,USD
2018-12-30,0.23965,0.26269,0.23776,0.24417,0,USD
2018-12-31,0.24434,0.24464,0.2196,0.22096,0,USD
2019-01-01,0.22035,0.23581,0.21637,0.22834,0,USD
2019-01-02,0.22933,0.24006,0.22692,0.23616,0,USD
2019-01-03,0.23746,0.24334,0.22986,0.23424,0,USD
2019-01-04,0.23439,0.2411,0.21926,0.22678,0,USD
2019-01-05,0.22661,0.23219,0.22275,0.22405,0,USD
2019-01-06,0.22402,0.44615,0.2213,0.23966,0,USD
2019-01-07,0.23955,0.24103,0.22372,0.22913,0,USD
2019-01-08,0.22913,0.23093,0.22373,0.22458,0,USD
2019-01-09,0.22464,0.23339,0.22444,0.23257,0,USD
2019-01-10,0.23266,0.23662,0.21077,0.21522,0,USD
2019-01-11,0.21522,0.22228,0.20715,0.20952,0,USD
2019-01-12,0.20963,0.21644,0.20765,0.21477,0,USD
2019-01-13,0.21477,0.21685,0.20814,0.20958,0,USD
2019-01-14,0.20957,0.21162,0.19562,0.20678,0,USD
2019-01-15,0.20685,0.21198,0.20214,0.20548,0,USD
2019-01-16,0.2053,0.21339,0.2046,0.20764,0,USD
2019-01-17,0.20805,0.21508,0.20192,0.21426,0,USD
2019-01-18,0.21429,0.22128,0.20958,0.2176,0,USD
2019-01-19,0.2176,0.23,0.2175,0.22663,0,USD
2019-01-20,0.2265,0.22836,0.20717,0.211,0,USD
2019-01-21,0.21119,0.21467,0.21016,0.21258,0,USD
2019-01-22,0.21249,0.22121,0.20471,0.21556,0,USD
2019-01-23,0.21556,0.21739,0.21005,0.21308,0,USD
2019-01-24,0.21315,0.22192,0.21269,0.21692,0,USD
2019-01-25,0.21697,0.21787,0.20555,0.20948,0,USD
2019-01-26,0.20948,0.21263,0.20722,0.20764,0,USD
2019-01-27,0.20753,0.20787,0.19786,0.19804,0,USD
2019-01-28,0.19791,0.19805,0.17276,0.18097,0,USD
2019-01-29,0.18097,0.18333,0.17385,0.17969,0,USD
2019-01-30,0.17969,0.19207,0.17604,0.19136,0,USD
2019-01-31,0.19138,0.19691,0.18338,0.18466,0,USD
2019-02-01,0.18474,0.18513,0.16771,0.17132,0,USD
2019-02-02,0.1714,0.19362,0.16588,0.18279,0,USD
2019-02-03,0.18308,0.1834,0.16757,0.1687,0,USD
2019-02-04,0.1687,0.17129,0.1628,0.16286,0,USD
2019-02-05,0.16286,0.17075,0.15979,0.16846,0,USD
2019-02-06,0.1685,0.16992,0.15585,0.15958,0,USD
2019-02-07,0.15969,0.16403,0.15644,0.16139,0,USD
2019-02-08,0.1615,0.19223,0.16146,0.18898,0,USD
2019-02-09,0.18926,0.19455,0.17924,0.18648,0,USD
2019-02-10,0.18397,0.18941,0.17469,0.17701,0,USD
2019-02-11,0.17704,0.17942,0.16656,0.17675,0,USD
2019-02-12,0.17677,0.17781,0.16724,0.17617,0,USD
