Date,Open,High,Low,Close,Volume,Currency
2018-02-02,0.0,0.116001,0.0,0.116001,74,USD
2018-02-03,0.116001,0.6,0.07,0.07,1407,USD
2018-02-04,0.07,0.07,0.07,0.07,0,USD
2018-02-05,0.07,0.1089,0.07,0.1089,40,USD
2018-02-06,0.1089,0.1089,0.1089,0.1089,0,USD
2018-02-10,0.07,0.07,0.07,0.07,0,USD
2018-02-11,0.07,0.07,0.07,0.07,0,USD
2018-02-12,0.07,0.07,0.07,0.07,0,USD
2018-02-13,0.07,0.129988,0.07,0.129988,20,USD
2018-02-14,0.129988,0.129999,0.129988,0.129999,93,USD
2018-02-15,0.129999,0.129999,0.129999,0.129999,0,USD
2018-02-16,0.129999,0.15888,0.070001,0.070001,68,USD
2018-02-17,0.070001,0.1809,0.070001,0.1809,34,USD
2018-02-18,0.1809,0.1809,0.1809,0.1809,0,USD
2018-02-19,0.1809,0.1898,0.1809,0.1898,51,USD
2018-02-20,0.1898,0.1898,0.080021,0.080021,126,USD
2018-02-21,0.080021,0.1898,0.080021,0.080033,92,USD
2018-02-22,0.080033,0.13,0.080033,0.13,21,USD
2018-02-23,0.13,0.13,0.13,0.13,0,USD
2018-02-24,0.13,0.13,0.13,0.13,0,USD
2018-02-25,0.13,0.5,0.122005,0.122005,1,USD
2018-02-26,0.122005,0.124,0.122005,0.122005,1,USD
2018-02-27,0.124,0.124,0.124,0.124,0,USD
2018-02-28,0.124,0.124,0.124,0.124,0,USD
2018-03-01,0.124,0.124,0.124,0.124,0,USD
2018-03-03,0.2122,0.2122,0.2122,0.2122,0,USD
2018-03-04,0.2122,0.2122,0.2122,0.2122,0,USD
2018-03-05,0.2122,0.2122,0.2122,0.2122,0,USD
2018-03-06,0.2122,0.2122,0.130211,0.208454,109,USD
2018-03-07,0.208454,0.208454,0.122002,0.122002,94,USD
2018-03-08,0.122002,0.122002,0.122002,0.122002,0,USD
2018-03-09,0.122002,0.122002,0.122002,0.122002,0,USD
2018-03-10,0.122002,0.122002,0.080034,0.080034,9,USD
2018-03-11,0.080034,0.080034,0.080034,0.080034,0,USD
2018-03-12,0.080034,0.080034,0.0,0.080034,9,USD
2018-03-13,0.080034,0.080034,0.0,0.080034,99,USD
2018-03-14,0.080034,0.080034,0.080034,0.080034,0,USD
2018-03-15,0.080034,0.1322,0.080034,0.1322,1,USD
2018-03-16,0.1322,0.1322,0.0,0.1322,1,USD
2018-03-17,0.1322,0.1322,0.0,0.061001,40,USD
2018-03-18,0.061001,0.061001,0.061001,0.061001,0,USD
2018-03-19,0.061001,0.061001,0.061001,0.061001,0,USD
2018-03-20,0.061001,0.08,0.0,0.08,5,USD
2018-03-21,0.08,0.08,0.08,0.08,0,USD
2018-03-22,0.08,0.08,0.08,0.08,0,USD
2018-03-23,0.08,0.08,0.08,0.08,0,USD
2018-03-24,0.0,0.08,0.0,0.078989,16,USD
2018-03-25,0.078989,0.078989,0.078989,0.078989,0,USD
2018-03-26,0.078989,0.078989,0.078989,0.078989,0,USD
2018-03-29,0.078989,0.078989,0.0,0.050001,1452,USD
2018-03-30,0.050001,0.050001,0.05,0.05,1487,USD
2018-03-31,0.05,0.05,0.05,0.05,0,USD
2018-04-01,0.05,0.05,0.05,0.05,0,USD
2018-04-07,0.05,0.05,0.0,0.05,177,USD
2018-04-08,0.05,0.05,0.05,0.05,0,USD
2018-04-13,0.0,0.050001,0.0,0.050001,4,USD
2018-04-14,0.050001,0.050001,0.050001,0.050001,0,USD
2018-04-15,0.0,0.050001,0.0,0.050001,4,USD
2018-04-16,0.050001,0.050001,0.0,0.050001,4,USD
2018-04-17,0.050001,0.051102,0.0,0.050001,255,USD
2018-04-18,0.050001,0.050001,0.050001,0.050001,0,USD
2018-04-19,0.050001,0.056907,0.050001,0.056907,87,USD
2018-04-20,0.056907,0.08,0.050001,0.050001,1359,USD
2018-04-21,0.050001,0.050001,0.050001,0.050001,0,USD
2018-04-22,0.050001,0.054,0.050001,0.054,12,USD
2018-04-23,0.054,0.054,0.054,0.054,0,USD
2018-04-24,0.054,0.054,0.054,0.054,0,USD
2018-04-25,0.054,0.054,0.054,0.054,0,USD
2018-04-26,0.054,0.054,0.054,0.054,0,USD
2018-04-27,0.054,0.0594,0.054,0.0594,29,USD
2018-04-28,0.0594,0.0594,0.0594,0.0594,0,USD
2018-04-30,0.050001,0.050001,0.05,0.05,14,USD
2018-05-01,0.05,0.05,0.0,0.0,0,USD
2018-05-02,0.05,0.05,0.05,0.05,0,USD
2018-05-03,0.05,0.05,0.05,0.05,0,USD
2018-05-04,0.05,0.05,0.05,0.05,0,USD
2018-05-05,0.05,0.05,0.05,0.05,0,USD
2018-05-06,0.05,0.05,0.05,0.05,0,USD
