Date,Open,High,Low,Close,Volume,Currency
2018-02-26,0.207,0.2248,0.1918,0.2248,77904,USD
2018-02-27,0.2248,0.2248,0.2002,0.2056,54680,USD
2018-02-28,0.2056,0.2139,0.1921,0.1921,7308,USD
2018-03-01,0.1921,0.2185,0.1921,0.2184,66672,USD
2018-03-02,0.2184,0.24,0.199,0.2042,29710,USD
2018-03-03,0.2042,0.2128,0.1921,0.1922,10457,USD
2018-03-04,0.1922,0.24,0.1921,0.24,62294,USD
2018-03-05,0.24,0.2548,0.2047,0.2225,192576,USD
2018-03-06,0.2191,0.2212,0.196,0.2083,63394,USD
2018-03-07,0.2083,0.2083,0.168,0.1898,23084,USD
2018-03-08,0.1898,0.1898,0.1583,0.1593,12981,USD
2018-03-09,0.1593,0.1752,0.1376,0.1681,52712,USD
2018-03-10,0.1681,0.178,0.1567,0.1567,20257,USD
2018-03-11,0.1567,0.1789,0.1567,0.1789,67885,USD
2018-03-12,0.1789,0.1906,0.1588,0.1639,348746,USD
2018-03-13,0.1639,0.1679,0.1624,0.1624,83309,USD
2018-03-14,0.1624,0.168,0.1464,0.1464,27766,USD
2018-03-15,0.1464,0.1464,0.1284,0.1284,34923,USD
2018-03-16,0.1284,0.1303,0.1158,0.1255,149319,USD
2018-03-17,0.1255,0.1307,0.1094,0.1123,46657,USD
2018-03-18,0.1123,0.1308,0.0858,0.1192,47773,USD
2018-03-19,0.1192,0.1238,0.1111,0.1233,22872,USD
2018-03-20,0.1233,0.1385,0.11,0.1385,40239,USD
2018-03-21,0.1385,0.16,0.1335,0.1335,26108,USD
2018-03-22,0.1335,0.1482,0.1335,0.1412,48508,USD
2018-03-23,0.1412,0.1596,0.134,0.1518,30900,USD
2018-03-24,0.1518,0.1632,0.1518,0.1561,48724,USD
2018-03-25,0.1561,0.1751,0.1528,0.1608,51890,USD
2018-03-26,0.1608,0.1608,0.135,0.145,78166,USD
2018-03-27,0.145,0.147,0.13,0.1323,101081,USD
2018-03-28,0.1323,0.1545,0.1301,0.1469,100742,USD
2018-03-29,0.1469,0.1506,0.1347,0.1448,30990,USD
2018-03-30,0.1448,0.1448,0.117,0.1199,31810,USD
2018-03-31,0.1199,0.1515,0.1199,0.1317,34476,USD
2018-04-01,0.1317,0.1487,0.1209,0.1303,26499,USD
2018-04-02,0.1303,0.1319,0.1279,0.1282,16417,USD
2018-04-03,0.1282,0.1337,0.1184,0.1325,21536,USD
2018-04-04,0.1325,0.1325,0.1157,0.1204,31284,USD
2018-04-05,0.1204,0.1367,0.11,0.1148,21440,USD
2018-04-06,0.1148,0.1157,0.1069,0.1069,18743,USD
2018-04-07,0.1069,0.1168,0.1069,0.1168,15689,USD
2018-04-08,0.1168,0.1328,0.1084,0.1328,5838,USD
2018-04-09,0.1328,0.1328,0.1089,0.1141,164145,USD
2018-04-10,0.1141,0.1343,0.1074,0.1201,170164,USD
2018-04-11,0.1201,0.1337,0.1201,0.131,99305,USD
2018-04-12,0.131,0.1488,0.1283,0.1488,213666,USD
2018-04-13,0.1488,0.1638,0.1488,0.1488,118139,USD
2018-04-14,0.1488,0.156,0.1443,0.1498,58184,USD
2018-04-15,0.1498,0.24,0.1453,0.1998,171651,USD
2018-04-16,0.1998,0.215,0.1642,0.1904,128990,USD
2018-04-17,0.1904,0.2102,0.1808,0.2047,39343,USD
2018-04-18,0.2047,0.2172,0.1942,0.196,21341,USD
2018-04-19,0.196,0.2668,0.196,0.2226,382721,USD
2018-04-20,0.2226,0.2226,0.1958,0.2016,97583,USD
2018-04-21,0.2016,0.2212,0.182,0.19,583156,USD
2018-04-22,0.19,0.225,0.19,0.1967,342389,USD
2018-04-23,0.1967,0.2346,0.192,0.192,167372,USD
2018-04-24,0.192,0.2013,0.192,0.2,118399,USD
2018-04-25,0.2,0.2186,0.1801,0.1801,170337,USD
2018-04-26,0.1801,0.1931,0.1801,0.1931,55245,USD
2018-04-27,0.1931,0.1966,0.1874,0.1878,97439,USD
2018-04-28,0.1878,0.1985,0.1847,0.1985,89938,USD
2018-04-29,0.1985,0.207,0.182,0.1887,147136,USD
2018-04-30,0.1887,0.2195,0.1885,0.2108,534732,USD
2018-05-01,0.2108,0.2388,0.1884,0.2287,318587,USD
2018-05-02,0.2287,0.2287,0.206,0.2084,178822,USD
2018-05-03,0.2084,0.2202,0.2019,0.2162,90877,USD
2018-05-04,0.2162,0.2201,0.2091,0.2091,167627,USD
2018-05-05,0.2091,0.288,0.2008,0.2008,270901,USD
2018-05-06,0.2003,0.2388,0.1828,0.2282,412644,USD
2018-05-07,0.2282,0.28,0.203,0.2143,527762,USD
2018-05-08,0.2152,0.2152,0.1856,0.1992,472363,USD
2018-05-09,0.1988,0.2034,0.1812,0.1939,104060,USD
2018-05-10,0.1939,0.2222,0.1856,0.1856,212161,USD
2018-05-11,0.1856,0.1885,0.155,0.155,120714,USD
2018-05-12,0.155,0.1663,0.1452,0.1617,78320,USD
2018-05-13,0.1624,0.183,0.1564,0.171,164683,USD
2018-05-14,0.171,0.1714,0.1536,0.1688,58015,USD
2018-05-15,0.1688,0.1826,0.1618,0.173,88691,USD
2018-05-16,0.173,0.173,0.114,0.1491,191023,USD
2018-05-17,0.1491,0.1612,0.1231,0.1421,118805,USD
2018-05-18,0.1421,0.1447,0.1146,0.1394,58253,USD
2018-05-19,0.1394,0.1517,0.131,0.138,175042,USD
2018-05-20,0.138,0.1602,0.137,0.1446,65894,USD
2018-05-21,0.1446,0.1494,0.135,0.135,75905,USD
2018-05-22,0.135,0.135,0.1252,0.126,18511,USD
2018-05-23,0.1221,0.1221,0.11,0.1112,123181,USD
2018-05-24,0.1112,0.1186,0.1112,0.1186,1570,USD
2018-05-25,0.1193,0.12,0.111,0.1113,15043,USD
2018-05-26,0.1113,0.1155,0.1113,0.1113,4420,USD
2018-05-27,0.1112,0.1112,0.1,0.1074,38387,USD
2018-05-28,0.1074,0.1117,0.1,0.1,132520,USD
2018-05-29,0.1,0.1111,0.092,0.1111,23558,USD
2018-05-30,0.1128,0.1129,0.1076,0.11,27476,USD
2018-05-31,0.1095,0.1434,0.1091,0.1104,194550,USD
2018-06-01,0.1115,0.129,0.0933,0.1162,99205,USD
2018-06-02,0.1162,0.1198,0.1159,0.1185,37718,USD
2018-06-03,0.1194,0.1194,0.1114,0.1114,50938,USD
2018-06-04,0.1114,0.1194,0.1,0.1093,46433,USD
2018-06-05,0.1096,0.119,0.1034,0.1112,12947,USD
2018-06-06,0.1112,0.1112,0.0861,0.1069,142274,USD
2018-06-07,0.1083,0.1083,0.1031,0.1058,16182,USD
2018-06-08,0.1058,0.1058,0.0987,0.103,2570,USD
2018-06-09,0.1004,0.1004,0.0861,0.0971,42805,USD
2018-06-10,0.0987,0.0987,0.0601,0.0813,147445,USD
2018-06-11,0.0813,0.0817,0.0731,0.0813,33782,USD
2018-06-12,0.0817,0.097,0.0622,0.0726,65258,USD
2018-06-13,0.0726,0.0726,0.0626,0.0675,72453,USD
2018-06-14,0.0709,0.0824,0.0659,0.0824,140814,USD
2018-06-15,0.0814,0.0814,0.05667,0.0755,23651,USD
2018-06-16,0.0755,0.0755,0.0735,0.0735,16792,USD
2018-06-17,0.0703,0.0704,0.0662,0.0662,6301,USD
2018-06-18,0.08,0.08,0.0661,0.0712,195897,USD
2018-06-19,0.0712,0.0732,0.0709,0.073,43705,USD
2018-06-20,0.073,0.0743,0.0696,0.0734,44698,USD
2018-06-21,0.0763,0.0863,0.0708,0.081,61536,USD
2018-06-22,0.0826,0.0853,0.0689,0.0712,65244,USD
2018-06-23,0.0712,0.0712,0.0625,0.0677,64667,USD
2018-06-24,0.068,0.0748,0.0616,0.0667,99925,USD
2018-06-25,0.0667,0.0696,0.0625,0.0662,77507,USD
2018-06-26,0.0662,0.0662,0.06512,0.065292,0,USD
2018-06-27,0.06522,0.0678,0.0581,0.0581,6096,USD
2018-06-28,0.0611,0.0611,0.0586,0.0586,11517,USD
2018-06-29,0.0586,0.0586,0.0558,0.0562,6377,USD
2018-06-30,0.0562,0.0635,0.0541,0.0613,10893,USD
2018-07-01,0.0613,0.0613,0.055,0.0598,38682,USD
2018-07-02,0.0604,0.0639,0.058,0.0638,62616,USD
2018-07-03,0.0638,0.0695,0.0638,0.0694,33942,USD
2018-07-04,0.0694,0.0694,0.0624,0.0676,30957,USD
2018-07-05,0.0676,0.079,0.063,0.0677,40826,USD
2018-07-06,0.0677,0.0677,0.0667,0.0668,2923,USD
2018-07-07,0.0668,0.0714,0.055,0.055,47671,USD
2018-07-08,0.055,0.0724,0.055,0.072,140508,USD
2018-07-09,0.072,0.1,0.0569,0.0872,195870,USD
2018-07-10,0.0872,0.1048,0.0682,0.0682,617411,USD
2018-07-11,0.0682,0.08,0.055,0.08,177399,USD
2018-07-12,0.08,0.0947,0.0683,0.0686,169078,USD
2018-07-13,0.0686,0.0906,0.0686,0.0727,49780,USD
2018-07-14,0.0727,0.0807,0.0727,0.0755,55885,USD
2018-07-15,0.0755,0.0767,0.074,0.0767,35627,USD
2018-07-16,0.0767,0.0767,0.075146,0.0758,4066,USD
2018-07-17,0.0758,0.0775,0.0726,0.0772,16171,USD
2018-07-18,0.0772,0.0793,0.0746,0.0773,8870,USD
2018-07-19,0.0773,0.0815,0.0701,0.0701,54331,USD
2018-07-20,0.0701,0.074,0.0701,0.0713,4570,USD
2018-07-21,0.0713,0.0716,0.0703,0.0716,22902,USD
2018-07-22,0.0716,0.0801,0.0645,0.066,11517,USD
2018-07-23,0.066,0.066,0.0613,0.0632,20217,USD
2018-07-24,0.0632,0.0632,0.06,0.06,20489,USD
2018-07-25,0.06,0.0687,0.0599,0.0687,107478,USD
2018-07-26,0.0687,0.0688,0.0623,0.0688,35619,USD
2018-07-27,0.0688,0.0688,0.061,0.0619,7187,USD
2018-07-28,0.0619,0.0619,0.0619,0.0619,0,USD
2018-07-29,0.0619,0.0619,0.0561,0.0561,10,USD
2018-07-30,0.0561,0.0581,0.0552,0.0552,1138,USD
2018-07-31,0.0552,0.056607,0.0425,0.051,18209,USD
2018-08-01,0.051,0.051,0.05,0.05,20047,USD
2018-08-02,0.05,0.051885,0.0492,0.0492,199,USD
2018-08-03,0.0492,0.051,0.0492,0.0492,11837,USD
2018-08-04,0.0492,0.0492,0.0395,0.0395,7390,USD
2018-08-05,0.0395,0.043986,0.0395,0.043696,0,USD
2018-08-06,0.043696,0.044908,0.043325,0.04483,0,USD
2018-08-07,0.04483,0.0634,0.043782,0.0634,42,USD
2018-08-08,0.0634,0.0634,0.05154,0.051962,0,USD
