Date,Open,High,Low,Close,Volume,Currency
2018-02-26,0.3456,0.3726,0.3189,0.3458,0,USD
2018-02-27,0.3471,0.3486,0.3158,0.3339,0,USD
2018-02-28,0.3322,0.3401,0.2825,0.2834,0,USD
2018-03-01,0.2891,0.3095,0.2977,0.3064,0,USD
2018-03-02,0.3059,0.3098,0.2823,0.2833,0,USD
2018-03-03,0.2874,0.3125,0.2981,0.3044,0,USD
2018-03-04,0.3039,0.3314,0.2932,0.3314,0,USD
2018-03-05,0.3273,0.3273,0.2947,0.2949,0,USD
2018-03-06,0.2987,0.2991,0.2692,0.2692,0,USD
2018-03-07,0.2796,0.2853,0.1935,0.2297,0,USD
2018-03-08,0.2299,0.2482,0.1979,0.2053,0,USD
2018-03-09,0.2054,0.2238,0.1492,0.182,0,USD
2018-03-10,0.1817,0.2226,0.1752,0.1819,0,USD
2018-03-11,0.1819,0.2432,0.1685,0.2012,0,USD
2018-03-12,0.2014,0.2207,0.1815,0.1833,0,USD
2018-03-13,0.1836,0.2078,0.1591,0.1923,0,USD
2018-03-14,0.1924,0.2065,0.1419,0.1504,0,USD
2018-03-15,0.1505,0.1995,0.1232,0.1405,0,USD
2018-03-16,0.1403,0.1505,0.1226,0.1419,0,USD
2018-03-17,0.1405,0.154,0.1142,0.1297,0,USD
2018-03-18,0.1294,0.1633,0.0909,0.1166,0,USD
2018-03-19,0.1167,0.1519,0.1083,0.1353,0,USD
2018-03-20,0.1347,0.1709,0.1256,0.1536,0,USD
2018-03-21,0.1539,0.1905,0.1446,0.1739,0,USD
2018-03-22,0.1741,0.1847,0.1417,0.1697,0,USD
2018-03-23,0.1693,0.1852,0.1454,0.1633,0,USD
2018-03-24,0.1638,0.1888,0.1582,0.1706,0,USD
2018-03-25,0.1707,0.1796,0.1665,0.173,0,USD
2018-03-26,0.1729,0.1838,0.1404,0.1608,0,USD
2018-03-27,0.1612,0.1687,0.1321,0.1383,0,USD
2018-03-28,0.138,0.1671,0.1306,0.16,0,USD
2018-03-29,0.1601,0.1796,0.1267,0.1411,0,USD
2018-03-30,0.1411,0.1533,0.1257,0.1413,0,USD
2018-03-31,0.1411,0.1525,0.1195,0.1383,0,USD
2018-04-01,0.1383,0.1491,0.1215,0.1312,0,USD
2018-04-02,0.1313,0.1519,0.1255,0.1379,0,USD
2018-04-03,0.1379,0.1798,0.1255,0.1642,0,USD
2018-04-04,0.1644,0.1698,0.1462,0.1542,0,USD
2018-04-05,0.154,0.1586,0.1463,0.1541,0,USD
2018-04-06,0.1544,0.1609,0.1459,0.1512,0,USD
2018-04-07,0.1511,0.1698,0.1442,0.1644,0,USD
2018-04-08,0.1642,0.1751,0.1575,0.1669,0,USD
2018-04-09,0.1669,0.1856,0.1514,0.1601,0,USD
2018-04-10,0.1604,0.1823,0.1522,0.1757,0,USD
2018-04-11,0.1757,0.1854,0.17,0.1785,0,USD
2018-04-12,0.1784,0.2453,0.1528,0.2048,0,USD
2018-04-13,0.2047,0.2347,0.1871,0.2148,0,USD
2018-04-14,0.2151,0.2403,0.1983,0.2219,0,USD
2018-04-15,0.2216,0.2746,0.2042,0.2489,0,USD
2018-04-16,0.2493,0.2617,0.2311,0.2491,0,USD
2018-04-17,0.249,0.2909,0.245,0.2847,0,USD
2018-04-18,0.2844,0.3681,0.2591,0.3258,0,USD
2018-04-19,0.3257,0.4306,0.3004,0.3866,0,USD
2018-04-20,0.3865,0.4489,0.3393,0.3851,0,USD
2018-04-21,0.3855,0.4063,0.3083,0.3373,0,USD
2018-04-22,0.3375,0.3747,0.3034,0.3302,0,USD
2018-04-23,0.3303,0.3491,0.3171,0.3371,0,USD
2018-04-24,0.337,0.4321,0.3049,0.3933,0,USD
2018-04-25,0.3935,0.4199,0.2993,0.3206,0,USD
2018-04-26,0.3197,0.3709,0.2973,0.3362,0,USD
2018-04-27,0.3357,0.3757,0.3291,0.3532,0,USD
2018-04-28,0.3528,0.3985,0.3267,0.37,0,USD
2018-04-29,0.3694,0.3909,0.3418,0.3568,0,USD
2018-04-30,0.0262,0.3693,0.0255,0.3452,239861,USD
2018-05-01,0.3452,0.3508,0.3239,0.3452,123020,USD
2018-05-02,0.3452,0.6935,0.3386,0.3817,515784,USD
2018-05-03,0.3817,0.4643,0.3528,0.4231,1108991,USD
2018-05-04,0.4105,0.4245,0.3698,0.3903,262291,USD
2018-05-05,0.3903,0.4078,0.3814,0.3934,149500,USD
2018-05-06,0.3934,0.3941,0.3564,0.3767,151167,USD
2018-05-07,0.3767,0.3774,0.3281,0.349,214713,USD
2018-05-08,0.3538,0.3539,0.3295,0.3392,153343,USD
2018-05-09,0.3392,0.3406,0.3127,0.3204,120465,USD
2018-05-10,0.3204,0.3357,0.3005,0.3005,127549,USD
2018-05-11,0.3005,0.305,0.2257,0.2599,407550,USD
2018-05-12,0.2599,0.2648,0.2327,0.2457,129481,USD
2018-05-13,0.2486,0.2981,0.2401,0.2782,170417,USD
2018-05-14,0.2782,0.2998,0.2409,0.2703,210301,USD
2018-05-15,0.2786,0.3,0.2704,0.2793,171012,USD
2018-05-16,0.2793,0.3303,0.2601,0.2748,716247,USD
2018-05-17,0.2748,0.2938,0.2311,0.2673,453195,USD
2018-05-18,0.2511,0.2598,0.2322,0.2577,144124,USD
2018-05-19,0.2577,0.2621,0.2503,0.2521,37589,USD
2018-05-20,0.2521,0.287,0.2509,0.2585,70568,USD
2018-05-21,0.2585,0.2728,0.2367,0.2367,84654,USD
2018-05-22,0.2367,0.2451,0.2102,0.2107,205214,USD
2018-05-23,0.2103,0.2174,0.18,0.1929,532222,USD
