Date,Open,High,Low,Close,Volume,Currency
2019-07-22,0.224606,0.233994,0.213225,0.229601,30665120,USD
2019-07-23,0.229601,0.251276,0.222818,0.244592,28147898,USD
2019-07-24,0.244891,0.256589,0.236911,0.247308,30592912,USD
2019-07-25,0.247308,0.249903,0.242378,0.244434,32514904,USD
2019-07-26,0.244434,0.249729,0.234672,0.246054,28821592,USD
2019-07-27,0.246054,0.258831,0.219739,0.246218,33150812,USD
2019-07-28,0.246218,0.269811,0.245621,0.267927,28892784,USD
2019-07-29,0.267927,0.313328,0.252072,0.259727,22721314,USD
2019-07-30,0.259727,0.289687,0.251757,0.262799,26683220,USD
2019-07-31,0.262799,0.282728,0.220335,0.243902,26320392,USD
2019-08-01,0.244101,0.251889,0.214325,0.236412,25442348,USD
2019-08-02,0.237008,0.237008,0.214241,0.224091,29957784,USD
2019-08-03,0.224091,0.229277,0.214422,0.220117,28205472,USD
2019-08-04,0.219821,0.233572,0.207678,0.224919,25035772,USD
2019-08-05,0.224919,0.236057,0.215223,0.221252,22872848,USD
2019-08-06,0.221252,0.221946,0.210021,0.215186,33236732,USD
2019-08-07,0.215186,0.221833,0.200748,0.212427,31497696,USD
2019-08-08,0.212229,0.244841,0.204502,0.235657,35015648,USD
2019-08-09,0.235657,0.237926,0.218536,0.222017,30720182,USD
2019-08-10,0.221682,0.237604,0.217063,0.227863,31529738,USD
2019-08-11,0.227863,0.231756,0.220566,0.224777,27262998,USD
2019-08-12,0.224777,0.229572,0.220372,0.223642,25736216,USD
2019-08-13,0.223642,0.224242,0.211361,0.218969,35144256,USD
2019-08-14,0.218969,0.21995,0.190763,0.192608,37630436,USD
2019-08-15,0.192608,0.208153,0.18986,0.204634,32516768,USD
2019-08-16,0.204634,0.213911,0.197757,0.202588,34213832,USD
2019-08-17,0.202246,0.207393,0.200338,0.205002,25339436,USD
2019-08-18,0.205002,0.205926,0.189135,0.203762,28155278,USD
2019-08-19,0.203776,0.204429,0.194197,0.199943,33720832,USD
2019-08-20,0.199481,0.199657,0.189749,0.197333,32345176,USD
2019-08-21,0.197333,0.198949,0.178701,0.182961,35165640,USD
2019-08-22,0.182959,0.190133,0.175341,0.183754,45450140,USD
2019-08-23,0.183754,0.195742,0.179734,0.190667,30821732,USD
2019-08-24,0.190667,0.192695,0.183514,0.188322,37316736,USD
2019-08-25,0.187576,0.190773,0.180578,0.185719,30095402,USD
2019-08-26,0.185719,0.193657,0.179112,0.190759,37767044,USD
2019-08-27,0.190759,0.243217,0.179281,0.187645,28906978,USD
2019-08-28,0.188164,0.189461,0.173437,0.176314,31217394,USD
2019-08-29,0.176314,0.178191,0.151105,0.157894,23587972,USD
2019-08-30,0.157628,0.164484,0.154058,0.157913,30999792,USD
2019-08-31,0.157913,0.160317,0.125149,0.146924,30429158,USD
2019-09-01,0.146924,0.148799,0.123998,0.140861,29601430,USD
2019-09-02,0.140861,0.149196,0.13448,0.140601,17122238,USD
2019-09-03,0.140601,0.163143,0.140559,0.160047,8313399,USD
2019-09-04,0.159996,0.160141,0.145969,0.153494,5950407,USD
2019-09-05,0.153494,0.162425,0.149662,0.161762,5551815,USD
2019-09-06,0.162329,0.162346,0.152055,0.155888,6863654,USD
2019-09-07,0.155888,0.157225,0.143465,0.149315,7996580,USD
2019-09-08,0.149315,0.156291,0.146177,0.15271,5542023,USD
2019-09-09,0.15271,0.15353,0.144418,0.147416,7579882,USD
2019-09-10,0.147415,0.149633,0.139311,0.142304,5965012,USD
2019-09-11,0.142106,0.145309,0.137775,0.140231,6266442,USD
2019-09-12,0.140231,0.14207,0.132753,0.137877,4689212,USD
2019-09-13,0.137877,0.13858,0.132078,0.134795,3590664,USD
2019-09-14,0.134868,0.137483,0.128245,0.13157,5064606,USD
2019-09-15,0.131809,0.134269,0.125072,0.12981,4504666,USD
2019-09-16,0.12981,0.129927,0.124611,0.127156,2649925,USD
2019-09-17,0.127156,0.129501,0.122351,0.12881,2634904,USD
2019-09-18,0.12881,0.12881,0.12264,0.1247,2819334,USD
2019-09-19,0.1247,0.126195,0.114523,0.117486,4612980,USD
2019-09-20,0.117486,0.122612,0.114283,0.117699,3319418,USD
2019-09-21,0.117699,0.119533,0.115471,0.11765,1712156,USD
2019-09-22,0.11765,0.121833,0.114418,0.1213,2578220,USD
2019-09-23,0.1213,0.129356,0.118338,0.119029,8757754,USD
2019-09-24,0.11904,0.119128,0.084138,0.084691,7756784,USD
2019-09-25,0.084691,0.0918,0.072571,0.080236,8129621,USD
2019-09-26,0.080236,0.088351,0.078182,0.081137,4147116,USD
2019-09-27,0.081137,0.083126,0.078698,0.081659,2258838,USD
2019-09-28,0.081659,0.082817,0.079815,0.081074,1701461,USD
2019-09-29,0.081155,0.082031,0.079037,0.080305,2041785,USD
2019-09-30,0.080305,0.082884,0.079062,0.082232,2264858,USD
2019-10-01,0.082232,0.084238,0.080502,0.081053,2470800,USD
2019-10-02,0.081053,0.082017,0.08024,0.080896,1565758,USD
2019-10-03,0.080896,0.082265,0.080475,0.081364,1673908,USD
2019-10-04,0.081364,0.081838,0.080084,0.081317,1370964,USD
2019-10-05,0.081319,0.082018,0.080176,0.081186,1641673,USD
2019-10-06,0.080998,0.081192,0.076414,0.078375,2303293,USD
2019-10-07,0.078375,0.078411,0.073574,0.076818,2386011,USD
2019-10-08,0.076818,0.079474,0.07486,0.077232,2441578,USD
2019-10-09,0.077232,0.08132,0.076524,0.08025,2109557,USD
2019-10-10,0.08025,0.081394,0.076127,0.077812,2509270,USD
2019-10-11,0.077731,0.084144,0.076204,0.076422,2602495,USD
2019-10-12,0.076422,0.078913,0.075999,0.076711,1614408,USD
2019-10-13,0.076711,0.077145,0.075577,0.075975,1336430,USD
2019-10-14,0.075975,0.081171,0.075012,0.076792,3898178,USD
2019-10-15,0.076792,0.077903,0.073491,0.073979,2522317,USD
2019-10-16,0.073979,0.075179,0.067757,0.069592,5640358,USD
2019-10-17,0.069592,0.069778,0.065681,0.068535,2478043,USD
2019-10-18,0.068463,0.068749,0.06363,0.063977,1613799,USD
2019-10-19,0.063977,0.067391,0.060555,0.062556,2913344,USD
2019-10-20,0.062556,0.062578,0.060322,0.061785,1854627,USD
2019-10-21,0.061825,0.063263,0.060621,0.060917,2524401,USD
2019-10-22,0.060917,0.062603,0.057531,0.057939,3273800,USD
2019-10-23,0.057939,0.057939,0.049058,0.053206,5649874,USD
2019-10-24,0.053206,0.053335,0.049905,0.050973,2418966,USD
2019-10-25,0.050912,0.108895,0.050355,0.093236,7805580,USD
2019-10-26,0.093236,0.093808,0.065767,0.066608,35108440,USD
2019-10-27,0.066608,0.092794,0.064113,0.069578,21366192,USD
2019-10-28,0.069578,0.074557,0.067132,0.068078,8400302,USD
2019-10-29,0.068078,0.07354,0.066756,0.068644,6908506,USD
2019-10-30,0.068644,0.072869,0.066831,0.067591,5408840,USD
2019-10-31,0.067591,0.069317,0.06488,0.067273,3793766,USD
2019-11-01,0.067273,0.068759,0.06476,0.067834,3905260,USD
2019-11-02,0.067834,0.070354,0.066451,0.068387,4923011,USD
2019-11-03,0.068386,0.068705,0.066432,0.068061,2301779,USD
2019-11-04,0.068061,0.072983,0.066468,0.071112,6044591,USD
2019-11-05,0.071112,0.071196,0.069067,0.069699,3139215,USD
2019-11-06,0.069699,0.072296,0.069577,0.070624,5076374,USD
2019-11-07,0.070624,0.08187,0.069931,0.075711,14174297,USD
2019-11-08,0.075711,0.077297,0.071137,0.071343,3974015,USD
2019-11-09,0.071342,0.07395,0.069947,0.073671,3051962,USD
2019-11-10,0.073671,0.081691,0.073571,0.07903,4628624,USD
2019-11-11,0.07903,0.092279,0.078933,0.090484,16611227,USD
2019-11-12,0.090484,0.093174,0.078118,0.081597,17799644,USD
2019-11-13,0.081597,0.084975,0.079303,0.080819,5491141,USD
2019-11-14,0.080819,0.080915,0.075867,0.076442,5445890,USD
2019-11-15,0.076442,0.079267,0.072172,0.072418,4586456,USD
2019-11-16,0.072425,0.077045,0.070565,0.076857,4226882,USD
2019-11-17,0.076766,0.077264,0.07433,0.075978,2606690,USD
2019-11-18,0.075978,0.077116,0.069785,0.070008,3792283,USD
2019-11-19,0.070008,0.070035,0.064585,0.066763,4643597,USD
2019-11-20,0.066763,0.067979,0.066284,0.06766,1683106,USD
2019-11-21,0.06766,0.070922,0.062523,0.06482,3639849,USD
2019-11-22,0.06482,0.065202,0.049849,0.0564,6497364,USD
2019-11-23,0.0564,0.057252,0.052975,0.054907,4097717,USD
2019-11-24,0.054907,0.055321,0.049869,0.050004,2460175,USD
2019-11-25,0.050004,0.051542,0.043257,0.049794,5540188,USD
2019-11-26,0.049794,0.053257,0.048044,0.049403,4307581,USD
2019-11-27,0.049403,0.052872,0.046397,0.051683,5376895,USD
2019-11-28,0.051683,0.057044,0.050634,0.053896,3549271,USD
2019-11-29,0.053896,0.059961,0.052576,0.056439,5512829,USD
2019-11-30,0.056439,0.058808,0.052634,0.054127,4944110,USD
2019-12-01,0.054127,0.054593,0.04999,0.051495,6075061,USD
2019-12-02,0.051495,0.053235,0.050002,0.05122,2556888,USD
2019-12-03,0.05122,0.052474,0.050201,0.051126,2688375,USD
2019-12-04,0.051126,0.053661,0.049753,0.050843,2977899,USD
2019-12-05,0.050843,0.052203,0.050121,0.050344,2310394,USD
