Date,Open,High,Low,Close,Volume,Currency
2020-08-16,0.078096,0.093204,0.077672,0.079143,34563392,USD
2020-08-23,0.079997,0.086169,0.075002,0.078906,36576984,USD
2020-08-30,0.078608,0.085109,0.071017,0.076025,33869128,USD
2020-09-06,0.076025,0.107804,0.075626,0.106283,26548244,USD
2020-09-13,0.106284,0.106284,0.078329,0.081133,34367976,USD
2020-09-20,0.081156,0.083609,0.075041,0.076201,41077660,USD
2020-09-27,0.076201,0.077017,0.074199,0.075381,31880602,USD
2020-10-04,0.07538,0.07538,0.070328,0.072178,36486732,USD
2020-10-11,0.072179,0.072179,0.062476,0.063548,39005760,USD
2020-10-18,0.063548,0.067258,0.06333,0.066824,29527324,USD
2020-10-25,0.066824,0.066824,0.043051,0.04556,52315928,USD
2020-11-01,0.04556,0.049163,0.039517,0.042653,47869212,USD
2020-11-08,0.042653,0.042653,0.036255,0.037571,49868104,USD
2020-11-15,0.037571,0.043187,0.036425,0.043187,55379064,USD
2020-11-22,0.043187,0.047651,0.038243,0.041394,47187768,USD
2020-11-29,0.042065,0.044559,0.041146,0.041146,49992972,USD
2020-12-06,0.041138,0.041806,0.03795,0.039791,55748816,USD
2020-12-13,0.039791,0.045789,0.039132,0.045789,53096140,USD
2020-12-20,0.045789,0.045789,0.037358,0.042022,37129512,USD
2020-12-27,0.042022,0.042022,0.038349,0.039366,32368688,USD
2021-01-03,0.039515,0.046852,0.039515,0.046603,20177476,USD
2021-01-10,0.046361,0.047116,0.039775,0.041843,14502856,USD
2021-01-17,0.0416,0.042545,0.03852,0.041039,16668241,USD
2021-01-24,0.041039,0.041137,0.035183,0.036817,19535780,USD
2021-01-31,0.036817,0.049488,0.036817,0.049488,20098510,USD
2021-02-07,0.049504,0.049547,0.045214,0.049547,21626748,USD
2021-02-14,0.049532,0.049532,0.044004,0.045228,24856532,USD
2021-02-21,0.045213,0.046781,0.03756,0.039582,21538576,USD
2021-02-28,0.039582,0.047846,0.038194,0.047846,18697672,USD
2021-03-07,0.047846,0.057771,0.044804,0.057256,20518412,USD
2021-03-14,0.057256,0.074756,0.057256,0.069423,18925396,USD
2021-03-21,0.069423,0.1616,0.06855,0.123499,13143721,USD
2021-03-28,0.123429,0.1691,0.105696,0.105696,59064076,USD
2021-04-04,0.105696,0.207998,0.105696,0.14135,24673056,USD
2021-04-11,0.14135,0.156079,0.133762,0.134668,9229401,USD
2021-04-18,0.134668,0.135282,0.112982,0.119108,6533781,USD
2021-04-25,0.119108,0.127455,0.11718,0.12508,3653734,USD
2021-05-02,0.12508,0.147853,0.121771,0.146481,5115503,USD
2021-05-09,0.146481,0.181393,0.139522,0.139522,5371699,USD
2021-05-16,0.139522,0.141304,0.104511,0.106653,2885052,USD
2021-05-23,0.106653,0.131001,0.102418,0.119117,2848567,USD
2021-05-30,0.119117,0.137247,0.054217,0.085369,73992504,USD
2021-06-06,0.085332,0.088,0.077343,0.07808,12298998,USD
2021-06-13,0.07808,0.079398,0.071932,0.071932,2835275,USD
2021-06-20,0.071932,0.0724,0.064993,0.066013,1002044,USD
2021-06-27,0.066013,0.070315,0.0653,0.068469,477200,USD
2021-07-04,0.070324,0.070324,0.066128,0.066544,303218,USD
2021-07-11,0.066544,0.068434,0.0604,0.066635,720397,USD
2021-07-18,0.066635,0.069755,0.064222,0.069755,404653,USD
2021-07-25,0.07295,0.079004,0.07159,0.077707,629341,USD
2021-08-01,0.077707,0.086932,0.074606,0.085769,1772916,USD
2021-08-08,0.085769,0.106,0.084191,0.097058,1272030,USD
2021-08-15,0.097058,0.166766,0.097,0.130997,6573498,USD
2021-08-22,0.130997,0.133599,0.111381,0.114939,1194603,USD
2021-08-29,0.114939,0.124768,0.109,0.12256,3445091,USD
2021-09-05,0.12256,0.123439,0.0905,0.09763,3227334,USD
2021-09-12,0.09763,0.109,0.094044,0.1023,823064,USD
2021-09-19,0.1023,0.108112,0.090742,0.09819,1301444,USD
2021-09-26,0.09819,0.121744,0.093913,0.118142,911279,USD
2021-10-03,0.118142,0.124996,0.112962,0.119575,649436,USD
2021-10-10,0.119575,0.138086,0.114,0.1286,744871,USD
2021-10-17,0.1286,0.142812,0.126043,0.133371,502048,USD
2021-10-24,0.133371,0.1654,0.123001,0.12616,567292,USD
2021-10-31,0.12616,0.133046,0.121301,0.127222,565906,USD
2021-11-07,0.127222,0.142247,0.124682,0.1328,491902,USD
2021-11-14,0.1328,0.145,0.120604,0.14264,1290982,USD
2021-11-21,0.14264,0.166672,0.123381,0.129995,1460928,USD
2021-11-28,0.129995,0.1475,0.114985,0.126488,1988178,USD
2021-12-05,0.126488,0.142499,0.124074,0.12833,1127236,USD
2021-12-12,0.12833,0.219088,0.124333,0.128146,1865201,USD
2021-12-19,0.128146,0.140062,0.126176,0.12944,632096,USD
2021-12-26,0.12944,0.135178,0.118346,0.124826,568980,USD
2022-01-02,0.124826,0.128885,0.11381,0.118369,690273,USD
2022-01-09,0.118369,0.197744,0.1157,0.126921,6468058,USD
2022-01-16,0.126921,0.1499,0.108001,0.112666,4149964,USD
2022-01-23,0.112666,0.125621,0.106,0.119015,428871,USD
2022-01-30,0.119015,0.122624,0.049361,0.0811,17530444,USD
2022-02-06,0.0811,0.096397,0.066,0.069982,6668201,USD
2022-02-13,0.069982,0.07685,0.06777,0.069072,1018892,USD
2022-02-20,0.069072,0.074794,0.059355,0.061036,584495,USD
2022-02-27,0.061036,0.075159,0.054366,0.061632,3615795,USD
2022-03-06,0.061632,0.072,0.059537,0.066,505615,USD
2022-03-13,0.066,0.07106,0.059778,0.062926,531590,USD
2022-03-20,0.062926,0.075032,0.0608,0.061295,625514,USD
2022-03-27,0.061295,0.067703,0.060775,0.063616,269706,USD
