Date,Open,High,Low,Close,Volume,Currency
2019-01-13,0.0285,0.0288,0.0239,0.0244,0,USD
2019-01-20,0.0244,0.0285,0.0228,0.0251,0,USD
2019-01-27,0.0251,0.0261,0.0238,0.0249,0,USD
2019-02-03,0.0249,0.0249,0.0232,0.024,0,USD
2019-02-10,0.024,0.0259,0.0237,0.0248,0,USD
2019-02-17,0.0248,0.0256,0.0239,0.0243,0,USD
2019-02-24,0.0243,0.0255,0.0236,0.0239,0,USD
2019-03-03,0.0239,0.0297,0.0239,0.0263,0,USD
2019-03-10,0.0263,0.0313,0.0259,0.0288,0,USD
2019-03-17,0.0288,0.0341,0.0288,0.0333,0,USD
2019-03-24,0.0333,0.0383,0.0315,0.0342,0,USD
2019-03-31,0.0342,0.039,0.0313,0.0368,0,USD
2019-04-07,0.0368,0.0374,0.0276,0.0302,0,USD
2019-04-14,0.0302,0.0341,0.0266,0.0269,0,USD
2019-04-21,0.0269,0.0274,0.0223,0.0229,0,USD
2019-04-28,0.0229,0.0232,0.0199,0.0201,0,USD
2019-05-05,0.0201,0.0204,0.0176,0.0192,0,USD
2019-05-12,0.0192,0.0228,0.0177,0.0196,0,USD
2019-05-19,0.0196,0.0267,0.0188,0.0248,0,USD
2019-05-26,0.0248,0.0291,0.0207,0.022,0,USD
2019-06-02,0.022,0.023,0.0198,0.0205,0,USD
2019-06-09,0.0205,0.0227,0.0201,0.0217,0,USD
2019-06-16,0.0217,0.0264,0.0214,0.0231,0,USD
2019-06-23,0.0231,0.0241,0.0201,0.0214,0,USD
2019-06-30,0.0214,0.0243,0.0205,0.0221,0,USD
2019-07-07,0.0221,0.0239,0.0205,0.0214,0,USD
2019-07-14,0.0214,0.0218,0.0169,0.0185,0,USD
2019-07-21,0.0185,0.0187,0.0163,0.0165,0,USD
2019-07-28,0.0165,0.0167,0.0149,0.015,0,USD
2019-08-04,0.015,0.0152,0.0129,0.0131,0,USD
2019-08-11,0.0131,0.0135,0.0097,0.0099,0,USD
2019-08-18,0.0099,0.0113,0.0096,0.0107,0,USD
2019-08-25,0.0107,0.0154,0.0095,0.0099,0,USD
2019-09-01,0.0099,0.0104,0.0093,0.0096,0,USD
2019-09-08,0.0096,0.01,0.0086,0.0087,0,USD
2019-09-15,0.0087,0.0095,0.0083,0.0086,0,USD
2019-09-22,0.0086,0.0088,0.0061,0.0069,0,USD
2019-09-29,0.0069,0.0069,0.0054,0.0059,0,USD
2019-10-06,0.0059,0.0062,0.0051,0.0054,0,USD
2019-10-13,0.0054,0.0054,0.0041,0.0043,0,USD
2019-10-20,0.0043,0.0043,0.0031,0.0036,0,USD
2019-10-27,0.0036,0.004,0.0033,0.0037,0,USD
2019-11-03,0.0037,0.0043,0.0033,0.0035,0,USD
2019-11-10,0.0035,0.0045,0.0035,0.0036,0,USD
2019-11-17,0.0036,0.0042,0.0034,0.0036,0,USD
2019-11-24,0.0036,0.0039,0.0035,0.0036,0,USD
2019-12-01,0.0036,0.0047,0.0035,0.004,0,USD
2019-12-08,0.004,0.005,0.0037,0.0048,0,USD
2019-12-15,0.0048,0.0063,0.0039,0.0051,0,USD
2019-12-22,0.0051,0.0067,0.0048,0.0058,0,USD
2019-12-29,0.0058,0.0064,0.0052,0.0058,0,USD
2020-01-05,0.0058,0.006,0.0047,0.0048,0,USD
2020-01-12,0.0048,0.0052,0.0046,0.0048,0,USD
2020-01-19,0.0048,0.0061,0.0047,0.0052,0,USD
2020-01-26,0.0052,0.0064,0.0046,0.0054,0,USD
2020-02-02,0.0054,0.022,0.0054,0.0056,0,USD
2020-02-09,0.0056,0.0114,0.0051,0.0083,0,USD
2020-02-16,0.0083,0.009,0.006,0.0063,0,USD
2020-02-23,0.0063,0.0074,0.0048,0.0052,0,USD
2020-03-01,0.0052,0.0071,0.0049,0.0053,0,USD
2020-03-08,0.0053,0.0058,0.0029,0.0041,0,USD
2020-03-15,0.0041,0.0055,0.0037,0.0045,0,USD
2020-03-22,0.0045,0.0049,0.0039,0.0044,0,USD
2020-03-29,0.0044,0.0054,0.004,0.0043,0,USD
2020-04-05,0.0043,0.0056,0.0042,0.0043,0,USD
2020-04-12,0.0043,0.0046,0.0041,0.0045,0,USD
2020-04-19,0.0045,0.0058,0.0042,0.0051,0,USD
2020-04-26,0.0051,0.0052,0.0043,0.0048,0,USD
2020-05-03,0.0048,0.006,0.0046,0.0048,0,USD
2020-05-10,0.0048,0.0056,0.004,0.005,0,USD
2020-05-17,0.005,0.0056,0.0046,0.0049,0,USD
2020-05-24,0.0049,0.0082,0.0048,0.0057,0,USD
2020-05-31,0.0057,0.0085,0.0053,0.0073,0,USD
2020-06-07,0.0073,0.0139,0.0066,0.0093,0,USD
2020-06-14,0.0093,0.013,0.0081,0.0103,0,USD
2020-06-21,0.0103,0.0109,0.008,0.0082,0,USD
2020-06-28,0.0082,0.0134,0.008,0.0112,0,USD
2020-07-05,0.0112,0.0126,0.0104,0.0118,0,USD
