Date,Open,High,Low,Close,Volume,Currency
2018-02-04,25.95157,29.016,15.59803,26.09251,9186,USD
2018-02-11,26.09251,30.82081,23.5022,30.67267,7508,USD
2018-02-18,30.67267,31.51177,20.87948,23.54025,9201,USD
2018-02-25,23.54025,24.00893,15.0,16.78903,11394,USD
2018-03-04,16.78903,17.69692,9.88258,11.51861,16389,USD
2018-03-11,11.51861,12.49216,7.79442,8.33915,6570,USD
2018-03-18,8.33915,8.64923,6.66492,7.55493,8676,USD
2018-03-25,7.55493,7.95682,5.50144,5.62566,7971,USD
2018-04-01,5.62566,6.03519,4.69147,5.00845,11311,USD
2018-04-08,5.00845,6.26355,4.55108,5.87945,19784,USD
2018-04-15,5.87945,9.5,5.44899,9.0,10714,USD
2018-04-22,9.0,9.89999,6.7,7.12,10827,USD
2018-04-29,7.12,9.2,5.55,7.7115,14829,USD
2018-05-06,7.71035,7.71035,4.51166,4.51272,10600,USD
2018-05-13,4.51272,7.2621,3.11597,3.82932,28661,USD
2018-05-20,3.82932,4.84294,3.28738,3.78125,12587,USD
2018-05-27,3.78063,3.87223,2.75893,2.8739,6375,USD
2018-06-03,2.87773,3.20224,2.77024,2.80466,4580,USD
2018-06-10,2.75492,2.85855,2.05237,2.54541,7903,USD
2018-06-17,2.21456,2.62882,2.00452,2.11333,5863,USD
2018-06-24,2.11332,2.11467,1.56935,1.80896,4716,USD
2018-07-01,1.80896,2.4054,1.72541,2.00666,3030,USD
2018-07-08,2.00666,2.23425,1.51614,1.57811,4474,USD
2018-07-15,1.57811,1.99417,1.55888,1.83537,15793,USD
2018-07-22,1.83537,2.19142,1.76964,1.96272,5492,USD
2018-07-29,1.96272,2.03859,1.49073,1.50206,5836,USD
2018-08-05,1.50206,1.5779,1.47437,1.48953,43431,USD
2018-08-12,1.48953,1.48953,1.12548,1.37755,3853,USD
2018-08-19,1.37755,1.44642,1.15827,1.25249,3780,USD
2018-08-26,1.25249,1.29952,1.04382,1.21192,6208,USD
2018-09-02,1.21192,1.24943,0.9323,0.97751,7599,USD
2018-09-09,0.97751,1.04641,0.77768,0.95418,3212,USD
2018-09-16,0.95418,1.08123,0.84383,0.923,18007,USD
2018-09-23,0.923,0.99,0.82908,0.8875,16849,USD
2018-09-30,0.8875,0.90717,0.72634,0.74945,7946,USD
2018-10-07,0.74945,0.88337,0.69553,0.78,21466,USD
2018-10-14,0.78,0.99916,0.7522,0.80001,30778,USD
2018-10-21,0.80001,0.86839,0.7021,0.73,30053,USD
2018-10-28,0.73,0.77276,0.64419,0.65,12563,USD
2018-11-04,0.65,0.6884,0.57565,0.60199,3645,USD
2018-11-11,0.60199,0.60199,0.46312,0.4694,28598,USD
2018-11-18,0.4694,0.63893,0.37126,0.49077,233476,USD
2018-11-25,0.49077,0.54892,0.3279,0.3669,6028,USD
2018-12-02,0.3669,0.44769,0.25004,0.2883,1559,USD
2018-12-09,0.2883,0.37188,0.21129,0.28177,4778,USD
2018-12-16,0.28177,0.33837,0.1814,0.315,3482,USD
2018-12-23,0.315,0.51279,0.31369,0.3851,8390,USD
2018-12-30,0.3851,0.40466,0.28332,0.40414,3384,USD
2019-01-06,0.40414,0.40414,0.27986,0.32976,7214,USD
2019-01-13,0.32976,0.34292,0.2586,0.2982,1346,USD
2019-01-20,0.2982,0.34,0.2112,0.2501,3303,USD
2019-01-27,0.2501,0.2899,0.2009,0.22,3282,USD
2019-02-03,0.22,0.2594,0.1364,0.213,2874,USD
2019-02-10,0.213,0.3434,0.197,0.28,5144,USD
2019-02-17,0.28,0.30365,0.22004,0.26857,5654,USD
2019-02-24,0.26857,0.27,0.18878,0.24015,2000,USD
2019-03-03,0.24015,0.26982,0.21534,0.22,3195,USD
2019-03-10,0.22,0.28175,0.21319,0.23964,6267,USD
2019-03-17,0.23964,0.32,0.239,0.30368,9294,USD
2019-03-24,0.30368,0.31471,0.27023,0.29562,1720,USD
2019-03-31,0.312,0.43,0.268,0.38217,3981,USD
2019-04-07,0.38217,0.41545,0.35412,0.3776,5385,USD
2019-04-14,0.3776,0.42,0.36755,0.39507,1740,USD
2019-04-21,0.39507,0.55,0.39507,0.46993,2737,USD
2019-04-28,0.46993,0.52156,0.40497,0.49959,3238,USD
2019-05-05,0.49959,0.97916,0.41979,0.8162,22002,USD
2019-05-12,0.8162,1.2,0.65,1.04293,30052,USD
2019-05-19,1.04293,1.04293,0.68,0.86638,15517,USD
2019-05-26,0.86638,1.31744,0.76,1.01113,18940,USD
2019-06-02,1.01113,1.24076,0.8502,0.98541,13038,USD
2019-06-09,0.98541,0.98541,0.80001,0.90794,2010,USD
2019-06-16,0.90794,0.90959,0.7408,0.7408,4264,USD
2019-06-23,0.7408,0.817,0.59074,0.72,6001,USD
2019-06-30,0.72,0.74245,0.25503,0.62531,2227,USD
2019-07-07,0.62531,0.62531,0.30001,0.48062,2494,USD
2019-07-14,0.48062,0.62206,0.25,0.47448,2012,USD
2019-07-21,0.47448,0.47448,0.32465,0.41,1417,USD
2019-07-28,0.41,0.41,0.32996,0.37658,129,USD
2019-08-04,0.37658,0.409,0.27002,0.3428,3208,USD
2019-08-11,0.3428,0.409,0.31005,0.33478,221,USD
2019-08-18,0.33478,0.39,0.3092,0.312,314,USD
2019-08-25,0.312,0.36685,0.23815,0.30878,3375,USD
2019-09-01,0.30878,0.34,0.29136,0.32,630,USD
2019-09-08,0.32,0.32,0.27,0.27,708,USD
2019-09-15,0.27,0.33,0.12005,0.1766,27672,USD
2019-09-22,0.1766,0.25135,0.14018,0.205,5282,USD
2019-09-29,0.205,0.2523,0.17854,0.2403,1759,USD
2019-10-06,0.2403,0.27,0.21826,0.26,691,USD
2019-10-13,0.26,0.26,0.19366,0.19367,1550,USD
2019-10-20,0.19367,0.28,0.16001,0.22,258,USD
2019-10-27,0.22,0.23718,0.205,0.205,1076,USD
2019-11-03,0.205,0.22,0.2,0.205,57,USD
