Date,Open,High,Low,Close,Volume,Currency
2018-03-04,0.149,0.149,0.00432,0.01112,69754,USD
2018-03-11,0.01112,0.06996,0.01112,0.02401,14995,USD
2018-03-18,0.02401,0.078,0.02401,0.02508,8680,USD
2018-03-25,0.02508,0.039858,0.02508,0.02514,1990,USD
2018-04-01,0.02514,0.06999,0.02514,0.02557,3997,USD
2018-04-08,0.02557,0.030545,0.02557,0.02654,1798,USD
2018-04-15,0.02654,0.039,0.02654,0.028,7241,USD
2018-04-22,0.028,0.0585,0.0,0.047,12182,USD
2018-04-29,0.047,0.048,0.0,0.04295,13734,USD
2018-05-06,0.04295,0.0439,0.0,0.03405,124424,USD
2018-05-13,0.03405,0.0435,0.0,0.0378,7448,USD
2018-05-20,0.0378,0.0378,0.0,0.028,48506,USD
2018-05-27,0.028,0.028,0.020275,0.024273,5595,USD
2018-06-03,0.024264,0.0276,0.0204,0.0276,3047,USD
2018-06-10,0.0276,0.0276,0.0,0.015346,39889,USD
2018-06-17,0.015347,0.021144,0.013118,0.013615,0,USD
2018-06-24,0.013626,0.02751,0.0,0.017289,2053,USD
2018-07-01,0.0224,0.022565,0.0064,0.010114,20000,USD
2018-07-08,0.010114,0.0146,0.009479,0.013722,1943,USD
2018-07-15,0.013722,0.0144,0.01,0.0128,110982,USD
2018-07-22,0.0128,0.014,0.011762,0.012793,115717,USD
2018-07-29,0.012793,0.012958,0.006414,0.010089,5018,USD
2018-08-05,0.010089,0.010099,0.006336,0.006414,0,USD
2018-08-12,0.006414,0.007648,0.004992,0.005905,5238,USD
2018-08-19,0.005905,0.014999,0.001498,0.01124,42240,USD
2018-08-26,0.01124,0.012556,0.007305,0.01189,0,USD
2018-09-02,0.01189,0.012094,0.005,0.005,0,USD
2018-09-09,0.005,0.008087,0.004331,0.005835,6573,USD
2018-09-16,0.005835,0.005846,0.003751,0.004502,760,USD
2018-09-23,0.004502,0.005304,0.004235,0.005217,7537,USD
2018-09-30,0.005217,0.0065,0.00501,0.005206,30374,USD
2018-10-07,0.005206,0.005275,0.001898,0.003274,20003,USD
2018-10-14,0.003274,0.004048,0.002075,0.002075,0,USD
2018-10-21,0.002075,0.006521,0.002075,0.00637,28268,USD
2018-10-28,0.00637,0.0065,0.0048,0.00626,20124,USD
2018-11-04,0.00626,0.009428,0.005504,0.006323,0,USD
2018-11-11,0.006323,0.00787,0.004985,0.005345,0,USD
2018-11-18,0.005345,0.005345,0.003882,0.004316,12714,USD
2018-11-25,0.004316,0.004634,0.003303,0.004521,0,USD
2018-12-02,0.004521,0.004577,0.003131,0.004013,0,USD
2018-12-09,0.004013,0.004119,0.001963,0.003394,0,USD
2018-12-16,0.003394,0.003732,0.002041,0.002579,0,USD
2018-12-23,0.002579,0.00377,0.002305,0.002427,0,USD
2018-12-30,0.002427,0.003667,0.002364,0.002445,0,USD
2019-01-06,0.002445,0.004889,0.002292,0.002314,0,USD
2019-01-13,0.002314,0.003579,0.002232,0.002353,0,USD
2019-01-20,0.002353,0.003586,0.002189,0.002271,0,USD
2019-01-27,0.002271,0.003538,0.002139,0.002224,0,USD
2019-02-03,0.002224,0.002371,0.00214,0.002324,0,USD
2019-02-10,0.002324,0.002343,0.002277,0.002298,0,USD
2019-02-17,0.002298,0.002659,0.002293,0.002633,0,USD
2019-02-24,0.002633,0.002676,0.002358,0.002446,0,USD
2019-03-03,0.002446,0.002528,0.002355,0.00251,0,USD
2019-03-10,0.00251,0.002595,0.00243,0.002556,0,USD
2019-03-17,0.002556,0.002591,0.002504,0.002539,0,USD
2019-03-24,0.002539,0.002631,0.002462,0.002603,0,USD
2019-03-31,0.002603,0.003329,0.00258,0.003175,0,USD
2019-04-07,0.003175,0.003426,0.003096,0.003193,0,USD
2019-04-14,0.003193,0.003375,0.003116,0.003338,0,USD
2019-04-21,0.003338,0.003536,0.003174,0.003378,0,USD
2019-04-28,0.003378,0.003851,0.00336,0.003812,0,USD
2019-05-05,0.003812,0.003926,0.001836,0.002189,0,USD
2019-05-12,0.002189,0.004909,0.001901,0.002687,0,USD
2019-05-19,0.002687,0.003732,0.002195,0.002699,0,USD
2019-05-26,0.002699,0.004945,0.002689,0.003418,0,USD
2019-06-02,0.003418,0.003788,0.002143,0.002418,0,USD
2019-06-09,0.002418,0.00376,0.002288,0.002787,0,USD
2019-06-16,0.002787,0.002958,0.00176,0.002098,0,USD
2019-06-23,0.002098,0.002712,0.001333,0.001666,0,USD
2019-06-30,0.001666,0.002127,0.001448,0.001632,0,USD
2019-07-07,0.001632,0.00192,0.001246,0.001309,0,USD
2019-07-14,0.001309,0.001355,0.000974,0.001072,0,USD
2019-07-21,0.001072,0.001081,0.000934,0.000949,0,USD
2019-07-28,0.000949,0.001201,0.000919,0.001081,0,USD
2019-08-04,0.001081,0.001185,0.000774,0.000849,0,USD
2019-08-11,0.000849,0.001093,0.000669,0.000767,0,USD
2019-08-18,0.000767,0.001019,0.000748,0.000964,0,USD
2019-08-25,0.000964,0.001009,0.00071,0.000722,0,USD
2019-09-01,0.000722,0.00086,0.000689,0.000839,0,USD
2019-09-08,0.000839,0.001079,0.000701,0.000727,0,USD
2019-09-15,0.000727,0.00078,0.00069,0.000752,0,USD
2019-09-22,0.000751,0.000758,0.000469,0.000495,0,USD
2019-09-29,0.000495,0.000566,0.000483,0.00049,0,USD
2019-10-06,0.00049,0.000585,0.000392,0.000582,0,USD
2019-10-13,0.000582,0.000649,0.000529,0.000639,0,USD
2019-10-20,0.000639,0.000667,0.00041,0.000557,0,USD
2019-10-27,0.000557,0.000749,0.000543,0.00065,0,USD
2019-11-03,0.00065,0.001381,0.000635,0.001101,0,USD
2019-11-10,0.001101,0.002359,0.00092,0.00123,0,USD
2019-11-17,0.00123,0.001316,0.000956,0.001059,0,USD
2019-11-24,0.001059,0.001108,0.000958,0.00098,0,USD
2019-12-01,0.00098,0.001048,0.000823,0.000824,0,USD
2019-12-08,0.000824,0.000916,0.00065,0.000742,0,USD
2019-12-15,0.000742,0.000886,0.000737,0.000857,0,USD
2019-12-22,0.000857,0.000922,0.00076,0.000841,0,USD
2019-12-29,0.000841,0.000846,0.000568,0.000662,0,USD
2020-01-05,0.000662,0.001219,0.000662,0.000963,0,USD
2020-01-12,0.000963,0.001047,0.000775,0.000981,0,USD
2020-01-19,0.000981,0.00101,0.000818,0.000835,0,USD
2020-01-26,0.000835,0.000958,0.00083,0.000938,0,USD
2020-02-02,0.000938,0.001089,0.000938,0.001089,0,USD
2020-02-09,0.001089,0.002258,0.001069,0.001486,0,USD
2020-02-16,0.001486,0.001995,0.001149,0.001255,0,USD
2020-02-23,0.001255,0.001294,0.000939,0.001024,0,USD
2020-03-01,0.001024,0.001341,0.000973,0.000978,0,USD
2020-03-08,0.000978,0.001245,0.00046,0.000646,0,USD
2020-03-15,0.000646,0.000965,0.00051,0.000805,0,USD
2020-03-22,0.000805,0.001092,0.000654,0.000875,0,USD
2020-03-29,0.000875,0.000877,0.000492,0.00072,0,USD
2020-04-05,0.00072,0.001401,0.000608,0.000619,0,USD
2020-04-12,0.000619,0.000966,0.00061,0.000689,0,USD
2020-04-19,0.000689,0.000724,0.000554,0.000603,0,USD
2020-04-26,0.000603,0.000743,0.000527,0.000628,0,USD
2020-05-03,0.000628,0.000804,0.000578,0.00062,0,USD
2020-05-10,0.00062,0.000695,0.000533,0.00061,0,USD
2020-05-17,0.00061,0.000924,0.000568,0.000826,0,USD
2020-05-24,0.000826,0.000826,0.000634,0.000678,0,USD
2020-05-31,0.000678,0.000779,0.000655,0.000677,0,USD
2020-06-07,0.000677,0.001273,0.00064,0.001089,0,USD
2020-06-14,0.001089,0.001128,0.000705,0.000842,0,USD
2020-06-21,0.000842,0.001263,0.000826,0.001082,0,USD
2020-06-28,0.001082,0.001391,0.000908,0.001096,0,USD
2020-07-05,0.001096,0.001113,0.000875,0.000969,0,USD
2020-07-12,0.000969,0.001113,0.000733,0.000916,0,USD
2020-07-19,0.000916,0.000917,0.00076,0.000824,0,USD
2020-07-26,0.000824,0.001541,0.000793,0.001535,0,USD
2020-08-02,0.001535,0.001576,0.001125,0.001412,0,USD
2020-08-09,0.001412,0.001544,0.001158,0.001245,0,USD
2020-08-16,0.001245,0.001408,0.001162,0.001283,0,USD
2020-08-23,0.001283,0.001408,0.001147,0.001205,0,USD
2020-08-30,0.001205,0.001565,0.001155,0.00132,0,USD
2020-09-06,0.00132,0.001384,0.001077,0.00115,0,USD
2020-09-13,0.00115,0.00127,0.001081,0.001221,0,USD
2020-09-20,0.001221,0.001221,0.001012,0.001076,0,USD
2020-09-27,0.001076,0.0012,0.000949,0.00095,0,USD
2020-10-04,0.00095,0.001371,0.000949,0.001357,0,USD
2020-10-11,0.001357,0.001408,0.001193,0.001251,0,USD
2020-10-18,0.001251,0.00145,0.0012,0.001444,0,USD
2020-10-25,0.001444,0.001469,0.000878,0.001034,0,USD
2020-11-01,0.001034,0.001101,0.000917,0.000965,0,USD
2020-11-08,0.000965,0.001093,0.000705,0.000884,0,USD
2020-11-15,0.000884,0.000922,0.000497,0.000839,0,USD
2020-11-22,0.000839,0.00104,0.00072,0.000798,0,USD
2020-11-29,0.000798,0.000987,0.00074,0.000766,0,USD
2020-12-06,0.000766,0.001514,0.00071,0.00094,0,USD
2020-12-13,0.00094,0.001085,0.000762,0.001073,0,USD
2020-12-20,0.001073,0.001183,0.000904,0.001056,0,USD
2020-12-27,0.001056,0.00113,0.000548,0.000644,0,USD
2021-01-03,0.000644,0.000831,0.000387,0.000602,0,USD
2021-01-10,0.000602,0.002002,0.000172,0.000903,0,USD
2021-01-17,0.000903,0.001127,0.000621,0.000803,0,USD
2021-01-24,0.000803,0.000987,0.000599,0.000687,0,USD
2021-01-31,0.000687,0.002445,0.000645,0.001572,0,USD
2021-02-07,0.001572,0.001785,0.001122,0.001414,0,USD
2021-02-14,0.001414,0.003151,0.001399,0.001678,0,USD
2021-02-21,0.001678,0.003427,0.001354,0.001848,0,USD
2021-02-28,0.001848,0.002183,0.001296,0.001466,0,USD
2021-03-07,0.001466,0.001808,0.000989,0.001225,0,USD
2021-03-14,0.001225,0.0018,0.001068,0.001741,0,USD
2021-03-21,0.001741,0.004247,0.001594,0.003352,0,USD
2021-03-28,0.003352,0.00652,0.002378,0.004561,0,USD
2021-04-04,0.004561,0.007134,0.003474,0.004187,0,USD
2021-04-11,0.004187,0.007186,0.004177,0.005995,0,USD
2021-04-18,0.005995,0.006121,0.004087,0.005015,0,USD
2021-04-25,0.005015,0.005782,0.002619,0.003466,0,USD
2021-05-02,0.003466,0.004159,0.002282,0.002939,0,USD
2021-05-09,0.002939,0.004622,0.001924,0.002809,0,USD
2021-05-16,0.002809,0.003245,0.001195,0.001503,0,USD
2021-05-23,0.001503,0.002496,0.001321,0.002075,0,USD
2021-05-30,0.002075,0.002556,0.001745,0.001777,0,USD
2021-06-06,0.001777,0.003012,0.001773,0.002843,0,USD
2021-06-13,0.002843,0.003264,0.002094,0.003207,0,USD
2021-06-20,0.003207,0.003235,0.001755,0.002578,0,USD
2021-06-27,0.002578,0.003148,0.000995,0.002085,0,USD
2021-07-04,0.002085,0.002158,0.001929,0.00201,0,USD
2021-07-11,0.00201,0.002077,0.001264,0.001575,0,USD
2021-07-18,0.001575,0.001908,0.001106,0.001353,0,USD
2021-07-25,0.001374,0.001691,0.001107,0.00166,0,USD
2021-08-01,0.00166,0.001787,0.001497,0.001783,0,USD
2021-08-08,0.001783,0.002404,0.001712,0.002118,0,USD
2021-08-15,0.002118,0.0024,0.001319,0.001466,0,USD
2021-08-22,0.001466,0.001515,0.001391,0.001466,0,USD
2021-08-29,0.001466,0.002373,0.001401,0.001996,0,USD
2021-09-05,0.001996,0.003109,0.001724,0.001807,0,USD
2021-09-12,0.001807,0.002894,0.001402,0.001931,0,USD
2021-09-19,0.001931,0.003813,0.00161,0.002133,0,USD
2021-09-26,0.002133,0.003872,0.001834,0.003338,0,USD
