Date,Open,High,Low,Close,Volume,Currency
2020-06-21,285.39,294.17,270.0,278.94,73419,USD
2020-06-28,278.94,290.0,267.6,289.91,74980,USD
2020-07-05,289.91,344.59,287.69,344.59,87045,USD
2020-07-12,344.59,373.78,344.59,370.73,107976,USD
2020-07-19,370.73,405.58,370.73,405.58,69124,USD
2020-07-26,405.58,477.57,405.58,477.57,114735,USD
2020-08-02,477.54,477.54,447.01,468.74,99560,USD
2020-08-09,468.74,468.74,443.2,450.15,87833,USD
2020-08-16,450.15,450.15,426.17,426.17,84530,USD
2020-08-23,426.17,426.17,245.19,245.19,158448,USD
2020-08-30,245.19,245.19,114.5,114.5,176259,USD
2020-09-06,114.5,167.5,113.76,167.5,164347,USD
2020-09-13,167.5,190.0,143.05,143.05,159982,USD
2020-09-20,143.05,143.05,107.45,107.45,98441,USD
2020-09-27,107.45,121.83,100.5,108.3,81156,USD
2020-10-04,108.3,108.84,105.69,106.21,107285,USD
2020-10-11,106.21,106.21,96.46,96.46,124903,USD
2020-10-18,96.46,106.91,85.78,85.78,151991,USD
2020-10-25,85.78,85.78,77.68,77.68,94210,USD
2020-11-01,77.68,77.68,61.72,76.42,366523,USD
2020-11-08,76.42,83.86,76.42,82.16,360676,USD
2020-11-15,82.16,97.99,77.96,77.96,442810,USD
2020-11-22,77.96,77.96,68.06,68.66,378943,USD
2020-11-29,68.64,68.64,63.52,63.52,261737,USD
2020-12-06,63.52,64.13,50.65,64.13,439691,USD
2020-12-13,64.12,103.08,64.12,103.08,568070,USD
2020-12-20,103.08,120.1,96.32,120.1,432802,USD
2020-12-27,120.1,143.15,98.06,114.58,426982,USD
2021-01-03,114.58,114.58,84.05,91.96,359591,USD
2021-01-10,91.96,91.96,72.47,72.47,307437,USD
2021-01-17,72.47,73.92,69.98,69.98,241209,USD
2021-01-24,69.98,69.98,63.51,63.89,230935,USD
2021-01-31,63.86,63.86,59.9,62.4,196975,USD
2021-02-07,62.4,62.4,55.18,55.18,249062,USD
2021-02-14,55.18,74.73,55.18,69.04,260419,USD
2021-02-21,69.04,71.6,55.62,55.62,223697,USD
2021-02-28,55.62,60.71,55.62,58.86,100300,USD
2021-03-07,58.86,61.45,55.98,55.98,82919,USD
2021-03-14,55.98,67.42,55.98,57.36,111608,USD
2021-03-21,57.36,58.46,50.73,58.46,52933,USD
2021-03-28,58.46,58.46,52.96,52.96,84540,USD
2021-04-04,52.96,53.65,52.18,52.29,68874,USD
2021-04-11,52.29,52.29,50.5,50.5,52958,USD
2021-04-18,50.5,51.0,45.3,45.3,36347,USD
2021-04-25,45.3,46.0,45.3,45.69,33163,USD
2021-05-02,45.69,45.69,40.0,40.0,34693,USD
2021-05-09,40.0,46.66,38.72,39.11,43905,USD
2021-05-16,39.11,40.5,30.38,30.38,31541,USD
2021-05-23,30.38,31.66,27.4,27.4,18791,USD
2021-05-30,27.4,28.61,27.21,27.41,15025,USD
2021-06-06,27.41,27.41,23.7,23.7,14911,USD
2021-06-13,23.7,29.7,21.11,29.7,33209,USD
2021-06-20,29.7,29.7,20.55,20.55,13887,USD
2021-06-27,20.55,21.88,19.8,20.4,10893,USD
2021-07-04,20.67,20.67,18.32,18.99,36999,USD
2021-07-11,18.99,19.39,17.05,17.98,45915,USD
2021-07-18,17.96,18.42,15.63,18.13,46298,USD
2021-07-25,18.1,19.78,16.0,17.43,52739,USD
2021-08-01,17.43,18.04,15.16,16.53,53571,USD
2021-08-08,16.53,17.18,12.08,12.62,47750,USD
2021-08-15,12.62,18.4,11.25,16.51,57955,USD
2021-08-22,16.51,17.08,12.5,13.24,43115,USD
2021-08-29,13.24,13.44,11.12,11.93,45175,USD
2021-09-05,11.93,12.86,10.0,10.15,44194,USD
2021-09-12,10.15,11.3,9.26,10.76,43940,USD
2021-09-19,10.76,10.89,8.4,8.73,44928,USD
2021-09-26,8.73,14.57,6.2,8.24,52585,USD
2021-10-03,8.24,9.69,7.94,8.55,39659,USD
2021-10-10,8.55,8.75,6.03,7.46,42319,USD
2021-10-17,7.46,8.34,6.73,7.42,33601,USD
2021-10-24,7.42,7.9,6.79,7.83,32873,USD
2021-10-31,7.83,8.6,7.58,8.13,33355,USD
2021-11-07,8.13,9.44,7.74,8.43,31061,USD
2021-11-14,8.43,9.09,7.55,7.94,33562,USD
2021-11-21,7.94,8.22,7.0,7.26,32406,USD
2021-11-28,7.26,7.81,6.04,6.32,34733,USD
2021-12-05,6.32,6.9,5.26,6.35,35465,USD
2021-12-12,6.35,7.19,5.6,6.42,39104,USD
2021-12-19,6.42,6.96,5.73,6.65,32037,USD
2021-12-26,6.65,6.87,5.69,6.11,26807,USD
2022-01-02,6.11,6.37,5.21,5.49,29584,USD
2022-01-09,5.49,6.3,5.0,5.67,27130,USD
2022-01-16,5.67,5.7,4.45,4.56,21448,USD
2022-01-23,4.56,5.09,4.13,4.9,18795,USD
2022-01-30,4.9,5.04,4.61,5.0,10600,USD
2022-02-06,5.0,5.69,4.88,5.4,10020,USD
2022-02-13,5.4,5.76,5.01,5.31,9101,USD
2022-02-20,5.31,6.0,4.41,4.92,12783,USD
2022-02-27,4.92,5.5,4.61,5.1,9228,USD
2022-03-06,5.1,5.12,4.65,4.88,8428,USD
2022-03-13,4.88,5.16,4.51,4.79,4430,USD
2022-03-20,4.79,4.79,4.66,4.78,305,USD
