Date,Open,High,Low,Close,Volume,Currency
2018-03-04,0.1446,0.1482,0.0901,0.1007,9142700,USD
2018-03-11,0.1007,0.1048,0.0837,0.0847,5467126,USD
2018-03-18,0.0847,0.121,0.0695,0.1131,7763214,USD
2018-03-25,0.1131,0.1132,0.0769,0.0814,8022539,USD
2018-04-01,0.0814,0.0875,0.071,0.0745,5214897,USD
2018-04-08,0.0745,0.098,0.07,0.0837,11235430,USD
2018-04-15,0.0837,0.1166,0.0789,0.113,40404884,USD
2018-04-22,0.113,0.15,0.1102,0.1369,41347096,USD
2018-04-29,0.1369,0.3848,0.1369,0.3167,182998128,USD
2018-05-06,0.3186,0.3363,0.2138,0.2643,93735896,USD
2018-05-13,0.273,0.2972,0.2335,0.2447,43707972,USD
2018-05-20,0.2447,0.2642,0.1798,0.2392,43624584,USD
2018-05-27,0.2372,0.2418,0.1918,0.2037,41177848,USD
2018-06-03,0.2037,0.2052,0.1284,0.1449,108154440,USD
2018-06-10,0.147,0.1665,0.1104,0.1349,144737648,USD
2018-06-17,0.1349,0.136,0.099,0.1035,51586352,USD
2018-06-24,0.1038,0.1115,0.0808,0.1033,54188524,USD
2018-07-01,0.1033,0.1096,0.0904,0.0974,45210020,USD
2018-07-08,0.0974,0.0996,0.079,0.0845,108760352,USD
2018-07-15,0.0845,0.0961,0.0797,0.0851,92460872,USD
2018-07-22,0.0851,0.093,0.08,0.0867,43566976,USD
2018-07-29,0.0867,0.0921,0.0667,0.0698,143669600,USD
2018-08-05,0.0698,0.0743,0.0392,0.0408,30232836,USD
2018-08-12,0.0408,0.0437,0.0281,0.0372,36839944,USD
2018-08-19,0.0372,0.0426,0.033,0.0356,39413644,USD
2018-08-26,0.0356,0.042,0.034,0.0409,44379408,USD
2018-09-02,0.0409,0.0565,0.033,0.0345,88638880,USD
2018-09-09,0.0345,0.0427,0.0315,0.0386,159955456,USD
2018-09-16,0.0386,0.0448,0.0361,0.0403,56985356,USD
2018-09-23,0.0403,0.0416,0.0362,0.0401,33531912,USD
2018-09-30,0.0401,0.0475,0.0398,0.0423,53322912,USD
2018-10-07,0.0423,0.0437,0.0325,0.0367,34869516,USD
2018-10-14,0.0367,0.0445,0.0353,0.039,51628704,USD
2018-10-21,0.039,0.04,0.0358,0.0366,44483472,USD
2018-10-28,0.0366,0.0381,0.0338,0.0341,95050496,USD
2018-11-04,0.0341,0.0358,0.0281,0.029,269994432,USD
2018-11-11,0.029,0.0304,0.0171,0.018,376871264,USD
2018-11-18,0.018,0.0231,0.0118,0.0125,413248832,USD
2018-11-25,0.0125,0.013,0.0097,0.0107,168969984,USD
2018-12-02,0.0107,0.0122,0.0072,0.0077,263553872,USD
2018-12-09,0.0077,0.0085,0.0072,0.0075,69743240,USD
2018-12-16,0.0075,0.012,0.0074,0.01,115388696,USD
2018-12-23,0.01,0.0154,0.008,0.0104,282148160,USD
2018-12-30,0.0104,0.0112,0.0092,0.01,74158216,USD
2019-01-06,0.01,0.013,0.0095,0.0103,107327184,USD
2019-01-13,0.0103,0.011,0.0095,0.01,54221544,USD
2019-01-20,0.01,0.012,0.0089,0.0096,117945848,USD
2019-01-27,0.0096,0.0106,0.0091,0.0098,72145560,USD
2019-02-03,0.0098,0.0114,0.0097,0.0102,77225584,USD
2019-02-10,0.0102,0.0105,0.0093,0.0097,75404016,USD
2019-02-17,0.0097,0.0109,0.0096,0.0108,101890696,USD
2019-02-24,0.0107,0.0125,0.0073,0.0079,134117568,USD
2019-03-03,0.0079,0.0083,0.0066,0.0071,1464734,USD
2019-03-10,0.0071,0.0074,0.0065,0.007,1020444,USD
2019-03-17,0.0072,0.009,0.0068,0.0079,2540488,USD
2019-03-24,0.0079,0.0091,0.0074,0.0087,1252355,USD
2019-03-31,0.0087,0.0125,0.0087,0.0125,81310040,USD
2019-04-07,0.0125,0.0168,0.0104,0.0121,316946144,USD
2019-04-14,0.0121,0.0133,0.0115,0.0121,152794096,USD
2019-04-21,0.0121,0.0123,0.0081,0.0087,152213584,USD
2019-04-28,0.0087,0.0095,0.0081,0.0086,270687744,USD
2019-05-05,0.0086,0.0094,0.008,0.0091,164951520,USD
2019-05-12,0.0091,0.0118,0.0082,0.0093,227915600,USD
2019-05-19,0.0093,0.0109,0.0091,0.0102,290459968,USD
2019-05-26,0.0102,0.0147,0.0102,0.0117,365399872,USD
2019-06-02,0.0117,0.012,0.0095,0.0106,209511504,USD
2019-06-09,0.0106,0.0119,0.01,0.0116,213879632,USD
2019-06-16,0.0116,0.0118,0.0105,0.011,171719008,USD
2019-06-23,0.011,0.0119,0.0087,0.0096,288389536,USD
2019-06-30,0.0096,0.0102,0.0088,0.009,228561904,USD
2019-07-07,0.009,0.012,0.0084,0.0089,284625216,USD
2019-07-14,0.0089,0.009,0.0061,0.0078,226858736,USD
2019-07-21,0.0078,0.008,0.0072,0.0073,169170768,USD
2019-07-28,0.0073,0.0081,0.0073,0.0076,136075296,USD
2019-08-04,0.0076,0.0076,0.0065,0.0067,89535216,USD
2019-08-11,0.0067,0.0071,0.005,0.0058,142443936,USD
2019-08-18,0.0058,0.0061,0.0054,0.0057,106759016,USD
2019-08-25,0.0057,0.0083,0.0054,0.0076,247404112,USD
2019-09-01,0.0076,0.0109,0.0062,0.007,236241888,USD
2019-09-08,0.007,0.0083,0.0065,0.0077,65508564,USD
2019-09-15,0.0077,0.0098,0.0073,0.0087,144507632,USD
2019-09-22,0.0087,0.011,0.0055,0.0068,255655536,USD
2019-09-29,0.0068,0.0088,0.0063,0.0064,190444640,USD
2019-10-06,0.0064,0.0066,0.006,0.006,94319776,USD
2019-10-13,0.006,0.0062,0.0054,0.0058,104949568,USD
2019-10-20,0.0058,0.006,0.0048,0.0053,100911800,USD
2019-10-27,0.0053,0.0064,0.005,0.0056,122501056,USD
2019-11-03,0.0056,0.0059,0.0052,0.0055,79108544,USD
2019-11-10,0.0055,0.0059,0.005,0.0053,81691408,USD
2019-11-17,0.0053,0.0053,0.0035,0.0038,92614336,USD
2019-11-24,0.0038,0.0044,0.0031,0.0037,83499752,USD
2019-12-01,0.0037,0.0039,0.0034,0.0035,102375040,USD
2019-12-08,0.0035,0.0045,0.0032,0.0034,219456048,USD
2019-12-15,0.0034,0.0034,0.0026,0.0029,99398440,USD
