Date,Open,High,Low,Close,Volume,Currency
2018-03-04,0.33,0.75,0.26,0.32,9253,USD
2018-03-11,0.32,0.33,0.11,0.33,329,USD
2018-03-18,0.33,0.59,0.21,0.3,2498,USD
2018-03-25,0.3,0.35,0.24,0.35,6590,USD
2018-04-01,0.35,0.39,0.0,0.35,10398,USD
2018-04-08,0.35,0.37,0.33,0.36,11585,USD
2018-04-15,0.36,0.36,0.34,0.35,4003,USD
2018-04-22,0.35,0.35,0.0,0.26,2185,USD
2018-04-29,0.2,0.23,0.0,0.0,233,USD
2018-05-06,0.23,0.52,0.0,0.44,81065,USD
2018-05-13,0.44,0.47,0.0,0.42,50971,USD
2018-05-20,0.42,0.64,0.0,0.42,123298,USD
2018-05-27,0.47,0.48,0.0,0.38,18995,USD
2018-06-03,0.38,0.43,0.0,0.43,74872,USD
2018-06-10,0.38,0.42,0.0,0.4,16478,USD
2018-06-17,0.38,0.7,0.31,0.5,121473,USD
2018-06-24,0.5,0.59,0.0,0.58,26590,USD
2018-07-01,0.58,0.79,0.0,0.76,40771,USD
2018-07-08,0.76,0.8,0.68,0.73,17209,USD
2018-07-15,0.73,0.87,0.51,0.68,64393,USD
2018-07-22,0.68,0.83,0.65,0.77,60206,USD
2018-07-29,0.77,0.78,0.65,0.66,19935,USD
2018-08-05,0.66,0.76,0.5,0.65,19247,USD
2018-08-12,0.65,0.76,0.42,0.42,7644,USD
2018-08-19,0.41,0.7,0.41,0.63,33069,USD
2018-08-26,0.63,0.63,0.35,0.53,60234,USD
2018-09-02,0.53,0.62,0.2,0.4,59860,USD
2018-09-09,0.4,0.41,0.29,0.34,14960,USD
2018-09-16,0.34,1.05,0.29,0.6,104877,USD
2018-09-23,0.6,0.64,0.43,0.58,40495,USD
2018-09-30,0.58,0.58,0.45,0.46,10201,USD
2018-10-07,0.46,0.53,0.32,0.38,14853,USD
2018-10-14,0.38,0.4,0.27,0.32,3445,USD
2018-10-21,0.32,0.4,0.24,0.34,47160,USD
2018-10-28,0.34,0.38,0.24,0.29,138028,USD
2018-11-04,0.29,0.35,0.25,0.31,272952,USD
2018-11-11,0.31,0.33,0.18,0.21,111052,USD
2018-11-18,0.21,0.29,0.15,0.19,140572,USD
2018-11-25,0.19,0.2,0.11,0.17,91417,USD
2018-12-02,0.17,0.26,0.12,0.15,116106,USD
2018-12-09,0.15,0.17,0.14,0.16,18213,USD
2018-12-16,0.16,0.18,0.14,0.16,32407,USD
2018-12-23,0.16,0.16,0.1,0.13,4227,USD
2018-12-30,0.13,0.14,0.12,0.12,1395,USD
2019-01-06,0.12,0.14,0.11,0.12,636,USD
2019-01-13,0.12,0.13,0.1,0.11,8627,USD
2019-01-20,0.11,0.13,0.1,0.12,123363,USD
2019-01-27,0.12,0.13,0.1,0.12,111310,USD
2019-02-03,0.12,0.14,0.09,0.12,79001,USD
2019-02-10,0.12,0.12,0.09,0.11,62408,USD
2019-02-17,0.11,0.11,0.08,0.08,16588,USD
2019-02-24,0.08,0.11,0.06,0.06,7319,USD
2019-03-03,0.06,0.1,0.06,0.08,22065,USD
2019-03-10,0.08,0.12,0.06,0.07,37239,USD
2019-03-17,0.07,0.1,0.05,0.08,19002,USD
2019-03-24,0.08,0.1,0.06,0.1,7234,USD
2019-03-31,0.1,0.1,0.07,0.09,11851,USD
2019-04-07,0.09,0.09,0.06,0.07,8065,USD
2019-04-14,0.07,0.09,0.06,0.06,2149,USD
2019-04-21,0.06,0.07,0.06,0.07,664,USD
2019-04-28,0.07,0.07,0.05,0.05,282,USD
2019-05-05,0.05,0.07,0.05,0.06,3480,USD
2019-05-12,0.06,0.06,0.05,0.06,12755,USD
2019-05-19,0.05,0.07,0.02,0.06,3287,USD
