Date,Open,High,Low,Close,Volume,Currency
2017-06-04,0.00252,0.003147,0.002123,0.002766,8958240,USD
2017-06-11,0.002766,0.002821,0.001511,0.002065,431125632,USD
2017-06-18,0.002065,0.0022,0.001358,0.001756,811912704,USD
2017-06-25,0.001756,0.009993,0.001008,0.003,420881056,USD
2017-07-02,0.003,0.00325,0.00155,0.00162,30516690,USD
2017-07-09,0.00162,0.0017,0.001119,0.001143,152324512,USD
2017-07-16,0.001143,0.001405,0.000805,0.001344,294187360,USD
2017-07-23,0.001344,0.001403,0.001002,0.001163,1919244672,USD
2017-07-30,0.001163,0.0014,0.0009,0.001322,2198310144,USD
2017-08-06,0.001322,0.002,0.001142,0.001518,1854188288,USD
2017-08-13,0.001518,0.00156,0.001026,0.001168,2239261952,USD
2017-08-20,0.001168,0.001515,0.001097,0.001393,3877308672,USD
2017-08-27,0.001393,0.003185,0.001393,0.002027,2802522112,USD
2017-09-03,0.002027,0.002261,0.0016,0.001744,1309347968,USD
2017-09-10,0.001744,0.001953,0.0008,0.00124,1689501056,USD
2017-09-17,0.00124,0.00143,0.001083,0.001269,1653773952,USD
2017-09-24,0.001269,0.001498,0.001165,0.001396,1476205824,USD
2017-10-01,0.001396,0.001435,0.0012,0.001301,1325551360,USD
2017-10-08,0.001301,0.001571,0.001272,0.001448,1201622528,USD
2017-10-15,0.001448,0.001544,0.001283,0.001516,917353856,USD
2017-10-22,0.001516,0.001523,0.00124,0.001319,932435136,USD
2017-10-29,0.001319,0.001555,0.001143,0.001246,517640832,USD
2017-11-05,0.001246,0.00146,0.001146,0.001183,435109792,USD
2017-11-12,0.001183,0.001318,0.001,0.00126,876980928,USD
2017-11-19,0.00126,0.002229,0.00121,0.001657,1141401088,USD
2017-11-26,0.001657,0.00219,0.001406,0.001906,1680215296,USD
2017-12-03,0.001906,0.002706,0.001788,0.00251,1643505792,USD
2017-12-10,0.00251,0.003364,0.002025,0.003355,2162292480,USD
2017-12-17,0.003355,0.005985,0.003,0.005565,2050079872,USD
2017-12-24,0.005565,0.006993,0.0043,0.004864,1315413504,USD
