Date,Open,High,Low,Close,Volume,Currency
2020-07-19,0.04751,0.0606,0.04569,0.05353,197188176,USD
2020-07-26,0.05353,0.05595,0.04776,0.05428,130208160,USD
2020-08-02,0.054,0.0843,0.05086,0.08341,165888192,USD
2020-08-09,0.08308,0.10775,0.0821,0.1018,184168912,USD
2020-08-16,0.1018,0.12502,0.08019,0.08392,206317296,USD
2020-08-23,0.08401,0.08934,0.0755,0.08155,88003968,USD
2020-08-30,0.08155,0.09217,0.04293,0.04299,127292160,USD
2020-09-06,0.0435,0.06233,0.04054,0.05589,85238680,USD
2020-09-13,0.05589,0.0565,0.04435,0.0493,57920772,USD
2020-09-20,0.0493,0.05164,0.03971,0.05082,35309064,USD
2020-09-27,0.05082,0.0536,0.03935,0.03938,77389848,USD
2020-10-04,0.03938,0.03999,0.03217,0.0367,38545068,USD
2020-10-11,0.0367,0.04077,0.033,0.03383,45267948,USD
2020-10-18,0.03383,0.03762,0.03077,0.03676,51955320,USD
2020-10-25,0.03676,0.03676,0.02699,0.02967,39909116,USD
2020-11-01,0.02967,0.03615,0.02821,0.03264,90719392,USD
2020-11-08,0.03264,0.04159,0.03264,0.03889,113910032,USD
2020-11-15,0.03889,0.04295,0.03654,0.0421,130884752,USD
2020-11-22,0.04211,0.05215,0.03929,0.0432,128430752,USD
2020-11-29,0.0432,0.04388,0.03939,0.0409,90628824,USD
2020-12-06,0.0409,0.05973,0.03908,0.05031,223888720,USD
2020-12-13,0.05031,0.05691,0.04739,0.05691,104160496,USD
2020-12-20,0.05691,0.06148,0.043,0.04372,119366760,USD
2020-12-27,0.04371,0.04781,0.04011,0.04225,79976632,USD
2021-01-03,0.04225,0.05386,0.04057,0.05163,139904848,USD
2021-01-10,0.05196,0.0598,0.04174,0.0525,153570864,USD
2021-01-17,0.0525,0.05875,0.04821,0.05875,182045008,USD
2021-01-24,0.05875,0.06828,0.05486,0.06635,178927728,USD
2021-01-31,0.06633,0.08587,0.0651,0.08163,136954656,USD
2021-02-07,0.08141,0.367,0.07704,0.25032,2187184896,USD
