Date,Open,High,Low,Close,Volume,Currency
2019-07-28,0.00921,0.00938,0.00841,0.00856,894692288,USD
2019-08-04,0.00856,0.01105,0.00761,0.00821,2229393664,USD
2019-08-11,0.00821,0.00922,0.00739,0.00771,1887995776,USD
2019-08-18,0.00771,0.00912,0.00766,0.00786,2072288512,USD
2019-08-25,0.00786,0.008,0.00565,0.0058,988734464,USD
2019-09-01,0.0058,0.00617,0.00529,0.0055,1395776768,USD
2019-09-08,0.00551,0.00595,0.005,0.00517,1253730304,USD
2019-09-15,0.00517,0.00606,0.00517,0.00586,1708409984,USD
2019-09-22,0.00586,0.00638,0.00406,0.00442,1243015552,USD
2019-09-29,0.00442,0.00487,0.00405,0.00446,1097506944,USD
2019-10-06,0.00446,0.00566,0.00421,0.00534,1754575744,USD
2019-10-13,0.00534,0.00559,0.00422,0.00433,1086667264,USD
2019-10-20,0.00433,0.0046,0.00375,0.00389,820855744,USD
2019-10-27,0.00389,0.00449,0.00378,0.00428,869238144,USD
2019-11-03,0.00428,0.00476,0.00399,0.00416,826564928,USD
2019-11-10,0.00416,0.00463,0.004,0.00452,514274304,USD
2019-11-17,0.00452,0.00463,0.00326,0.00373,746811136,USD
2019-11-24,0.00373,0.00521,0.00343,0.00504,921067456,USD
2019-12-01,0.00504,0.00553,0.00433,0.00547,955511680,USD
2019-12-08,0.00547,0.00598,0.00373,0.00383,1153043456,USD
2019-12-15,0.00383,0.0041,0.00319,0.004,668241664,USD
2019-12-22,0.004,0.00406,0.00353,0.0037,527793856,USD
2019-12-29,0.0037,0.00381,0.00334,0.00355,588326592,USD
2020-01-05,0.00355,0.00363,0.00314,0.00333,755256512,USD
2020-01-12,0.00333,0.00371,0.0033,0.00366,708656128,USD
2020-01-19,0.00366,0.00366,0.00315,0.00338,544040960,USD
2020-01-26,0.00338,0.00349,0.00319,0.00331,687385344,USD
2020-02-02,0.00331,0.022,0.00331,0.00416,1179900416,USD
2020-02-09,0.00416,0.00562,0.00402,0.00481,1347911808,USD
2020-02-16,0.00481,0.00494,0.00376,0.00393,882447680,USD
2020-02-23,0.00393,0.00422,0.00313,0.0033,725696768,USD
2020-03-01,0.0033,0.00374,0.00321,0.00343,586992256,USD
2020-03-08,0.00343,0.00347,0.00095,0.00129,1628711168,USD
2020-03-15,0.00129,0.00172,0.00101,0.0015,1272743552,USD
2020-03-22,0.0015,0.0018,0.00134,0.00151,1528754560,USD
2020-03-29,0.00151,0.00167,0.00141,0.00162,1112471936,USD
2020-04-05,0.00161,0.00181,0.00156,0.00162,1166382720,USD
2020-04-12,0.00162,0.00171,0.00144,0.00169,1233531136,USD
2020-04-19,0.00169,0.00206,0.00152,0.00195,1488936576,USD
2020-04-26,0.00195,0.00214,0.00183,0.00199,1301572608,USD
2020-05-03,0.00199,0.00225,0.00184,0.00202,1279401216,USD
2020-05-10,0.00202,0.00306,0.00171,0.00279,1246573952,USD
2020-05-17,0.00279,0.00293,0.00233,0.0026,1332086272,USD
2020-05-24,0.0026,0.00343,0.00258,0.00289,1642475520,USD
2020-05-31,0.00289,0.00306,0.00253,0.00292,1178503808,USD
2020-06-07,0.00292,0.00388,0.00289,0.00384,1305416064,USD
2020-06-14,0.00384,0.00466,0.00342,0.00436,2114574720,USD
2020-06-21,0.00436,0.0044,0.00331,0.00345,1092554368,USD
2020-06-28,0.00345,0.00435,0.00336,0.00427,1279476224,USD
2020-07-05,0.00427,0.00529,0.00375,0.0048,1508810624,USD
2020-07-12,0.0048,0.00533,0.00422,0.00495,1336146560,USD
2020-07-19,0.00495,0.00727,0.0047,0.00631,2536564480,USD
2020-07-26,0.00631,0.00913,0.0058,0.00646,2505889280,USD
2020-08-02,0.00646,0.00842,0.00582,0.00821,1504397568,USD
2020-08-09,0.00821,0.01371,0.0078,0.01235,3122737408,USD
2020-08-16,0.01235,0.01316,0.00977,0.01034,1431559296,USD
2020-08-23,0.01034,0.01366,0.00983,0.01178,1657299584,USD
2020-08-30,0.01178,0.012,0.00574,0.00599,1356291968,USD
2020-09-06,0.00599,0.00756,0.00553,0.00745,990495360,USD
2020-09-13,0.00745,0.00757,0.00532,0.00556,765780544,USD
2020-09-20,0.00556,0.00563,0.00401,0.00541,1047878208,USD
2020-09-27,0.00541,0.00555,0.00449,0.00473,898008064,USD
2020-10-04,0.00473,0.00475,0.00379,0.00438,636758528,USD
2020-10-11,0.00438,0.00518,0.0041,0.00433,637953728,USD
2020-10-18,0.00433,0.0047,0.00401,0.00434,578134080,USD
2020-10-25,0.00434,0.00439,0.00326,0.00341,664882944,USD
2020-11-01,0.0034,0.00435,0.00336,0.00388,1060501632,USD
2020-11-08,0.00388,0.00519,0.00384,0.00449,949765120,USD
2020-11-15,0.00449,0.00499,0.00415,0.00495,805547456,USD
