Date,Open,High,Low,Close,Volume,Currency
2018-03-04,1.31412,1.68911,0.64459,1.21771,0,USD
2018-03-11,1.21771,1.40404,0.84771,0.94475,0,USD
2018-03-18,0.94475,1.66427,0.87621,1.27114,0,USD
2018-03-25,1.27114,1.41438,1.08999,1.12462,0,USD
2018-04-01,1.12462,1.35052,0.89621,0.94421,0,USD
2018-04-08,0.94421,1.33052,0.09891,1.09062,0,USD
2018-04-15,1.09062,1.10665,0.46074,0.57421,0,USD
2018-04-22,0.57421,0.60926,0.39031,0.47595,0,USD
2018-04-29,0.47595,0.6129,0.43128,0.56705,0,USD
2018-05-06,0.50888,0.54199,5e-05,0.4377,0,USD
2018-05-13,0.43853,0.5246,0.37881,0.47569,0,USD
2018-05-20,0.47569,0.47569,0.35759,0.36978,0,USD
2018-05-27,0.36986,0.38754,0.35331,0.36857,0,USD
2018-06-03,0.36826,0.4273,0.287,0.34941,0,USD
2018-06-10,0.34951,0.35722,0.23345,0.27808,0,USD
2018-06-17,0.27813,0.42486,0.2569,0.30707,0,USD
2018-06-24,0.30704,0.36318,0.24566,0.34856,0,USD
2018-07-01,0.34856,0.38523,0.0,0.3816,0,USD
2018-07-08,0.3816,0.55931,0.35361,0.5291,0,USD
2018-07-15,0.5291,0.84721,0.49298,0.60241,0,USD
2018-07-22,0.60241,0.73325,0.49479,0.51767,0,USD
2018-07-29,0.51767,0.58145,0.38458,0.41994,0,USD
2018-08-05,0.41994,0.42307,0.33043,0.3431,0,USD
2018-08-12,0.3431,0.39129,0.32495,0.34574,0,USD
2018-08-19,0.34574,0.49676,0.32067,0.49004,0,USD
2018-08-26,0.49004,0.71046,0.42391,0.50307,0,USD
2018-09-02,0.50307,0.54896,0.38751,0.43261,0,USD
2018-09-09,0.43261,0.47236,0.39209,0.40659,0,USD
2018-09-16,0.40659,0.45627,0.36563,0.41888,0,USD
2018-09-23,0.41888,0.48846,0.40465,0.44813,0,USD
2018-09-30,0.44813,0.5729,0.42918,0.52514,0,USD
2018-10-07,0.52514,1.85452,0.50179,1.76505,0,USD
2018-10-14,1.76505,2.07169,0.83614,0.96198,0,USD
2018-10-21,0.96198,1.0997,0.87155,0.90794,0,USD
2018-10-28,0.90794,0.97693,0.59004,0.64741,0,USD
2018-11-04,0.64741,0.72966,0.51593,0.65867,0,USD
2018-11-11,0.65867,0.65951,0.42436,0.47495,0,USD
2018-11-18,0.47495,0.57311,0.32327,0.38923,0,USD
2018-11-25,0.38923,0.51483,0.34662,0.46672,0,USD
2018-12-02,0.46672,0.47887,0.31161,0.33243,0,USD
2018-12-09,0.33243,0.38717,0.31028,0.31796,0,USD
2018-12-16,0.31796,0.48099,0.31701,0.44449,0,USD
2018-12-23,0.44449,0.4671,0.25637,0.36967,0,USD
2018-12-30,0.36967,0.4179,0.31673,0.35719,0,USD
2019-01-06,0.35719,0.7071,0.32313,0.38419,0,USD
2019-01-13,0.38419,0.45049,0.36437,0.4223,0,USD
2019-01-20,0.4223,0.42423,0.35113,0.37044,0,USD
2019-01-27,0.37044,0.38025,0.34133,0.35936,0,USD
2019-02-03,0.35936,0.37066,0.31591,0.3506,0,USD
2019-02-10,0.3506,0.3513,0.27405,0.30969,0,USD
2019-02-17,0.30969,0.39722,0.25309,0.39323,0,USD
2019-02-24,0.39323,0.43948,0.29545,0.35754,0,USD
2019-03-03,0.35754,0.36477,0.27233,0.30625,0,USD
2019-03-10,0.30625,0.31232,0.21587,0.30056,0,USD
2019-03-17,0.30056,0.32235,0.23873,0.24866,0,USD
2019-03-24,0.24866,0.2847,0.22727,0.27482,0,USD
2019-03-31,0.27482,0.36291,0.26534,0.34034,0,USD
2019-04-07,0.34034,0.35707,0.01931,0.29956,0,USD
2019-04-14,0.29956,0.30062,0.22003,0.2729,0,USD
2019-04-21,0.2729,0.28682,0.24144,0.24845,0,USD
2019-04-28,0.24845,0.25917,0.17085,0.2062,0,USD
2019-05-05,0.2062,0.21036,0.08173,0.09308,0,USD
2019-05-12,0.09308,0.13996,0.08373,0.11964,0,USD
2019-05-19,0.11964,0.16605,0.11919,0.16216,0,USD
2019-05-26,0.16216,0.21443,0.15923,0.20832,0,USD
2019-06-02,0.20832,0.2174,0.15043,0.17895,0,USD
2019-06-09,0.17895,0.19293,0.11197,0.17289,0,USD
2019-06-16,0.17289,0.18331,0.15895,0.16643,0,USD
2019-06-23,0.16643,0.17155,0.04039,0.12333,0,USD
2019-06-30,0.12333,0.13037,0.07141,0.12174,0,USD
2019-07-07,0.12174,0.19406,0.11214,0.12614,0,USD
2019-07-14,0.12614,0.13165,0.09666,0.10808,0,USD
2019-07-21,0.10808,0.11693,0.05613,0.0823,0,USD
2019-07-28,0.0823,0.09548,0.08139,0.09472,0,USD
2019-08-04,0.09472,0.10425,0.08305,0.08741,0,USD
2019-08-11,0.08741,0.09173,0.06555,0.07782,0,USD
2019-08-18,0.07782,0.08363,0.06266,0.07268,0,USD
2019-08-25,0.07268,0.07596,0.05754,0.05851,0,USD
2019-09-01,0.05851,0.07795,0.04578,0.07016,0,USD
2019-09-08,0.07016,0.07145,0.05352,0.06321,0,USD
2019-09-15,0.06321,0.06378,0.05557,0.05632,0,USD
2019-09-22,0.05632,0.0579,0.04206,0.04767,0,USD
2019-09-29,0.04767,0.04774,0.04033,0.04276,0,USD
2019-10-06,0.04276,0.04596,0.03898,0.04201,0,USD
2019-10-13,0.04201,0.0472,0.03801,0.03841,0,USD
2019-10-20,0.03841,0.0627,0.0381,0.05568,0,USD
