Date,Open,High,Low,Close,Volume,Currency
2018-03-04,0.99771,1.02637,0.54945,0.60879,0,USD
2018-03-11,0.60879,0.66868,0.40917,0.41665,0,USD
2018-03-18,0.41665,0.53918,0.34696,0.43089,0,USD
2018-03-25,0.43089,0.49932,0.31778,0.33947,0,USD
2018-04-01,0.33947,0.4554,0.31526,0.39493,0,USD
2018-04-08,0.39493,0.64076,0.38275,0.57849,0,USD
2018-04-15,0.57849,1.15626,0.57415,0.86526,0,USD
2018-04-22,0.86526,0.98617,0.77592,0.84104,0,USD
2018-04-29,0.84104,1.13322,0.69892,0.90689,0,USD
2018-05-06,0.90599,1.16978,0.00011,0.84598,0,USD
2018-05-13,0.85643,1.12183,0.72812,0.7493,0,USD
2018-05-20,0.7493,0.82355,0.50009,0.51853,0,USD
2018-05-27,0.51864,0.57287,0.45241,0.54077,0,USD
2018-06-03,0.54096,0.56316,0.4839,0.5366,0,USD
2018-06-10,0.53645,0.53645,0.3527,0.38059,0,USD
2018-06-17,0.38066,0.4524,0.31858,0.33405,0,USD
2018-06-24,0.33627,0.35186,0.288,0.33623,0,USD
2018-07-01,0.33658,0.51346,0.0,0.36767,0,USD
2018-07-08,0.36767,0.37236,0.23959,0.25806,0,USD
2018-07-15,0.25806,0.34899,0.25044,0.31853,0,USD
2018-07-22,0.31853,0.40271,0.31231,0.34393,0,USD
2018-07-29,0.34393,0.35682,0.21541,0.22426,0,USD
2018-08-05,0.22426,0.26225,0.15423,0.16452,0,USD
2018-08-12,0.16452,0.17868,0.13575,0.15105,0,USD
2018-08-19,0.15105,0.18793,0.1481,0.16228,0,USD
2018-08-26,0.16228,0.22718,0.15657,0.2052,0,USD
2018-09-02,0.2052,0.22116,0.15496,0.15775,0,USD
2018-09-09,0.15775,0.15947,0.12818,0.14442,0,USD
2018-09-16,0.14442,0.14654,0.12335,0.13374,0,USD
2018-09-23,0.13374,0.14423,0.12688,0.13236,0,USD
2018-09-30,0.13236,0.166,0.12797,0.13484,0,USD
2018-10-07,0.13484,0.15153,0.12558,0.12764,0,USD
2018-10-14,0.12764,0.15059,0.12551,0.13616,0,USD
2018-10-21,0.13616,0.15602,0.1324,0.13735,0,USD
2018-10-28,0.13735,0.15405,0.1338,0.14424,0,USD
2018-11-04,0.14424,0.14743,0.13011,0.13306,0,USD
2018-11-11,0.13306,0.13352,0.08429,0.0898,0,USD
2018-11-18,0.0898,0.0995,0.04968,0.05053,0,USD
2018-11-25,0.05053,0.06322,0.04512,0.05741,0,USD
2018-12-02,0.05741,0.06038,0.04362,0.04872,0,USD
2018-12-09,0.04872,0.05812,0.04176,0.04406,0,USD
2018-12-16,0.04406,0.06351,0.04336,0.05943,0,USD
2018-12-23,0.05943,0.07456,0.05298,0.06447,0,USD
2018-12-30,0.06447,0.0739,0.06073,0.06146,0,USD
2019-01-06,0.06146,0.12282,0.0535,0.05461,0,USD
2019-01-13,0.05461,0.05944,0.05163,0.05843,0,USD
2019-01-20,0.05843,0.05848,0.05238,0.05375,0,USD
2019-01-27,0.05375,0.05443,0.04573,0.04762,0,USD
2019-02-03,0.04762,0.05122,0.04277,0.04957,0,USD
2019-02-10,0.04957,0.05107,0.04445,0.04596,0,USD
2019-02-17,0.04596,0.05425,0.04453,0.05371,0,USD
2019-02-24,0.05371,0.05939,0.0446,0.04774,0,USD
2019-03-03,0.04774,0.05769,0.04466,0.05134,0,USD
2019-03-10,0.05134,0.06177,0.04977,0.06026,0,USD
2019-03-17,0.06026,0.07789,0.05608,0.06731,0,USD
2019-03-24,0.06731,0.09056,0.05994,0.08382,0,USD
2019-03-31,0.08382,0.11186,0.07607,0.10691,0,USD
2019-04-07,0.10691,0.11637,0.08682,0.09045,0,USD
2019-04-14,0.09045,0.10792,0.08448,0.09986,0,USD
2019-04-21,0.09986,0.10485,0.07684,0.07956,0,USD
2019-04-28,0.07952,0.10197,0.07126,0.0917,0,USD
2019-05-05,0.0917,0.10047,0.08064,0.09893,0,USD
2019-05-12,0.09893,0.12342,0.09197,0.10192,0,USD
2019-05-19,0.10192,0.11551,0.10088,0.10863,0,USD
2019-05-26,0.10863,0.12137,0.08451,0.09946,0,USD
2019-06-02,0.09946,0.11135,0.08146,0.08656,0,USD
2019-06-09,0.08656,0.09021,0.07108,0.07397,0,USD
2019-06-16,0.07397,0.07655,0.06254,0.06907,0,USD
2019-06-23,0.06907,0.11018,0.04933,0.05759,0,USD
2019-06-30,0.05759,0.06107,0.04767,0.05831,0,USD
2019-07-07,0.05831,0.10333,0.0513,0.05473,0,USD
2019-07-14,0.05473,0.0563,0.04385,0.05375,0,USD
2019-07-21,0.05375,0.0582,0.03939,0.03989,0,USD
2019-07-28,0.03989,0.04826,0.03206,0.03822,0,USD
2019-08-04,0.03822,0.03973,0.03136,0.03208,0,USD
2019-08-11,0.03208,0.04778,0.02528,0.03279,0,USD
2019-08-18,0.03279,0.03878,0.03092,0.03685,0,USD
2019-08-25,0.03685,0.04716,0.03449,0.04076,0,USD
2019-09-01,0.04076,0.04526,0.03524,0.03838,0,USD
2019-09-08,0.03838,0.0399,0.03384,0.03628,0,USD
2019-09-15,0.03628,0.03835,0.03311,0.03744,0,USD
2019-09-22,0.03744,0.03827,0.02894,0.03213,0,USD
2019-09-29,0.03213,0.03869,0.02954,0.03578,0,USD
2019-10-06,0.03578,0.04892,0.02794,0.03274,0,USD
2019-10-13,0.03274,0.03373,0.0256,0.03033,0,USD
2019-10-20,0.03033,0.0398,0.02892,0.03471,0,USD
2019-10-27,0.03471,0.04195,0.02913,0.03447,0,USD
2019-11-03,0.03447,0.03526,0.02954,0.0303,0,USD
2019-11-10,0.0303,0.03352,0.02851,0.02991,0,USD
2019-11-17,0.02991,0.03421,0.02578,0.02787,0,USD
2019-11-24,0.02787,0.02872,0.02247,0.02711,0,USD
2019-12-01,0.02711,0.02712,0.02006,0.02291,0,USD
2019-12-08,0.02291,0.02325,0.01704,0.01784,0,USD
2019-12-15,0.01784,0.01988,0.01541,0.01838,0,USD
2019-12-22,0.01838,0.01972,0.00964,0.01693,0,USD
2019-12-29,0.01693,0.01858,0.01379,0.01699,0,USD
2020-01-05,0.01699,0.01901,0.01449,0.01726,0,USD
2020-01-12,0.01726,0.01801,0.01469,0.01731,0,USD
2020-01-19,0.01731,0.01983,0.01586,0.01833,0,USD
2020-01-26,0.01833,0.02414,0.01822,0.01905,0,USD
2020-02-02,0.01905,0.022,0.01866,0.01866,0,USD
2020-02-09,0.01866,0.0271,0.01686,0.02561,0,USD
2020-02-16,0.02561,0.02629,0.01887,0.01921,0,USD
2020-02-23,0.01921,0.02078,0.01581,0.01638,0,USD
2020-03-01,0.01638,0.03239,0.0156,0.02671,0,USD
2020-03-08,0.02671,0.02772,0.0077,0.01188,0,USD
2020-03-15,0.01188,0.01347,0.00833,0.01219,0,USD
2020-03-22,0.01219,0.01306,0.00663,0.0089,0,USD
2020-03-29,0.0089,0.00903,0.00607,0.00737,0,USD
2020-04-05,0.00737,0.00787,0.00545,0.00547,0,USD
2020-04-12,0.00547,0.0063,0.00503,0.00627,0,USD
2020-04-19,0.00627,0.00795,0.00622,0.00747,0,USD
2020-04-26,0.00747,0.00854,0.00697,0.00758,0,USD
2020-05-03,0.00758,0.01269,0.00724,0.00877,0,USD
2020-05-10,0.00877,0.00878,0.00693,0.00858,0,USD
2020-05-17,0.00858,0.00975,0.00673,0.00871,0,USD
2020-05-24,0.00871,0.00891,0.00614,0.00736,0,USD
2020-05-31,0.00736,0.00918,0.00733,0.00866,0,USD
2020-06-07,0.00866,0.00955,0.00704,0.00857,0,USD
2020-06-14,0.00857,0.00874,0.00782,0.00866,0,USD
2020-06-21,0.00866,0.00999,0.008,0.00874,0,USD
2020-06-28,0.00874,0.00874,0.00725,0.00726,0,USD
2020-07-05,0.00726,0.01323,0.00711,0.00882,0,USD
2020-07-12,0.00882,0.00895,0.00688,0.00783,0,USD
2020-07-19,0.00783,0.00784,0.00509,0.00775,0,USD
2020-07-26,0.00872,0.01027,0.00668,0.00803,0,USD
2020-08-02,0.00803,0.00812,0.00438,0.00577,0,USD
2020-08-09,0.00577,0.00904,0.00554,0.00789,0,USD
2020-08-16,0.00789,0.00839,0.00583,0.00682,0,USD
2020-08-23,0.00682,0.00889,0.00595,0.00723,0,USD
2020-08-30,0.00723,0.00807,0.00554,0.00569,0,USD
2020-09-06,0.00569,0.00657,0.00534,0.00575,0,USD
2020-09-13,0.00575,0.00603,0.00465,0.00544,0,USD
2020-09-20,0.00544,0.00561,0.00349,0.00376,0,USD
2020-09-27,0.00376,0.00399,0.00322,0.0037,0,USD
2020-10-04,0.0037,0.00387,0.00321,0.00322,0,USD
2020-10-11,0.00322,0.0074,0.00311,0.00739,0,USD
2020-10-18,0.00739,0.01089,0.00617,0.00912,0,USD
2020-10-25,0.00912,0.01266,0.0078,0.01193,0,USD
2020-11-01,0.01193,0.01269,0.00913,0.0098,0,USD
2020-11-08,0.0098,0.01023,0.00686,0.00755,0,USD
2020-11-15,0.00755,0.00903,0.0027,0.00345,0,USD
2020-11-22,0.00345,0.00361,0.00302,0.00328,0,USD
2020-11-29,0.00328,0.00369,0.00325,0.00354,0,USD
2020-12-06,0.00354,0.0036,0.00326,0.00348,0,USD
2020-12-13,0.00348,0.00446,0.00347,0.00441,0,USD
2020-12-20,0.00441,0.00494,0.00408,0.00488,0,USD
2020-12-27,0.00488,0.00614,0.00478,0.00595,0,USD
2021-01-03,0.00595,0.00776,0.00528,0.00743,0,USD
2021-01-10,0.00743,0.00766,0.00567,0.00668,0,USD
2021-01-17,0.00668,0.00701,0.00537,0.00594,0,USD
2021-01-24,0.00594,0.00716,0.00542,0.00635,0,USD
2021-01-31,0.00635,0.00758,0.00597,0.00727,0,USD
2021-02-07,0.00727,0.00904,0.00692,0.00872,0,USD
2021-02-14,0.00872,0.01063,0.00847,0.01035,0,USD
2021-02-21,0.01035,0.01079,0.00816,0.00855,0,USD
2021-02-28,0.00855,0.00972,0.00799,0.00904,0,USD
2021-03-07,0.00904,0.01141,0.00904,0.01134,0,USD
2021-03-14,0.01134,0.01141,0.00988,0.01074,0,USD
2021-03-21,0.01074,0.01083,0.00934,0.01034,0,USD
2021-03-28,0.01034,0.01114,0.01014,0.01055,0,USD
2021-04-04,0.01055,0.01133,0.01028,0.01106,0,USD
2021-04-11,0.01106,0.01199,0.01097,0.01109,0,USD
2021-04-18,0.01109,0.01115,0.00882,0.00928,0,USD
2021-04-25,0.00928,0.01079,0.00872,0.01069,0,USD
2021-05-02,0.01069,0.011,0.00986,0.01088,0,USD
2021-05-09,0.01088,0.01103,0.00864,0.00866,0,USD
2021-05-16,0.00866,0.00921,0.00553,0.00695,0,USD
2021-05-23,0.00695,0.00756,0.00578,0.0064,0,USD
2021-05-30,0.0064,0.0073,0.00619,0.00658,0,USD
2021-06-06,0.00658,0.00708,0.00577,0.00657,0,USD
2021-06-13,0.00657,0.00764,0.00645,0.00659,0,USD
2021-06-20,0.00659,0.00668,0.00541,0.00596,0,USD
2021-06-27,0.00596,0.00676,0.00594,0.00643,0,USD
2021-07-04,0.00643,0.00665,0.00595,0.0062,0,USD
2021-07-11,0.0062,0.0064,0.00575,0.00583,0,USD
2021-07-18,0.00583,0.00628,0.00542,0.00626,0,USD
2021-07-25,0.00636,0.00782,0.00627,0.00768,0,USD
2021-08-01,0.00768,0.00827,0.00692,0.00824,0,USD
2021-08-08,0.00824,0.00889,0.00792,0.00871,0,USD
2021-08-15,0.00871,0.00919,0.00814,0.00904,0,USD
2021-08-22,0.00904,0.00934,0.00539,0.00539,0,USD
