Date,Open,High,Low,Close,Volume,Currency
2018-03-04,0.085499,0.090413,0.046001,0.052116,7537189,USD
2018-03-11,0.052116,0.058999,0.035754,0.04011,5327500,USD
2018-03-18,0.04011,0.053278,0.035101,0.047077,8611295,USD
2018-03-25,0.047077,0.0538,0.0362,0.0374,12130934,USD
2018-04-01,0.0374,0.0424,0.0337,0.0358,4118888,USD
2018-04-08,0.0358,0.0551,0.035604,0.0497,8880417,USD
2018-04-15,0.0497,0.0834,0.0407,0.0815,30544336,USD
2018-04-22,0.0815,0.119,0.0811,0.1078,81286496,USD
2018-04-29,0.1078,0.1333,0.0971,0.1246,47231368,USD
2018-05-06,0.1259,0.1264,0.0,0.0821,32238876,USD
2018-05-13,0.0814,0.1149,0.0778,0.0972,53847740,USD
2018-05-20,0.0972,0.1048,0.0682,0.0747,22690628,USD
2018-05-27,0.075,0.0951,0.0626,0.0827,22858752,USD
2018-06-03,0.0818,0.0849,0.0721,0.0779,25637720,USD
2018-06-10,0.0779,0.0779,0.0478,0.0537,102440432,USD
2018-06-17,0.0537,0.0565,0.04,0.042,39224108,USD
2018-06-24,0.042,0.048,0.0329,0.0387,12031220,USD
2018-07-01,0.0387,0.0474,0.0371,0.0409,21875120,USD
2018-07-08,0.0409,0.0418,0.032,0.0344,13542373,USD
2018-07-15,0.0344,0.0412,0.033,0.0346,10452934,USD
2018-07-22,0.0346,0.0357,0.029,0.0293,19340320,USD
2018-07-29,0.0293,0.03,0.019,0.0199,28450812,USD
2018-08-05,0.0199,0.0232,0.0135,0.0151,15488059,USD
2018-08-12,0.0151,0.0179,0.0105,0.0152,11200803,USD
2018-08-19,0.0152,0.0166,0.0126,0.0147,5682309,USD
2018-08-26,0.0147,0.0152,0.0128,0.0146,14990654,USD
2018-09-02,0.0146,0.0162,0.011,0.0117,28185024,USD
2018-09-09,0.0117,0.011801,0.0091,0.0105,8496256,USD
2018-09-16,0.0105,0.0105,0.0081,0.009,25360504,USD
2018-09-23,0.009,0.0117,0.007,0.0108,103959944,USD
2018-09-30,0.0108,0.0109,0.0087,0.00899,89175024,USD
2018-10-07,0.00899,0.009188,0.0066,0.006904,70194304,USD
2018-10-14,0.006904,0.008162,0.001,0.007731,134441248,USD
2018-10-21,0.007731,0.009558,0.006726,0.00853,302154624,USD
2018-10-28,0.00853,0.010293,0.007572,0.007623,243774272,USD
2018-11-04,0.007623,0.008462,0.006804,0.006871,114448168,USD
2018-11-11,0.006871,0.006964,0.005015,0.005278,53602388,USD
2018-11-18,0.005278,0.005762,0.003358,0.00351,35161748,USD
2018-11-25,0.00351,0.003968,0.002974,0.003927,42086100,USD
2018-12-02,0.003927,0.003942,0.0022,0.002557,29967996,USD
2018-12-09,0.002557,0.002643,0.001694,0.001746,30376650,USD
2018-12-16,0.001746,0.0025,0.001742,0.001832,188791152,USD
2018-12-23,0.001832,0.002052,0.001405,0.001528,324506944,USD
2018-12-30,0.001528,0.002186,0.001453,0.002004,249682928,USD
2019-01-06,0.002004,0.002036,0.001343,0.001407,288540640,USD
2019-01-13,0.001407,0.00145,0.0013,0.001365,74733112,USD
2019-01-20,0.001365,0.001662,0.0013,0.001562,279019168,USD
2019-01-27,0.001562,0.001823,0.001364,0.00148,263100160,USD
2019-02-03,0.00148,0.001509,0.001363,0.001442,49458884,USD
2019-02-10,0.001442,0.001488,0.001326,0.001404,88012224,USD
2019-02-17,0.001404,0.001482,0.001363,0.00145,113984032,USD
2019-02-24,0.001445,0.001492,0.001226,0.001324,70156720,USD
2019-03-03,0.001324,0.001664,0.001225,0.001489,67965,USD
2019-03-10,0.001489,0.001687,0.00136,0.001582,188678,USD
2019-03-17,0.001582,0.003781,0.00146,0.002679,330021,USD
2019-03-24,0.002679,0.00285,0.00188,0.002725,659131,USD
2019-03-31,0.002725,0.007679,0.002513,0.005025,259413552,USD
2019-04-07,0.005025,0.006148,0.003402,0.004142,560508928,USD
2019-04-14,0.004142,0.004443,0.00331,0.003341,200092528,USD
2019-04-21,0.003387,0.004097,0.002462,0.002758,282299744,USD
2019-04-28,0.002754,0.003382,0.002661,0.002815,147939840,USD
