Date,Open,High,Low,Close,Volume,Currency
2018-03-04,0.001315,0.001415,0.000677,0.000744,0,USD
2018-03-11,0.000744,0.000877,0.000499,0.00063,0,USD
2018-03-18,0.00063,0.000768,0.00054,0.000638,0,USD
2018-03-25,0.000638,0.000736,0.000428,0.00045,0,USD
2018-04-01,0.00045,0.000498,0.000418,0.000448,0,USD
2018-04-08,0.000448,0.000535,0.00043,0.00052,0,USD
2018-04-15,0.00052,0.00067,0.000435,0.000579,0,USD
2018-04-22,0.000579,0.000882,0.000572,0.000794,0,USD
2018-04-29,0.000794,0.000946,0.000751,0.000887,0,USD
2018-05-06,0.000888,0.000924,0.0,0.000719,0,USD
2018-05-13,0.00072,0.000731,0.000479,0.000536,0,USD
2018-05-20,0.000536,0.000644,0.000473,0.000476,0,USD
2018-05-27,0.000476,0.000554,0.000458,0.000496,0,USD
2018-06-03,0.000496,0.000505,0.000418,0.000487,0,USD
2018-06-10,0.000487,0.000487,0.000337,0.000357,0,USD
2018-06-17,0.000357,0.000376,0.000327,0.000338,0,USD
2018-06-24,0.000339,0.000419,0.000318,0.000415,0,USD
2018-07-01,0.000415,0.000495,0.0,0.00044,0,USD
2018-07-08,0.00044,0.000466,0.000348,0.000406,0,USD
2018-07-15,0.000406,0.000417,0.000325,0.000333,0,USD
2018-07-22,0.000333,0.000504,0.000331,0.000454,0,USD
2018-07-29,0.00045,0.000455,0.000312,0.000315,0,USD
2018-08-05,0.000315,0.000358,0.000273,0.000311,0,USD
2018-08-12,0.000311,0.000323,0.000221,0.000224,0,USD
2018-08-19,0.000224,0.00024,0.000218,0.000236,0,USD
2018-08-26,0.000236,0.000327,0.00023,0.000324,0,USD
2018-09-02,0.000324,0.000332,0.000215,0.000216,0,USD
2018-09-09,0.000216,0.000258,0.000215,0.000228,0,USD
2018-09-16,0.000228,0.000239,0.000214,0.000235,0,USD
2018-09-23,0.000235,0.0003,0.000222,0.000231,0,USD
2018-09-30,0.000231,0.000299,0.000225,0.000231,0,USD
2018-10-07,0.000231,0.000286,0.000163,0.000221,0,USD
2018-10-14,0.000221,0.000263,0.000164,0.00023,0,USD
2018-10-21,0.00023,0.000264,0.000227,0.000228,0,USD
2018-10-28,0.000228,0.000228,0.000219,0.000224,0,USD
2018-11-04,0.000224,0.000231,0.000223,0.000225,0,USD
2018-11-11,0.000225,0.000227,0.000136,0.000141,0,USD
2018-11-18,0.000141,0.000143,0.000106,0.000118,0,USD
2018-11-25,0.000118,0.000152,9.2e-05,0.000106,0,USD
2018-12-02,0.000106,0.000114,8.2e-05,8.8e-05,0,USD
2018-12-09,8.8e-05,0.000266,8.7e-05,0.000181,0,USD
2018-12-16,0.000181,0.000231,0.000137,0.000144,0,USD
2018-12-23,0.000144,0.000263,0.000129,0.000214,0,USD
2018-12-30,0.000214,0.000336,0.000175,0.000176,0,USD
2019-01-06,0.000176,0.000352,0.000165,0.000167,0,USD
2019-01-13,0.000167,0.000173,0.000161,0.000169,0,USD
2019-01-20,0.000169,0.000171,0.000158,0.000163,0,USD
2019-01-27,0.000163,0.000164,0.000154,0.00016,0,USD
2019-02-03,0.00016,0.000171,0.000154,0.000167,0,USD
2019-02-10,0.000167,0.000169,0.000164,0.000165,0,USD
2019-02-17,0.000165,0.000191,0.000165,0.00019,0,USD
2019-02-24,0.00019,0.000193,0.00017,0.000176,0,USD
2019-03-03,0.000176,0.000182,0.00017,0.000181,0,USD
2019-03-10,0.000181,0.000187,0.000175,0.000184,0,USD
2019-03-17,0.000184,0.000187,0.00018,0.000183,0,USD
2019-03-24,0.000183,0.000189,0.000177,0.000187,0,USD
2019-03-31,0.000187,0.00024,0.000186,0.000229,0,USD
2019-04-07,0.000229,0.000247,0.000198,0.000204,0,USD
2019-04-14,0.000204,0.000216,0.000199,0.000214,0,USD
2019-04-21,0.000214,0.000226,0.000203,0.000216,0,USD
2019-04-28,0.000216,0.000246,0.000215,0.000244,0,USD
2019-05-05,0.000244,0.000291,0.000236,0.000287,0,USD
2019-05-12,0.000287,0.000333,0.000274,0.00029,0,USD
2019-05-19,0.00029,0.000331,0.00029,0.000322,0,USD
2019-05-26,0.000322,0.000364,0.000316,0.000342,0,USD
2019-06-02,0.000342,0.000353,0.000298,0.000317,0,USD
2019-06-09,0.000317,0.000355,0.0003,0.000354,0,USD
2019-06-16,0.000354,0.000448,0.000352,0.00043,0,USD
2019-06-23,0.00043,0.000558,0.000421,0.000476,0,USD
2019-06-30,0.000476,0.000487,0.00039,0.00045,0,USD
2019-07-07,0.00045,0.000525,0.000433,0.000455,0,USD
2019-07-14,0.000455,0.000458,0.000362,0.000429,0,USD
2019-07-21,0.000429,0.000432,0.000374,0.000379,0,USD
2019-07-28,0.000379,0.000436,0.000368,0.000433,0,USD
2019-08-04,0.000433,0.000492,0.000422,0.000453,0,USD
