Date,Open,High,Low,Close,Volume,Currency
2018-03-04,0.026472,0.035165,0.015949,0.023159,0,USD
2018-03-11,0.023159,0.026201,0.015014,0.016292,0,USD
2018-03-18,0.016292,0.021714,0.015275,0.016587,0,USD
2018-03-25,0.016587,0.016757,0.012137,0.012673,0,USD
2018-04-01,0.012673,0.016861,0.011629,0.013431,0,USD
2018-04-08,0.013431,0.018547,0.013423,0.018052,0,USD
2018-04-15,0.018052,0.018991,0.011996,0.014664,0,USD
2018-04-22,0.014664,0.019822,0.014486,0.018773,0,USD
2018-04-29,0.018773,0.021114,0.016849,0.018228,0,USD
2018-05-06,0.01825,0.020658,2e-06,0.014375,0,USD
2018-05-13,0.014407,0.014623,0.01198,0.012319,0,USD
2018-05-20,0.012319,0.013389,0.011334,0.011394,0,USD
2018-05-27,0.011397,0.012004,0.011137,0.011801,0,USD
2018-06-03,0.011792,0.012014,0.011133,0.011582,0,USD
2018-06-10,0.011585,0.011585,0.009345,0.009826,0,USD
2018-06-17,0.009828,0.010885,0.009528,0.009874,0,USD
2018-06-24,0.009887,0.010459,0.009267,0.010386,0,USD
2018-07-01,0.010386,0.019489,0.0,0.019305,0,USD
2018-07-08,0.019305,0.023575,0.018136,0.023125,0,USD
2018-07-15,0.023125,0.039365,0.023063,0.037942,0,USD
2018-07-22,0.037942,0.042845,0.033649,0.042713,0,USD
2018-07-29,0.042362,0.042871,0.035897,0.036291,0,USD
2018-08-05,0.036291,0.037037,0.031768,0.033047,0,USD
2018-08-12,0.033047,0.034643,0.027392,0.028407,0,USD
2018-08-19,0.028407,0.030453,0.027669,0.03009,0,USD
2018-08-26,0.03009,0.031575,0.02127,0.029114,0,USD
2018-09-02,0.029114,0.03016,0.025512,0.025699,0,USD
2018-09-09,0.025699,0.027083,0.025091,0.027058,0,USD
2018-09-16,0.027058,0.03333,0.019358,0.020139,0,USD
2018-09-23,0.020139,0.03433,0.019076,0.022852,0,USD
2018-09-30,0.022852,0.022898,0.019659,0.019776,0,USD
2018-10-07,0.019776,0.019968,0.018451,0.018758,0,USD
2018-10-14,0.018758,0.022289,0.018679,0.020514,0,USD
2018-10-21,0.020514,0.023259,0.020401,0.022816,0,USD
2018-10-28,0.022816,0.023632,0.015313,0.017056,0,USD
2018-11-04,0.017056,0.018471,0.016982,0.018071,0,USD
2018-11-11,0.018071,0.018208,0.013196,0.014207,0,USD
2018-11-18,0.014207,0.01459,0.009855,0.010102,0,USD
2018-11-25,0.010102,0.010836,0.006701,0.007913,0,USD
2018-12-02,0.007913,0.008392,0.006032,0.006521,0,USD
2018-12-09,0.006521,0.006969,0.006033,0.006196,0,USD
2018-12-16,0.006196,0.008619,0.006178,0.008355,0,USD
2018-12-23,0.008355,0.008987,0.007782,0.00827,0,USD
2018-12-30,0.00827,0.008524,0.007361,0.00798,0,USD
2019-01-06,0.00798,0.016116,0.006431,0.007331,0,USD
2019-01-13,0.007331,0.007744,0.007055,0.007379,0,USD
2019-01-20,0.007379,0.008603,0.00736,0.007466,0,USD
2019-01-27,0.007466,0.008019,0.007407,0.00799,0,USD
2019-02-03,0.00799,0.008744,0.007842,0.008534,0,USD
2019-02-10,0.008534,0.009178,0.008366,0.009062,0,USD
2019-02-17,0.009062,0.011806,0.008817,0.010552,0,USD
2019-02-24,0.010552,0.011353,0.008735,0.010507,0,USD
2019-03-03,0.010507,0.011175,0.010153,0.010841,0,USD
2019-03-10,0.010841,0.015523,0.007819,0.011451,0,USD
2019-03-17,0.011451,0.013468,0.011124,0.012189,0,USD
2019-03-24,0.012189,0.013553,0.009781,0.010787,0,USD
2019-03-31,0.010787,0.014347,0.010134,0.013843,0,USD
2019-04-07,0.013843,0.017402,0.013654,0.013691,0,USD
2019-04-14,0.013691,0.016002,0.013677,0.014872,0,USD
2019-04-21,0.014872,0.016011,0.01257,0.015486,0,USD
2019-04-28,0.015486,0.01685,0.014393,0.01668,0,USD
2019-05-05,0.01668,0.017972,0.014057,0.015825,0,USD
2019-05-12,0.015825,0.018863,0.014902,0.017175,0,USD
2019-05-19,0.017175,0.019598,0.017151,0.018729,0,USD
2019-05-26,0.018729,0.020542,0.018033,0.01914,0,USD
2019-06-02,0.01914,0.019788,0.015054,0.015933,0,USD
2019-06-09,0.015933,0.018331,0.012372,0.013891,0,USD
2019-06-16,0.013891,0.018133,0.013818,0.017429,0,USD
2019-06-23,0.017429,0.022264,0.016642,0.018622,0,USD
2019-06-30,0.018622,0.019121,0.015187,0.018348,0,USD
2019-07-07,0.018348,0.020754,0.017386,0.018377,0,USD
2019-07-14,0.018377,0.021474,0.012831,0.020684,0,USD
2019-07-21,0.020684,0.021042,0.012803,0.012997,0,USD
2019-07-28,0.012997,0.015429,0.012732,0.015138,0,USD
2019-08-04,0.015138,0.022054,0.014687,0.019801,0,USD
2019-08-11,0.019801,0.020587,0.016221,0.016832,0,USD
2019-08-18,0.016832,0.017875,0.015519,0.016547,0,USD
2019-08-25,0.016547,0.019835,0.0161,0.01713,0,USD
2019-09-01,0.01713,0.01842,0.012554,0.013633,0,USD
2019-09-08,0.013633,0.013767,0.012818,0.013701,0,USD
2019-09-15,0.013701,0.014924,0.012842,0.014718,0,USD
2019-09-22,0.014718,0.015306,0.011012,0.01196,0,USD
2019-09-29,0.01196,0.012957,0.010365,0.012199,0,USD
2019-10-06,0.012199,0.013624,0.011491,0.01223,0,USD
2019-10-13,0.01223,0.012577,0.011757,0.012069,0,USD
2019-10-20,0.012069,0.016473,0.011258,0.014709,0,USD
2019-10-27,0.014709,0.014895,0.010294,0.010732,0,USD
2019-11-03,0.010732,0.010804,0.009048,0.009205,0,USD
2019-11-10,0.009205,0.009572,0.007791,0.00874,0,USD
2019-11-17,0.00874,0.008947,0.006464,0.006831,0,USD
2019-11-24,0.006831,0.008478,0.006259,0.008181,0,USD
2019-12-01,0.008181,0.008185,0.005477,0.006477,0,USD
2019-12-08,0.006477,0.006791,0.005576,0.006113,0,USD
2019-12-15,0.006113,0.006571,0.005836,0.006424,0,USD
2019-12-22,0.006424,0.006916,0.005484,0.005484,0,USD
2019-12-29,0.005484,0.006345,0.005052,0.005368,0,USD
2020-01-05,0.005368,0.006893,0.005368,0.006341,0,USD
2020-01-12,0.006341,0.008106,0.006103,0.007493,0,USD
2020-01-19,0.007493,0.007837,0.006841,0.007013,0,USD
2020-01-26,0.007013,0.008711,0.006973,0.008258,0,USD
2020-02-02,0.008258,0.022,0.008258,0.008514,0,USD
2020-02-09,0.008514,0.009883,0.007887,0.008619,0,USD
2020-02-16,0.008619,0.009287,0.007745,0.00782,0,USD
2020-02-23,0.00782,0.008557,0.006878,0.007381,0,USD
2020-03-01,0.007381,0.008049,0.006178,0.007512,0,USD
2020-03-08,0.007512,0.007512,0.003255,0.003486,0,USD
2020-03-15,0.003486,0.003814,0.002444,0.003373,0,USD
2020-03-22,0.003373,0.003874,0.002932,0.003092,0,USD
2020-03-29,0.003092,0.003668,0.002903,0.003532,0,USD
2020-04-05,0.003532,0.008182,0.003446,0.006468,0,USD
2020-04-12,0.006468,0.006487,0.003351,0.003516,0,USD
2020-04-19,0.003516,0.003768,0.003321,0.003657,0,USD
2020-04-26,0.003657,0.004629,0.003628,0.004395,0,USD
2020-05-03,0.004395,0.004822,0.004064,0.004527,0,USD
2020-05-10,0.004527,0.004714,0.003892,0.004455,0,USD
2020-05-17,0.004455,0.004721,0.004054,0.004082,0,USD
2020-05-24,0.004082,0.004327,0.003857,0.004311,0,USD
2020-05-31,0.004311,0.004947,0.004163,0.004692,0,USD
2020-06-07,0.004692,0.004838,0.004438,0.004594,0,USD
2020-06-14,0.004594,0.004646,0.004334,0.00454,0,USD
2020-06-21,0.00454,0.00478,0.004048,0.004461,0,USD
2020-06-28,0.004461,0.004598,0.004387,0.004477,0,USD
2020-07-05,0.004477,0.004636,0.004382,0.004524,0,USD
2020-07-12,0.004524,0.004569,0.004438,0.004489,0,USD
2020-07-19,0.004489,0.004862,0.00446,0.004845,0,USD
2020-07-26,0.004845,0.005753,0.004823,0.005669,0,USD
2020-08-02,0.005669,0.005691,0.004929,0.005119,0,USD
2020-08-09,0.005119,0.005985,0.004846,0.005929,0,USD
2020-08-16,0.005929,0.007133,0.005834,0.006881,0,USD
2020-08-23,0.006881,0.007237,0.00534,0.006084,0,USD
