Date,Open,High,Low,Close,Volume,Currency
2020-12-20,1.8405,2.2834,1.1533,1.5753,0,USD
2020-12-27,1.5756,2.2256,1.1154,1.3701,0,USD
2021-01-03,1.3695,1.9698,1.0274,1.2504,0,USD
2021-01-10,1.2504,1.876,1.0492,1.5033,0,USD
2021-01-17,1.5026,1.9441,1.1897,1.4477,0,USD
2021-01-24,1.4488,1.7453,1.0459,1.2581,0,USD
2021-01-31,1.2616,1.3634,1.0103,1.1344,0,USD
2021-02-07,1.1337,1.4264,0.8748,1.3137,0,USD
2021-02-14,1.4524,1.678,1.0565,1.1704,0,USD
2021-02-21,1.169,1.5001,0.9192,1.0522,0,USD
2021-02-28,1.0529,2.6184,0.9525,1.8203,0,USD
2021-03-07,1.8358,2.6069,1.2857,2.2837,0,USD
2021-03-14,2.2798,3.3768,1.8788,2.0419,0,USD
2021-03-21,2.0443,2.5525,1.5587,1.855,0,USD
2021-03-28,1.8532,2.2284,1.5764,1.7318,0,USD
2021-04-04,1.7307,1.9374,1.396,1.6623,0,USD
2021-04-11,1.6625,2.0931,1.5453,1.9026,0,USD
2021-04-18,1.9035,2.2247,1.1977,1.3741,0,USD
2021-04-25,1.3759,1.7852,1.2895,1.4768,0,USD
2021-05-02,1.4721,1.5844,0.9068,1.0933,0,USD
2021-05-09,1.0949,1.3733,0.9532,1.1348,0,USD
2021-05-16,1.137,1.2089,0.6316,0.8292,0,USD
2021-05-23,0.8301,1.0143,0.5277,0.7337,0,USD
2021-05-30,0.7335,0.8907,0.6414,0.6867,0,USD
2021-06-06,0.6851,0.8343,0.5422,0.6073,0,USD
2021-06-13,0.6087,0.7695,0.5429,0.6379,0,USD
2021-06-20,0.6355,0.6935,0.3985,0.6199,0,USD
2021-06-27,0.6208,0.918,0.5167,0.8462,0,USD
2021-07-04,0.8462,0.9277,0.6533,0.6811,0,USD
2021-07-11,0.6809,0.8129,0.5551,0.7051,0,USD
2021-07-18,0.7057,0.7392,0.5567,0.5874,0,USD
2021-07-25,0.5823,0.7343,0.5362,0.5978,0,USD
2021-08-01,0.5972,0.897,0.5484,0.6681,0,USD
2021-08-08,0.6692,0.7834,0.5338,0.7511,0,USD
2021-08-15,0.7533,1.0164,0.0,0.9521,0,USD
2021-08-22,0.9519,1.0955,0.6993,0.9069,0,USD
2021-08-29,0.9074,1.0178,0.4799,0.8895,0,USD
2021-09-05,0.8893,1.0565,0.4691,0.8531,0,USD
2021-09-12,0.8531,1.4233,0.4858,0.8736,0,USD
2021-09-19,0.8676,0.9371,0.4752,0.5477,0,USD
2021-09-26,0.5445,0.5568,0.4263,0.4765,0,USD
2021-10-03,0.4762,0.4929,0.3744,0.4007,0,USD
2021-10-10,0.4042,0.4543,0.3485,0.4072,0,USD
2021-10-17,0.4072,0.577,0.3903,0.5558,0,USD
2021-10-24,0.5594,0.8078,0.4717,0.503,0,USD
2021-10-31,0.5029,0.6529,0.4776,0.5362,0,USD
2021-11-07,0.5364,0.5829,0.4597,0.4685,0,USD
2021-11-14,0.4682,0.495,0.4036,0.4331,0,USD
2021-11-21,0.4318,0.5329,0.4149,0.4372,0,USD
2021-11-28,0.437,0.4655,0.2253,0.3916,0,USD
2021-12-05,0.3901,0.3914,0.1839,0.3035,0,USD
2021-12-12,0.303,0.3153,0.2393,0.2749,0,USD
2021-12-19,0.275,0.2899,0.2533,0.2739,0,USD
2021-12-26,0.2739,0.2925,0.1422,0.2573,0,USD
2022-01-02,0.2572,0.2951,0.1631,0.205,0,USD
2022-01-09,0.2048,0.2585,0.127,0.2239,0,USD
2022-01-16,0.2238,0.2421,0.0952,0.187,0,USD
2022-01-23,0.1888,0.2084,0.1676,0.2034,0,USD
2022-01-30,0.2026,0.2477,0.1913,0.2095,0,USD
2022-02-06,0.2087,0.2173,0.1898,0.213,0,USD
2022-02-13,0.2132,0.2164,0.0976,0.1817,0,USD
2022-02-20,0.1817,0.1834,0.0823,0.1733,0,USD
2022-02-27,0.1731,0.2275,0.1648,0.1835,0,USD
2022-03-06,0.184,0.1859,0.1613,0.1657,0,USD
2022-03-13,0.1655,0.1738,0.1563,0.1611,0,USD
2022-03-20,0.1611,0.1869,0.1599,0.1672,0,USD
2022-03-27,0.1675,0.1735,0.1618,0.1708,0,USD
