Date,Open,High,Low,Close,Volume,Currency
2018-03-04,0.027273,0.027455,0.019336,0.02062,0,USD
2018-03-11,0.02062,0.033209,0.019038,0.020502,0,USD
2018-03-18,0.020502,0.022034,0.017831,0.019522,0,USD
2018-03-25,0.019522,0.019825,0.015196,0.015997,0,USD
2018-04-01,0.015997,0.017307,0.014865,0.015876,0,USD
2018-04-08,0.015876,0.020697,0.015202,0.020453,0,USD
2018-04-15,0.020453,0.038249,0.018304,0.021394,0,USD
2018-04-22,0.021394,0.022982,0.020179,0.021948,0,USD
2018-04-29,0.021948,0.02268,0.018407,0.01882,0,USD
2018-05-06,0.018891,0.019,2e-06,0.012049,0,USD
2018-05-13,0.012077,0.012652,0.011297,0.01166,0,USD
2018-05-20,0.01166,0.032284,0.0115,0.014435,0,USD
2018-05-27,0.014438,0.021332,0.012015,0.014398,0,USD
2018-06-03,0.014321,0.022,0.012746,0.015518,0,USD
2018-06-10,0.015522,0.03303,0.014128,0.015307,0,USD
2018-06-17,0.015472,0.019382,0.012994,0.014918,0,USD
2018-06-24,0.014938,0.017943,0.011629,0.017193,0,USD
2018-07-01,0.017193,0.017914,0.0,0.016871,0,USD
2018-07-08,0.016871,0.016943,0.014717,0.015906,0,USD
2018-07-15,0.015906,0.018798,0.015864,0.017361,0,USD
2018-07-22,0.017361,0.024142,0.016824,0.0235,0,USD
2018-07-29,0.0235,0.023748,0.017983,0.018145,0,USD
2018-08-05,0.018145,0.020393,0.014576,0.016928,0,USD
2018-08-12,0.016928,0.018727,0.011733,0.012654,0,USD
2018-08-19,0.012654,0.013596,0.012336,0.013074,0,USD
2018-08-26,0.013074,0.019821,0.0128,0.018965,0,USD
2018-09-02,0.018965,0.019359,0.012717,0.013793,0,USD
2018-09-09,0.013793,0.016856,0.012868,0.013073,0,USD
2018-09-16,0.013073,0.019048,0.012674,0.017853,0,USD
2018-09-23,0.017853,0.017938,0.012609,0.012879,0,USD
2018-09-30,0.012879,0.012991,0.01224,0.01259,0,USD
2018-10-07,0.01259,0.024837,0.012482,0.017777,0,USD
2018-10-14,0.017777,0.021124,0.017703,0.018505,0,USD
2018-10-21,0.018505,0.018701,0.018213,0.018265,0,USD
2018-10-28,0.018265,0.02001,0.017564,0.019802,0,USD
2018-11-04,0.019802,0.020482,0.019716,0.019936,0,USD
2018-11-11,0.019936,0.019996,0.015971,0.016514,0,USD
2018-11-18,0.016514,0.01676,0.011254,0.011536,0,USD
2018-11-25,0.011536,0.013114,0.010749,0.012453,0,USD
2018-12-02,0.012453,0.012776,0.009636,0.01029,0,USD
2018-12-09,0.01029,0.011086,0.009444,0.009647,0,USD
2018-12-16,0.009647,0.012608,0.009619,0.012109,0,USD
2018-12-23,0.012109,0.012867,0.010824,0.011396,0,USD
2018-12-30,0.011396,0.011952,0.011099,0.011481,0,USD
2019-01-06,0.011481,0.022961,0.010762,0.010866,0,USD
2019-01-13,0.010866,0.010915,0.010484,0.010629,0,USD
2019-01-20,0.010629,0.010629,0.010629,0.010629,0,USD
2019-01-27,0.010629,0.010629,0.010629,0.010629,0,USD
2019-07-21,0.010681,0.010886,0.009886,0.010056,0,USD
2019-07-28,0.010056,0.011281,0.009744,0.011192,0,USD
2019-08-04,0.011192,0.013681,0.010673,0.010749,0,USD
2019-08-11,0.010749,0.011906,0.009971,0.010181,0,USD
2019-08-18,0.010181,0.013701,0.010013,0.011877,0,USD
2019-08-25,0.011877,0.011968,0.003801,0.003801,0,USD
2019-09-01,0.003801,0.005616,0.003649,0.004929,0,USD
2019-09-08,0.004929,0.005034,0.004276,0.004411,0,USD
2019-09-15,0.004411,0.005051,0.004273,0.004405,0,USD
2019-09-22,0.004405,0.004445,0.00328,0.00367,0,USD
2019-09-29,0.00367,0.003893,0.003397,0.003631,0,USD
2019-10-06,0.003631,0.004039,0.003473,0.003993,0,USD
2019-10-13,0.003993,0.005393,0.003348,0.004916,0,USD
2019-10-20,0.004916,0.006171,0.004294,0.004733,0,USD
2019-10-27,0.004733,0.005123,0.004584,0.004739,0,USD
2019-11-03,0.004739,0.005958,0.00459,0.005506,0,USD
2019-11-10,0.005506,0.006452,0.005436,0.005897,0,USD
2019-11-17,0.005897,0.006109,0.004773,0.005479,0,USD
2019-11-24,0.005479,0.005538,0.004091,0.004411,0,USD
2019-12-01,0.004411,0.007776,0.004166,0.004418,0,USD
2019-12-08,0.004418,0.006747,0.004357,0.006254,0,USD
2019-12-15,0.006249,0.006251,0.004802,0.005354,0,USD
2019-12-22,0.005354,0.005801,0.005344,0.005521,0,USD
2019-12-29,0.005521,0.005678,0.005121,0.005516,0,USD
2020-01-05,0.005516,0.006344,0.00549,0.00598,0,USD
2020-01-12,0.00598,0.006671,0.003922,0.004906,0,USD
2020-01-19,0.004906,0.005082,0.003933,0.004007,0,USD
2020-01-26,0.004007,0.004774,0.003876,0.003988,0,USD
2020-02-02,0.003988,0.022,0.003712,0.003712,0,USD
2020-02-09,0.003712,0.00446,0.003288,0.004062,0,USD
2020-02-16,0.004062,0.004336,0.003714,0.003813,0,USD
2020-02-23,0.003813,0.003985,0.003184,0.003243,0,USD
2020-03-01,0.003243,0.003421,0.002858,0.002934,0,USD
2020-03-08,0.002934,0.002934,0.001147,0.001446,0,USD
2020-03-15,0.001446,0.001696,0.001094,0.001392,0,USD
2020-03-22,0.001392,0.001594,0.001026,0.001062,0,USD
2020-03-29,0.001062,0.001115,0.000954,0.001063,0,USD
2020-04-05,0.001063,0.001154,0.000711,0.000998,0,USD
2020-04-12,0.000998,0.001093,0.000974,0.001088,0,USD
2020-04-19,0.001088,0.001154,0.001014,0.001131,0,USD
2020-04-26,0.001131,0.001342,0.00112,0.001211,0,USD
2020-05-03,0.001211,0.001406,0.001152,0.001334,0,USD
2020-05-10,0.001334,0.001389,0.001147,0.001313,0,USD
2020-05-17,0.001313,0.001391,0.001235,0.001284,0,USD
2020-05-24,0.001284,0.001361,0.001213,0.001356,0,USD
2020-05-31,0.001356,0.001444,0.00131,0.001354,0,USD
2020-06-07,0.001354,0.001397,0.001281,0.001326,0,USD
2020-06-14,0.001326,0.001341,0.001251,0.00131,0,USD
2020-06-21,0.00131,0.001366,0.001241,0.001262,0,USD
2020-06-28,0.001262,0.001286,0.001208,0.001233,0,USD
2020-07-05,0.001233,0.001325,0.001207,0.001293,0,USD
2020-07-12,0.001293,0.001305,0.001268,0.001283,0,USD
2020-07-19,0.001283,0.001361,0.001274,0.001357,0,USD
2020-07-26,0.001357,0.00166,0.00135,0.001653,0,USD
2020-08-02,0.001653,0.001693,0.001493,0.001648,0,USD
2020-08-09,0.001648,0.001685,0.001504,0.001601,0,USD
2020-08-16,0.001601,0.00172,0.001554,0.001633,0,USD
2020-08-23,0.001633,0.001738,0.001614,0.001722,0,USD
2020-08-30,0.001722,0.001807,0.001481,0.001523,0,USD
2020-09-06,0.001523,0.001575,0.001483,0.001569,0,USD
2020-09-13,0.001569,0.001721,0.001517,0.001609,0,USD
2020-09-20,0.001609,0.001626,0.001475,0.001613,0,USD
2020-09-27,0.001613,0.001647,0.001534,0.001584,0,USD
2020-10-04,0.001584,0.001722,0.001548,0.001696,0,USD
2020-10-11,0.001696,0.00176,0.001685,0.001706,0,USD
2020-10-18,0.001706,0.001983,0.001663,0.001904,0,USD
2020-10-25,0.001904,0.002172,0.001819,0.002137,0,USD
2020-11-01,0.002137,0.002375,0.001934,0.002153,0,USD
2020-11-08,0.002153,0.002374,0.001176,0.001848,0,USD
2020-11-15,0.001848,0.002178,0.001816,0.002145,0,USD
2020-11-22,0.002145,0.002153,0.000817,0.000887,0,USD
2020-11-29,0.000887,0.000998,0.000878,0.000958,0,USD
2020-12-06,0.000958,0.000973,0.000882,0.00094,0,USD
2020-12-13,0.00094,0.001206,0.000937,0.001192,0,USD
2020-12-20,0.001192,0.001882,0.000772,0.000924,0,USD
2020-12-27,0.000924,0.001162,0.000904,0.001126,0,USD
2021-01-03,0.001126,0.002337,0.000908,0.001004,0,USD
2021-01-10,0.001004,0.002824,0.000767,0.001264,0,USD
2021-01-17,0.001264,0.001706,0.001188,0.001445,0,USD
2021-01-24,0.001445,0.003006,0.001172,0.002403,0,USD
2021-01-31,0.002403,0.003038,0.002258,0.002948,0,USD
2021-02-07,0.002948,0.003616,0.002646,0.003299,0,USD
2021-02-14,0.003299,0.004023,0.003294,0.003915,0,USD
2021-02-21,0.003915,0.004373,0.003089,0.003464,0,USD
2021-02-28,0.003464,0.003939,0.003024,0.003664,0,USD
2021-03-07,0.003664,0.004318,0.003208,0.004289,0,USD
2021-03-14,0.004289,0.004318,0.003739,0.004063,0,USD
2021-03-21,0.004063,0.004098,0.003534,0.003911,0,USD
2021-03-28,0.003911,0.004214,0.003812,0.003991,0,USD
2021-04-04,0.003991,0.004593,0.003955,0.004486,0,USD
2021-04-11,0.004486,0.004554,0.003942,0.004197,0,USD
2021-04-18,0.004197,0.004219,0.003337,0.003511,0,USD
2021-04-25,0.003511,0.004082,0.003227,0.004044,0,USD
2021-05-02,0.004044,0.004982,0.001989,0.002352,0,USD
2021-05-09,0.002352,0.002907,0.000857,0.001404,0,USD
2021-05-16,0.001404,0.001494,0.000896,0.001127,0,USD
2021-05-23,0.001127,0.001214,0.000862,0.001037,0,USD
2021-05-30,0.001037,0.001184,0.000923,0.001066,0,USD
2021-06-06,0.001066,0.001148,0.000897,0.001066,0,USD
2021-06-13,0.001066,0.001238,0.001046,0.001069,0,USD
2021-06-20,0.001069,0.001083,0.000877,0.000967,0,USD
2021-06-27,0.000967,0.001096,0.000963,0.001042,0,USD
2021-07-04,0.001042,0.001079,0.000964,0.001005,0,USD
2021-07-11,0.001005,0.001019,0.000817,0.000945,0,USD
2021-07-18,0.000945,0.001018,0.000879,0.001015,0,USD
2021-07-25,0.001031,0.001268,0.001016,0.001245,0,USD
2021-08-01,0.001245,0.00134,0.001123,0.001337,0,USD
2021-08-08,0.001337,0.001442,0.001284,0.001412,0,USD
2021-08-15,0.001412,0.001491,0.001319,0.001466,0,USD
2021-08-22,0.001466,0.001515,0.001391,0.001466,0,USD
2021-08-29,0.001466,0.001529,0.001395,0.001497,0,USD
2021-09-05,0.001497,0.001586,0.001293,0.001355,0,USD
2021-09-12,0.001355,0.001463,0.001308,0.001449,0,USD
2021-09-19,0.001449,0.00145,0.00119,0.00128,0,USD
2021-09-26,0.00128,0.001452,0.001223,0.001431,0,USD
2021-10-03,0.001431,0.001679,0.001409,0.001648,0,USD
2021-10-10,0.001648,0.002203,0.000817,0.002132,0,USD
2021-10-17,0.002132,0.002343,0.001836,0.002146,0,USD
