Date,Open,High,Low,Close,Volume,Currency
2018-02-04,0.98763,1.1031,0.57749,0.85694,263236,USD
2018-02-11,0.85694,0.95713,0.7589,0.93383,407748,USD
2018-02-18,0.93383,0.94788,0.67577,0.78842,532815,USD
2018-02-25,0.78842,1.11581,0.78266,0.991,431245,USD
2018-03-04,0.991,1.01887,0.74739,0.75054,484161,USD
2018-03-11,0.75054,0.86921,0.61433,0.6207,512865,USD
2018-03-18,0.6207,0.80851,0.55228,0.74705,505393,USD
2018-03-25,0.74705,0.75595,0.48365,0.49854,572740,USD
2018-04-01,0.49854,0.52707,0.44342,0.50755,665482,USD
2018-04-08,0.50755,0.62804,0.50346,0.6215,619610,USD
2018-04-15,0.6215,0.68831,0.59664,0.66578,644962,USD
2018-04-22,0.66578,0.76993,0.65899,0.70318,634997,USD
2018-04-29,0.70318,0.75221,0.63633,0.74455,632167,USD
2018-05-06,0.74455,0.75158,0.54371,0.59539,626036,USD
2018-05-13,0.59267,0.61798,0.53967,0.55911,677587,USD
2018-05-20,0.55911,0.5791,0.48106,0.52091,543327,USD
2018-05-27,0.52091,0.55521,0.48351,0.53792,594199,USD
2018-06-03,0.53792,0.54091,0.46692,0.46838,690111,USD
2018-06-10,0.46838,0.46838,0.35,0.40326,698049,USD
2018-06-17,0.40326,0.43046,0.34885,0.35347,671523,USD
2018-06-24,0.35347,0.35347,0.27533,0.31085,766593,USD
2018-07-01,0.31085,0.36415,0.30953,0.35298,752916,USD
2018-07-08,0.35298,0.35942,0.28797,0.30521,509673,USD
2018-07-15,0.30521,0.36899,0.30396,0.33889,742740,USD
2018-07-22,0.33889,0.36541,0.3131,0.35932,708362,USD
2018-07-29,0.35932,0.36339,0.30295,0.30562,642517,USD
2018-08-05,0.30562,0.32059,0.26507,0.27398,533564,USD
2018-08-12,0.27398,0.30667,0.23768,0.28666,565644,USD
2018-08-19,0.28666,0.30333,0.2649,0.28411,589557,USD
2018-08-26,0.28411,0.28536,0.25759,0.27357,581536,USD
2018-09-02,0.27357,0.27494,0.18778,0.19535,713489,USD
2018-09-09,0.19535,0.19535,0.15647,0.19033,644206,USD
2018-09-16,0.19033,0.19525,0.16877,0.17919,819502,USD
2018-09-23,0.17919,0.19931,0.17,0.17332,697198,USD
2018-09-30,0.17332,0.17332,0.17332,0.17332,0,USD
2018-10-07,0.17332,0.17332,0.17332,0.17332,0,USD
2018-10-14,0.17332,0.17332,0.17332,0.17332,0,USD
2018-10-21,0.17332,0.17332,0.17332,0.17332,0,USD
2018-11-04,0.17332,0.17332,0.17332,0.17332,0,USD
2018-11-11,0.17332,0.17332,0.17332,0.17332,0,USD
2018-11-18,0.17332,0.17332,0.17332,0.17332,0,USD
2018-11-25,0.17332,0.17332,0.17332,0.17332,0,USD
2018-12-02,0.17332,0.17332,0.17332,0.17332,0,USD
2018-12-09,0.17332,0.17332,0.17332,0.17332,0,USD
2018-12-16,0.17332,0.17332,0.17332,0.17332,0,USD
2018-12-23,0.17332,0.17332,0.17332,0.17332,0,USD
2018-12-30,0.17332,0.17332,0.17332,0.17332,0,USD
2019-01-06,0.17332,0.17332,0.17332,0.17332,0,USD
2019-01-13,0.17332,0.17332,0.17332,0.17332,0,USD
2019-01-20,0.17332,0.17332,0.17332,0.17332,0,USD
2019-01-27,0.17332,0.17332,0.17332,0.17332,0,USD
2019-03-17,0.17332,0.17332,0.17332,0.17332,0,USD
2019-08-11,0.05148,0.05432,0.01967,0.02298,133747,USD
2019-08-18,0.02298,0.0231,0.01523,0.01585,162320,USD
2019-08-25,0.01585,0.01983,0.01291,0.01805,12328,USD
2019-09-01,0.01805,0.02669,0.01801,0.02168,11287,USD
2019-09-08,0.02168,0.02413,0.02076,0.02164,363,USD
2019-09-15,0.02164,0.024,0.02164,0.02257,4515,USD
2019-09-22,0.02257,0.02257,0.0165,0.01859,8923,USD
2019-09-29,0.01878,0.01942,0.01731,0.01888,337,USD
2019-10-06,0.01736,0.018,0.01609,0.01657,50538,USD
2019-10-13,0.01657,0.01752,0.01539,0.01539,117981,USD
2019-10-20,0.01539,0.01539,0.008,0.01054,192274,USD
2019-10-27,0.01054,0.0126,0.01016,0.0126,45067,USD
2019-11-03,0.0126,0.0126,0.00973,0.01172,11152,USD
2019-11-10,0.01172,0.01183,0.00903,0.0094,32123,USD
2019-11-17,0.0094,0.01799,0.007,0.00782,68749,USD
2019-11-24,0.00782,0.00866,0.00689,0.00866,28477,USD
2019-12-01,0.00866,0.00947,0.00676,0.00871,41053,USD
2019-12-08,0.00871,0.00919,0.00768,0.00919,6186,USD
2019-12-15,0.00919,0.00919,0.00823,0.00823,12658,USD
2019-12-22,0.00823,0.00918,0.00823,0.00917,2663,USD
2019-12-29,0.00836,0.00836,0.0069,0.00751,1667,USD
2020-01-05,0.00751,0.00855,0.00751,0.00751,23487,USD
2020-01-12,0.00751,0.0125,0.00751,0.00896,29975,USD
2020-01-19,0.00896,0.01006,0.00833,0.00893,21717,USD
2020-01-26,0.00953,0.01143,0.00888,0.01112,2881,USD
2020-02-02,0.01083,0.022,0.01083,0.01694,2331,USD
2020-02-09,0.01694,0.02341,0.01694,0.01959,14943,USD
2020-02-16,0.01959,0.01959,0.01538,0.01627,5114,USD
2020-02-23,0.01627,0.01627,0.01165,0.01244,7440,USD
2020-03-01,0.01244,0.0126,0.0107,0.01192,904,USD
2020-03-08,0.01192,0.01192,0.00529,0.00644,34493,USD
2020-03-15,0.00644,0.00821,0.005,0.00797,14440,USD
2020-03-22,0.00797,0.00978,0.00705,0.0091,16392,USD
2020-03-29,0.0091,0.0094,0.00768,0.00925,2324,USD
2020-04-05,0.00898,0.00916,0.00745,0.0076,2994,USD
2020-04-12,0.0076,0.0076,0.00656,0.0071,741,USD
