Date,Open,High,Low,Close,Volume,Currency
2018-02-04,0.0653,0.0898,0.0385,0.0736,4991635,USD
2018-02-11,0.0736,0.0779,0.0666,0.0751,2771903,USD
2018-02-18,0.0751,0.078,0.0491,0.0558,2263396,USD
2018-02-25,0.0558,0.0603,0.0463,0.0479,4784652,USD
2018-03-04,0.0479,0.0497,0.026,0.0334,47892852,USD
2018-03-11,0.0334,0.0394,0.023,0.0231,69328432,USD
2018-03-18,0.0231,0.0303,0.0204,0.0264,56109340,USD
2018-03-25,0.0264,0.0271,0.019,0.0196,55327316,USD
2018-04-01,0.0196,0.0347,0.0165,0.0204,82812216,USD
2018-04-08,0.0204,0.0257,0.0202,0.0231,116273024,USD
2018-04-15,0.0231,0.0509,0.0214,0.0407,104610976,USD
2018-04-22,0.0407,0.0559,0.0344,0.0463,151611328,USD
2018-04-29,0.0463,0.0616,0.0,0.0496,166413760,USD
2018-05-06,0.0496,0.0514,0.0276,0.0347,185381680,USD
2018-05-13,0.0345,0.0366,0.03,0.0321,116560696,USD
2018-05-20,0.0321,0.0393,0.0243,0.0271,148755456,USD
2018-05-27,0.0269,0.0352,0.0238,0.0308,148439632,USD
2018-06-03,0.0308,0.0329,0.0243,0.0249,174332080,USD
2018-06-10,0.0249,0.0249,0.0188,0.0209,257246688,USD
2018-06-17,0.0209,0.0216,0.0148,0.016,208936208,USD
2018-06-24,0.016,0.0163,0.0129,0.0145,276764480,USD
2018-07-01,0.0145,0.016,0.013,0.0138,223631344,USD
2018-07-08,0.0138,0.0143,0.0109,0.0117,272038752,USD
2018-07-15,0.0117,0.0138,0.0112,0.012,230200608,USD
2018-07-22,0.012,0.0121,0.0102,0.0109,269249984,USD
2018-07-29,0.0109,0.0152,0.0089,0.0094,347712768,USD
2018-08-05,0.0094,0.0105,0.0057,0.0066,299709152,USD
2018-08-12,0.0066,0.0069,0.004,0.0048,289567904,USD
2018-08-19,0.0048,0.0052,0.004,0.0045,129932448,USD
2018-08-26,0.0045,0.0059,0.004,0.0052,109273272,USD
2018-09-02,0.0052,0.0064,0.0042,0.0042,179114096,USD
2018-09-09,0.0042,0.0046,0.0039,0.0044,101307040,USD
2018-09-16,0.0044,0.0048,0.0039,0.0045,194843008,USD
2018-09-23,0.0045,0.0051,0.0039,0.0044,116221816,USD
2018-09-30,0.0044,0.0061,0.0043,0.005308,190101632,USD
2018-10-07,0.005308,0.005438,0.0042,0.004578,155436864,USD
2018-10-14,0.004578,0.00555,0.004305,0.004785,343836736,USD
2018-10-21,0.004785,0.005042,0.004501,0.004505,140832832,USD
2018-10-28,0.004505,0.004642,0.004201,0.004253,17024992,USD
2018-11-04,0.004253,0.004395,0.003732,0.003783,155960928,USD
2018-11-11,0.003783,0.003849,0.002357,0.00254,188817568,USD
2018-11-18,0.00254,0.002687,0.001519,0.001527,120954824,USD
2018-11-25,0.001527,0.001954,0.001472,0.00181,93081576,USD
2018-12-02,0.00181,0.001851,0.0012,0.00134,74673728,USD
2018-12-09,0.00134,0.001442,0.001067,0.001194,72886976,USD
2018-12-16,0.001194,0.001356,0.001038,0.001169,137648608,USD
2018-12-23,0.001169,0.0013,0.001103,0.001208,77566648,USD
2018-12-30,0.001208,0.001208,0.00098,0.001088,62254264,USD
2019-01-06,0.001088,0.001176,0.0009,0.000957,55300692,USD
2019-01-13,0.000957,0.001071,0.000926,0.001019,47398928,USD
2019-01-20,0.001019,0.002185,0.000913,0.001648,142706480,USD
2019-01-27,0.001648,0.002,0.001,0.001135,164627552,USD
2019-02-03,0.001135,0.001926,0.00107,0.001332,548544384,USD
2019-02-10,0.001332,0.001542,0.001242,0.00129,91126336,USD
2019-02-17,0.00129,0.001375,0.001222,0.00127,59014784,USD
2019-02-24,0.00127,0.001398,0.001178,0.001204,24908524,USD
2019-03-03,0.001204,0.001382,0.001115,0.0013,135503,USD
2019-03-10,0.0013,0.001439,0.001225,0.001327,71933,USD
2019-03-17,0.001327,0.001393,0.001203,0.001295,36298,USD
2019-03-24,0.001295,0.00288,0.001001,0.002376,274921,USD
2019-03-31,0.002376,0.00385,0.0015,0.002311,56595208,USD
2019-04-07,0.002311,0.002735,0.001915,0.002472,100340880,USD
2019-04-14,0.002489,0.0034,0.002,0.002161,207036000,USD
2019-04-21,0.002161,0.00265,0.00175,0.001847,166268176,USD
2019-04-28,0.001847,0.001985,0.001561,0.001622,69129136,USD
2019-05-05,0.001622,0.001848,0.001537,0.001719,188033216,USD
2019-05-12,0.001719,0.002197,0.00156,0.001865,199975392,USD
2019-05-19,0.001865,0.003676,0.00176,0.002035,481490624,USD
2019-05-26,0.002035,0.00235,0.00185,0.001958,227617840,USD
2019-06-02,0.001958,0.00219,0.001604,0.001765,252133984,USD
2019-06-09,0.001765,0.00249,0.001671,0.001897,407268544,USD
2019-06-16,0.001897,0.002185,0.00175,0.001846,486164608,USD
2019-06-23,0.001846,0.002044,0.00117,0.001424,224124816,USD
2019-06-30,0.001424,0.001676,0.00133,0.001391,392302464,USD
2019-07-07,0.001391,0.001638,0.0011,0.001288,388959808,USD
2019-07-14,0.001288,0.001423,0.001005,0.001203,73833496,USD
2019-07-21,0.001203,0.001303,0.00106,0.001128,257242208,USD
2019-07-28,0.001128,0.001465,0.001072,0.001111,430765920,USD
2019-08-04,0.001111,0.001381,0.000873,0.000883,580428480,USD
2019-08-11,0.000883,0.001055,0.000783,0.000899,41267068,USD
2019-08-18,0.000899,0.000924,0.00079,0.000851,75451432,USD
2019-08-25,0.000851,0.00089,0.000736,0.000762,14184037,USD
2019-09-01,0.000762,0.00089,0.000715,0.000715,13765586,USD
2019-09-08,0.000715,0.00084,0.000632,0.000701,8473220,USD
2019-09-15,0.000701,0.000833,0.000685,0.000765,41173024,USD
2019-09-22,0.000765,0.000765,0.000426,0.000657,21753668,USD
2019-09-29,0.000657,0.000657,0.000502,0.000578,22975088,USD
2019-10-06,0.000578,0.000599,0.000508,0.000543,12610192,USD
2019-10-13,0.000543,0.000694,0.00043,0.000512,51891336,USD
2019-10-20,0.000512,0.000645,0.000439,0.000478,94899680,USD
2019-10-27,0.000478,0.000639,0.000478,0.000528,74715352,USD
2019-11-03,0.000528,0.000604,0.000503,0.000586,21216680,USD
2019-11-10,0.000586,0.000606,0.00052,0.00057,30891470,USD
2019-11-17,0.00057,0.00058,0.00041,0.000497,28614552,USD
2019-11-24,0.000497,0.001185,0.00039,0.000469,699618880,USD
2019-12-01,0.000469,0.000599,0.00045,0.000487,15178972,USD
2019-12-08,0.000487,0.000527,0.0004,0.000408,12739225,USD
2019-12-15,0.000408,0.00065,0.000383,0.000405,998641664,USD
2019-12-22,0.000405,0.000456,0.000372,0.000401,16027268,USD
2019-12-29,0.000401,0.000419,0.000361,0.000393,6932017,USD
2020-01-05,0.000393,0.000423,0.000368,0.000417,7426925,USD
2020-01-12,0.000417,0.000607,0.000372,0.000457,18392734,USD
2020-01-19,0.000457,0.000468,0.000394,0.000468,9322845,USD
2020-01-26,0.000468,0.000479,0.000402,0.000437,13185498,USD
2020-02-02,0.000437,0.000468,0.000437,0.000468,117375120,USD
2020-02-09,0.000468,0.000548,0.000414,0.000415,71128256,USD
2020-02-16,0.000415,0.000436,0.000373,0.000375,30564556,USD
2020-02-23,0.000375,0.000393,0.000294,0.000316,17501500,USD
2020-03-01,0.000316,0.000348,0.000296,0.000322,8465674,USD
2020-03-08,0.000322,0.000322,0.000104,0.00018,33760408,USD
2020-03-15,0.00018,0.00023,0.000142,0.000163,14561650,USD
2020-03-22,0.000163,0.000198,0.000115,0.000148,6875958,USD
2020-03-29,0.000148,0.000181,0.000148,0.00018,1196440,USD
2020-04-05,0.00018,0.00018,0.000142,0.00017,8477166,USD
2020-04-12,0.00017,0.000171,0.000142,0.000171,4477048,USD
2020-04-19,0.000171,0.000171,0.000125,0.000169,1195404,USD
2020-04-26,0.000169,0.000176,0.000136,0.00017,17853584,USD
2020-05-03,0.00017,0.000172,0.000143,0.000144,2918902,USD
2020-05-10,0.000144,0.000167,0.000122,0.000163,10559147,USD
2020-05-17,0.000163,0.000237,0.000122,0.000134,11696740,USD
2020-05-24,0.000134,0.00019,0.000134,0.000169,20047420,USD
2020-05-31,0.000169,0.000226,0.000136,0.000169,28880606,USD
2020-06-07,0.000169,0.000285,0.000139,0.000282,75117432,USD
2020-06-14,0.000282,0.000546,0.000196,0.000219,789968064,USD
2020-06-21,0.000219,0.000241,0.000196,0.0002,14676125,USD
2020-06-28,0.0002,0.00023,0.000197,0.000211,7866574,USD
2020-07-05,0.000211,0.000285,0.000198,0.000261,11823471,USD
2020-07-12,0.000261,0.000269,0.000207,0.000237,10864650,USD
2020-07-19,0.000237,0.000263,0.000223,0.000258,4595732,USD
2020-07-26,0.000258,0.000271,0.000226,0.000271,5937259,USD
2020-08-02,0.000271,0.000283,0.000222,0.000242,11118830,USD
2020-08-09,0.000242,0.000276,0.00015,0.000223,26546548,USD
2020-08-16,0.000223,0.000273,0.000192,0.000263,54865340,USD
2020-08-23,0.000263,0.000278,0.000224,0.000239,30932620,USD
2020-08-30,0.000239,0.000316,0.00023,0.000235,58871452,USD
2020-09-06,0.000235,0.00042,0.000235,0.000345,32513160,USD
2020-09-13,0.000345,0.000362,0.000236,0.000261,18637386,USD
2020-09-20,0.000261,0.000282,0.000241,0.000244,9467559,USD
2020-09-27,0.000244,0.000264,0.000213,0.000217,3630518,USD
2020-10-04,0.000217,0.000256,0.000216,0.000218,633802,USD
2020-10-11,0.000218,0.000228,0.000217,0.000219,421357,USD
2020-10-18,0.000219,0.00026,0.000216,0.000216,11053,USD
2020-10-25,0.000216,0.00026,0.000216,0.000217,359998,USD
2020-11-01,0.000217,0.000259,0.000217,0.000219,8726009,USD
2020-11-08,0.000218,0.00024,0.000216,0.000216,3554678,USD
2020-11-15,0.000191,0.00023,0.00015,0.000177,12042797,USD
2020-11-22,0.000177,0.00026,0.000161,0.000163,4963139,USD
2020-11-29,0.000163,0.000259,0.000163,0.000226,10341169,USD
2020-12-06,0.000226,0.000415,0.000179,0.000215,48861920,USD
2020-12-13,0.000215,0.0004,0.000181,0.000247,40335848,USD
2020-12-20,0.000247,0.0003,0.00022,0.000234,110502072,USD
2020-12-27,0.000234,0.000254,0.000222,0.000247,524075712,USD
2021-01-03,0.000245,0.000265,0.000223,0.000237,510478304,USD
2021-01-10,0.000237,0.00039,0.000222,0.000242,742677440,USD
2021-01-17,0.000242,0.0003,0.000225,0.000256,140242240,USD
2021-01-24,0.000256,0.000342,0.000226,0.000257,15310446,USD
2021-01-31,0.000257,0.000346,0.000223,0.000245,24686684,USD
2021-02-07,0.000245,0.00045,0.000232,0.000392,61361128,USD
2021-02-14,0.000392,0.000608,0.00035,0.000385,74133744,USD
2021-02-21,0.000385,0.000506,0.000223,0.000405,61170952,USD
2021-02-28,0.000405,0.000407,0.000273,0.000318,37951968,USD
2021-03-07,0.000318,0.00046,0.000298,0.000408,39334344,USD
2021-03-14,0.000408,0.000606,0.000272,0.000591,60948508,USD
2021-03-21,0.000591,0.000757,0.000484,0.000536,40970644,USD
2021-03-28,0.000536,0.000687,0.000523,0.000624,56769772,USD
2021-04-04,0.000624,0.00125,0.00055,0.001224,90426016,USD
2021-04-11,0.001224,0.00164,0.000865,0.001136,81117792,USD
2021-04-18,0.001136,0.001295,0.000631,0.000883,26841000,USD
