Date,Open,High,Low,Close,Volume,Currency
2018-03-04,0.86512,0.87099,0.51992,0.56886,0,USD
2018-03-11,0.56886,0.62195,0.38762,0.38966,0,USD
2018-03-18,0.38966,0.43659,0.33095,0.3941,0,USD
2018-03-25,0.3941,0.39735,0.27592,0.28985,0,USD
2018-04-01,0.28985,0.3352,0.27306,0.29248,0,USD
2018-04-08,0.29248,0.53624,0.2832,0.46029,0,USD
2018-04-15,0.46029,0.55326,0.43802,0.52737,0,USD
2018-04-22,0.52737,0.63115,0.51825,0.58639,0,USD
2018-04-29,0.58639,0.66712,0.55313,0.55592,0,USD
2018-05-06,0.55636,0.56679,6e-05,0.41276,0,USD
2018-05-13,0.41374,0.61932,0.37377,0.46885,0,USD
2018-05-20,0.46885,0.62519,0.43681,0.45588,0,USD
2018-05-27,0.45598,0.4581,0.4074,0.42005,0,USD
2018-06-03,0.41974,0.4363,0.38037,0.3818,0,USD
2018-06-10,0.38374,0.38618,0.26233,0.28898,0,USD
2018-06-17,0.28903,0.30158,0.25104,0.25943,0,USD
2018-06-24,0.2597,0.3054,0.21521,0.29622,0,USD
2018-07-01,0.29621,0.29805,0.0,0.29133,0,USD
2018-07-08,0.29133,0.29283,0.20907,0.21503,0,USD
2018-07-15,0.21503,0.29834,0.21412,0.25453,0,USD
2018-07-22,0.25453,0.33055,0.25265,0.28444,0,USD
2018-07-29,0.28444,0.2995,0.21646,0.22079,0,USD
2018-08-05,0.22079,0.22676,0.16738,0.16785,0,USD
2018-08-12,0.16785,0.18298,0.14588,0.16935,0,USD
2018-08-19,0.16935,0.42041,0.15335,0.17202,0,USD
2018-08-26,0.17202,0.18184,0.15511,0.16223,0,USD
2018-09-02,0.16223,0.40817,0.12444,0.12624,0,USD
2018-09-09,0.12624,0.14649,0.11444,0.13278,0,USD
2018-09-16,0.13278,0.2545,0.12219,0.19917,0,USD
2018-09-23,0.19917,0.35845,0.13955,0.15851,0,USD
2018-09-30,0.15851,0.19669,0.11969,0.15405,0,USD
2018-10-07,0.15405,0.20222,0.0742,0.10394,0,USD
2018-10-14,0.10394,0.12351,0.10351,0.1082,0,USD
2018-10-21,0.1082,0.10934,0.10649,0.1068,0,USD
2018-10-28,0.1068,0.10696,0.1027,0.10495,0,USD
2018-11-04,0.10495,0.10856,0.1045,0.10566,0,USD
2018-11-11,0.10566,0.10675,0.0894,0.09245,0,USD
2018-11-18,0.09245,0.09382,0.063,0.06458,0,USD
2018-11-25,0.06458,0.07341,0.06017,0.06971,0,USD
2018-12-02,0.06971,0.07152,0.05394,0.0576,0,USD
2018-12-09,0.0576,0.06206,0.05287,0.05401,0,USD
2018-12-16,0.05401,0.11839,0.01673,0.10298,0,USD
2018-12-23,0.10298,0.10508,0.03641,0.041,0,USD
2018-12-30,0.041,0.08008,0.04061,0.05477,0,USD
2019-01-06,0.05477,0.14728,0.04583,0.0518,0,USD
2019-01-13,0.0518,0.05306,0.04295,0.04525,0,USD
2019-01-20,0.04525,0.41863,0.04264,0.0687,0,USD
2019-01-27,0.0687,0.07726,0.04336,0.04427,0,USD
2019-02-03,0.04427,0.09157,0.04157,0.05615,0,USD
2019-02-10,0.05615,0.05869,0.04165,0.04562,0,USD
2019-02-17,0.04562,0.06174,0.04469,0.05131,0,USD
2019-02-24,0.05131,0.05327,0.03992,0.04163,0,USD
2019-03-03,0.04163,0.04557,0.02535,0.0261,0,USD
2019-03-10,0.0261,0.0431,0.02504,0.02871,0,USD
2019-03-17,0.02871,0.03229,0.02788,0.02828,0,USD
2019-03-24,0.02828,0.03453,0.02778,0.03261,0,USD
2019-03-31,0.0323,0.04804,0.03228,0.04526,0,USD
2019-04-07,0.04526,0.04816,0.03776,0.04449,0,USD
2019-04-14,0.04449,0.04984,0.04337,0.04651,0,USD
2019-04-21,0.04651,0.04674,0.02704,0.03281,0,USD
2019-04-28,0.03281,0.0369,0.03017,0.03617,0,USD
2019-05-05,0.03617,0.04719,0.03511,0.04277,0,USD
2019-05-12,0.04277,0.46297,0.04096,0.07328,0,USD
2019-05-19,0.07328,0.14592,0.03344,0.04954,0,USD
2019-05-26,0.04954,0.27205,0.04355,0.06016,0,USD
2019-06-02,0.06016,0.06153,0.046,0.04804,0,USD
2019-06-09,0.04804,0.05283,0.04413,0.05061,0,USD
2019-06-16,0.05061,0.06727,0.05034,0.06466,0,USD
2019-06-23,0.06466,0.08389,0.0633,0.07151,0,USD
2019-06-30,0.07151,0.07319,0.04663,0.04851,0,USD
2019-07-07,0.04851,0.20389,0.04788,0.08625,0,USD
2019-07-14,0.08625,0.13717,0.068,0.07931,0,USD
2019-07-21,0.07931,0.08296,0.07009,0.07115,0,USD
2019-07-28,0.07115,0.07758,0.06409,0.06488,0,USD
2019-08-04,0.06488,0.06721,0.06065,0.06336,0,USD
2019-08-11,0.06336,0.06415,0.04112,0.04195,0,USD
2019-08-18,0.04195,0.04315,0.03195,0.03299,0,USD
2019-08-25,0.03299,0.04032,0.02823,0.02954,0,USD
2019-09-01,0.02954,0.03326,0.02939,0.0324,0,USD
2019-09-08,0.0324,0.03285,0.02084,0.03021,0,USD
2019-09-15,0.03021,0.03027,0.02315,0.02393,0,USD
2019-09-22,0.02393,0.08417,0.02363,0.05493,0,USD
2019-09-29,0.05493,0.05499,0.02635,0.03101,0,USD
2019-10-06,0.03101,0.05764,0.03023,0.0406,0,USD
2019-10-13,0.0406,0.05086,0.03899,0.03965,0,USD
2019-10-20,0.03965,0.04644,0.03284,0.0412,0,USD
2019-10-27,0.0412,0.05093,0.037,0.0393,0,USD
2019-11-03,0.0393,0.04684,0.03547,0.03568,0,USD
2019-11-10,0.03568,0.03765,0.0346,0.03615,0,USD
2019-11-17,0.03615,0.04204,0.02782,0.02981,0,USD
2019-11-24,0.02981,0.03201,0.02641,0.03061,0,USD
2019-12-01,0.03061,0.03081,0.02416,0.02419,0,USD
2019-12-08,0.02419,0.02683,0.02077,0.02092,0,USD
2019-12-15,0.0209,0.0216,0.0165,0.02149,0,USD
2019-12-22,0.02149,0.02213,0.0144,0.01477,0,USD
2019-12-29,0.01477,0.01611,0.0141,0.01478,0,USD
2020-01-05,0.01478,0.02131,0.01171,0.01284,0,USD
2020-01-12,0.01284,0.02165,0.01268,0.02114,0,USD
2020-01-19,0.02114,0.02179,0.01721,0.01737,0,USD
2020-01-26,0.01737,0.02512,0.01727,0.02158,0,USD
2020-02-02,0.02158,0.03933,0.02158,0.03515,0,USD
2020-02-09,0.03515,0.03734,0.03314,0.03487,0,USD
2020-02-16,0.03487,0.03934,0.03281,0.03881,0,USD
2020-02-23,0.03881,0.03985,0.03225,0.03226,0,USD
2020-03-01,0.03226,0.03577,0.02938,0.02951,0,USD
2020-03-08,0.02951,0.03248,0.01218,0.01653,0,USD
2020-03-15,0.01653,0.02125,0.01443,0.01863,0,USD
2020-03-22,0.01863,0.02234,0.01716,0.01993,0,USD
2020-03-29,0.01993,0.02575,0.01918,0.02469,0,USD
2020-04-05,0.02469,0.0267,0.02195,0.0234,0,USD
2020-04-12,0.0234,0.02535,0.02285,0.02443,0,USD
2020-04-19,0.02443,0.02653,0.02245,0.02594,0,USD
