Date,Open,High,Low,Close,Volume,Currency
2018-02-04,2.4072,2.4839,1.3532,1.7001,24988,USD
2018-02-11,1.7001,2.0972,1.6806,1.9895,23732,USD
2018-02-18,1.9895,3.0313,1.86,2.0125,141409,USD
2018-02-25,2.0125,2.898,2.0125,2.2586,21486,USD
2018-03-04,2.2586,2.2984,1.5221,1.6365,30564,USD
2018-03-11,1.6365,1.7651,1.1989,1.4581,4663,USD
2018-03-18,1.4581,1.4582,0.9287,1.3003,688521,USD
2018-03-25,1.3003,1.4582,0.9308,1.0158,12177,USD
2018-04-01,1.0158,1.16,0.9541,0.9541,7660,USD
2018-04-08,0.9541,1.419,0.9541,1.1926,11168,USD
2018-04-15,1.1926,2.3644,1.1926,1.966,193216,USD
2018-04-22,1.966,2.29,1.25,1.6889,93928,USD
2018-04-29,1.6889,2.3297,1.5,1.8901,161774,USD
2018-05-06,1.8688,1.9011,1.032,1.3667,112017,USD
2018-05-13,1.3667,1.5693,1.201,1.3563,56287,USD
2018-05-20,1.3563,1.4759,1.0031,1.072,23076,USD
2018-05-27,1.072,1.2994,0.7841,1.1182,32855,USD
2018-06-03,1.1182,1.1885,1.0,1.0,66354,USD
2018-06-10,0.972,1.0,0.7032,0.7412,52964,USD
2018-06-17,0.7412,0.9054,0.6315,0.6438,98379,USD
2018-06-24,0.6288,0.7,0.5049,0.5925,15720,USD
2018-07-01,0.5925,1.1795,0.5925,0.76,131177,USD
2018-07-08,0.76,0.76,0.5882,0.5899,32778,USD
2018-07-15,0.5899,0.8282,0.5899,0.673,41755,USD
2018-07-22,0.673,0.8318,0.63,0.6685,49603,USD
2018-07-29,0.6685,0.6737,0.5265,0.5265,17093,USD
2018-08-05,0.5265,0.79,0.4001,0.4319,17614,USD
2018-08-12,0.4319,0.5363,0.37,0.41,10479,USD
2018-08-19,0.41,0.6468,0.3578,0.4771,10869,USD
2018-08-26,0.4335,0.4916,0.4087,0.4757,5639,USD
2018-09-02,0.4757,0.6998,0.35,0.3901,24230,USD
2018-09-09,0.3901,0.4034,0.3566,0.3762,3252,USD
