Date,Open,High,Low,Close,Volume,Currency
2018-02-04,23.93,24.69,16.0,20.47,73846,USD
2018-02-11,20.47,22.49,19.38,22.24,23902,USD
2018-02-18,22.24,23.59,18.26,18.7,36198,USD
2018-02-25,18.7,20.32,17.08,18.27,38988,USD
2018-03-04,18.27,18.75,12.19,13.11,35800,USD
2018-03-11,13.11,14.26,10.0,10.71,35103,USD
2018-03-18,10.71,11.08,6.01,9.48,163138,USD
2018-03-25,9.48,9.48,8.4,8.92,53258,USD
2018-04-01,8.92,9.77,8.0,9.34,37128,USD
2018-04-08,9.34,13.59,9.06,13.35,139200,USD
2018-04-15,13.35,18.93,12.42,16.5,280069,USD
2018-04-22,16.5,17.55,14.88,16.92,259921,USD
2018-04-29,16.92,17.67,0.0,15.55,236741,USD
2018-05-06,15.55,16.89,10.88,13.11,187038,USD
2018-05-13,13.11,14.5,12.19,13.79,75226,USD
2018-05-20,13.79,14.05,10.6,11.56,88858,USD
2018-05-27,11.56,12.5,10.68,12.15,63211,USD
2018-06-03,12.15,12.26,10.89,11.21,53857,USD
2018-06-10,11.21,11.56,9.15,9.66,116356,USD
2018-06-17,9.66,10.19,7.98,8.49,51622,USD
2018-06-24,8.49,9.45,7.3,8.37,32737,USD
2018-07-01,8.46,12.02,8.06,9.38,45125,USD
2018-07-08,9.38,9.9,8.18,8.36,25310,USD
2018-07-15,8.36,9.36,8.3,8.78,41987,USD
2018-07-22,8.78,8.91,8.28,8.36,23259,USD
2018-07-29,8.36,8.51,8.0,8.01,37618,USD
2018-08-05,8.01,8.56,5.55,6.35,31060,USD
2018-08-12,6.35,6.73,4.64,5.74,40962,USD
2018-08-19,5.74,6.0,5.1,5.73,18268,USD
2018-08-26,5.73,7.2,5.46,7.06,30357,USD
2018-09-02,7.06,7.06,5.3,5.45,25383,USD
2018-09-09,5.45,5.59,4.85,5.34,21706,USD
2018-09-16,5.34,5.52,4.95,5.28,33252,USD
2018-09-23,5.28,5.53,4.61,5.17,32603,USD
2018-09-30,5.17,5.4,5.01,5.37,16533,USD
2018-10-07,5.37,5.38,4.83,4.99,22435,USD
2018-10-14,4.99,5.33,4.9,5.22,31245,USD
2018-10-21,5.22,5.24,4.9,4.96,18584,USD
2018-10-28,4.96,5.12,4.52,4.88,36132,USD
2018-11-04,4.88,5.1,4.7,4.83,27586,USD
2018-11-11,4.83,5.05,4.18,4.48,45696,USD
2018-11-18,4.48,4.6,3.3,3.7,31655,USD
2018-11-25,3.7,3.78,2.79,3.51,64046,USD
2018-12-02,3.51,3.51,2.73,2.96,43227,USD
2018-12-09,2.96,3.2,2.58,2.99,31136,USD
2018-12-16,2.99,4.77,2.99,3.69,98951,USD
2018-12-23,3.69,4.5,3.68,3.81,58974,USD
2018-12-30,3.81,3.99,3.68,3.82,33305,USD
2019-01-06,3.82,3.9,3.65,3.7,17712,USD
2019-01-13,3.7,4.2,3.51,4.03,34904,USD
2019-01-20,4.03,4.19,3.68,3.68,20734,USD
2019-01-27,3.68,3.89,3.35,3.63,18459,USD
2019-02-03,3.63,4.05,3.59,3.98,17705,USD
2019-02-10,3.98,4.22,3.68,4.07,52706,USD
2019-02-17,4.07,4.22,3.94,4.13,50334,USD
2019-02-24,4.13,4.19,3.8,3.99,154774,USD
2019-03-03,3.99,4.18,3.8,3.92,196093,USD
2019-03-10,3.92,4.07,3.79,3.85,183213,USD
2019-03-17,3.85,3.98,3.84,3.9,98656,USD
2019-03-24,3.9,3.97,3.79,3.97,281885,USD
2019-03-31,3.97,4.5,3.86,4.21,527928,USD
2019-04-07,4.21,4.8,3.9,4.78,148272,USD
2019-04-14,4.78,7.94,4.5,7.06,670741,USD
2019-04-21,7.06,7.37,5.89,6.87,242789,USD
2019-04-28,6.87,11.39,6.71,10.36,196321,USD
2019-05-05,10.36,10.69,8.1,9.01,236293,USD
2019-05-12,9.01,9.05,6.58,7.04,286928,USD
2019-05-19,7.04,8.0,7.04,7.59,89185,USD
2019-05-26,7.59,8.01,6.61,7.2,400376,USD
2019-06-02,7.2,7.68,6.21,6.95,90640,USD
2019-06-09,6.95,8.76,6.52,8.06,57200,USD
2019-06-16,8.06,9.28,7.7,9.19,138939,USD
2019-06-23,9.19,10.5,8.56,9.63,110712,USD
