Date,Open,High,Low,Close,Volume,Currency
2018-03-11,0.72964,0.79421,0.50836,0.51112,0,USD
2018-03-18,0.50942,0.56301,0.42184,0.53668,0,USD
2018-03-25,0.53592,0.5487,0.32808,0.35384,0,USD
2018-04-01,0.3539,0.37578,0.32228,0.34406,0,USD
2018-04-08,0.34361,0.47244,0.34361,0.44926,0,USD
2018-04-15,0.44917,0.6025,0.44651,0.5839,0,USD
2018-04-22,0.5839,0.91061,0.55892,0.6403,0,USD
2018-04-29,0.63965,0.77729,0.5888,0.76718,0,USD
2018-05-06,0.76764,0.78479,0.00094,0.63869,0,USD
2018-05-13,0.6394,0.69494,0.6159,0.65165,0,USD
2018-05-20,0.65219,0.67684,0.50667,0.54847,0,USD
2018-05-27,0.54847,0.56184,0.47132,0.55301,0,USD
2018-06-03,0.55342,0.58818,0.53959,0.55559,0,USD
2018-06-10,0.55353,0.55353,0.42172,0.46529,0,USD
2018-06-17,0.46529,0.51318,0.4268,0.44986,0,USD
2018-06-24,0.45084,0.45176,0.38479,0.43132,0,USD
2018-07-01,0.43121,0.46433,0.0,0.46244,0,USD
2018-07-08,0.46244,0.47064,0.39691,0.41183,0,USD
2018-07-15,0.41183,0.47663,0.39989,0.42619,0,USD
2018-07-22,0.42619,0.44862,0.41316,0.44447,0,USD
2018-07-29,0.44447,0.44447,0.36815,0.37616,0,USD
2018-08-05,0.37647,0.38238,0.28227,0.29427,0,USD
2018-08-12,0.29393,0.30266,0.23216,0.27197,0,USD
2018-08-19,0.27226,0.28346,0.24074,0.25649,0,USD
2018-08-26,0.25649,0.27951,0.24924,0.27355,0,USD
2018-09-02,0.27355,0.2769,0.17661,0.18194,0,USD
2018-09-09,0.18194,0.21045,0.15531,0.20607,0,USD
2018-09-16,0.20521,0.23578,0.17823,0.22284,0,USD
2018-09-23,0.22292,0.23074,0.18826,0.21468,0,USD
2018-09-30,0.21468,0.22089,0.2001,0.20842,0,USD
2018-10-07,0.20842,0.21494,0.17583,0.18616,0,USD
