Date,Open,High,Low,Close,Volume,Currency
2018-03-04,0.191652,0.195088,0.126453,0.132957,0,USD
2018-03-11,0.132957,0.173637,0.128003,0.133441,0,USD
2018-03-18,0.133441,0.152739,0.124387,0.136909,0,USD
2018-03-25,0.136909,0.139555,0.106046,0.112258,0,USD
2018-04-01,0.112258,0.127975,0.104569,0.117983,0,USD
2018-04-08,0.117983,0.138839,0.11275,0.129803,0,USD
2018-04-15,0.129803,0.151061,0.126918,0.149091,0,USD
2018-04-22,0.149091,0.162479,0.116324,0.135285,0,USD
2018-04-29,0.135285,0.162082,0.1287,0.143167,0,USD
2018-05-06,0.143632,0.145468,1.5e-05,0.124086,0,USD
2018-05-13,0.124368,0.130246,0.11626,0.120839,0,USD
2018-05-20,0.120839,0.184207,0.116942,0.13318,0,USD
2018-05-27,0.133206,0.137896,0.118538,0.123087,0,USD
2018-06-03,0.122994,0.156001,0.101813,0.117733,0,USD
2018-06-10,0.117765,0.117765,0.088629,0.097644,0,USD
2018-06-17,0.097663,0.127608,0.0915,0.099846,0,USD
2018-06-24,0.099877,0.103441,0.08958,0.098749,0,USD
2018-07-01,0.098748,0.122222,1e-06,0.121069,0,USD
2018-07-08,0.121069,0.121588,0.080498,0.102438,0,USD
2018-07-15,0.102438,0.122322,0.102133,0.116751,0,USD
2018-07-22,0.116751,0.13331,0.109792,0.109792,0,USD
2018-07-29,0.109792,0.110198,0.084753,0.085648,0,USD
2018-08-05,0.085648,0.101302,0.066131,0.079257,0,USD
2018-08-12,0.079257,0.082302,0.073372,0.079213,0,USD
2018-08-19,0.079213,0.079218,0.056476,0.066212,0,USD
2018-08-26,0.066212,0.085524,0.064659,0.083886,0,USD
2018-09-02,0.083886,0.086145,0.067234,0.067726,0,USD
2018-09-09,0.067726,0.091976,0.067409,0.072536,0,USD
2018-09-16,0.072536,0.072536,0.040161,0.040647,0,USD
2018-09-23,0.040647,0.04136,0.038394,0.041015,0,USD
2018-09-30,0.041015,0.043824,0.039938,0.043638,0,USD
2018-10-07,0.043638,0.044877,0.041446,0.042039,0,USD
2018-10-14,0.042039,0.049954,0.037473,0.0379,0,USD
2018-10-21,0.0379,0.038267,0.036996,0.037116,0,USD
2018-10-28,0.037116,0.037172,0.035691,0.036986,0,USD
2018-11-04,0.036986,0.037778,0.036731,0.036946,0,USD
2018-11-11,0.036946,0.037458,0.031371,0.032606,0,USD
2018-11-18,0.032606,0.033149,0.022221,0.022778,0,USD
2018-11-25,0.022778,0.027008,0.021223,0.025436,0,USD
2018-12-02,0.025436,0.026097,0.017433,0.018617,0,USD
2018-12-09,0.018617,0.020056,0.017118,0.017487,0,USD
2018-12-16,0.017487,0.022531,0.017435,0.021578,0,USD
2018-12-23,0.021578,0.022884,0.017703,0.018578,0,USD
2018-12-30,0.018578,0.019445,0.014493,0.014806,0,USD
2019-01-06,0.014806,0.029767,0.01414,0.015346,0,USD
2019-01-13,0.015346,0.01632,0.014824,0.016001,0,USD
2019-01-20,0.016001,0.016328,0.015093,0.015966,0,USD
