Date,Open,High,Low,Close,Volume,Currency
2018-02-04,0.450192,0.505899,0.268663,0.467739,11968556,USD
2018-02-11,0.467739,0.467847,0.395918,0.441224,4838340,USD
2018-02-18,0.441224,0.49705,0.336512,0.344282,5310074,USD
2018-02-25,0.344282,0.374431,0.312046,0.355527,3992157,USD
2018-03-04,0.355527,0.375391,0.22308,0.26107,4616547,USD
2018-03-11,0.26107,0.33,0.241589,0.291332,3657107,USD
2018-03-18,0.291332,0.375019,0.252973,0.350383,5006526,USD
2018-03-25,0.350383,0.430352,0.313486,0.375205,4720448,USD
2018-04-01,0.375205,0.410079,0.332685,0.370716,3180012,USD
2018-04-08,0.370716,0.471741,0.354882,0.410691,7069805,USD
2018-04-15,0.410691,0.44004,0.36979,0.396703,9030844,USD
2018-04-22,0.396703,0.479821,0.378763,0.431276,15572865,USD
2018-04-29,0.431276,0.694545,0.425984,0.618633,32931424,USD
2018-05-06,0.618631,0.6378,0.323091,0.367604,16122353,USD
2018-05-13,0.373699,0.44905,0.351062,0.356588,8463473,USD
2018-05-20,0.356656,0.388362,0.268471,0.284479,4776135,USD
2018-05-27,0.28316,0.335228,0.25756,0.329534,4203124,USD
2018-06-03,0.330964,0.335087,0.25428,0.267772,3762794,USD
2018-06-10,0.267772,0.267772,0.19112,0.199204,3330013,USD
2018-06-17,0.199204,0.211403,0.150749,0.152974,2279032,USD
2018-06-24,0.152974,0.184003,0.139757,0.16118,1987440,USD
2018-07-01,0.16113,0.208709,0.157151,0.170789,4639073,USD
2018-07-08,0.170786,0.178469,0.131334,0.134587,2968571,USD
2018-07-15,0.134587,0.168813,0.127447,0.135063,4410902,USD
2018-07-22,0.135063,0.142072,0.117622,0.118856,3959649,USD
2018-07-29,0.118859,0.121056,0.081916,0.084842,3608449,USD
2018-08-05,0.084842,0.108806,0.0684,0.073538,4169984,USD
2018-08-12,0.073538,0.075806,0.053214,0.062317,42322568,USD
2018-08-19,0.062317,0.066207,0.058517,0.064221,3653000,USD
2018-08-26,0.064221,0.067945,0.059191,0.065929,4115049,USD
2018-09-02,0.065929,0.066773,0.046851,0.049042,5603333,USD
2018-09-09,0.049042,0.049042,0.04095,0.044219,5047773,USD
2018-09-16,0.044219,0.057254,0.042862,0.052809,6633412,USD
2018-09-23,0.052809,0.06488,0.044803,0.060407,6007488,USD
2018-09-30,0.060407,0.063713,0.054751,0.056103,2929444,USD
2018-10-07,0.056103,0.056196,0.044128,0.045544,3073242,USD
2018-10-14,0.045544,0.054618,0.045062,0.0512,3741856,USD
2018-10-21,0.0512,0.052875,0.046802,0.047851,2220422,USD
2018-10-28,0.047851,0.049073,0.04351,0.046154,5077099,USD
2018-11-04,0.046154,0.0466,0.041694,0.042076,2427639,USD
2018-11-11,0.042076,0.043857,0.025085,0.026549,4164289,USD
2018-11-18,0.026549,0.027457,0.017348,0.017714,4006808,USD
2018-11-25,0.017714,0.02033,0.015372,0.019369,12285383,USD
2018-12-02,0.019369,0.022638,0.019005,0.019659,17709118,USD
2018-12-09,0.019659,0.02104,0.0175,0.019371,16829018,USD
2018-12-16,0.019371,0.019508,0.018785,0.019508,15818979,USD
2018-12-23,0.019508,0.021351,0.0155,0.019511,17857530,USD
