Date,Open,High,Low,Close,Volume,Currency
2018-03-04,0.21647,0.22104,0.16743,0.16991,0,USD
2018-03-11,0.16991,0.21956,0.14431,0.1478,0,USD
2018-03-18,0.1478,0.17337,0.13176,0.15562,0,USD
2018-03-25,0.15562,0.1583,0.10799,0.11389,0,USD
2018-04-01,0.11389,0.14226,0.10665,0.12418,0,USD
2018-04-08,0.12418,0.17079,0.109,0.16911,0,USD
2018-04-15,0.16911,0.27909,0.15422,0.26417,0,USD
2018-04-22,0.26417,0.27868,0.14653,0.16816,0,USD
2018-04-29,0.16816,0.20822,0.16601,0.19884,0,USD
2018-05-06,0.19902,0.29018,2e-05,0.28749,0,USD
2018-05-13,0.28814,0.61899,0.28296,0.53935,0,USD
2018-05-20,0.53935,0.66281,0.43148,0.47815,0,USD
2018-05-27,0.47826,0.55683,0.40477,0.55303,0,USD
2018-06-03,0.55261,1.17196,0.55029,0.66074,0,USD
2018-06-10,0.66092,0.89543,0.51413,0.62553,0,USD
2018-06-17,0.62574,0.99333,0.60791,0.95364,0,USD
2018-06-24,0.95352,1.02259,0.424,0.74382,0,USD
2018-07-01,0.74388,0.7855,1e-05,0.68781,0,USD
2018-07-08,0.68781,0.79314,0.57283,0.61879,0,USD
2018-07-15,0.61879,0.79422,0.61582,0.75077,0,USD
2018-07-22,0.75077,0.81807,0.64989,0.68436,0,USD
2018-07-29,0.68436,0.68697,0.50911,0.51483,0,USD
2018-08-05,0.51483,0.65297,0.43651,0.47984,0,USD
2018-08-12,0.47984,0.53144,0.41033,0.46985,0,USD
2018-08-19,0.46985,0.49549,0.43969,0.47171,0,USD
2018-08-26,0.47171,0.56562,0.42739,0.48597,0,USD
2018-09-02,0.48597,0.59885,0.42405,0.46765,0,USD
2018-09-09,0.46765,0.90837,0.38477,0.87186,0,USD
2018-09-16,0.87186,1.06018,0.64343,0.67205,0,USD
2018-09-23,0.67205,0.81099,0.38117,0.71357,0,USD
2018-09-30,0.71357,0.76986,0.16302,0.17459,0,USD
2018-10-07,0.17459,0.2649,0.17056,0.17372,0,USD
2018-10-14,0.17372,0.20672,0.12841,0.14663,0,USD
2018-10-21,0.14663,0.17476,0.11532,0.11674,0,USD
2018-10-28,0.11674,0.11913,0.06433,0.07713,0,USD
2018-11-04,0.07713,0.07863,0.07196,0.07325,0,USD
2018-11-11,0.07325,0.07407,0.06168,0.06378,0,USD
2018-11-18,0.06378,0.07274,0.0158,0.0158,0,USD
2018-11-25,0.0158,0.03574,0.01189,0.03496,0,USD
2018-12-02,0.03496,0.03815,0.02871,0.03262,0,USD
2018-12-09,0.03262,0.03494,0.02949,0.03182,0,USD
2018-12-16,0.03182,0.05586,0.03171,0.04813,0,USD
2018-12-23,0.04813,0.08073,0.04731,0.07084,0,USD
2018-12-30,0.07084,0.07199,0.05331,0.06247,0,USD
2019-01-06,0.06247,0.11437,0.04751,0.04756,0,USD
2019-01-13,0.04756,0.05821,0.04453,0.04968,0,USD
2019-01-20,0.04968,0.05436,0.03795,0.0431,0,USD
2019-01-27,0.0431,0.04322,0.04061,0.042,0,USD
2019-02-03,0.042,0.04209,0.03318,0.03633,0,USD
2019-02-10,0.03633,0.03663,0.03531,0.03548,0,USD
2019-02-17,0.03548,0.03977,0.03359,0.0353,0,USD
2019-02-24,0.0353,0.03638,0.02821,0.03443,0,USD
2019-03-03,0.03443,0.0362,0.03312,0.03511,0,USD
2019-03-10,0.03511,0.10775,0.03409,0.05409,0,USD
2019-03-17,0.05409,0.05835,0.04916,0.05122,0,USD
2019-03-24,0.05122,0.05896,0.04726,0.05808,0,USD
2019-03-31,0.05808,0.07177,0.0526,0.06241,0,USD
2019-04-07,0.06241,0.06597,0.04856,0.04991,0,USD
2019-04-14,0.04986,0.05071,0.04644,0.05014,0,USD
2019-04-21,0.05014,0.05039,0.02977,0.03167,0,USD
2019-04-28,0.03167,0.04363,0.02379,0.03333,0,USD
2019-05-05,0.03333,0.03683,0.03231,0.03603,0,USD
2019-05-12,0.03603,0.03955,0.02706,0.02792,0,USD
2019-05-19,0.02792,0.03564,0.02772,0.03504,0,USD
2019-05-26,0.03504,0.04145,0.0344,0.03901,0,USD
2019-06-02,0.03901,0.04011,0.03116,0.03294,0,USD
2019-06-09,0.03294,0.03602,0.03117,0.03504,0,USD
2019-06-16,0.03504,0.0433,0.03304,0.04008,0,USD
2019-06-23,0.04008,0.05402,0.03646,0.0382,0,USD
2019-06-30,0.0382,0.04011,0.03034,0.0367,0,USD
2019-07-07,0.0367,0.04004,0.02916,0.03186,0,USD
2019-07-14,0.03186,0.03223,0.02469,0.03006,0,USD
2019-07-21,0.03006,0.03047,0.02729,0.0277,0,USD
2019-07-28,0.0277,0.03292,0.02582,0.03266,0,USD
2019-08-04,0.03266,0.04935,0.03188,0.04554,0,USD
2019-08-11,0.04554,0.04823,0.03349,0.0353,0,USD
2019-08-18,0.0353,0.04088,0.03205,0.0333,0,USD
2019-08-25,0.0333,0.03755,0.0324,0.03373,0,USD
2019-09-01,0.03373,0.03931,0.03106,0.03209,0,USD
2019-09-08,0.03209,0.04195,0.03113,0.0396,0,USD
2019-09-15,0.0396,0.04194,0.03853,0.03985,0,USD
2019-09-22,0.03985,0.04009,0.02624,0.02973,0,USD
2019-09-29,0.02973,0.03132,0.02707,0.02893,0,USD
2019-10-06,0.02893,0.03144,0.0266,0.03028,0,USD
2019-10-13,0.03028,0.03226,0.02838,0.02889,0,USD
2019-10-20,0.02889,0.03802,0.02681,0.03243,0,USD
2019-10-27,0.03243,0.03552,0.02459,0.03545,0,USD
2019-11-03,0.03545,0.03757,0.03423,0.03462,0,USD
2019-11-10,0.03462,0.03488,0.02685,0.02775,0,USD
2019-11-17,0.02775,0.03214,0.02559,0.02699,0,USD
2019-11-24,0.02699,0.04267,0.02673,0.03514,0,USD
2019-12-01,0.03514,0.03519,0.02454,0.02561,0,USD
2019-12-08,0.02561,0.02729,0.02336,0.02389,0,USD
2019-12-15,0.02389,0.02532,0.02154,0.02509,0,USD
2019-12-22,0.02509,0.02766,0.02503,0.02742,0,USD
2019-12-29,0.02742,0.10696,0.02181,0.02195,0,USD
2020-01-05,0.02195,0.02717,0.0205,0.02408,0,USD
2020-01-12,0.02408,0.04429,0.0239,0.03314,0,USD
2020-01-19,0.03314,0.04239,0.02964,0.03064,0,USD
2020-01-26,0.03064,0.04005,0.02806,0.03148,0,USD
2020-02-02,0.03148,0.03708,0.03119,0.03119,0,USD
2020-02-09,0.03119,0.04009,0.03093,0.03765,0,USD
2020-02-16,0.03765,0.03821,0.02245,0.03138,0,USD
2020-02-23,0.03138,0.03212,0.02685,0.03085,0,USD
2020-03-01,0.03085,0.03324,0.02699,0.02822,0,USD
2020-03-08,0.02822,0.03105,0.01218,0.01769,0,USD
2020-03-15,0.01769,0.0243,0.0157,0.02212,0,USD
2020-03-22,0.0221,0.02369,0.01836,0.02174,0,USD
2020-03-29,0.02174,0.02553,0.01894,0.01961,0,USD
2020-04-05,0.01961,0.03968,0.01932,0.03176,0,USD
2020-04-12,0.03176,0.03185,0.02192,0.02799,0,USD
2020-04-19,0.02799,0.02861,0.02428,0.02828,0,USD
2020-04-26,0.02828,0.0349,0.02803,0.02906,0,USD
2020-05-03,0.02906,0.03404,0.02555,0.02802,0,USD
2020-05-10,0.02802,0.03478,0.02269,0.03325,0,USD
2020-05-17,0.03325,0.03647,0.0292,0.03481,0,USD
2020-05-24,0.03481,0.03549,0.02731,0.03546,0,USD
2020-05-31,0.03546,0.03878,0.02459,0.02568,0,USD
2020-06-07,0.02568,0.02606,0.02073,0.02164,0,USD
2020-06-14,0.02164,0.02336,0.02051,0.02106,0,USD
2020-06-21,0.02106,0.02355,0.01476,0.01681,0,USD
2020-06-28,0.01681,0.02059,0.01387,0.01411,0,USD
2020-07-05,0.01411,0.02013,0.01392,0.01851,0,USD
2020-07-12,0.01851,0.02061,0.01356,0.01603,0,USD
2020-07-19,0.01603,0.01779,0.01142,0.01211,0,USD
2020-07-26,0.01211,0.02013,0.01196,0.01671,0,USD
2020-08-02,0.01671,0.01822,0.01365,0.01418,0,USD
2020-08-09,0.01418,0.01676,0.01387,0.0166,0,USD
2020-08-16,0.0166,0.01851,0.01636,0.01802,0,USD
2020-08-23,0.01802,0.01845,0.01537,0.01745,0,USD
2020-08-30,0.01745,0.02283,0.01456,0.0161,0,USD
2020-09-06,0.0161,0.02155,0.01516,0.0205,0,USD
2020-09-13,0.0205,0.02102,0.01556,0.01848,0,USD
2020-09-20,0.01848,0.01889,0.01261,0.01377,0,USD
2020-09-27,0.01377,0.01609,0.01227,0.0141,0,USD
2020-10-04,0.0141,0.0155,0.01153,0.01391,0,USD
2020-10-11,0.01391,0.01547,0.01282,0.0132,0,USD
2020-10-18,0.0132,0.01695,0.01238,0.01523,0,USD
2020-10-25,0.01523,0.01888,0.01368,0.01848,0,USD
2020-11-01,0.01848,0.01864,0.01486,0.01529,0,USD
2020-11-08,0.01529,0.01681,0.01507,0.01631,0,USD
2020-11-15,0.01631,0.01889,0.01603,0.01632,0,USD
2020-11-22,0.01632,0.01856,0.01446,0.01579,0,USD
2020-11-29,0.01579,0.01877,0.01196,0.01312,0,USD
2020-12-06,0.01312,0.01341,0.01004,0.01175,0,USD
2020-12-13,0.01175,0.01555,0.01092,0.01466,0,USD
2020-12-20,0.01466,0.01539,0.01291,0.01412,0,USD
2020-12-27,0.01412,0.01511,0.00623,0.00982,0,USD
2021-01-03,0.00982,0.02365,0.00786,0.01747,0,USD
2021-01-10,0.01747,0.01872,0.01021,0.01715,0,USD
2021-01-17,0.01715,0.01806,0.01015,0.01156,0,USD
2021-01-24,0.01156,0.01674,0.00795,0.00893,0,USD
2021-01-31,0.00893,0.01896,0.00883,0.01199,0,USD
2021-02-07,0.01199,0.02451,0.01099,0.01909,0,USD
2021-02-14,0.01909,0.03432,0.01686,0.03132,0,USD
2021-02-21,0.03132,0.03499,0.02483,0.02633,0,USD
2021-02-28,0.02633,0.03178,0.02462,0.03029,0,USD
2021-03-07,0.03029,0.04538,0.02764,0.04473,0,USD
2021-03-14,0.04473,0.04601,0.02245,0.03366,0,USD
2021-03-21,0.03366,0.03792,0.03229,0.03743,0,USD
2021-03-28,0.03743,0.04224,0.03177,0.03421,0,USD
2021-04-04,0.03421,0.03751,0.03368,0.03648,0,USD
2021-04-11,0.03648,0.03735,0.02648,0.02878,0,USD
2021-04-18,0.02878,0.02896,0.02322,0.02407,0,USD
2021-04-25,0.02407,0.03103,0.02242,0.02513,0,USD
2021-05-02,0.02513,0.03792,0.02404,0.03439,0,USD
2021-05-09,0.03439,0.03679,0.02475,0.02692,0,USD
2021-05-16,0.02692,0.02801,0.01613,0.02066,0,USD
2021-05-23,0.02066,0.02325,0.01798,0.0204,0,USD
2021-05-30,0.0204,0.03558,0.01831,0.02915,0,USD
2021-06-06,0.02915,0.03259,0.02184,0.02559,0,USD
2021-06-13,0.02559,0.03013,0.01568,0.02067,0,USD
2021-06-20,0.02067,0.02165,0.01696,0.01966,0,USD
2021-06-27,0.01966,0.02285,0.01959,0.02276,0,USD
2021-07-04,0.02276,0.02372,0.01908,0.02261,0,USD
2021-07-11,0.02261,0.04131,0.01824,0.04094,0,USD
2021-07-18,0.04094,0.04213,0.02447,0.03314,0,USD
2021-07-25,0.02628,0.03867,0.01937,0.02677,0,USD
2021-08-01,0.02677,0.02969,0.02429,0.02919,0,USD
2021-08-08,0.02919,0.05561,0.02906,0.04871,0,USD
2021-08-15,0.04871,0.05381,0.04414,0.05056,0,USD
2021-08-22,0.05056,0.05106,0.03271,0.03861,0,USD
2021-08-29,0.03861,0.05053,0.03312,0.04491,0,USD
2021-09-05,0.04491,0.05192,0.03233,0.03546,0,USD
2021-09-12,0.03546,0.04834,0.02985,0.03984,0,USD
2021-09-19,0.03984,0.04191,0.02536,0.03968,0,USD
2021-09-26,0.03968,0.04896,0.02793,0.0484,0,USD
2021-10-03,0.0484,0.05624,0.04396,0.04396,0,USD
2021-10-10,0.04396,0.05793,0.03341,0.03776,0,USD
2021-10-17,0.03776,0.03941,0.03078,0.03188,0,USD
2021-10-24,0.03188,0.03931,0.02962,0.03125,0,USD
2021-10-31,0.03125,0.03846,0.0295,0.03749,0,USD
2021-11-07,0.03749,0.0421,0.0374,0.03928,0,USD
2021-11-14,0.03928,0.04045,0.03393,0.03642,0,USD
2021-11-21,0.03642,0.03659,0.03292,0.03425,0,USD
2021-11-28,0.03425,0.03663,0.0276,0.03123,0,USD
2021-12-05,0.03123,0.03363,0.03023,0.03356,0,USD
2021-12-12,0.03356,0.03425,0.02755,0.02879,0,USD
2021-12-19,0.02879,0.02968,0.02155,0.02824,0,USD
2021-12-26,0.02824,0.02897,0.02059,0.02124,0,USD
2022-01-02,0.02124,0.02157,0.01859,0.01917,0,USD
2022-01-09,0.01917,0.02108,0.01866,0.02069,0,USD
2022-01-16,0.02069,0.02108,0.01518,0.01559,0,USD
2022-01-23,0.01559,0.01729,0.01472,0.01642,0,USD
2022-01-30,0.01642,0.01801,0.0156,0.01781,0,USD
2022-02-06,0.01781,0.01959,0.01585,0.01604,0,USD
2022-02-13,0.01604,0.01699,0.01504,0.01523,0,USD
2022-02-20,0.01523,0.01524,0.0111,0.01231,0,USD
2022-02-27,0.01231,0.01498,0.01167,0.01379,0,USD
2022-03-06,0.01379,0.01595,0.01221,0.01243,0,USD
2022-03-13,0.01243,0.01419,0.012,0.01414,0,USD
2022-03-20,0.01414,0.0151,0.01358,0.01492,0,USD
2022-03-27,0.01492,0.01642,0.01488,0.01631,0,USD
