Date,Open,High,Low,Close,Volume,Currency
2018-08-26,0.017,0.024,0.016,0.024,37011480,USD
2018-09-02,0.024,0.024,0.015,0.016,67411128,USD
2018-09-09,0.015,0.017,0.013,0.015,42379460,USD
2018-09-16,0.015,0.018,0.014,0.016,40967068,USD
2018-09-23,0.016,0.018,0.0146,0.0161,35919292,USD
2018-09-30,0.016,0.0398,0.0156,0.02814,509590784,USD
2018-10-07,0.02814,0.02817,0.0188,0.0214,137545632,USD
2018-10-14,0.0214,0.03099,0.02049,0.02623,230663536,USD
2018-10-21,0.02623,0.03235,0.0255,0.0259,105527760,USD
2018-10-28,0.0259,0.02665,0.0235,0.024,25281370,USD
2018-11-04,0.024,0.02467,0.02093,0.02177,31228460,USD
2018-11-11,0.02177,0.02183,0.014,0.01544,55466456,USD
2018-11-18,0.01544,0.0169,0.01031,0.01076,45929716,USD
2018-11-25,0.01076,0.01199,0.009,0.01148,37235160,USD
2018-12-02,0.01148,0.01182,0.00777,0.00833,12600469,USD
2018-12-09,0.00833,0.00911,0.00736,0.00769,8227715,USD
2018-12-16,0.00769,0.0102,0.00734,0.00995,36287484,USD
2018-12-23,0.00995,0.01155,0.0089,0.00984,46999980,USD
2018-12-30,0.00984,0.0115,0.00952,0.01077,25234496,USD
2019-01-06,0.01077,0.01292,0.01037,0.01104,51242984,USD
2019-01-13,0.01104,0.01432,0.0105,0.01247,72378216,USD
2019-01-20,0.01247,0.01266,0.0112,0.01237,27215678,USD
2019-01-27,0.01237,0.01298,0.01033,0.01099,36389528,USD
2019-02-03,0.01099,0.01105,0.00989,0.01054,20134642,USD
2019-02-10,0.01054,0.01073,0.00992,0.01013,12142184,USD
2019-02-17,0.01013,0.011,0.00968,0.01023,31103728,USD
2019-02-24,0.01023,0.01079,0.009,0.00934,16329149,USD
2019-03-03,0.00934,0.0097,0.0089,0.00921,267403,USD
2019-03-10,0.00921,0.01,0.00864,0.00936,362722,USD
2019-03-17,0.00943,0.01008,0.00888,0.01004,382901,USD
2019-03-24,0.01004,0.012,0.00978,0.01176,1151813,USD
2019-03-31,0.01173,0.04145,0.01142,0.03786,66485868,USD
2019-04-07,0.03735,0.04395,0.02538,0.02749,566138176,USD
2019-04-14,0.02749,0.0298,0.02085,0.02165,199696832,USD
2019-04-21,0.02166,0.022,0.015,0.01698,174388160,USD
2019-04-28,0.01698,0.02096,0.0156,0.01748,91190152,USD
2019-05-05,0.01728,0.0191,0.01504,0.01789,71996000,USD
2019-05-12,0.01784,0.02071,0.0161,0.01689,134877888,USD
2019-05-19,0.01688,0.02568,0.01635,0.0202,447334144,USD
2019-05-26,0.02033,0.02119,0.0183,0.0193,76292296,USD
2019-06-02,0.0193,0.02036,0.0171,0.01778,43579584,USD
2019-06-09,0.01778,0.01786,0.01611,0.01664,52802536,USD
2019-06-16,0.01664,0.01716,0.01481,0.01571,65946928,USD
2019-06-23,0.01571,0.01634,0.011,0.0119,108810448,USD
2019-06-30,0.0119,0.01192,0.00971,0.01005,50889152,USD
2019-07-07,0.01005,0.01362,0.0088,0.00888,143387696,USD
2019-07-14,0.00896,0.00905,0.007,0.00796,74455656,USD
2019-07-21,0.00796,0.00799,0.00702,0.00717,32255374,USD
2019-07-28,0.00717,0.00811,0.007,0.00715,71293928,USD
2019-08-04,0.00715,0.00738,0.005,0.0054,49037512,USD
2019-08-11,0.00541,0.00618,0.00415,0.00449,52885416,USD
2019-08-18,0.00449,0.0047,0.0039,0.00412,73901248,USD
2019-08-25,0.00413,0.00428,0.00345,0.00364,71008512,USD
2019-09-01,0.00364,0.00388,0.00296,0.00302,93827024,USD
2019-09-08,0.00298,0.00425,0.00288,0.00315,134286320,USD
2019-09-15,0.00315,0.00345,0.00299,0.00307,134690496,USD
2019-09-22,0.00307,0.00308,0.002,0.00288,116908240,USD
2019-09-29,0.00288,0.0032,0.00208,0.00225,151511424,USD
2019-10-06,0.00225,0.00245,0.00197,0.00229,157793648,USD
2019-10-13,0.00229,0.00237,0.00186,0.00216,134562176,USD
2019-10-20,0.00216,0.00236,0.00199,0.00228,144495648,USD
