Date,Open,High,Low,Close,Volume,Currency
2020-08-23,0.112891,0.134487,0.105048,0.114179,145213744,USD
2020-08-30,0.114179,0.123541,0.057088,0.060964,132350640,USD
2020-09-06,0.060925,0.078889,0.058839,0.075725,84644112,USD
2020-09-13,0.075946,0.07682,0.060926,0.06416,116245616,USD
2020-09-20,0.064144,0.065075,0.043976,0.065075,140040288,USD
2020-09-27,0.065075,0.072307,0.058634,0.059748,82273376,USD
2020-10-04,0.059748,0.066708,0.051206,0.059335,65415304,USD
2020-10-11,0.059305,0.074792,0.058941,0.064803,65391264,USD
2020-10-18,0.064688,0.06745,0.055681,0.056141,46825536,USD
2020-10-25,0.05614,0.057364,0.045459,0.04776,41285736,USD
2020-11-01,0.047857,0.056,0.038987,0.048977,58722536,USD
2020-11-08,0.048977,0.058782,0.048512,0.05087,44862456,USD
2020-11-15,0.05087,0.059915,0.04911,0.059915,42117216,USD
2020-11-22,0.060027,0.0675,0.052352,0.059729,76789864,USD
2020-11-29,0.059729,0.064052,0.056987,0.060512,43296264,USD
2020-12-06,0.0604,0.06088,0.0501,0.053717,38055660,USD
2020-12-13,0.053568,0.055928,0.050036,0.051093,32371856,USD
2020-12-20,0.050988,0.050988,0.033413,0.035252,91507256,USD
2020-12-27,0.035341,0.040572,0.033759,0.036268,70748680,USD
2021-01-03,0.036262,0.051947,0.035629,0.050784,97277200,USD
2021-01-10,0.050803,0.057355,0.037752,0.054302,136359408,USD
2021-01-17,0.054117,0.071846,0.049062,0.06698,166769536,USD
2021-01-24,0.066942,0.074,0.060729,0.062206,90687184,USD
2021-01-31,0.062206,0.091004,0.0612,0.089565,105967288,USD
2021-02-07,0.089413,0.136639,0.083,0.128468,125513288,USD
2021-02-14,0.128634,0.15835,0.095875,0.13023,144795968,USD
2021-02-21,0.12981,0.135958,0.096916,0.109686,92293632,USD
2021-02-28,0.109686,0.109686,0.092879,0.106406,65390720,USD
2021-03-07,0.106406,0.179412,0.10377,0.171651,103819144,USD
2021-03-14,0.171501,0.263977,0.156094,0.235114,130574520,USD
2021-03-21,0.23504,0.254982,0.177644,0.217345,72015304,USD
2021-03-28,0.217345,0.243226,0.204716,0.204716,40560072,USD
2021-04-04,0.204716,0.234295,0.194222,0.208226,50793224,USD
2021-04-11,0.208755,0.285007,0.199513,0.221523,177247600,USD
2021-04-18,0.221521,0.221521,0.116051,0.11911,106376072,USD
2021-04-25,0.119203,0.175135,0.114916,0.168552,104838920,USD
2021-05-02,0.168552,0.23756,0.159087,0.176423,286502784,USD
2021-05-09,0.175981,0.199777,0.138636,0.138636,156628464,USD
2021-05-16,0.137816,0.14708,0.073889,0.085126,102538360,USD
2021-05-23,0.085256,0.092014,0.058502,0.069677,89961544,USD
2021-05-30,0.069677,0.089397,0.066276,0.07636,74910184,USD
2021-06-06,0.076209,0.114291,0.071424,0.075408,331410944,USD
