Date,Open,High,Low,Close,Volume,Currency
2018-02-04,0.272853,0.278842,0.144602,0.208753,25599020,USD
2018-02-11,0.208753,0.231202,0.183676,0.22815,14475991,USD
2018-02-18,0.22815,0.234209,0.171799,0.183594,8743623,USD
2018-02-25,0.183594,0.19043,0.151999,0.164593,5969661,USD
2018-03-04,0.164593,0.164593,0.091857,0.099073,28562920,USD
2018-03-11,0.099074,0.1072,0.083883,0.086327,8700053,USD
2018-03-18,0.086327,0.086327,0.058305,0.076859,7026646,USD
2018-03-25,0.076859,0.077656,0.060431,0.061983,2933683,USD
2018-04-01,0.061983,0.064561,0.049733,0.053883,4138936,USD
2018-04-08,0.053883,0.077824,0.048169,0.068879,11416140,USD
2018-04-15,0.068879,0.127316,0.06388,0.120911,21191968,USD
2018-04-22,0.120911,0.230724,0.113432,0.163091,48097952,USD
2018-04-29,0.163091,0.233469,0.141077,0.192893,47294944,USD
2018-05-06,0.192721,0.194227,0.100679,0.141673,22805796,USD
2018-05-13,0.140186,0.217817,0.136157,0.184054,32703532,USD
2018-05-20,0.184054,0.188642,0.127835,0.133285,15333710,USD
2018-05-27,0.13711,0.13711,0.107446,0.1225,31039326,USD
2018-06-03,0.1225,0.134668,0.105152,0.105234,20030168,USD
2018-06-10,0.105497,0.105497,0.069801,0.074818,12282480,USD
2018-06-17,0.07479,0.079774,0.06145,0.064186,7155179,USD
2018-06-24,0.064186,0.066687,0.050817,0.058924,7364149,USD
2018-07-01,0.058924,0.074258,0.055989,0.067845,5810372,USD
2018-07-08,0.067845,0.069722,0.052832,0.055833,3932142,USD
2018-07-15,0.055833,0.065673,0.05359,0.055895,7231512,USD
2018-07-22,0.055895,0.056241,0.048198,0.0506,6458388,USD
2018-07-29,0.0506,0.050782,0.033234,0.034896,3616562,USD
2018-08-05,0.034896,0.036053,0.02169,0.024179,6392468,USD
2018-08-12,0.024179,0.025066,0.017039,0.019882,3650825,USD
2018-08-19,0.019882,0.022335,0.016321,0.019933,3027208,USD
2018-08-26,0.019933,0.025987,0.018598,0.025517,3022883,USD
2018-09-02,0.025517,0.034772,0.019285,0.021273,12449532,USD
2018-09-09,0.021273,0.021584,0.017816,0.019545,4710191,USD
2018-09-16,0.019545,0.027931,0.017816,0.022408,5294700,USD
2018-09-23,0.022408,0.024704,0.018954,0.021264,2420691,USD
2018-09-30,0.021264,0.024687,0.019989,0.0215,21242068,USD
2018-10-07,0.0215,0.0228,0.016134,0.019299,16076918,USD
2018-10-14,0.019299,0.021477,0.01761,0.019491,11120782,USD
2018-10-21,0.019491,0.020095,0.017138,0.01772,4315067,USD
2018-10-28,0.01772,0.020081,0.017266,0.018122,7201728,USD
2018-11-04,0.018122,0.018122,0.016222,0.017157,4013493,USD
2018-11-11,0.017157,0.017989,0.011122,0.011475,4650517,USD
2018-11-18,0.011475,0.0125,0.007619,0.008009,7653371,USD
2018-11-25,0.008009,0.008492,0.0059,0.007108,5253707,USD
2018-12-02,0.007108,0.007477,0.004389,0.004948,3909053,USD
2018-12-09,0.004948,0.006533,0.004566,0.004615,3720078,USD
2018-12-16,0.004615,0.006223,0.004413,0.005753,3989995,USD
2018-12-23,0.005753,0.008867,0.005607,0.007086,9880331,USD
2018-12-30,0.007086,0.007334,0.006159,0.006644,1865029,USD
2019-01-06,0.006644,0.007084,0.006011,0.006985,6302043,USD
2019-01-13,0.006985,0.007948,0.00632,0.007413,4270372,USD
2019-01-20,0.007413,0.0088,0.0069,0.007792,3253934,USD
2019-01-27,0.007792,0.008984,0.006423,0.006835,8314155,USD
2019-02-03,0.006835,0.007516,0.006333,0.006983,1710502,USD
2019-02-10,0.006983,0.007306,0.0063,0.006599,2211008,USD
2019-02-17,0.006599,0.007194,0.006201,0.006817,1712911,USD
2019-02-24,0.006817,0.007419,0.0055,0.0059,1968761,USD
2019-03-03,0.0059,0.007582,0.005857,0.007022,631211,USD
2019-03-10,0.007022,0.007296,0.0067,0.00716,124071,USD
2019-03-17,0.00716,0.009281,0.006887,0.00812,1229608,USD
2019-03-24,0.00812,0.009446,0.007664,0.00884,758882,USD
2019-03-31,0.00884,0.012272,0.008279,0.011012,4078973,USD
2019-04-07,0.011012,0.021352,0.009762,0.01866,14790000,USD
2019-04-14,0.01866,0.021215,0.013015,0.013329,75100704,USD
2019-04-21,0.013329,0.013899,0.010051,0.010852,17550732,USD
2019-04-28,0.010852,0.011374,0.010002,0.010075,2509872,USD
2019-05-05,0.010075,0.012769,0.009107,0.010923,7837964,USD
2019-05-12,0.010923,0.012263,0.010009,0.010421,29696676,USD
2019-05-19,0.010421,0.011291,0.010099,0.010614,9843393,USD
2019-05-26,0.010614,0.011558,0.009821,0.011013,10372734,USD
2019-06-02,0.011013,0.011568,0.009901,0.010496,4928900,USD
2019-06-09,0.010496,0.01167,0.010201,0.010452,9544754,USD
2019-06-16,0.010452,0.010885,0.01,0.010614,4309961,USD
2019-06-23,0.010614,0.013655,0.008873,0.009853,14242267,USD
2019-06-30,0.009853,0.010458,0.007885,0.009414,2838434,USD
2019-07-07,0.009414,0.009717,0.007151,0.007235,2704586,USD
2019-07-14,0.007235,0.007788,0.005497,0.006283,9351094,USD
2019-07-21,0.006283,0.006778,0.0059,0.006279,1172124,USD
2019-07-28,0.006279,0.0083,0.005802,0.006681,1581604,USD
2019-08-04,0.006681,0.007529,0.005818,0.006011,869162,USD
2019-08-11,0.006011,0.006157,0.004618,0.005272,1290488,USD
2019-08-18,0.005272,0.005879,0.0041,0.004581,2181510,USD
2019-08-25,0.004581,0.005586,0.004031,0.004373,1786906,USD
2019-09-01,0.004373,0.005077,0.004055,0.004161,729089,USD
2019-09-08,0.004161,0.006335,0.0037,0.004591,3029792,USD
2019-09-15,0.004591,0.00549,0.004301,0.004995,943792,USD
2019-09-22,0.004995,0.006024,0.004018,0.0048,1612615,USD
2019-09-29,0.0048,0.005,0.0038,0.004,679635,USD
2019-10-06,0.004,0.0046,0.0035,0.003869,757807,USD
2019-10-13,0.003869,0.004216,0.0035,0.004,519549,USD
2019-10-20,0.004,0.0042,0.0033,0.003888,1062122,USD
2019-10-27,0.003888,0.005882,0.003305,0.0041,1330393,USD
2019-11-03,0.0041,0.004837,0.00366,0.003827,834405,USD
2019-11-10,0.003827,0.004895,0.003494,0.003973,957856,USD
2019-11-17,0.003973,0.003973,0.001598,0.00277,770156,USD
2019-11-24,0.00277,0.003099,0.001956,0.002311,770457,USD
2019-12-01,0.002311,0.002826,0.002163,0.002699,423042,USD
2019-12-08,0.002699,0.0027,0.001159,0.0021,478916,USD
2019-12-15,0.0021,0.003774,0.001616,0.001995,234994,USD
2019-12-22,0.001995,0.00263,0.001451,0.001451,559561,USD
