Date,Open,High,Low,Close,Volume,Currency
2020-07-26,2.3917,2.6799,2.0059,2.4113,33489502,USD
2020-08-02,2.4307,4.3304,2.2441,4.2262,35769108,USD
2020-08-09,4.2132,4.8353,3.9224,4.5664,43718872,USD
2020-08-16,4.557,5.4358,3.6828,4.0043,31720324,USD
2020-08-23,4.0227,4.249,3.7563,4.0875,14676572,USD
2020-08-30,4.0942,4.4682,2.1612,2.2605,22585192,USD
2020-09-06,2.2625,2.9698,2.09,2.9562,14831524,USD
2020-09-13,2.9567,2.9569,2.2107,2.4828,12192117,USD
2020-09-20,2.4842,2.6005,1.7717,2.2176,16560733,USD
2020-09-27,2.2222,2.4717,2.0153,2.0672,12790894,USD
2020-10-04,2.0644,2.324,1.7667,2.2567,10874392,USD
2020-10-11,2.2556,2.6323,2.0192,2.0336,16427406,USD
2020-10-18,2.0326,2.1114,1.7839,1.9318,10128517,USD
2020-10-25,1.9307,1.9307,1.3963,1.4392,10328217,USD
2020-11-01,1.4424,1.7044,1.235,1.4532,54434728,USD
2020-11-08,1.4516,1.6436,1.412,1.4535,27218360,USD
2020-11-15,1.4563,1.9839,1.4427,1.9626,33948356,USD
2020-11-22,1.975,2.0759,1.5366,1.6224,25189044,USD
2020-11-29,1.6225,1.831,1.6036,1.7179,16178151,USD
2020-12-06,1.7174,1.7174,1.4366,1.5171,8811269,USD
2020-12-13,1.5171,1.7251,1.5168,1.64,8472005,USD
2020-12-20,1.6395,1.6677,1.2166,1.3052,10735081,USD
2020-12-27,1.3053,1.3856,1.2372,1.2917,13558391,USD
2021-01-03,1.2943,1.8788,1.2519,1.8591,46731652,USD
2021-01-10,1.8778,2.3,1.3976,2.1257,51393464,USD
2021-01-17,2.1254,2.3823,1.7817,2.2447,47576096,USD
2021-01-24,2.2414,2.6081,2.0789,2.3644,42945364,USD
2021-01-31,2.3668,3.3027,2.1728,3.0462,55862944,USD
2021-02-07,3.1346,5.462,3.1346,5.28,61489816,USD
2021-02-14,5.3156,5.3156,3.7469,4.6047,52428188,USD
2021-02-21,4.6129,4.8005,2.949,3.6719,51158908,USD
2021-02-28,3.6562,4.7705,3.1174,3.8454,34867264,USD
2021-03-07,3.8465,6.5883,3.8009,6.2865,88133000,USD
2021-03-14,6.2957,6.9074,5.2623,5.6982,55772736,USD
2021-03-21,5.6899,6.06,4.4177,5.8755,30381992,USD
2021-03-28,5.9173,7.079,5.45,6.1608,38268544,USD
2021-04-04,6.1502,7.8731,6.1502,7.0094,32639024,USD
2021-04-11,7.0233,7.2243,6.214,6.4582,23500382,USD
2021-04-18,6.4581,6.4581,4.1003,4.1146,50635968,USD
2021-04-25,4.1243,5.838,3.9902,5.7826,32755080,USD
2021-05-02,5.7804,6.87,5.46,6.2891,46474652,USD
2021-05-09,6.291,6.6903,5.0,5.112,31691712,USD
2021-05-16,5.1345,5.4443,2.7715,3.166,80232008,USD
2021-05-23,3.169,4.0543,2.4564,3.1402,125634136,USD
2021-05-30,3.1397,5.5109,2.9946,4.7544,108617344,USD
2021-06-06,4.7431,4.7556,3.3469,3.6236,27457208,USD
2021-06-13,3.6405,4.4356,3.5228,3.8426,91887352,USD
2021-06-20,3.8441,4.0579,2.7299,3.4549,88271248,USD
2021-06-27,3.4537,4.3355,3.3504,4.3355,27428542,USD
2021-07-04,4.3649,4.9806,4.1895,4.2997,31419756,USD
2021-07-11,4.3006,4.656,3.63,3.829,23961704,USD
2021-07-18,3.8228,4.595,3.2159,4.4728,63188136,USD
2021-07-25,4.3453,5.7747,4.2284,5.2446,85581560,USD
2021-08-01,5.2438,6.703,5.0919,6.0834,99216952,USD
2021-08-08,6.0866,6.4315,5.4307,6.0569,57633008,USD
2021-08-15,6.0538,8.081,5.9544,7.5485,71279976,USD
2021-08-22,7.5282,8.8935,7.232,8.675,55521808,USD
2021-08-29,8.642,9.195,7.343,8.046,45230088,USD
2021-09-05,8.045,8.12,5.373,6.28,35343164,USD
2021-09-12,6.291,6.872,5.883,6.273,35849860,USD
2021-09-19,6.275,6.484,4.555,5.903,102324272,USD
2021-09-26,5.906,6.497,4.975,6.047,83908736,USD
2021-10-03,6.049,6.85,5.92,6.737,49120904,USD
2021-10-10,6.74,6.743,5.533,5.701,64591280,USD
2021-10-17,5.709,5.948,5.355,5.791,70911536,USD
2021-10-24,5.79,6.179,4.991,5.653,67296488,USD
2021-10-31,5.673,6.433,5.493,5.718,43983328,USD
2021-11-07,5.719,6.092,5.052,5.664,34360524,USD
2021-11-14,5.663,5.87,4.741,5.254,43452144,USD
2021-11-21,5.255,5.572,4.78,4.984,50866576,USD
2021-11-28,4.981,5.52,3.12,4.046,36867192,USD
2021-12-05,4.049,4.117,3.353,3.594,58079716,USD
2021-12-12,3.601,3.864,3.188,3.776,40494840,USD
2021-12-19,3.773,4.067,3.354,3.96,48566440,USD
2021-12-26,3.962,4.515,3.479,4.488,57880268,USD
2022-01-02,4.489,5.057,3.797,4.694,61881832,USD
2022-01-09,4.691,5.572,4.025,5.251,52054376,USD
2022-01-16,5.247,5.828,3.02,3.256,62683408,USD
2022-01-23,3.261,3.471,2.811,3.246,53110020,USD
2022-01-30,3.246,3.824,3.042,3.782,42420688,USD
2022-02-06,3.803,4.021,3.26,3.314,65280204,USD
2022-02-13,3.308,3.755,3.153,3.451,51411572,USD
2022-02-20,3.445,3.462,2.559,3.163,45187660,USD
2022-02-27,3.169,3.643,2.96,3.237,53486904,USD
2022-03-06,3.229,3.334,2.957,3.061,49614972,USD
2022-03-13,3.053,3.484,2.922,3.418,38890944,USD
2022-03-20,3.418,3.999,3.364,3.891,16728701,USD
2022-03-27,3.887,4.922,3.829,4.707,27530050,USD
