Date,Open,High,Low,Close,Volume,Currency
2019-07-21,0.001165,0.001593,0.00103,0.001233,0,USD
2019-07-28,0.001233,0.001342,0.000408,0.000541,0,USD
2019-08-04,0.000541,0.000829,0.000353,0.000453,0,USD
2019-08-11,0.000452,0.000574,0.000205,0.000307,0,USD
2019-08-18,0.000307,0.000652,0.000302,0.000609,0,USD
2019-08-25,0.000609,0.00097,0.0005,0.000962,0,USD
2019-09-01,0.000962,0.001811,0.000671,0.001258,0,USD
2019-09-08,0.001259,0.003129,0.000722,0.00083,0,USD
2019-09-15,0.00083,0.001349,0.000492,0.000601,0,USD
2019-09-22,0.000601,0.000806,0.000395,0.000577,0,USD
2019-09-29,0.000577,0.000903,0.000244,0.000898,0,USD
2019-10-06,0.000898,0.0009,0.000339,0.000416,0,USD
2019-10-13,0.000416,0.000502,0.00016,0.00032,0,USD
2019-10-20,0.00032,0.000407,0.000148,0.000278,0,USD
2019-10-27,0.000278,0.000372,0.000181,0.000186,0,USD
2019-11-03,0.000186,0.000285,0.000175,0.000264,0,USD
2019-11-10,0.000264,0.000848,0.000172,0.000509,0,USD
2019-11-17,0.000509,0.000684,0.000214,0.000292,0,USD
2019-11-24,0.000292,0.000311,0.00013,0.000226,0,USD
2019-12-01,0.000226,0.000379,0.000146,0.000374,0,USD
2019-12-08,0.000299,0.000382,0.000141,0.000141,0,USD
2019-12-15,0.000141,0.000359,0.000132,0.000357,0,USD
2019-12-22,0.000357,0.000571,0.000213,0.000219,0,USD
2019-12-29,0.000219,0.00037,0.000215,0.000221,0,USD
2020-01-05,0.000221,0.000406,0.00022,0.000241,0,USD
2020-01-12,0.000241,0.000428,0.000174,0.000357,0,USD
2020-01-19,0.000357,0.000366,0.000167,0.000167,0,USD
2020-01-26,0.000167,0.000372,0.000166,0.000282,0,USD
2020-02-02,0.000282,0.000395,0.000275,0.000297,0,USD
2020-02-09,0.000297,0.000524,0.000197,0.000297,0,USD
2020-02-16,0.000297,0.0005,0.000189,0.00029,0,USD
2020-02-23,0.00029,0.000378,0.00019,0.000256,0,USD
2020-03-01,0.000256,0.000366,0.000254,0.000267,0,USD
2020-03-08,0.000267,0.000326,0.000134,0.000155,0,USD
2020-03-15,0.000155,0.000257,0.000134,0.000186,0,USD
