Date,Open,High,Low,Close,Volume,Currency
2018-09-02,0.0135,0.0285,0.0127,0.0225,1177196672,USD
2018-09-09,0.0225,0.0269,0.0182,0.0212,318310944,USD
2018-09-16,0.0212,0.0213,0.017,0.0185,192402304,USD
2018-09-23,0.0185,0.0205,0.0173,0.0189,200872096,USD
2018-09-30,0.0189,0.0252,0.0187,0.0211,561457792,USD
2018-10-07,0.0211,0.0216,0.0159,0.0179,200767248,USD
2018-10-14,0.0179,0.0217,0.0171,0.0187,466008800,USD
2018-10-21,0.0187,0.019,0.0173,0.0175,324366240,USD
2018-10-28,0.0176,0.0181,0.0167,0.017,242555888,USD
2018-11-04,0.017,0.02006,0.01677,0.0178,365956960,USD
2018-11-11,0.0178,0.01807,0.01162,0.01277,481639904,USD
2018-11-18,0.01277,0.01308,0.0073,0.00739,186510560,USD
2018-11-25,0.00739,0.00936,0.00647,0.008,166857680,USD
2018-12-02,0.008,0.0082,0.00611,0.00673,210401600,USD
2018-12-09,0.00673,0.0069,0.00561,0.0058,125011736,USD
2018-12-16,0.0058,0.0083,0.00567,0.0081,262709680,USD
2018-12-23,0.0081,0.0101,0.00676,0.00727,326338560,USD
2018-12-30,0.00727,0.00959,0.00693,0.0081,278710112,USD
2019-01-06,0.0081,0.00879,0.00694,0.00699,507390592,USD
2019-01-13,0.00699,0.0071,0.0061,0.00671,129774112,USD
2019-01-20,0.00671,0.00776,0.0063,0.00659,52047780,USD
2019-01-27,0.00659,0.0067,0.006,0.00617,112022176,USD
2019-02-03,0.00617,0.0065,0.0061,0.00611,58183872,USD
2019-02-10,0.00611,0.00667,0.006,0.0061,78420704,USD
2019-02-17,0.0061,0.00674,0.00588,0.00636,57788664,USD
2019-02-24,0.00636,0.00696,0.00554,0.00594,30164652,USD
2019-03-03,0.00594,0.00604,0.00521,0.006,366844,USD
2019-03-10,0.006,0.0069,0.00569,0.00604,808823,USD
2019-03-17,0.00604,0.00667,0.00592,0.00646,444610,USD
2019-03-24,0.00646,0.00941,0.00603,0.00825,568551,USD
2019-03-31,0.00821,0.01255,0.00789,0.0114,40292744,USD
2019-04-07,0.0114,0.0158,0.00902,0.0108,268970112,USD
2019-04-14,0.0108,0.0129,0.01017,0.0123,277555264,USD
2019-04-21,0.0123,0.01241,0.00908,0.0095,107115840,USD
2019-04-28,0.0095,0.01093,0.00932,0.01055,109574512,USD
2019-05-05,0.01055,0.011,0.0099,0.01037,141165696,USD
2019-05-12,0.01037,0.01232,0.00883,0.00964,173531040,USD
2019-05-19,0.00964,0.01146,0.00933,0.0106,231549472,USD
2019-05-26,0.0106,0.01176,0.00968,0.01015,24629024,USD
2019-06-02,0.01015,0.01021,0.00827,0.00994,31389392,USD
2019-06-09,0.00994,0.0106,0.00949,0.010016,49146312,USD
2019-06-16,0.010016,0.012633,0.009916,0.011495,179688320,USD
2019-06-23,0.011495,0.013994,0.01019,0.011377,66419452,USD
2019-06-30,0.011377,0.015339,0.009837,0.01422,142321488,USD
2019-07-07,0.01422,0.01947,0.010913,0.010963,429668672,USD
2019-07-14,0.010963,0.011069,0.007994,0.009163,49078792,USD
2019-07-21,0.009163,0.009306,0.00702,0.00709,119810408,USD
2019-07-28,0.00709,0.00821,0.00692,0.007687,20413810,USD
2019-08-04,0.007687,0.007745,0.006884,0.00701,26871848,USD
2019-08-11,0.00701,0.007423,0.006318,0.006785,41480544,USD
2019-08-18,0.006785,0.008344,0.006663,0.00709,37575140,USD
2019-08-25,0.00709,0.007874,0.006028,0.00659,39613608,USD
2019-09-01,0.00659,0.007321,0.00518,0.005834,26842910,USD
2019-09-08,0.005834,0.006168,0.005549,0.00578,5912368,USD
2019-09-15,0.00578,0.00784,0.005214,0.00595,23862416,USD
2019-09-22,0.00595,0.006106,0.004309,0.0046,7372870,USD
2019-09-29,0.0046,0.005966,0.004511,0.004858,4800061,USD
2019-10-06,0.004858,0.00515,0.004408,0.00497,8089733,USD
2019-10-13,0.00497,0.00527,0.004641,0.00475,7090481,USD
2019-10-20,0.00475,0.005269,0.004352,0.004615,7414255,USD
2019-10-27,0.004615,0.005993,0.004541,0.005809,16839340,USD
2019-11-03,0.005809,0.006374,0.004849,0.00508,15462528,USD
2019-11-10,0.00508,0.005219,0.004502,0.004502,8426077,USD
2019-11-17,0.004502,0.004808,0.003122,0.00327,19652868,USD
2019-11-24,0.00327,0.00327,0.00266,0.00293,14971796,USD
2019-12-01,0.00293,0.004143,0.00274,0.00284,16817442,USD
2019-12-08,0.00284,0.002972,0.002641,0.00277,7170660,USD
2019-12-15,0.00277,0.002938,0.002265,0.00251,6100530,USD
2019-12-22,0.00251,0.002899,0.002325,0.002495,3960176,USD
2019-12-29,0.002495,0.00293,0.002392,0.002479,4175206,USD
2020-01-05,0.002479,0.004047,0.002453,0.003369,27901184,USD
2020-01-12,0.003369,0.003844,0.003003,0.003138,11357836,USD
2020-01-19,0.003138,0.003192,0.002711,0.002935,14462060,USD
2020-01-26,0.002935,0.003494,0.002723,0.003336,12097536,USD
2020-02-02,0.003336,0.022,0.003336,0.004354,13869461,USD
2020-02-09,0.004354,0.004547,0.003597,0.004175,13434482,USD
2020-02-16,0.004175,0.004412,0.003213,0.003661,9644702,USD
2020-02-23,0.003661,0.003685,0.002498,0.002804,5236136,USD
2020-03-01,0.002804,0.003328,0.00265,0.003134,4040517,USD
2020-03-08,0.003134,0.003137,0.001098,0.00139,8616180,USD
2020-03-15,0.00139,0.001622,0.001142,0.001396,4803715,USD
2020-03-22,0.001396,0.001595,0.001204,0.001239,37549464,USD
2020-03-29,0.001239,0.001408,0.00117,0.001315,12567344,USD
2020-04-05,0.001315,0.001514,0.00125,0.001264,7436246,USD
2020-04-12,0.001264,0.001358,0.001168,0.001252,2816002,USD
2020-04-19,0.001252,0.002383,0.001162,0.002162,8358816,USD
2020-04-26,0.002162,0.00587,0.00203,0.002643,165091936,USD
2020-05-03,0.002643,0.003072,0.002197,0.002612,54386916,USD
2020-05-10,0.002612,0.005465,0.00225,0.003351,106740304,USD
2020-05-17,0.003351,0.003997,0.003036,0.003067,24961812,USD
2020-05-24,0.003067,0.003355,0.002806,0.002896,20389670,USD
