Date,Open,High,Low,Close,Volume,Currency
2018-02-04,0.374345,0.433133,0.183377,0.36642,21230532,USD
2018-02-11,0.36642,0.408451,0.309487,0.370584,16137510,USD
2018-02-18,0.370553,0.392629,0.269098,0.277931,21220320,USD
2018-02-25,0.277931,0.492389,0.258679,0.440495,14933575,USD
2018-03-04,0.440495,0.453493,0.258679,0.277542,18151768,USD
2018-03-11,0.277593,0.30086,0.193678,0.194718,29028018,USD
2018-03-18,0.19478,0.224974,0.161803,0.203308,24131164,USD
2018-03-25,0.203333,0.215241,0.150012,0.155111,25226320,USD
2018-04-01,0.155075,0.379983,0.145418,0.161976,21582356,USD
2018-04-08,0.161976,0.54,0.157931,0.362278,9442579,USD
2018-04-15,0.362278,0.474498,0.341257,0.459907,5478099,USD
2018-04-22,0.459907,0.505649,0.396262,0.478467,4036247,USD
2018-04-29,0.478467,0.488008,0.401677,0.432485,3608841,USD
2018-05-06,0.432297,0.44312,0.241384,0.266905,2351310,USD
2018-05-13,0.266677,0.296385,0.24564,0.258098,4391043,USD
2018-05-20,0.258098,0.281282,0.202359,0.21436,4476783,USD
2018-05-27,0.214314,0.226493,0.192016,0.224002,4885435,USD
2018-06-03,0.224017,0.234452,0.205314,0.206694,4835842,USD
2018-06-10,0.205864,0.206694,0.131134,0.142137,6273999,USD
2018-06-17,0.142509,0.142509,0.119888,0.129375,5473523,USD
2018-06-24,0.129375,0.133989,0.10652,0.116596,6048432,USD
2018-07-01,0.116596,0.127484,0.113803,0.123198,6501131,USD
2018-07-08,0.123195,0.125593,0.096485,0.098535,6853553,USD
2018-07-15,0.098535,0.130374,0.098532,0.108372,6417548,USD
2018-07-22,0.108362,0.178829,0.025,0.157093,5321216,USD
2018-07-29,0.157093,0.173036,0.10488,0.108664,4330165,USD
2018-08-05,0.108664,0.113409,0.084525,0.087202,5668768,USD
2018-08-12,0.087202,0.091063,0.067263,0.079427,7003105,USD
2018-08-19,0.079427,0.081506,0.073338,0.07874,8514292,USD
2018-08-26,0.07874,0.081969,0.073888,0.081385,5978727,USD
2018-09-02,0.081385,0.099423,0.058544,0.05888,1928734,USD
2018-09-09,0.05888,0.059109,0.04292,0.048882,1447111,USD
2018-09-16,0.048882,0.058978,0.046696,0.049118,1216951,USD
2018-09-23,0.049118,0.051243,0.045959,0.048248,1248349,USD
2018-09-30,0.048248,0.060893,0.047313,0.050445,4465327,USD
2018-10-07,0.050445,0.051513,0.043477,0.043738,5035346,USD
2018-10-14,0.043738,0.047505,0.04272,0.046604,2651000,USD
2018-10-21,0.046604,0.056312,0.044254,0.055241,2071807,USD
2018-10-28,0.055241,0.055524,0.046579,0.050584,1953068,USD
2018-11-04,0.050584,0.053662,0.044985,0.052093,2019234,USD
2018-11-11,0.052093,0.058212,0.037938,0.038465,1712204,USD
2018-11-18,0.038465,0.039197,0.019976,0.020204,1775059,USD
2018-11-25,0.020204,0.020891,0.01677,0.020001,2055711,USD
2018-12-02,0.020001,0.02314,0.014626,0.015664,2456330,USD
2018-12-09,0.015664,0.020228,0.015291,0.015353,1213382,USD
2018-12-16,0.015353,0.020193,0.014828,0.018797,1591424,USD
2018-12-23,0.018797,0.020092,0.015515,0.017327,2048654,USD
2018-12-30,0.017327,0.023134,0.01624,0.017635,1831573,USD
2019-01-06,0.017635,0.017983,0.014905,0.014948,1671958,USD
2019-01-13,0.014948,0.021103,0.014452,0.019296,262757,USD
2019-01-20,0.019296,0.019932,0.016545,0.017246,41237,USD
2019-01-27,0.017246,0.018478,0.017246,0.017715,14574,USD
2019-03-17,0.017715,0.017715,0.017715,0.017715,0,USD
2019-08-04,0.009946,0.01043,0.007508,0.008373,0,USD
2019-08-11,0.008373,0.011606,0.005249,0.006242,0,USD
2019-08-18,0.006242,0.006443,0.003325,0.003654,0,USD
