Date,Open,High,Low,Close,Volume,Currency
2018-02-18,0.3401,0.3803,0.251,0.2593,1723944,USD
2018-02-25,0.2593,0.2697,0.2068,0.2359,975222,USD
2018-03-04,0.2359,0.26,0.1082,0.1758,467326,USD
2018-03-11,0.1758,0.1758,0.1055,0.1106,147270,USD
2018-03-18,0.1106,0.123,0.088,0.1146,375179,USD
2018-03-25,0.1146,0.2,0.088,0.088,1327580,USD
2018-04-01,0.088,0.099,0.074,0.0858,824222,USD
2018-04-08,0.0858,0.1124,0.0755,0.1036,816991,USD
2018-04-15,0.1036,0.155,0.0977,0.1365,2518498,USD
2018-04-22,0.1365,0.1786,0.132,0.156,417546,USD
2018-04-29,0.156,0.25,0.156,0.2386,5938529,USD
2018-05-06,0.2386,0.2758,0.121,0.1391,9721055,USD
2018-05-13,0.1391,0.1997,0.1362,0.1496,6588955,USD
2018-05-20,0.1496,0.1632,0.105,0.113,3770011,USD
2018-05-27,0.113,0.1366,0.1038,0.1325,2186906,USD
2018-06-03,0.1325,0.1337,0.0948,0.0956,2090866,USD
2018-06-10,0.0956,0.0956,0.072,0.0765,1880392,USD
2018-06-17,0.0765,0.0983,0.0669,0.068,1708710,USD
2018-06-24,0.068,0.0712,0.0562,0.0636,1082447,USD
2018-07-01,0.0636,0.0733,0.0613,0.065,1057316,USD
2018-07-08,0.065,0.0684,0.0477,0.0547,1231612,USD
2018-07-15,0.0547,0.0707,0.046,0.0528,1769525,USD
2018-07-22,0.0528,0.0557,0.045,0.046,1540654,USD
2018-07-29,0.046,0.05,0.0277,0.0301,2227090,USD
2018-08-05,0.0301,0.045,0.0273,0.0288,4810425,USD
2018-08-12,0.0288,0.0327,0.0201,0.0297,2179965,USD
2018-08-19,0.0297,0.031,0.0214,0.0266,456154,USD
2018-08-26,0.0266,0.0295,0.0244,0.0295,382598,USD
2018-09-02,0.0295,0.031,0.0202,0.0295,3258129,USD
2018-09-09,0.0295,0.0308,0.0202,0.024,4717533,USD
2018-09-16,0.024,0.0252,0.022,0.0242,1359212,USD
2018-09-23,0.0242,0.0253,0.021,0.0226,619630,USD
2018-09-30,0.0226,0.0353,0.021,0.0254,18130274,USD
2018-10-07,0.0254,0.0256,0.0196,0.0229,7897436,USD
2018-10-14,0.0229,0.0267,0.0208,0.0226,7646638,USD
2018-10-21,0.0226,0.0238,0.0213,0.022,4421797,USD
2018-10-28,0.022,0.0241,0.0209,0.0231,3029735,USD
2018-11-04,0.0231,0.0232,0.02,0.0212,2389876,USD
2018-11-11,0.0212,0.0213,0.0138,0.0147,3531894,USD
2018-11-18,0.0147,0.0156,0.0082,0.0086,3201426,USD
2018-11-25,0.0086,0.009,0.0071,0.0083,1760483,USD
2018-12-02,0.0083,0.0085,0.0044,0.0052,1112467,USD
2018-12-09,0.0052,0.0064,0.0038,0.0041,1480522,USD
2018-12-16,0.0041,0.0056,0.0041,0.0053,1229556,USD
2018-12-23,0.0053,0.0076,0.0052,0.0058,2156792,USD
2018-12-30,0.0058,0.0065,0.0051,0.0054,425534,USD
2019-01-06,0.0053,0.0066,0.0043,0.0045,1570748,USD
2019-01-13,0.0045,0.0057,0.0041,0.0052,1058360,USD
2019-01-20,0.0052,0.0062,0.0047,0.0053,2138777,USD
2019-01-27,0.0053,0.0072,0.0045,0.0048,13037661,USD
2019-02-03,0.0048,0.005,0.0041,0.0045,1668214,USD
2019-02-10,0.0045,0.0049,0.0044,0.0046,1264888,USD
2019-02-17,0.0046,0.0057,0.0044,0.0054,2067524,USD
2019-02-24,0.0054,0.0056,0.0044,0.0046,1909268,USD
2019-03-03,0.0047,0.0078,0.0044,0.006,41149,USD
2019-03-10,0.0061,0.0066,0.0055,0.006,51916,USD
2019-03-17,0.006,0.0069,0.0057,0.0069,15309,USD
