Date,Open,High,Low,Close,Volume,Currency
2018-02-04,2.0469,2.0736,1.0315,1.5478,5947765,USD
2018-02-11,1.5478,2.4097,1.3696,2.2683,4993431,USD
2018-02-18,2.2683,2.3203,1.4864,1.5833,4710138,USD
2018-02-25,1.5833,1.8487,1.4456,1.6345,3222527,USD
2018-03-04,1.6345,1.6769,1.0705,1.1023,2691154,USD
2018-03-11,1.1023,1.257,0.7235,0.7365,3419901,USD
2018-03-18,0.7365,1.136,0.5703,0.98,8760090,USD
2018-03-25,0.98,1.0198,0.6479,0.6775,5701717,USD
2018-04-01,0.6775,0.7116,0.5632,0.6182,4241240,USD
2018-04-08,0.6182,0.978,0.5987,0.882,5642901,USD
2018-04-15,0.882,1.1696,0.8366,1.1173,8593259,USD
2018-04-22,1.1173,1.27,0.9329,1.1137,8702679,USD
2018-04-29,1.1137,1.311,1.0041,1.1401,5810174,USD
2018-05-06,1.1401,1.1599,0.7004,0.8753,7124882,USD
2018-05-13,0.8631,0.9398,0.7179,0.7919,4180613,USD
2018-05-20,0.7919,0.9539,0.7266,0.8005,3702000,USD
2018-05-27,0.8005,0.9341,0.7501,0.908,1812269,USD
2018-06-03,0.908,0.9199,0.8173,0.847,1636614,USD
2018-06-10,0.8313,0.8313,0.607,0.691,2414878,USD
2018-06-17,0.691,0.7434,0.5825,0.595,1192052,USD
2018-06-24,0.6115,0.6115,0.4605,0.5841,1461920,USD
2018-07-01,0.5867,1.2349,0.551,1.1579,8736666,USD
2018-07-08,1.1579,1.7229,1.1111,1.5393,18773456,USD
2018-07-15,1.5393,2.1895,1.2988,1.9297,18522652,USD
2018-07-22,1.9297,2.1379,1.8036,1.9878,9899706,USD
2018-07-29,1.9878,2.6911,1.9682,2.5647,16213972,USD
2018-08-05,2.5647,2.6133,2.157,2.5574,8162393,USD
2018-08-12,2.5574,3.4038,2.0728,3.1877,18287032,USD
2018-08-19,3.1877,3.2312,2.6442,2.6442,3720838,USD
2018-08-26,2.6442,3.792,2.6204,3.5098,6945018,USD
2018-09-02,3.5098,3.6207,3.0878,3.1074,4220717,USD
2018-09-09,3.1074,3.4653,2.9868,3.3927,5381201,USD
2018-09-16,3.3927,3.6708,2.9852,3.4136,5907381,USD
2018-09-23,3.4136,3.8657,3.2502,3.2914,4992787,USD
2018-09-30,3.2914,3.4337,3.2232,3.2235,1495943,USD
2018-10-07,3.2235,3.4546,3.1742,3.35,2846723,USD
2018-10-14,3.35,3.48,3.0956,3.1906,2943540,USD
2018-10-21,3.1906,3.2986,3.1501,3.22,1156627,USD
2018-10-28,3.22,3.25,3.1286,3.1297,970804,USD
2018-11-04,3.1297,3.365,3.0818,3.1229,1750375,USD
2018-11-11,3.1229,3.1599,2.8264,2.873,1762110,USD
2018-11-18,2.873,2.873,0.7501,0.8113,7180272,USD
2018-11-25,0.8113,1.2008,0.719,1.0095,4918479,USD
2018-12-02,1.0095,1.0271,0.5646,0.6226,2861174,USD
2018-12-09,0.6226,0.6727,0.5174,0.54,1240411,USD
2018-12-16,0.54,0.7364,0.5311,0.6498,3239452,USD
2018-12-23,0.6498,0.72,0.562,0.6168,2575527,USD
2018-12-30,0.6168,0.6577,0.542,0.635,1258294,USD
2019-01-06,0.635,0.706,0.5559,0.576,1241313,USD
2019-01-13,0.576,0.6019,0.534,0.5835,497454,USD
2019-01-20,0.5835,0.5889,0.54,0.56,462548,USD
2019-01-27,0.56,0.5648,0.3001,0.5051,2460110,USD
2019-02-03,0.5051,0.6798,0.49,0.6521,2012233,USD
2019-02-10,0.6521,0.6551,0.5314,0.5703,834459,USD
2019-02-17,0.5703,0.6932,0.57,0.6761,812240,USD
2019-02-24,0.6761,0.735,0.6451,0.688,773988,USD
2019-03-03,0.688,0.7379,0.5,0.6896,1479485,USD
2019-03-10,0.6896,0.7871,0.63,0.7435,1507810,USD
2019-03-17,0.7435,0.7668,0.6517,0.6872,717002,USD
2019-03-24,0.6872,0.7165,0.6467,0.676,1323136,USD
2019-03-31,0.676,1.0194,0.6667,0.838,4278893,USD
2019-04-07,0.838,0.8895,0.6107,0.6413,3689675,USD
2019-04-14,0.6413,0.6593,0.5499,0.6233,3539910,USD
2019-04-21,0.6233,0.6592,0.501,0.5771,2374507,USD
2019-04-28,0.5771,0.618,0.5635,0.5854,1099432,USD
2019-05-05,0.5854,0.8591,0.5595,0.8153,2677951,USD
2019-05-12,0.8153,0.9388,0.6538,0.7353,3758574,USD
2019-05-19,0.7353,0.8794,0.7,0.8627,1918763,USD
2019-05-26,0.8627,1.3632,0.8012,1.1656,4227925,USD
2019-06-02,1.1656,1.4667,1.0969,1.413,3032949,USD
2019-06-09,1.413,1.8774,1.3732,1.7879,2699120,USD
2019-06-16,1.7879,2.1575,1.7797,1.8808,4421192,USD
2019-06-23,1.8808,2.2172,1.7257,1.9189,4015218,USD
2019-06-30,1.9189,2.0573,1.4122,1.6742,3766939,USD
2019-07-07,1.6742,1.7891,1.4407,1.6108,2997768,USD
2019-07-14,1.6108,1.6443,1.1929,1.221,5453544,USD
2019-07-21,1.221,1.2772,0.773,0.7798,3207457,USD
2019-07-28,0.7798,0.9415,0.7645,0.8214,2554812,USD
2019-08-04,0.8214,0.8857,0.6713,0.7515,1844979,USD
2019-08-11,0.7515,0.9129,0.7462,0.8442,5451278,USD
2019-08-18,0.8442,0.9149,0.8111,0.8383,2260094,USD
2019-08-25,0.8383,0.8554,0.7303,0.7303,1176802,USD
2019-09-01,0.7303,0.7959,0.6046,0.6435,1866584,USD
2019-09-08,0.6435,0.8914,0.5089,0.7401,5267395,USD
2019-09-15,0.7401,0.8953,0.6709,0.7893,1720518,USD
2019-09-22,0.7893,0.8072,0.5618,0.6479,2370868,USD
2019-09-29,0.6479,0.6574,0.5001,0.5075,6458292,USD
2019-10-06,0.5075,0.5186,0.3823,0.3936,5911147,USD
2019-10-13,0.3936,0.4022,0.3167,0.3372,5597785,USD
2019-10-20,0.3372,0.355,0.2628,0.3465,7054854,USD
2019-10-27,0.3465,0.5077,0.3465,0.5073,9068810,USD
2019-11-03,0.5073,0.5259,0.3689,0.4527,8605436,USD
2019-11-10,0.4527,0.4997,0.4244,0.4804,7024557,USD
2019-11-17,0.4804,0.4896,0.3517,0.3799,8126715,USD
2019-11-24,0.3799,0.4179,0.3213,0.4098,8053258,USD
2019-12-01,0.4098,0.4125,0.377,0.4066,8148908,USD
2019-12-08,0.4066,0.4696,0.364,0.3709,6037444,USD
2019-12-15,0.3709,0.3834,0.315,0.3321,13306594,USD
2019-12-22,0.3321,0.399,0.3031,0.3762,6950424,USD
2019-12-29,0.3762,0.498,0.3505,0.3744,3033649,USD
2020-01-05,0.3744,0.4285,0.338,0.3453,3174163,USD
2020-01-12,0.3453,0.3978,0.3398,0.3887,3266953,USD
2020-01-19,0.3887,0.4006,0.3374,0.3443,1437411,USD
2020-01-26,0.3443,0.3519,0.3208,0.3288,1891864,USD
2020-02-02,0.3288,0.3761,0.3288,0.3654,3131962,USD
2020-02-09,0.3651,0.3677,0.3014,0.3048,5006958,USD
2020-02-16,0.3048,0.3383,0.2169,0.3248,7963981,USD
2020-02-23,0.3248,0.3587,0.2521,0.2648,3632433,USD
2020-03-01,0.2648,0.2719,0.225,0.2294,3038814,USD
2020-03-08,0.2294,0.2294,0.0549,0.1011,13185243,USD
2020-03-15,0.1011,0.1363,0.0937,0.1146,6495079,USD
2020-03-22,0.1146,0.1222,0.1028,0.1118,2458351,USD
2020-03-29,0.1118,0.1149,0.101,0.1044,2182476,USD
2020-04-05,0.1044,0.1172,0.0902,0.0967,4133687,USD
2020-04-12,0.0967,0.1038,0.0859,0.1016,2828652,USD
2020-04-19,0.1016,0.1046,0.0871,0.1029,2036097,USD
2020-04-26,0.1029,0.1216,0.0889,0.1194,3562945,USD
2020-05-03,0.1194,0.1218,0.1025,0.104,2652673,USD
2020-05-10,0.104,0.125,0.0942,0.1144,4077810,USD
2020-05-17,0.1144,0.1235,0.111,0.114,2363843,USD
2020-05-24,0.114,0.1202,0.1056,0.1154,2173716,USD
2020-05-31,0.1154,0.1236,0.108,0.1123,3149789,USD
2020-06-07,0.1123,0.1196,0.1071,0.109,1825739,USD
2020-06-14,0.109,0.1121,0.1007,0.1098,1466742,USD
2020-06-21,0.1098,0.1129,0.0999,0.1003,1446771,USD
