Date,Open,High,Low,Close,Volume,Currency
2018-09-02,1.76647,1.86569,1.26419,1.28884,0,USD
2018-09-09,1.28884,1.67922,1.24269,1.58059,0,USD
2018-09-16,1.58059,1.70142,1.28023,1.54294,0,USD
2018-09-23,1.54294,1.70591,1.33767,1.45858,0,USD
2018-09-30,1.45858,1.51013,1.3338,1.45657,0,USD
2018-10-07,1.45657,1.48158,1.21231,1.39067,0,USD
2018-10-14,1.39067,1.61826,1.38136,1.45391,0,USD
2018-10-21,1.45391,1.76839,1.40915,1.59303,0,USD
2018-10-28,1.59303,2.01764,1.40976,1.46551,0,USD
2018-11-04,1.46551,2.02853,1.45774,1.85053,0,USD
2018-11-11,1.85053,1.85053,1.43395,1.49105,0,USD
2018-11-18,1.49105,1.503,0.90221,0.92928,0,USD
2018-11-25,0.92928,1.00465,0.81089,0.86574,0,USD
2018-12-02,0.86574,0.88267,0.54966,0.59501,0,USD
2018-12-09,0.59501,0.65165,0.48921,0.50373,0,USD
2018-12-16,0.50373,0.72251,0.49819,0.71998,0,USD
2018-12-23,0.71998,0.92184,0.64288,0.77314,0,USD
2018-12-30,0.77314,0.89545,0.73017,0.81998,0,USD
2019-01-06,0.81998,0.87585,0.63578,0.67495,0,USD
2019-01-13,0.67495,0.71282,0.61056,0.68421,0,USD
2019-01-20,0.68421,0.68421,0.59707,0.65132,0,USD
2019-01-27,0.65132,0.71261,0.5374,0.70939,0,USD
2019-02-03,0.70939,0.83089,0.60175,0.8287,0,USD
2019-02-10,0.8287,0.94684,0.76215,0.87912,0,USD
2019-02-17,0.87912,1.18417,0.87778,1.17935,0,USD
2019-02-24,1.17935,1.2659,0.88155,0.91911,0,USD
2019-03-03,0.91911,1.01427,0.84102,0.99339,0,USD
2019-03-10,0.99339,1.06181,0.90093,1.05616,0,USD
2019-03-17,1.05616,1.05652,0.93104,0.96705,0,USD
2019-03-24,0.96705,1.01425,0.9048,0.96094,0,USD
2019-03-31,0.96094,1.22279,0.90192,1.08344,0,USD
2019-04-07,1.08344,1.28806,0.96454,1.01383,0,USD
2019-04-14,1.01383,1.21202,0.99529,1.17285,0,USD
2019-04-21,1.17285,1.18412,0.90171,1.00014,0,USD
2019-04-28,1.00014,1.16848,0.96593,1.03226,0,USD
2019-05-05,1.03226,1.22725,0.98659,1.1605,0,USD
2019-05-12,1.1605,1.63506,1.11251,1.28708,0,USD
2019-05-19,1.28708,1.53321,1.21101,1.29972,0,USD
2019-05-26,1.29972,1.5521,1.15625,1.32243,0,USD
2019-06-02,1.32243,1.43021,1.14823,1.2832,0,USD
2019-06-09,1.2832,1.33468,1.1421,1.29142,0,USD
2019-06-16,1.29142,1.54495,1.19335,1.40253,0,USD
2019-06-23,1.40253,1.62406,1.03867,1.28664,0,USD
