Date,Open,High,Low,Close,Volume,Currency
2018-01-21,12.3298,12.3298,8.359,11.7556,1423175,USD
2018-01-28,11.7556,13.4832,11.4316,13.4786,817452,USD
2018-02-04,9.5399,9.6961,4.7998,8.48,964880,USD
2018-02-11,8.48,9.729,7.36,9.7288,485513,USD
2018-02-18,9.7288,9.985,7.5,7.8896,372172,USD
2018-02-25,7.8896,8.7979,7.3493,7.803,243257,USD
2018-03-04,7.803,8.2683,4.8632,5.7307,367174,USD
2018-03-11,5.725,6.4693,4.7032,4.8638,276678,USD
2018-03-18,4.8638,6.9965,3.6,6.5479,602648,USD
2018-03-25,6.5479,6.7,5.0556,5.056,794989,USD
2018-04-01,5.056,5.1571,4.099,4.3594,541658,USD
2018-04-08,4.3594,6.0,4.2656,4.87,757429,USD
2018-04-15,4.87,6.6989,4.8011,5.8132,1083356,USD
2018-04-22,5.8132,9.0999,5.751,8.859,1828399,USD
2018-04-29,8.859,11.9399,8.22,10.7701,1854002,USD
2018-05-06,10.8229,11.2089,7.0,8.0,998822,USD
2018-05-13,8.0001,8.623,6.82,7.3399,670437,USD
2018-05-20,7.3399,7.861,5.5421,6.2385,757117,USD
2018-05-27,6.268,7.679,5.5589,7.4699,635222,USD
2018-06-03,7.4699,7.747,6.5991,6.5991,533498,USD
2018-06-10,6.5801,6.5801,4.886,5.549,560525,USD
2018-06-17,5.549,5.749,4.399,4.545,351284,USD
2018-06-24,4.5797,5.5727,4.077,4.9,989305,USD
2018-07-01,4.9,5.3226,4.318,4.7,433822,USD
2018-07-08,4.7,4.7527,3.008,3.0375,617918,USD
2018-07-15,3.0375,3.8942,3.033,3.5122,525229,USD
2018-07-22,3.5122,3.65,3.1982,3.2288,465754,USD
2018-07-29,3.2288,3.2466,2.0188,2.11,685275,USD
2018-08-05,2.11,2.3515,1.34,1.3906,489171,USD
2018-08-12,1.3906,2.2975,1.0112,1.7585,1381364,USD
2018-08-19,1.7585,2.2922,1.5998,1.8343,2130371,USD
2018-08-26,1.8343,2.123,1.7035,1.9949,1196393,USD
2018-09-02,1.9949,2.1221,1.4272,1.4595,1139035,USD
2018-09-09,1.4595,1.5423,1.23,1.4155,778995,USD
2018-09-16,1.4155,1.5955,1.2543,1.4471,581520,USD
2018-09-23,1.4471,1.5087,1.2975,1.4249,391817,USD
2018-09-30,1.4249,1.9558,1.4107,1.7088,3660346,USD
2018-10-07,1.7088,2.1388,1.6398,1.88,6363046,USD
2018-10-14,1.88,2.103,1.6012,1.68,4193003,USD
2018-10-21,1.68,1.7205,1.4985,1.4985,949496,USD
2018-10-28,1.4985,1.5565,1.4019,1.4532,526833,USD
2018-11-04,1.4532,1.548,1.3956,1.4102,515535,USD
2018-11-11,1.4102,1.4298,1.0441,1.1081,714980,USD
2018-11-18,1.1081,1.123,0.68,0.7145,816763,USD
2018-11-25,0.7145,0.87,0.6177,0.7691,1135813,USD
2018-12-02,0.7691,0.8396,0.5206,0.5911,856603,USD
