Date,Open,High,Low,Close,Volume,Currency
2018-09-02,0.358,0.45,0.2918,0.3682,886106,USD
2018-09-09,0.3682,0.45,0.3325,0.3902,831875,USD
2018-09-16,0.3902,0.48,0.3902,0.441,284605,USD
2018-09-23,0.4137,0.525,0.4137,0.43,1382818,USD
2018-09-30,0.43,0.5657,0.421,0.52,685203,USD
2018-10-07,0.52,0.5664,0.5,0.5326,245082,USD
2018-10-14,0.5326,0.5673,0.5,0.5006,131588,USD
2018-10-21,0.5125,0.5673,0.4788,0.5049,214461,USD
2018-10-28,0.5049,0.548,0.3713,0.445,1427442,USD
2018-11-04,0.445,0.509,0.3706,0.382,1967270,USD
2018-11-11,0.422,0.422,0.3704,0.3704,64515,USD
2018-11-18,0.3704,0.395,0.3001,0.32,134072,USD
2018-11-25,0.32,0.4,0.2916,0.35,156893,USD
2018-12-02,0.35,0.382,0.2689,0.2859,230490,USD
2018-12-09,0.2859,0.323,0.265,0.2873,29371,USD
2018-12-16,0.2873,0.323,0.265,0.27,86815,USD
2018-12-23,0.27,0.323,0.25,0.25,303080,USD
2018-12-30,0.25,0.317,0.25,0.3,1432,USD
2019-01-06,0.3,0.3,0.2408,0.241,78493,USD
2019-01-13,0.241,0.252,0.2408,0.2408,9486,USD
2019-01-20,0.2408,0.2408,0.2141,0.2141,100162,USD
2019-01-27,0.2141,0.2142,0.201,0.201,10460,USD
2019-02-03,0.201,0.203,0.121,0.1283,3378,USD
2019-02-10,0.1283,0.215,0.121,0.16,147285,USD
2019-02-17,0.16,0.3149,0.16,0.2925,120095,USD
2019-02-24,0.2925,0.2925,0.225,0.225,45160,USD
2019-03-03,0.225,0.315,0.225,0.275,11072,USD
2019-03-10,0.275,0.275,0.25,0.27,34075,USD
2019-03-17,0.27,0.27,0.2411,0.242,31808,USD
2019-03-24,0.242,0.317,0.2411,0.26,25413,USD
2019-03-31,0.26,0.314,0.26,0.2613,25197,USD
2019-04-07,0.2613,0.3,0.252,0.252,81179,USD
2019-04-14,0.252,0.2797,0.22,0.225,438502,USD
2019-04-21,0.225,0.2764,0.16,0.1785,575237,USD
2019-04-28,0.189,0.26,0.176,0.189,543741,USD
2019-05-05,0.189,0.2483,0.16,0.16,177432,USD
2019-05-12,0.16,0.2143,0.1511,0.171,35828,USD
2019-05-19,0.171,0.2,0.153,0.157,3056504,USD
2019-05-26,0.157,0.1937,0.1531,0.1898,572292,USD
2019-06-02,0.1888,0.189,0.1537,0.1547,22411,USD
2019-06-09,0.1547,0.188,0.1547,0.1768,26704,USD
2019-06-16,0.1768,0.179,0.121,0.15,311772,USD
2019-06-23,0.15,0.1697,0.125,0.1255,15863,USD
2019-06-30,0.1255,0.16,0.0417,0.0603,1526598,USD
2019-07-07,0.0603,0.0995,0.0519,0.077,1104237,USD
2019-07-14,0.077,0.0778,0.06,0.06,457586,USD
2019-07-21,0.06,0.0768,0.06,0.0604,5995,USD
2019-07-28,0.0604,0.125,0.05,0.055,865915,USD
2019-08-04,0.055,0.0998,0.055,0.06,16806,USD
2019-08-11,0.06,0.1146,0.06,0.062,17088,USD
2019-08-18,0.0615,0.062,0.0615,0.062,82,USD
2019-08-25,0.062,0.089,0.06,0.06,19857,USD
2019-09-01,0.06,0.075,0.05,0.075,33963,USD
2019-09-08,0.075,0.075,0.065,0.068,23460,USD
2019-09-15,0.068,0.086,0.0503,0.086,22246,USD
2019-09-22,0.084,0.087,0.052,0.0591,6444,USD
2019-09-29,0.0591,0.087,0.052,0.052,141860,USD
2019-10-06,0.052,0.1128,0.052,0.0999,789558,USD
2019-10-13,0.0999,0.1127,0.067,0.1057,178991,USD
2019-10-20,0.1,0.1235,0.043,0.0896,1280157,USD
2019-10-27,0.0896,0.1232,0.0811,0.09,334778,USD
2019-11-03,0.09,0.09,0.0566,0.071,3262,USD
2019-11-10,0.071,0.0819,0.0525,0.0777,909892,USD
2019-11-17,0.0777,0.0777,0.0632,0.0632,32298,USD
2019-11-24,0.0632,0.0997,0.0612,0.0951,116849,USD
2019-12-01,0.0951,0.0979,0.0742,0.092,32285,USD
2019-12-08,0.092,0.1,0.0799,0.08,95620,USD
2019-12-15,0.08,0.1,0.0532,0.0549,244225,USD
2019-12-22,0.0549,0.0976,0.0542,0.066,280356,USD
2019-12-29,0.066,0.096,0.0575,0.0902,239946,USD
2020-01-05,0.0902,0.0959,0.0671,0.0711,406615,USD
2020-01-12,0.0711,0.089,0.0678,0.076,787794,USD
2020-01-19,0.076,0.0785,0.0604,0.072,1428023,USD
2020-01-26,0.072,0.08,0.0501,0.0682,430492,USD
2020-02-02,0.0682,0.072,0.05,0.0568,995044,USD
2020-02-09,0.0568,0.0762,0.0568,0.0636,626663,USD
2020-02-16,0.0589,0.09,0.0589,0.09,519633,USD
2020-02-23,0.0844,0.0926,0.0613,0.0802,154653,USD
2020-03-01,0.0802,0.0845,0.066,0.0687,61876,USD
2020-03-08,0.0687,0.0687,0.0533,0.0533,66595,USD
2020-03-15,0.0533,0.0639,0.0333,0.0555,324280,USD
2020-03-22,0.0555,0.0555,0.046,0.046,70352,USD
2020-03-29,0.046,0.0669,0.046,0.0667,78725,USD
2020-04-05,0.0667,0.0667,0.0466,0.0479,94529,USD
2020-04-12,0.0479,0.0611,0.0479,0.0517,147842,USD
2020-04-19,0.0517,0.0664,0.0517,0.0525,26673,USD
2020-04-26,0.0525,0.0646,0.0525,0.0643,3474,USD
2020-05-03,0.0643,0.0643,0.0514,0.0643,7218,USD
2020-05-10,0.0643,0.0643,0.0551,0.0566,63423,USD
2020-05-17,0.0566,0.0733,0.0562,0.0562,53067,USD
2020-05-24,0.0562,0.072,0.0562,0.0708,22024,USD
2020-05-31,0.0708,0.148,0.0708,0.1098,616232,USD
2020-06-07,0.1098,0.1204,0.0888,0.115,236524,USD
2020-06-14,0.115,0.1249,0.101,0.117,901492,USD
2020-06-21,0.117,0.117,0.096,0.1094,248000,USD
2020-06-28,0.1094,0.156,0.0969,0.1404,298968,USD
2020-07-05,0.1404,0.1697,0.1404,0.1648,1024418,USD
2020-07-12,0.1648,0.21,0.1648,0.2,623413,USD
2020-07-19,0.2,0.2,0.1889,0.1889,312614,USD
2020-07-26,0.1889,0.191,0.1754,0.1775,301451,USD
2020-08-02,0.1775,0.215,0.1599,0.2138,706923,USD
2020-08-09,0.2138,0.2363,0.201,0.2332,503657,USD
2020-08-16,0.2332,0.3164,0.2332,0.313,647247,USD
2020-08-23,0.313,0.3786,0.2996,0.3376,1179851,USD
2020-08-30,0.3376,0.36,0.2583,0.2583,319077,USD
2020-09-06,0.2583,0.2614,0.2332,0.2332,123448,USD
2020-09-13,0.2332,0.248,0.2051,0.2067,1141137,USD
2020-09-20,0.2067,0.2067,0.175,0.1788,275767,USD
2020-09-27,0.1788,0.1797,0.17,0.17,169025,USD
2020-10-04,0.17,0.17,0.1372,0.162,99292,USD
2020-10-11,0.162,0.162,0.1493,0.1493,79059,USD
2020-10-18,0.1493,0.1623,0.1493,0.16,148639,USD
2020-10-25,0.16,0.1691,0.1487,0.1487,134694,USD
2020-11-01,0.1487,0.1572,0.147,0.1572,64791,USD
2020-11-08,0.1572,0.1627,0.1466,0.1627,276937,USD
2020-11-15,0.1627,0.1764,0.1502,0.17,715798,USD
2020-11-22,0.17,0.192,0.17,0.185,304046,USD
2020-11-29,0.185,0.246,0.185,0.21,1478566,USD
