Date,Open,High,Low,Close,Volume,Currency
2018-09-02,0.50759,0.52249,0.33863,0.34118,177138,USD
2018-09-09,0.34118,0.51167,0.33661,0.37206,137354,USD
2018-09-16,0.37206,0.37521,0.33,0.34647,176677,USD
2018-09-23,0.34647,0.38756,0.31375,0.33361,180116,USD
2018-09-30,0.33361,0.45915,0.33361,0.37171,156363,USD
2018-10-07,0.37171,0.39939,0.301,0.33132,143229,USD
2018-10-14,0.33132,0.37961,0.32788,0.3442,144110,USD
2018-10-21,0.3442,0.35219,0.2907,0.3515,195805,USD
2018-10-28,0.3515,0.3515,0.3515,0.3515,0,USD
2018-11-04,0.3515,0.3515,0.3515,0.3515,0,USD
2018-11-11,0.3515,0.3515,0.3515,0.3515,0,USD
2018-11-18,0.3515,0.3515,0.3515,0.3515,0,USD
2018-11-25,0.3515,0.3515,0.3515,0.3515,0,USD
2018-12-02,0.3515,0.3515,0.3515,0.3515,0,USD
2018-12-09,0.3515,0.3515,0.3515,0.3515,0,USD
2018-12-16,0.3515,0.3515,0.3515,0.3515,0,USD
2018-12-23,0.3515,0.3515,0.22937,0.26,2270,USD
2018-12-30,0.26,0.27483,0.12359,0.12359,11490,USD
2019-01-06,0.12359,0.22876,0.12359,0.17858,11840,USD
2019-01-13,0.17858,0.20096,0.16828,0.16828,70,USD
2019-01-20,0.16828,0.19412,0.16828,0.19412,140,USD
2019-01-27,0.19412,0.19412,0.19412,0.19412,0,USD
2019-02-03,0.19412,0.19412,0.17744,0.17744,4480,USD
2019-02-10,0.17744,0.21499,0.11,0.18325,1804,USD
2019-02-17,0.18325,0.22,0.175,0.175,132,USD
2019-02-24,0.175,0.22,0.15368,0.19393,1182,USD
2019-03-03,0.19393,0.19424,0.15369,0.17114,205,USD
2019-03-10,0.17114,0.18036,0.1473,0.14981,335,USD
2019-03-17,0.14981,0.15535,0.145,0.145,658,USD
2019-03-24,0.145,0.145,0.119,0.14101,3752,USD
2019-03-31,0.14101,0.17117,0.05122,0.09593,2388,USD
2019-04-07,0.09593,0.10549,0.09,0.09,12199,USD
2019-04-14,0.09,0.14515,0.07879,0.09729,13549,USD
2019-04-21,0.09729,0.16113,0.05274,0.076,40411,USD
2019-04-28,0.076,0.12,0.07353,0.09764,8198,USD
2019-05-05,0.09764,0.12,0.06544,0.08334,1244,USD
2019-05-12,0.08334,0.14975,0.08334,0.10822,8369,USD
2019-05-19,0.10822,0.18003,0.10642,0.18003,3,USD
2019-05-26,0.18003,0.21723,0.10991,0.16292,218,USD
2019-06-02,0.16292,0.2152,0.0977,0.14999,611,USD
2019-06-09,0.14999,0.14999,0.09803,0.14999,899,USD
2019-06-16,0.14999,0.16238,0.11232,0.15043,11082,USD
2019-06-23,0.15043,0.17378,0.13167,0.16209,305,USD
2019-06-30,0.16209,0.19999,0.12359,0.12359,835,USD
2019-07-07,0.12359,0.18618,0.12359,0.12359,233,USD
2019-07-14,0.12359,0.17762,0.12359,0.12359,577,USD
2019-07-21,0.12359,0.1768,0.11034,0.11278,9045,USD
2019-07-28,0.11278,0.11355,0.11278,0.11355,26,USD
2019-08-04,0.11355,0.1624,0.1022,0.11601,25,USD
2019-08-11,0.10934,0.16245,0.09253,0.09372,1667,USD
2019-08-18,0.09372,0.111,0.06533,0.09279,45,USD
2019-08-25,0.09279,0.111,0.06533,0.0908,5,USD
2019-09-01,0.0908,0.111,0.0908,0.111,61,USD
2019-09-08,0.111,0.111,0.06534,0.08505,1275,USD
2019-09-15,0.07019,0.111,0.07019,0.09092,966,USD
2019-09-22,0.111,0.14397,0.111,0.14397,0,USD
2019-09-29,0.14397,0.14397,0.098,0.1439,6,USD
2019-10-06,0.1439,0.15,0.11486,0.13645,779,USD
2019-10-13,0.13645,0.13645,0.0798,0.115,1,USD
2019-10-20,0.115,0.152,0.115,0.152,1,USD
2019-10-27,0.152,0.16,0.152,0.16,0,USD
2019-11-03,0.16,0.16,0.07135,0.07301,12720,USD
2019-11-10,0.07301,0.08659,0.07301,0.08659,2,USD
2019-11-17,0.08659,0.0874,0.08659,0.0874,0,USD
2019-11-24,0.0874,0.12096,0.0683,0.10853,716,USD
2019-12-01,0.09559,0.0956,0.09559,0.0956,75,USD
2019-12-08,0.10171,0.10773,0.10171,0.10773,1,USD
2019-12-15,0.10773,0.10773,0.0625,0.0625,306,USD
2019-12-22,0.0625,0.0625,0.0625,0.0625,0,USD
2019-12-29,0.0625,0.14,0.0625,0.12819,0,USD
2020-01-05,0.12819,0.17771,0.06671,0.17771,10913,USD
2020-01-12,0.17771,0.17771,0.1,0.17771,2814,USD
2020-01-19,0.17771,0.17771,0.12313,0.12313,775,USD
2020-01-26,0.12313,0.16959,0.10313,0.10313,951,USD
2020-02-02,0.13,0.13123,0.022,0.11,715,USD
2020-02-09,0.12578,0.12579,0.08557,0.12194,3801,USD
2020-02-16,0.12,0.135,0.10317,0.135,2834,USD
2020-02-23,0.135,0.16666,0.09001,0.11345,32679,USD
2020-03-01,0.09,0.11346,0.09,0.11346,6639,USD
2020-03-08,0.11346,0.14,0.09036,0.09036,6669,USD
2020-03-15,0.09036,0.135,0.076,0.09225,3730,USD
2020-03-22,0.09225,0.13498,0.082,0.13106,526,USD
2020-03-29,0.11813,0.12166,0.11479,0.11479,89,USD
2020-04-05,0.11479,0.11515,0.07573,0.10796,930,USD
2020-04-12,0.10796,0.10796,0.07596,0.09313,87,USD
2020-04-19,0.09313,0.1095,0.0887,0.10949,6,USD
2020-04-26,0.08648,0.5,0.085,0.18999,15212,USD
2020-05-03,0.18999,0.18999,0.14996,0.15297,472,USD
2020-05-10,0.1545,0.1545,0.1545,0.1545,0,USD
2020-05-17,0.1545,0.20692,0.10109,0.13101,74,USD
2020-05-24,0.13101,0.13196,0.13101,0.13196,200,USD
2020-05-31,0.13196,0.15012,0.13196,0.15012,0,USD
2020-06-07,0.15012,0.16221,0.14542,0.14646,166,USD
2020-06-14,0.14646,0.14646,0.11828,0.14482,1788,USD
2020-06-21,0.14482,0.155,0.09699,0.118,73611,USD
2020-06-28,0.118,0.13731,0.118,0.1271,3282,USD
2020-07-05,0.1271,0.15434,0.11677,0.15434,230,USD
2020-07-12,0.15434,0.15434,0.11677,0.11677,1036,USD
2020-07-19,0.11677,0.15774,0.11,0.12609,5256,USD
2020-07-26,0.12609,0.15774,0.11681,0.14143,8176,USD
2020-08-02,0.14143,0.18858,0.10006,0.15789,17798,USD
2020-08-09,0.15789,0.20125,0.13803,0.14928,2870,USD
2020-08-16,0.14928,0.14928,0.14928,0.14928,0,USD
2020-08-23,0.14928,0.19454,0.135,0.141,0,USD
2020-08-30,0.141,0.141,0.10362,0.1269,629,USD
2020-09-06,0.1269,0.14669,0.1269,0.14669,0,USD
2020-09-13,0.14669,0.14669,0.088,0.09725,3101,USD
2020-09-20,0.09725,0.17634,0.09725,0.09939,270,USD
2020-09-27,0.09939,0.12175,0.09939,0.12174,1617,USD
2020-10-04,0.12174,0.12174,0.0832,0.10996,971,USD
