Date,Open,High,Low,Close,Volume,Currency
2018-08-26,0.281,0.33934,0.281,0.307,1190414,USD
2018-09-02,0.307,0.31632,0.22122,0.235,1280556,USD
2018-09-09,0.235,0.29781,0.2017,0.21089,1673960,USD
2018-09-16,0.21089,0.233,0.12,0.15,895558,USD
2018-09-23,0.15,0.15993,0.12,0.1285,197608,USD
2018-09-30,0.1285,0.164,0.111,0.14211,256495,USD
2018-10-07,0.14211,0.1599,0.111,0.112,301547,USD
2018-10-14,0.112,0.15377,0.112,0.13,132907,USD
2018-10-21,0.13,0.18746,0.13,0.14808,781530,USD
2018-10-28,0.14808,0.2,0.1428,0.178,877431,USD
2018-11-04,0.178,0.23994,0.178,0.22146,1158641,USD
2018-11-11,0.22146,0.26296,0.17441,0.25869,1137605,USD
2018-11-18,0.25869,0.305,0.2,0.22551,1342552,USD
2018-11-25,0.22551,0.25036,0.2,0.23448,572136,USD
2018-12-02,0.23448,0.305,0.1816,0.18366,1070043,USD
2018-12-09,0.18366,0.21396,0.15067,0.15104,464785,USD
2018-12-16,0.15104,0.3238,0.12531,0.30017,653644,USD
2018-12-23,0.30017,0.30017,0.186,0.19153,1913880,USD
2018-12-30,0.19153,0.3,0.1706,0.29045,481954,USD
2019-01-06,0.29045,0.311,0.234,0.3,988110,USD
2019-01-13,0.3,0.31633,0.26601,0.2857,760874,USD
2019-01-20,0.2857,0.299,0.26,0.283,1175017,USD
2019-01-27,0.283,0.28888,0.22412,0.23292,936576,USD
2019-02-03,0.23292,0.25,0.20612,0.225,161206,USD
2019-02-10,0.232,0.2569,0.205,0.21,321278,USD
2019-02-17,0.21,0.21525,0.205,0.2098,298240,USD
2019-02-24,0.2098,0.21824,0.18501,0.202,711339,USD
2019-03-03,0.202,0.207,0.193,0.2,322719,USD
2019-03-10,0.193,0.202,0.18771,0.189,251595,USD
2019-03-17,0.189,0.19385,0.175,0.17501,347587,USD
2019-03-24,0.17501,0.17501,0.13717,0.13993,1245110,USD
2019-03-31,0.13993,0.22881,0.1381,0.18276,3010746,USD
2019-04-07,0.18746,0.19507,0.157,0.15866,499118,USD
2019-04-14,0.15866,0.18398,0.14,0.16948,252158,USD
2019-04-21,0.16948,0.25,0.16756,0.25,345245,USD
2019-04-28,0.25,0.28679,0.21573,0.22274,766339,USD
