Date,Open,High,Low,Close,Volume,Currency
2018-03-04,45.0443,45.5905,28.8728,30.7745,0,USD
2018-03-11,30.7745,36.9713,26.0231,27.3044,0,USD
2018-03-18,27.3044,32.4978,24.0112,28.1301,0,USD
2018-03-25,28.192,28.7074,20.2474,21.4363,0,USD
2018-04-01,21.4363,25.1789,19.8486,21.9024,0,USD
2018-04-08,21.9024,32.5387,20.5696,30.8419,0,USD
2018-04-15,30.8419,41.1359,29.9441,40.1889,0,USD
2018-04-22,40.1889,43.1708,33.5844,38.064,0,USD
2018-04-29,38.064,46.7032,37.4774,43.2474,0,USD
2018-05-06,43.2984,43.7342,0.0041,34.9937,0,USD
2018-05-13,35.0576,36.8728,31.0592,33.3728,0,USD
2018-05-20,33.3728,35.5693,24.6492,26.1461,0,USD
2018-05-27,26.152,26.4999,24.116,25.2465,0,USD
2018-06-03,25.2273,25.6959,22.2152,22.9018,0,USD
2018-06-10,22.908,22.908,16.451,17.8776,0,USD
2018-06-17,17.8809,20.4234,15.6654,16.498,0,USD
2018-06-24,16.5194,18.1361,14.9861,17.3351,0,USD
2018-07-01,17.3348,17.7589,0.0002,14.7315,0,USD
2018-07-08,14.7315,15.0445,10.7644,11.0664,0,USD
2018-07-15,11.0664,14.3718,10.267,12.2569,0,USD
2018-07-22,12.2569,13.4025,11.4158,11.6932,0,USD
2018-07-29,11.6932,11.9737,8.1663,8.4491,0,USD
2018-08-05,8.4491,9.3181,6.5746,7.0564,0,USD
2018-08-12,7.0564,13.1307,6.3669,7.8433,0,USD
2018-08-19,7.8433,8.7907,6.9415,8.26,0,USD
2018-08-26,8.26,9.5598,7.6985,9.1214,0,USD
2018-09-02,9.1214,12.1252,7.9869,9.4502,0,USD
2018-09-09,9.4502,10.6284,8.1784,8.6548,0,USD
2018-09-16,8.6548,8.6548,7.3672,7.8564,0,USD
2018-09-23,7.8564,8.1055,7.1071,7.2916,0,USD
2018-09-30,7.2916,7.9928,5.8967,6.2977,0,USD
2018-10-07,6.2977,6.4111,3.9859,4.0987,0,USD
2018-10-14,4.0987,4.8804,3.382,3.5755,0,USD
2018-10-21,3.5755,3.6132,3.519,3.5291,0,USD
2018-10-28,3.5291,3.5345,3.3936,3.4681,0,USD
2018-11-04,3.4681,3.5872,3.4531,3.4916,0,USD
2018-11-11,3.4916,3.5276,2.9544,3.0548,0,USD
2018-11-18,3.0548,3.1003,2.0819,2.134,0,USD
2018-11-25,2.134,2.4259,1.9884,2.3036,0,USD
2018-12-02,2.3036,2.3634,1.7824,1.9035,0,USD
2018-12-09,1.9035,2.0507,1.747,1.7846,0,USD
2018-12-16,1.7846,2.3323,1.7793,2.24,0,USD
2018-12-23,2.24,2.3801,2.0023,2.108,0,USD
2018-12-30,2.108,2.2109,2.0532,2.1238,0,USD
2019-01-06,2.1238,4.2474,1.9907,2.0101,0,USD
2019-01-13,2.0101,2.0898,1.9393,2.044,0,USD
2019-01-20,2.0429,2.061,1.9013,1.9724,0,USD
2019-01-27,1.9724,1.9775,1.8585,1.9323,0,USD
2019-02-03,1.9323,2.0597,1.8586,2.0188,0,USD
2019-02-10,2.0188,2.0357,1.9777,1.996,0,USD
2019-02-17,1.996,2.3101,1.992,2.2869,0,USD
2019-02-24,2.2869,2.325,2.0484,2.1245,0,USD
2019-03-03,2.1245,2.1961,2.0454,2.18,0,USD
2019-03-10,2.18,2.2546,2.1108,2.2204,0,USD
2019-03-17,2.2204,2.2509,2.1749,2.206,0,USD
2019-03-24,2.206,2.2857,2.1391,2.2613,0,USD
2019-03-31,2.2613,2.8916,2.2411,2.7581,0,USD
2019-04-07,2.7581,2.9758,2.6891,2.7735,0,USD
2019-04-14,2.7735,2.932,2.7065,2.8992,0,USD
2019-04-21,2.8992,3.0717,2.7574,2.9346,0,USD
2019-04-28,2.9346,3.345,2.9188,3.3112,0,USD
2019-05-05,3.3112,3.9471,3.2095,3.8964,0,USD
2019-05-12,3.8964,4.5168,3.7245,3.9428,0,USD
2019-05-19,3.9428,4.4896,3.9374,4.3735,0,USD
2019-05-26,4.3735,4.9406,4.2838,4.6392,0,USD
2019-06-02,4.6392,4.7856,4.0475,4.3038,0,USD
2019-06-09,4.3038,4.8209,4.0733,4.8038,0,USD
2019-06-16,4.8038,6.0771,4.7784,5.841,0,USD
2019-06-23,5.841,7.5785,5.7186,6.4603,0,USD
2019-06-30,6.4603,6.6122,5.2886,6.1113,0,USD
2019-07-07,6.1113,7.1269,5.8822,6.178,0,USD
2019-07-14,6.178,6.2169,4.9191,5.8185,0,USD
2019-07-21,5.8185,5.8676,5.0736,5.1506,0,USD
2019-07-28,5.1506,5.9174,4.991,5.8707,0,USD
2019-08-04,5.8707,6.6739,5.7319,6.1431,0,USD
2019-08-11,6.1431,6.2911,5.1806,5.5554,0,USD
2019-08-18,5.5554,5.9623,5.3207,5.5114,0,USD
2019-08-25,5.5114,5.7641,5.0855,5.225,0,USD
2019-09-01,5.225,5.9343,5.1969,5.6934,0,USD
2019-09-08,5.6934,5.7544,5.3739,5.6355,0,USD
2019-09-15,5.6355,5.6472,5.2421,5.4358,0,USD
2019-09-22,5.4358,5.4846,4.2403,4.4781,0,USD
2019-09-29,4.4781,4.6356,4.213,4.4302,0,USD
2019-10-06,4.4302,4.773,4.2347,4.5168,0,USD
2019-10-13,4.5168,4.6022,4.2679,4.3396,0,USD
2019-10-20,4.3396,5.6785,4.0042,5.0383,0,USD
2019-10-27,5.0383,5.4006,4.8807,5.0448,0,USD
2019-11-03,5.0448,5.1575,4.7396,4.7826,0,USD
2019-11-10,4.7826,4.9514,4.5712,4.6069,0,USD
2019-11-17,4.6069,4.6743,3.7019,3.9664,0,USD
2019-11-24,3.9664,4.2609,3.5407,4.0938,0,USD
2019-12-01,4.0938,4.1925,3.8571,4.0653,0,USD
2019-12-08,4.0653,4.1451,3.8092,3.8367,0,USD
2019-12-15,3.8367,4.0083,3.5009,3.8755,0,USD
2019-12-22,3.8755,4.1719,3.8519,3.9699,0,USD
2019-12-29,3.9699,4.0828,3.7317,3.9927,0,USD
2020-01-05,3.9927,4.5878,3.9746,4.3577,0,USD
2020-01-12,4.3577,4.8899,4.3261,4.8432,0,USD
2020-01-19,4.8432,4.992,0.8547,1.16,675,USD
2020-01-26,1.16,1.16,0.6703,1.16,902,USD
2020-02-02,1.16,1.3896,1.16,1.3892,1571,USD
2020-02-09,1.3892,1.3892,0.92,1.2631,261,USD
2020-02-16,1.2631,1.74,1.0097,1.33,3522,USD
2020-02-23,1.33,1.96,1.33,1.8,1323,USD
2020-03-01,1.8,1.8226,1.35,1.35,219,USD
2020-03-08,1.35,1.85,1.0,1.0,3273,USD
2020-03-15,1.0,1.454,0.903,1.14,56,USD
2020-03-22,1.14,1.14,0.8838,1.0684,142,USD
2020-03-29,1.0684,1.1362,0.92,1.0823,255,USD
2020-04-05,1.0823,1.1684,0.8674,1.0941,232,USD
2020-04-12,1.0941,1.2972,1.0012,1.2303,590,USD
2020-04-19,1.2303,1.8043,1.1477,1.58,142,USD
2020-04-26,1.58,1.85,1.4964,1.4964,123,USD
2020-05-03,1.4964,1.793,1.4459,1.4459,30,USD
2020-05-10,1.4459,1.85,1.3405,1.5528,16,USD
2020-05-17,1.3405,1.8325,1.3405,1.8,62,USD
2020-05-24,1.8,1.9,1.42,1.619,129,USD
2020-05-31,1.619,1.9,1.4,1.45,17029,USD
2020-06-07,1.45,1.9,1.3,1.9,1138,USD
2020-06-14,1.9,1.998,1.6027,1.9,837,USD
2020-06-21,1.9,1.998,1.32,1.4073,1367,USD
2020-06-28,1.4073,1.88,1.4073,1.5552,124,USD
2020-07-05,1.5552,1.996,1.45,1.85,1216,USD
2020-07-12,1.85,1.85,1.4545,1.5121,581,USD
2020-07-19,1.5121,1.77,1.47,1.7468,701,USD
2020-07-26,1.7468,1.9795,1.4911,1.9795,282,USD
2020-08-02,1.9795,2.0124,1.5924,1.88,205,USD
2020-08-09,1.88,5.0,1.781,4.45,516,USD
2020-08-16,4.45,18.76,2.7532,8.187,1285,USD
2020-08-23,8.187,8.88,6.2917,6.2917,291,USD
2020-08-30,6.2917,7.77,3.0,3.2476,1279,USD
2020-09-06,3.2476,4.68,2.2479,3.7176,529,USD
2020-09-13,3.5,4.27,2.6,2.7,105,USD
2020-09-20,2.7,4.2829,2.7,2.707,108,USD
2020-09-27,2.707,3.924,2.707,2.9999,131,USD
2020-10-04,2.9999,2.9999,2.65,2.65,11,USD
2020-10-11,2.65,3.9986,2.65,3.3036,42,USD
2020-10-18,3.3036,4.4298,2.71,3.9983,11,USD
2020-10-25,3.9983,4.0,3.9983,4.0,27,USD
2020-11-01,4.0,5.1257,3.138,4.9157,130,USD
2020-11-08,3.343,5.7517,3.343,5.3238,15,USD
2020-11-15,4.0,6.2489,4.0,6.1732,8,USD
2020-11-22,4.3025,5.6865,3.1367,3.2104,422,USD
2020-11-29,3.2104,4.1635,3.1663,4.1634,1006,USD
2020-12-06,4.1634,4.8031,2.8,3.05,113,USD
2020-12-13,3.05,4.0575,2.2979,2.5949,607,USD
2020-12-20,2.5949,4.7177,2.5949,4.4786,84,USD
2020-12-27,3.7769,4.7893,2.0901,2.0901,30,USD
2021-01-03,2.0901,3.75,2.0901,3.55,386,USD
2021-01-10,3.55,5.99,2.8123,3.28,7752,USD
2021-01-17,3.28,9.8,2.23,2.9908,2606,USD
2021-01-24,2.9908,4.8,2.852,3.9678,729,USD
2021-01-31,3.9678,8.77,2.6205,3.35,4776,USD
2021-02-07,3.35,8.6,3.35,8.0,4637,USD
2021-02-14,8.0,8.5893,6.2726,7.9889,1305,USD
2021-02-21,7.9889,7.9889,4.31,7.369,1228,USD
2021-02-28,7.369,7.7547,4.6235,6.9876,283,USD
2021-03-07,6.9876,7.7,4.9234,5.5555,795,USD
2021-03-14,5.5555,7.7,5.5165,5.5175,1537,USD
2021-03-21,5.5175,13.0,5.5175,8.2685,10885,USD
2021-03-28,8.2685,9.812,8.1462,8.8736,10007,USD
2021-04-04,8.8736,10.039,6.25,9.7392,39775,USD
2021-04-11,9.7392,25.0,8.4022,11.73,317854,USD
2021-04-18,11.73,14.499,7.4101,8.0195,24416,USD
2021-04-25,8.0195,9.3,7.6622,9.1643,6414,USD
2021-05-02,9.1643,9.1644,7.0133,8.081,9160,USD
2021-05-09,8.081,8.7481,6.5056,6.522,2725,USD
2021-05-16,6.522,7.9,4.2,4.523,1938,USD
2021-05-23,4.523,5.5101,4.0458,4.586,862,USD
2021-05-30,4.586,7.0,4.3346,4.6255,3797,USD
2021-06-06,4.6255,4.72,3.5,4.023,7399,USD
2021-06-13,4.023,4.4,3.125,3.5833,7314,USD
2021-06-20,3.5833,3.5833,2.912,3.4446,1644,USD
2021-06-27,3.4446,4.5,2.5373,3.4782,43534,USD
2021-07-04,3.4782,5.99,3.4782,3.55,29695,USD
2021-07-11,3.55,4.1632,3.55,4.0,788,USD
2021-07-18,4.0,4.223,3.56,3.8282,347,USD
2021-07-25,3.6429,4.2799,2.789,2.9123,3784,USD
2021-08-01,2.9123,3.7756,2.9123,3.576,6085,USD
2021-08-08,3.576,4.5353,3.4,4.1929,5675,USD
2021-08-15,4.1929,5.0,3.5786,4.5,15584,USD
2021-08-22,4.5,4.5,4.0607,4.0607,24,USD
