Date,Open,High,Low,Close,Volume,Currency
2018-09-02,0.0601,0.081,0.0587,0.0667,26076152,USD
2018-09-09,0.0667,0.163,0.0651,0.1433,87364824,USD
2018-09-16,0.1433,0.1498,0.0908,0.0961,33699204,USD
2018-09-23,0.0961,0.1174,0.092,0.1031,21082152,USD
2018-09-30,0.1031,0.1059,0.09,0.0936,18549664,USD
2018-10-07,0.0936,0.0968,0.0723,0.0823,17901240,USD
2018-10-14,0.0823,0.0936,0.0785,0.0838,7680845,USD
2018-10-21,0.0838,0.0858,0.0785,0.0806,1339449,USD
2018-10-28,0.0806,0.082,0.0671,0.0692,7165534,USD
2018-11-04,0.0692,0.074,0.062,0.0659,9792065,USD
2018-11-11,0.0659,0.0735,0.0513,0.059,30561708,USD
2018-11-18,0.059,0.0599,0.0388,0.0457,28800956,USD
2018-11-25,0.0457,0.0568,0.0435,0.0524,27754428,USD
2018-12-02,0.0524,0.0718,0.04,0.048,53337832,USD
2018-12-09,0.047,0.0555,0.0464,0.0512,20471652,USD
2018-12-16,0.0512,0.0625,0.0501,0.0554,19888034,USD
2018-12-23,0.0554,0.058,0.0505,0.0558,9842240,USD
2018-12-30,0.0558,0.149,0.0554,0.0908,101765584,USD
2019-01-06,0.0908,0.1158,0.081,0.0885,50588352,USD
2019-01-13,0.0885,0.0915,0.0611,0.066,26415980,USD
2019-01-20,0.066,0.0773,0.0613,0.067,12778383,USD
2019-01-27,0.067,0.1009,0.062,0.0793,25014848,USD
2019-02-03,0.0793,0.0845,0.062,0.074,19536654,USD
2019-02-10,0.074,0.0803,0.0685,0.0713,12783752,USD
2019-02-17,0.0713,0.0743,0.066,0.0706,20063936,USD
2019-02-24,0.0706,0.0727,0.0612,0.0635,22664496,USD
2019-03-03,0.0635,0.0727,0.0605,0.0646,17421868,USD
2019-03-10,0.0646,0.0712,0.0635,0.068,18768410,USD
2019-03-17,0.068,0.085,0.0677,0.0757,53634840,USD
2019-03-24,0.0757,0.1098,0.072,0.088,110274144,USD
2019-03-31,0.088,0.09,0.0549,0.0577,122502336,USD
2019-04-07,0.0577,0.0628,0.0541,0.0563,356304288,USD
2019-04-14,0.0563,0.065,0.053,0.0626,422723808,USD
2019-04-21,0.0624,0.0689,0.0563,0.0598,116471744,USD
2019-04-28,0.0599,0.0605,0.0561,0.0577,94312520,USD
2019-05-05,0.0577,0.064,0.0537,0.0544,112418144,USD
2019-05-12,0.0545,0.0593,0.0428,0.0495,170253424,USD
2019-05-19,0.0495,0.0518,0.0447,0.0483,98389312,USD
2019-05-26,0.0483,0.0495,0.0441,0.0455,107664520,USD
2019-06-02,0.0455,0.0489,0.0442,0.0475,101787872,USD
2019-06-09,0.0475,0.0588,0.0459,0.0513,143370064,USD
2019-06-16,0.0513,0.0646,0.0511,0.0556,142101072,USD
2019-06-23,0.0556,0.0635,0.0426,0.0489,142070736,USD
2019-06-30,0.0489,0.0489,0.0375,0.0434,127651384,USD
2019-07-07,0.0433,0.0456,0.0319,0.035,110336960,USD
2019-07-14,0.035,0.0354,0.0263,0.0318,104999464,USD
2019-07-21,0.0316,0.0335,0.0277,0.0304,82091120,USD
2019-07-28,0.0304,0.0336,0.0291,0.0295,100010664,USD
2019-08-04,0.0295,0.0298,0.0181,0.0202,93079280,USD
2019-08-11,0.0202,0.0211,0.0164,0.0174,85668000,USD
2019-08-18,0.0176,0.0237,0.0168,0.0226,76193216,USD
2019-08-25,0.0226,0.0248,0.0183,0.0223,183146256,USD
2019-09-01,0.0222,0.028,0.0214,0.0246,253966224,USD
2019-09-08,0.0247,0.0315,0.0233,0.0259,111062784,USD
2019-09-15,0.0259,0.0277,0.0235,0.0257,107858672,USD
2019-09-22,0.0258,0.0275,0.018,0.0207,116319472,USD
2019-09-29,0.0204,0.0208,0.0162,0.0171,105003424,USD
2019-10-06,0.017,0.0173,0.0151,0.0154,83236808,USD
2019-10-13,0.0154,0.0157,0.0096,0.0109,117853040,USD
2019-10-20,0.0109,0.011,0.0087,0.0096,79477136,USD
2019-10-27,0.0096,0.0166,0.0094,0.0144,137321344,USD
2019-11-03,0.0144,0.0163,0.0108,0.0117,119598544,USD
2019-11-10,0.0117,0.0128,0.01,0.0107,81049744,USD
2019-11-17,0.0106,0.0109,0.0077,0.0086,94728336,USD
2019-11-24,0.0086,0.0125,0.0086,0.0098,53527728,USD
2019-12-01,0.0098,0.0108,0.009,0.0101,41046648,USD
2019-12-08,0.0101,0.0101,0.0086,0.0093,67336744,USD
2019-12-15,0.0093,0.0096,0.0081,0.0086,97191344,USD
2019-12-22,0.0086,0.011,0.0079,0.0091,105329280,USD
2019-12-29,0.0091,0.0091,0.0075,0.0083,42570832,USD
2020-01-05,0.0083,0.011,0.0077,0.0096,124640304,USD
2020-01-12,0.0096,0.0099,0.008,0.0088,74183912,USD
2020-01-19,0.0088,0.0089,0.0076,0.0083,70459208,USD
2020-01-26,0.0083,0.0094,0.0075,0.0089,54256208,USD
2020-02-02,0.0089,0.0119,0.0087,0.0109,114826568,USD
2020-02-09,0.0109,0.0181,0.0095,0.012,284390272,USD
2020-02-16,0.0123,0.0128,0.0097,0.0107,270412832,USD
2020-02-23,0.0107,0.0113,0.0082,0.0089,177732048,USD
2020-03-01,0.0089,0.0184,0.0081,0.0124,86761120,USD
2020-03-08,0.0124,0.0131,0.004,0.0062,439268096,USD
2020-03-15,0.0064,0.0074,0.0047,0.0067,1424146560,USD
2020-03-22,0.0067,0.0069,0.006,0.0066,1174201472,USD
2020-03-29,0.0065,0.0069,0.006,0.0067,881102400,USD
2020-04-05,0.0067,0.0074,0.0061,0.0065,560306816,USD
2020-04-12,0.0065,0.0075,0.006,0.0068,1062798464,USD
2020-04-19,0.0068,0.0109,0.0061,0.0081,925833728,USD
2020-04-26,0.0081,0.009,0.0068,0.0078,1036040000,USD
2020-05-03,0.0077,0.0139,0.0071,0.0092,1809826816,USD
