Date,Open,High,Low,Close,Volume,Currency
2017-12-10,4.6544,6.3942,3.4936,5.9808,0,USD
2017-12-17,5.9615,12.4191,5.1828,10.5986,0,USD
2017-12-24,10.662,13.6111,8.6548,9.284,0,USD
2017-12-31,9.37975,12.19403,9.2375,11.12069,0,USD
2018-01-07,11.12069,14.06401,9.90453,12.7008,0,USD
2018-01-14,12.69359,12.76299,6.57563,10.06006,0,USD
2018-01-21,10.05308,15.20679,7.87791,9.98482,0,USD
2018-01-28,10.02693,10.31659,4.5493,6.90536,0,USD
2018-02-04,6.8907,7.35961,3.88231,5.77615,0,USD
2018-02-11,5.93351,6.84079,5.14913,6.42721,0,USD
2018-02-18,6.46867,6.50774,4.71869,5.06741,0,USD
2018-02-25,5.0679,5.70536,4.96993,5.27606,160373,USD
2018-03-04,6.38965,6.39086,4.42901,4.43886,608581,USD
2018-03-11,4.43886,5.92762,3.68981,3.68981,449326,USD
2018-03-18,3.68981,4.40695,2.92919,4.3852,449425,USD
2018-03-25,4.3852,5.92759,0.0,3.38144,192629,USD
2018-04-01,3.38144,5.20099,0.0,3.79,135,USD
2018-04-08,3.79,4.8172,0.0,0.0,57,USD
2018-04-15,0.0,6.2,0.0,5.10003,143,USD
2018-04-22,5.10003,6.0999,0.0,5.30011,58,USD
2018-04-29,5.30011,6.2,0.0,5.50083,123,USD
2018-05-06,5.50083,6.19996,0.0,6.02039,149,USD
2018-05-13,6.02039,6.02039,0.0,4.77001,596,USD
2018-05-20,4.77001,4.77029,0.0,4.4213,581,USD
2018-05-27,4.4213,4.426,1.78693,2.60367,24,USD
2018-06-03,2.60331,4.27122,1.75949,3.30039,31,USD
2018-06-10,3.30039,3.67499,1.31404,1.76423,100,USD
2018-06-17,1.7644,2.91685,1.2176,2.092,48,USD
2018-06-24,2.09201,2.09201,0.86168,1.25306,128,USD
2018-07-01,1.25308,255.979,0.0,2.05338,44,USD
2018-07-08,2.0537,2.41056,1.71039,1.73464,105,USD
2018-07-15,1.73462,2.22001,1.56,1.61494,21,USD
2018-07-22,1.94015,2.35701,1.56789,1.77777,114,USD
2018-07-29,1.77777,2.18987,1.65082,1.65082,38,USD
2018-08-05,1.6508,1.6508,1.22101,1.45327,91,USD
2018-08-12,1.45327,1.45327,1.018,1.17495,30,USD
2018-08-19,1.12308,1.1749,1.05244,1.1749,125,USD
2018-08-26,1.11102,2.43424,1.10474,1.6,15,USD
2018-09-02,1.6,1.6,0.98093,1.02345,21,USD
2018-09-09,1.02345,1.0479,0.78637,0.87883,48,USD
2018-09-16,0.8789,1.04869,0.78938,0.79001,1,USD
2018-09-23,0.79001,1.28008,0.79001,1.167,29,USD
2018-09-30,1.167,1.51781,1.07398,1.08899,2,USD
2018-10-07,1.08899,3.7,1.06437,1.09467,415,USD
2018-10-14,1.0952,1.6324,1.0952,1.34595,25,USD
2018-10-21,1.34617,1.63239,1.13953,1.51,46,USD
2018-10-28,1.51,1.51,1.28436,1.3884,1,USD
2018-11-04,1.3884,1.51,1.28587,1.30078,1,USD
2018-11-11,1.30078,1.51,1.03493,1.1395,2,USD
2018-11-18,1.1395,1.1395,0.67787,0.70939,38,USD
2018-11-25,0.70939,0.87433,0.63657,0.76517,17,USD
2018-12-02,0.76494,0.7934,0.57289,0.60432,11,USD
2018-12-09,0.60416,0.79797,0.47942,0.49771,0,USD
2018-12-16,0.49771,0.80518,0.48425,0.64737,0,USD
2018-12-23,0.64737,0.99104,0.59466,0.82988,25,USD
2018-12-30,0.8308,1.03184,0.59466,0.91058,21,USD
2019-01-06,0.91058,1.82847,0.75163,0.77156,0,USD
2019-01-13,0.77181,0.94413,0.73354,0.80735,0,USD
2019-01-20,0.80644,0.9727,0.7182,0.78342,0,USD
2019-01-27,0.78301,0.93883,0.63421,0.6817,0,USD
2019-02-03,0.6817,0.80976,0.62,0.72194,0,USD
2019-02-10,0.72194,0.84652,0.69502,0.72338,0,USD
2019-02-17,0.72349,0.8789,0.72349,0.82318,0,USD
2019-02-24,0.82318,0.83585,0.72505,0.76119,0,USD
2019-03-03,0.76119,0.82415,0.75199,0.79114,0,USD
2019-03-10,0.79152,1.00392,0.75642,0.86598,17,USD
2019-03-17,0.86562,0.89304,0.8056,0.85227,0,USD
2019-03-24,0.85249,0.98912,0.81053,0.92054,0,USD
2019-03-31,0.92054,1.16833,0.91211,1.03716,6,USD
2019-04-07,1.03941,1.07888,0.91401,0.93321,8,USD
2019-04-14,0.9333,1.00716,0.90503,0.91745,0,USD
2019-04-21,0.91761,1.25,0.68709,0.71642,23,USD
2019-04-28,0.71642,0.71642,0.583,0.583,9,USD
2019-05-05,0.583,0.66313,0.51647,0.58006,7,USD
2019-05-12,0.58006,0.73528,0.54,0.65047,15,USD
2019-05-19,0.65007,0.79571,0.60882,0.73115,0,USD
2019-05-26,0.73145,0.78692,0.61001,0.70341,16,USD
2019-06-02,0.70265,0.83966,0.616,0.69041,4,USD
2019-06-09,0.69041,0.81236,0.6657,0.73368,0,USD
2019-06-16,0.73433,0.81631,0.6969,0.72109,0,USD
2019-06-23,0.7205,0.76227,0.56799,0.62821,0,USD
2019-06-30,0.62791,0.70292,0.59181,0.65731,0,USD
2019-07-07,0.65753,0.69328,0.50039,0.51695,6,USD
2019-07-14,0.51654,0.52262,0.39675,0.49952,63,USD
2019-07-21,0.50064,0.51345,0.45372,0.46646,0,USD
2019-07-28,0.46646,0.49403,0.45609,0.45761,8,USD
2019-08-04,0.45771,0.46854,0.35073,0.36003,53,USD
2019-08-11,0.36003,0.499,0.29332,0.31341,16,USD
2019-08-18,0.31341,0.36279,0.3086,0.3557,0,USD
2019-08-25,0.35574,0.38031,0.3029,0.32966,12,USD
2019-09-01,0.32966,0.42923,0.31214,0.34747,0,USD
2019-09-08,0.34765,0.36406,0.27,0.28809,0,USD
2019-09-15,0.28809,0.36455,0.26233,0.26512,11,USD
2019-09-22,0.26512,0.27734,0.16846,0.20274,0,USD
2019-09-29,0.20242,0.33219,0.17409,0.2346,0,USD
2019-10-06,0.23467,0.30487,0.22378,0.26319,0,USD
2019-10-13,0.26321,0.26579,0.22486,0.23483,0,USD
2019-10-20,0.23483,0.25838,0.1996,0.2255,0,USD
2019-10-27,0.2255,0.27326,0.21894,0.24833,0,USD
2019-11-03,0.24833,0.26076,0.22781,0.23044,0,USD
2019-11-10,0.23044,0.2711,0.22156,0.24086,0,USD
2019-11-17,0.24086,0.24506,0.18158,0.19817,0,USD
2019-11-24,0.19817,0.25717,0.16079,0.22772,61,USD
2019-12-01,0.22778,0.52,0.20777,0.22269,2,USD
2019-12-08,0.22265,0.27246,0.20782,0.21755,0,USD
2019-12-15,0.21758,0.38991,0.20009,0.21979,0,USD
2019-12-22,0.21959,0.26722,0.21505,0.22737,0,USD
2019-12-29,0.22737,0.25767,0.21555,0.22952,0,USD
2020-01-05,0.22956,0.25825,0.22634,0.2377,0,USD
2020-01-12,0.2378,0.28063,0.23491,0.26717,0,USD
2020-01-19,0.26703,0.3173,0.25177,0.26866,0,USD
2020-01-26,0.26839,0.30546,0.26723,0.30293,0,USD
2020-02-02,0.30293,0.52,0.30293,0.34764,12,USD
2020-02-09,0.34747,0.53994,0.34707,0.42203,28,USD
2020-02-16,0.42203,0.53998,0.34123,0.3714,94,USD
2020-02-23,0.37121,0.42848,0.30133,0.34022,0,USD
2020-03-01,0.33978,0.39843,0.3284,0.35599,0,USD
2020-03-08,0.35571,0.46231,0.14161,0.20506,0,USD
2020-03-15,0.20567,0.25409,0.16476,0.22972,0,USD
2020-03-22,0.22946,0.2535,0.21057,0.22734,4,USD
2020-03-29,0.22727,0.25994,0.2106,0.24611,0,USD
2020-04-05,0.24655,0.28768,0.2407,0.24852,0,USD
2020-04-12,0.24811,0.26329,0.23779,0.26176,0,USD
2020-04-19,0.26167,0.27952,0.24285,0.26585,9,USD
2020-04-26,0.26585,0.31605,0.26506,0.30372,0,USD
2020-05-03,0.30377,0.30828,0.26434,0.27759,0,USD
2020-05-10,0.27792,0.30376,0.23744,0.27636,20,USD
2020-05-17,0.27636,0.30519,0.25032,0.28706,19,USD
2020-05-24,0.28706,0.41225,0.2772,0.36335,0,USD
2020-05-31,0.36346,0.4853,0.35805,0.4704,121,USD
2020-06-07,0.4704,0.50683,0.41505,0.45482,0,USD
2020-06-14,0.45525,0.4992,0.41549,0.44847,0,USD
2020-06-21,0.44855,0.46083,0.39569,0.39603,0,USD
2020-06-28,0.396,0.42009,0.37933,0.41408,0,USD
2020-07-05,0.41434,0.508,0.40041,0.45582,0,USD
2020-07-12,0.45582,0.47069,0.41,0.43165,3,USD
2020-07-19,0.43165,0.4762,0.43047,0.44753,0,USD
2020-07-26,0.4478,0.45646,0.38001,0.38001,4,USD
2020-08-02,0.38001,0.4808,0.38001,0.46687,18,USD
2020-08-09,0.46739,0.51239,0.43002,0.49455,5,USD
2020-08-16,0.49408,0.5426,0.4445,0.53999,0,USD
2020-08-23,0.53999,0.54383,0.44071,0.5272,0,USD
2020-08-30,0.52478,0.55077,0.36023,0.37839,112,USD
2020-09-06,0.37866,0.46431,0.35643,0.42439,0,USD
2020-09-13,0.42439,0.43061,0.37718,0.38619,0,USD
2020-09-20,0.38619,0.4496,0.33945,0.36544,0,USD
2020-09-27,0.36524,0.39334,0.3473,0.36511,0,USD
2020-10-04,0.36511,0.38687,0.34698,0.37585,0,USD
2020-10-11,0.37585,0.39454,0.3544,0.35781,0,USD
2020-10-18,0.35781,0.38299,0.35344,0.36478,0,USD
2020-10-25,0.36466,0.36851,0.28243,0.2987,0,USD
2020-11-01,0.29866,0.30971,0.26598,0.27769,0,USD
2020-11-08,0.27769,0.34221,0.27655,0.30664,0,USD
2020-11-15,0.30664,0.33305,0.27769,0.32385,0,USD
2020-11-22,0.32422,0.58649,0.30374,0.40493,0,USD
2020-11-29,0.40506,0.43496,0.36362,0.39406,0,USD
2020-12-06,0.39598,0.40723,0.3416,0.36833,0,USD
2020-12-13,0.36874,0.43027,0.35933,0.37938,0,USD
2020-12-20,0.37938,0.38795,0.29414,0.32959,0,USD
2020-12-27,0.33034,0.35866,0.28576,0.30206,0,USD
2021-01-03,0.3019,0.411,0.28527,0.3747,0,USD
2021-01-10,0.37445,0.60623,0.3268,0.35794,0,USD
2021-01-17,0.35756,0.37585,0.28756,0.3184,0,USD
2021-01-24,0.3183,0.51463,0.29059,0.47631,0,USD
2021-01-31,0.47563,0.69892,0.45209,0.56564,0,USD
2021-02-07,0.56517,0.83813,0.51037,0.83648,0,USD
2021-02-14,0.83703,0.98627,0.67224,0.89457,0,USD
2021-02-21,0.8928,2.07564,0.88307,1.17529,0,USD
2021-02-28,1.17722,1.39569,1.00842,1.22032,0,USD
2021-03-07,1.22092,1.25902,1.05115,1.12745,0,USD
2021-03-14,1.12638,1.39025,1.01859,1.22577,0,USD
2021-03-21,1.22577,1.76882,1.08471,1.74693,0,USD
2021-03-28,1.74958,3.09718,1.41479,1.60462,0,USD
2021-04-04,1.59926,2.49274,1.52581,2.2802,0,USD
2021-04-11,2.2802,2.28782,1.73566,2.06235,0,USD
2021-04-18,2.06205,2.11453,1.21545,1.33124,0,USD
2021-04-25,1.32974,2.18103,1.29613,1.90237,0,USD
2021-05-02,1.90208,2.11579,1.57612,1.84597,0,USD
2021-05-09,1.84597,1.86168,1.3299,1.45061,0,USD
2021-05-16,1.44689,1.56855,0.80012,0.91134,0,USD
2021-05-23,0.91056,1.00241,0.61304,0.77075,0,USD
2021-05-30,0.77048,0.96646,0.72843,0.81123,0,USD
2021-06-06,0.81148,0.8884,0.67315,0.72957,0,USD
2021-06-13,0.72957,0.78443,0.69026,0.69334,0,USD
2021-06-20,0.69235,0.69553,0.43869,0.4834,0,USD
2021-06-27,0.4834,0.61135,0.47839,0.58461,0,USD
2021-07-04,0.58461,0.6441,0.53867,0.55293,0,USD
2021-07-11,0.55312,0.57773,0.48121,0.49874,0,USD
2021-07-18,0.49874,0.51522,0.43027,0.50304,0,USD
2021-07-25,0.50395,0.58302,0.5014,0.55874,0,USD
2021-08-01,0.55804,0.72841,0.51988,0.70811,0,USD
2021-08-08,0.70811,0.9063,0.67116,0.87106,0,USD
2021-08-15,0.87147,0.9765,0.74799,0.88813,0,USD
2021-08-22,0.8877,0.96681,0.78154,0.7869,0,USD
2021-08-29,0.7869,0.94648,0.75083,0.93214,0,USD
2021-09-05,0.93085,1.05239,0.74483,0.81143,0,USD
2021-09-12,0.81143,1.02595,0.7282,0.87784,0,USD
2021-09-19,0.87784,0.87784,0.60845,0.68665,0,USD
2021-09-26,0.68673,0.75,0.60071,0.73128,0,USD
2021-10-03,0.73165,0.82871,0.71742,0.78352,0,USD
2021-10-10,0.78352,0.90034,0.72465,0.75305,0,USD
2021-10-17,0.75259,0.7737,0.693,0.75414,0,USD
2021-10-24,0.75567,0.82523,0.65333,0.78558,0,USD
2021-10-31,0.7851,0.88445,0.75777,0.78427,0,USD
2021-11-07,0.78488,0.86894,0.69887,0.80425,0,USD
2021-11-14,0.80425,0.80945,0.65509,0.76776,0,USD
2021-11-21,0.76776,0.87434,0.72596,0.78822,0,USD
2021-11-28,0.78834,0.9724,0.60184,0.65002,0,USD
2021-12-05,0.65002,0.67741,0.52341,0.54837,0,USD
2021-12-12,0.54756,0.58448,0.47842,0.53301,0,USD
2021-12-19,0.53374,0.57084,0.48732,0.55068,0,USD
2021-12-26,0.55068,0.60234,0.53366,0.56492,0,USD
2022-01-02,0.56492,0.58408,0.42234,0.43685,0,USD
2022-01-09,0.43706,0.52057,0.42216,0.49763,0,USD
2022-01-16,0.49741,0.58115,0.27414,0.29485,0,USD
2022-01-23,0.29628,0.34853,0.28091,0.33582,0,USD
2022-01-30,0.33817,0.3575,0.27891,0.34424,0,USD
2022-02-06,0.34437,0.36364,0.28879,0.31363,0,USD
2022-02-13,0.3135,0.33157,0.286,0.2996,0,USD
2022-02-20,0.2996,0.30185,0.22017,0.27463,0,USD
2022-02-27,0.27484,0.31356,0.23523,0.2498,0,USD
2022-03-06,0.2498,0.25267,0.20219,0.2068,0,USD
2022-03-13,0.20672,0.24062,0.18616,0.24019,0,USD
2022-03-20,0.24008,0.2865,0.22014,0.25534,0,USD
2022-03-27,0.25534,0.29749,0.2373,0.27115,0,USD
