Date,Open,High,Low,Close,Volume,Currency
2018-03-04,0.82584,0.9272,0.52646,0.56365,0,USD
2018-03-11,0.56365,0.78492,0.48092,0.52168,0,USD
2018-03-18,0.52168,0.60756,0.48543,0.56384,0,USD
2018-03-25,0.56384,0.57385,0.43606,0.45904,0,USD
2018-04-01,0.45904,0.49767,0.42654,0.45654,0,USD
2018-04-08,0.45654,0.5452,0.43833,0.53062,0,USD
2018-04-15,0.53062,0.59851,0.51882,0.59088,0,USD
2018-04-22,0.59088,0.64662,0.57434,0.61908,0,USD
2018-04-29,0.61908,0.66192,0.58571,0.65312,0,USD
2018-05-06,0.65389,0.66047,7e-05,0.56048,0,USD
2018-05-13,0.56176,0.5885,0.52549,0.54619,0,USD
2018-05-20,0.54619,0.56892,0.48152,0.4857,0,USD
2018-05-27,0.48581,0.50968,0.46721,0.50629,0,USD
2018-06-03,0.5059,0.51542,0.48871,0.49691,0,USD
2018-06-10,0.49704,0.49704,0.40618,0.42991,0,USD
2018-06-17,0.42999,0.45258,0.39351,0.40778,0,USD
2018-06-24,0.40831,0.43193,0.38273,0.42366,0,USD
2018-07-01,0.42366,0.44241,0.0,0.37524,0,USD
2018-07-08,0.37524,0.37685,0.30216,0.32644,0,USD
2018-07-15,0.32644,0.41696,0.32551,0.38294,0,USD
2018-07-22,0.38294,0.38718,0.26716,0.28056,0,USD
2018-07-29,0.28056,0.29935,0.23576,0.23838,0,USD
2018-08-05,0.23838,0.2466,0.19441,0.21247,0,USD
2018-08-12,0.21247,0.22315,0.1524,0.16127,0,USD
2018-08-19,0.16127,0.173,0.11492,0.12474,0,USD
2018-08-26,0.12474,0.1305,0.12182,0.12937,0,USD
2018-09-02,0.12937,0.13415,0.11012,0.11093,0,USD
2018-09-09,0.11093,0.11753,0.11028,0.11635,0,USD
2018-09-16,0.11635,0.12309,0.08203,0.11495,0,USD
2018-09-23,0.11495,0.12159,0.10858,0.11637,0,USD
2018-09-30,0.11637,0.15422,0.09589,0.11701,0,USD
2018-10-07,0.11701,0.11925,0.11046,0.11229,0,USD
2018-10-14,0.11229,0.13343,0.10812,0.10935,0,USD
2018-10-21,0.10935,0.11051,0.10763,0.10793,0,USD
2018-10-28,0.10793,0.1081,0.06824,0.09575,0,USD
2018-11-04,0.09575,0.09904,0.09534,0.0964,0,USD
2018-11-11,0.0964,0.09669,0.07629,0.07889,0,USD
2018-11-18,0.07889,0.08006,0.05376,0.05511,0,USD
2018-11-25,0.05511,0.06942,0.05135,0.06778,0,USD
2018-12-02,0.06778,0.06954,0.04885,0.05217,0,USD
2018-12-09,0.05217,0.0562,0.04788,0.04891,0,USD
2018-12-16,0.04891,0.06392,0.04877,0.05578,0,USD
