Date,Open,High,Low,Close,Volume,Currency
2018-02-18,1.18449,1.65811,1.02869,1.22725,0,USD
2018-02-25,1.22658,1.29783,0.02472,0.92649,0,USD
2018-03-04,0.925,0.92797,0.51275,0.65012,0,USD
2018-03-11,0.65012,0.74957,0.47899,0.48513,0,USD
2018-03-18,0.48557,0.6465,0.36706,0.47317,0,USD
2018-03-25,0.47249,0.48684,0.27424,0.3402,0,USD
2018-04-01,0.34059,0.38182,0.29425,0.30548,0,USD
2018-04-08,0.30528,0.48313,0.29917,0.41636,0,USD
2018-04-15,0.41614,0.47859,0.39682,0.47766,0,USD
2018-04-22,0.47766,0.53966,0.44978,0.51575,0,USD
2018-04-29,0.51585,0.95933,0.49195,0.93343,0,USD
2018-05-06,0.93247,0.9988,0.00107,0.90887,0,USD
2018-05-13,0.91128,1.17884,0.80141,0.98147,0,USD
2018-05-20,0.98215,1.00042,0.64781,0.72675,0,USD
2018-05-27,0.72675,0.91478,0.67744,0.71361,0,USD
2018-06-03,0.71408,0.74373,0.58911,0.58972,0,USD
2018-06-10,0.58943,0.58943,0.37125,0.38362,0,USD
2018-06-17,0.38447,0.4152,0.29496,0.3208,0,USD
2018-06-24,0.3215,0.35189,0.25883,0.33961,0,USD
2018-07-01,0.33929,0.43724,0.0,0.42734,0,USD
2018-07-08,0.42734,0.43494,0.31109,0.32168,0,USD
2018-07-15,0.32168,0.46629,0.31874,0.38055,0,USD
2018-07-22,0.37942,0.44776,0.33575,0.40497,0,USD
2018-07-29,0.40497,0.58584,0.25968,0.27321,0,USD
2018-08-05,0.27344,0.299,0.20656,0.2148,0,USD
2018-08-12,0.21458,0.22372,0.14674,0.19188,0,USD
2018-08-19,0.19203,0.21746,0.17226,0.21056,0,USD
2018-08-26,0.21057,0.24327,0.19968,0.22687,0,USD
2018-09-02,0.22687,0.22695,0.14755,0.1525,0,USD
2018-09-09,0.15233,0.16364,0.12499,0.14551,0,USD
2018-09-16,0.1449,0.19749,0.13423,0.18142,0,USD
2018-09-23,0.18061,0.18557,0.15305,0.17178,0,USD
2018-09-30,0.17191,0.19363,0.16881,0.19008,0,USD
2018-10-07,0.19061,0.22799,0.18332,0.20192,0,USD
2018-10-14,0.20189,0.27356,0.19462,0.24245,0,USD
2018-10-21,0.24259,0.28342,0.22361,0.28153,0,USD
2018-10-28,0.28175,0.33614,0.26913,0.29282,0,USD
2018-11-04,0.29165,0.30444,0.25183,0.26749,0,USD
2018-11-11,0.26742,0.28086,0.1906,0.20777,0,USD
2018-11-18,0.20778,0.22269,0.11836,0.1193,0,USD
2018-11-25,0.1193,0.16312,0.1047,0.14394,0,USD
2018-12-02,0.14394,0.16869,0.10736,0.11511,0,USD
2018-12-09,0.11914,0.14395,0.11155,0.14008,0,USD
2018-12-16,0.14007,0.1688,0.1349,0.15531,0,USD
2018-12-23,0.15467,0.18703,0.13495,0.14777,0,USD
2018-12-30,0.14726,0.15898,0.13801,0.14119,0,USD
2019-01-06,0.14136,0.15239,0.11829,0.13091,0,USD
2019-01-13,0.13065,0.13207,0.11483,0.12597,0,USD
2019-01-20,0.12585,0.13535,0.11702,0.11973,0,USD
2019-01-27,0.1197,0.12278,0.092,0.09628,0,USD
2019-02-03,0.09653,0.48791,0.09269,0.47438,0,USD
2019-02-10,0.47387,0.5016,0.08696,0.09015,0,USD
2019-02-17,0.09015,0.09969,0.0892,0.09518,0,USD
2019-02-24,0.09518,0.10085,0.08313,0.09597,0,USD
2019-03-03,0.09597,0.1075,0.08666,0.0954,0,USD
2019-03-10,0.09545,0.11391,0.09296,0.10239,0,USD
2019-03-17,0.1023,0.10845,0.0943,0.10201,0,USD
2019-03-24,0.10186,0.15189,0.10066,0.11597,0,USD
2019-03-31,0.11598,0.13377,0.11397,0.12261,0,USD
2019-04-07,0.12287,0.13549,0.1028,0.10914,0,USD
2019-04-14,0.10904,0.11758,0.10476,0.11385,0,USD
2019-04-21,0.11385,0.11853,0.08383,0.08918,0,USD
2019-04-28,0.08916,0.09204,0.08318,0.0867,0,USD
2019-05-05,0.08669,0.0906,0.07357,0.0886,0,USD
2019-05-12,0.0881,0.12255,0.08224,0.08972,0,USD
2019-05-19,0.0897,0.10726,0.08744,0.10416,0,USD
2019-05-26,0.10415,0.11592,0.09455,0.09899,0,USD
2019-06-02,0.09846,0.10349,0.08466,0.09806,0,USD
2019-06-09,0.09815,0.10598,0.08804,0.09848,0,USD
2019-06-16,0.09857,0.10255,0.09103,0.09543,0,USD
2019-06-23,0.09534,0.0961,0.07727,0.08419,0,USD
2019-06-30,0.08403,0.08812,0.07886,0.08133,0,USD
2019-07-07,0.08135,0.08526,0.06184,0.06503,0,USD
2019-07-14,0.06498,0.07444,0.04904,0.05803,0,USD
2019-07-21,0.05816,0.06434,0.05202,0.05346,0,USD
2019-07-28,0.05345,0.05531,0.05057,0.05179,0,USD
2019-08-04,0.05181,0.05239,0.04133,0.04288,0,USD
2019-08-11,0.04286,0.04883,0.03625,0.03704,0,USD
2019-08-18,0.03703,0.04523,0.03606,0.04289,0,USD
2019-08-25,0.04289,0.04372,0.03375,0.03594,0,USD
2019-09-01,0.03599,0.03765,0.03311,0.03403,0,USD
2019-09-08,0.03404,0.03578,0.03193,0.03264,0,USD
2019-09-15,0.03264,0.03498,0.03163,0.03459,0,USD
2019-09-22,0.03459,0.03522,0.02324,0.02606,0,USD
2019-09-29,0.02603,0.02722,0.02381,0.02721,0,USD
2019-10-06,0.02722,0.03021,0.02578,0.02766,0,USD
2019-10-13,0.02775,0.02852,0.02499,0.0257,0,USD
2019-10-20,0.0257,0.02706,0.02248,0.02408,0,USD
2019-10-27,0.02406,0.02825,0.02363,0.02769,0,USD
2019-11-03,0.02769,0.02815,0.02506,0.0255,0,USD
2019-11-10,0.0255,0.02839,0.02541,0.02728,0,USD
2019-11-17,0.02729,0.02778,0.01916,0.02126,0,USD
2019-11-24,0.02126,0.02375,0.0181,0.02141,0,USD
2019-12-01,0.02142,0.02339,0.02031,0.02273,0,USD
2019-12-08,0.02272,0.02986,0.02157,0.0218,0,USD
2019-12-15,0.0218,0.02359,0.01727,0.01945,0,USD
2019-12-22,0.01945,0.02095,0.01633,0.017,0,USD
2019-12-29,0.01701,0.01903,0.01571,0.01754,0,USD
2020-01-05,0.01754,0.01822,0.01593,0.01673,0,USD
2020-01-12,0.01674,0.01971,0.01629,0.01869,0,USD
2020-01-19,0.01868,0.02041,0.01737,0.01866,0,USD
2020-01-26,0.01864,0.02319,0.01831,0.02154,0,USD
2020-02-02,0.02154,0.03354,0.0198,0.02787,0,USD
2020-02-09,0.02795,0.03947,0.02768,0.03606,0,USD
2020-02-16,0.0361,0.03861,0.02471,0.0265,0,USD
2020-02-23,0.02649,0.03018,0.01875,0.0244,0,USD
2020-03-01,0.02437,0.03224,0.02295,0.02894,0,USD
2020-03-08,0.02893,0.03042,0.00996,0.01596,0,USD
2020-03-15,0.01601,0.02135,0.01301,0.01931,0,USD
2020-03-22,0.01929,0.02129,0.01654,0.01733,0,USD
2020-03-29,0.01731,0.0204,0.01644,0.01965,0,USD
2020-04-05,0.01965,0.02104,0.0179,0.01844,0,USD
2020-04-12,0.01846,0.02027,0.01743,0.02008,0,USD
2020-04-19,0.02008,0.02077,0.01752,0.0201,0,USD
2020-04-26,0.02017,0.02648,0.01965,0.02296,0,USD
2020-05-03,0.02298,0.0277,0.0206,0.02402,0,USD
2020-05-10,0.02405,0.02609,0.01986,0.02471,0,USD
2020-05-17,0.02471,0.03317,0.02471,0.02944,0,USD
2020-05-24,0.02945,0.04286,0.02911,0.03841,0,USD
2020-05-31,0.03842,0.05458,0.03805,0.04663,0,USD
2020-06-07,0.04662,0.05899,0.03838,0.052,0,USD
2020-06-14,0.05201,0.05444,0.04124,0.05373,0,USD
2020-06-21,0.05388,0.05921,0.03737,0.03853,0,USD
2020-06-28,0.03848,0.04327,0.03682,0.03988,0,USD
2020-07-05,0.0399,0.04583,0.0398,0.04556,0,USD
2020-07-12,0.04552,0.04605,0.03913,0.04072,0,USD
2020-07-19,0.04072,0.0454,0.04006,0.04113,0,USD
2020-07-26,0.0412,0.04168,0.03538,0.03998,0,USD
2020-08-02,0.03994,0.04381,0.03641,0.04343,0,USD
2020-08-09,0.04344,0.051,0.04272,0.0482,0,USD
2020-08-16,0.04822,0.06438,0.04822,0.05557,0,USD
2020-08-23,0.05536,0.06569,0.05231,0.06256,0,USD
2020-08-30,0.06271,0.06561,0.03937,0.04174,0,USD
2020-09-06,0.04192,0.05203,0.03866,0.05062,0,USD
2020-09-13,0.05062,0.05123,0.04065,0.04433,0,USD
2020-09-20,0.04433,0.04433,0.03215,0.03775,0,USD
2020-09-27,0.03768,0.04626,0.03609,0.03917,0,USD
2020-10-04,0.03917,0.05094,0.03833,0.04953,0,USD
2020-10-11,0.04953,0.05858,0.04696,0.04806,0,USD
2020-10-18,0.04806,0.0697,0.04361,0.05284,0,USD
2020-10-25,0.0527,0.05409,0.0409,0.04377,0,USD
2020-11-01,0.04377,0.06467,0.03718,0.04951,0,USD
2020-11-08,0.0498,0.08148,0.04516,0.0584,0,USD
2020-11-15,0.05854,0.06863,0.05256,0.06369,0,USD
2020-11-22,0.06372,0.07962,0.05697,0.06838,0,USD
2020-11-29,0.06841,0.07916,0.0643,0.06906,0,USD
2020-12-06,0.06906,0.07706,0.05956,0.06494,0,USD
2020-12-13,0.06502,0.08539,0.06225,0.07306,0,USD
2020-12-20,0.07296,0.1007,0.05998,0.07722,0,USD
2020-12-27,0.07724,0.1163,0.07499,0.09044,0,USD
2021-01-03,0.09044,0.12063,0.08312,0.10643,0,USD
2021-01-10,0.10667,0.11486,0.07156,0.10235,0,USD
2021-01-17,0.10314,0.10705,0.08065,0.10132,0,USD
2021-01-24,0.10128,0.10769,0.0838,0.09801,0,USD
2021-01-31,0.09801,0.14476,0.09083,0.12756,0,USD
2021-02-07,0.1274,0.20959,0.1135,0.20358,0,USD
2021-02-14,0.20377,0.63715,0.15323,0.33921,0,USD
2021-02-21,0.33752,0.38605,0.20898,0.3545,0,USD
2021-02-28,0.35744,0.46574,0.28897,0.41891,0,USD
2021-03-07,0.41911,0.49624,0.39688,0.47947,0,USD
2021-03-14,0.47889,0.6328,0.44011,0.51683,0,USD
2021-03-21,0.51598,0.61257,0.4777,0.56676,0,USD
2021-03-28,0.56764,0.72489,0.56628,0.58865,0,USD
2021-04-04,0.58899,0.63076,0.3632,0.54396,0,USD
2021-04-11,0.54336,0.54742,0.41999,0.43795,0,USD
2021-04-18,0.43795,0.53108,0.24476,0.32447,0,USD
2021-04-25,0.32397,0.44697,0.30009,0.40872,0,USD
2021-05-02,0.4093,0.49219,0.34412,0.4174,0,USD
2021-05-09,0.41814,0.453,0.31086,0.3324,0,USD
2021-05-16,0.33224,0.36475,0.17254,0.27122,0,USD
2021-05-23,0.27039,0.38437,0.17605,0.24602,0,USD
2021-05-30,0.24559,0.26085,0.22443,0.23338,0,USD
2021-06-06,0.2333,0.27122,0.19364,0.2006,0,USD
2021-06-13,0.20096,0.24067,0.18639,0.18763,0,USD
2021-06-20,0.18737,0.22118,0.10032,0.14051,0,USD
2021-06-27,0.14052,0.20645,0.13774,0.19597,0,USD
2021-07-04,0.19597,0.22769,0.16801,0.18559,0,USD
2021-07-11,0.18666,0.19938,0.15942,0.16803,0,USD
2021-07-18,0.16803,0.21574,0.1444,0.19192,0,USD
2021-07-25,0.19547,0.30626,0.19021,0.27231,0,USD
2021-08-01,0.27301,0.30345,0.24634,0.29078,0,USD
2021-08-08,0.28988,0.327,0.25878,0.30824,0,USD
2021-08-15,0.30862,0.35499,0.28251,0.3212,0,USD
2021-08-22,0.32104,0.36569,0.31464,0.35753,0,USD
2021-08-29,0.35697,1.20291,0.34052,0.8735,0,USD
2021-09-05,0.87319,0.89331,0.61621,0.64544,0,USD
2021-09-12,0.64499,0.88063,0.61482,0.71463,0,USD
2021-09-19,0.71318,0.71657,0.50879,0.60068,0,USD
2021-09-26,0.60222,0.78181,0.50981,0.7463,0,USD
2021-10-03,0.74357,1.05979,0.71958,0.78736,0,USD
2021-10-10,0.78791,0.85864,0.68949,0.71011,0,USD
2021-10-17,0.70968,0.81157,0.6615,0.71061,0,USD
2021-10-24,0.71122,0.75213,0.59384,0.71473,0,USD
2021-10-31,0.7149,0.74801,0.66737,0.68654,0,USD
2021-11-07,0.68654,0.70393,0.63209,0.66162,0,USD
2021-11-14,0.66355,0.87764,0.59744,0.81134,0,USD
2021-11-21,0.81224,0.92438,0.69748,0.92438,0,USD
2021-11-28,0.92662,0.94016,0.48772,0.59813,0,USD
2021-12-05,0.59612,0.64592,0.48794,0.53973,0,USD
2021-12-12,0.53844,0.58853,0.4674,0.49906,0,USD
2021-12-19,0.49859,0.56643,0.46308,0.54992,0,USD
2021-12-26,0.54965,0.56542,0.46618,0.49379,0,USD
2022-01-02,0.49379,0.65747,0.45106,0.47124,0,USD
2022-01-09,0.47145,0.52775,0.4497,0.48987,0,USD
2022-01-16,0.49095,0.53765,0.29444,0.34513,0,USD
2022-01-23,0.34555,0.39219,0.30871,0.38965,0,USD
2022-01-30,0.3895,0.53704,0.36726,0.50476,0,USD
2022-02-06,0.50207,0.54689,0.42155,0.43668,0,USD
2022-02-13,0.4365,0.45434,0.38298,0.39238,0,USD
2022-02-20,0.39238,0.42277,0.30093,0.39679,0,USD
2022-02-27,0.39632,0.53312,0.35942,0.4147,0,USD
2022-03-06,0.4147,0.42243,0.37988,0.38524,0,USD
2022-03-13,0.38568,0.40745,0.36776,0.4065,0,USD
2022-03-20,0.40738,0.45214,0.39367,0.45214,0,USD
2022-03-27,0.45214,0.50384,0.44822,0.50143,0,USD
