Date,Open,High,Low,Close,Volume,Currency
2017-12-03,1.08,1.11,0.66,0.746,71595104,USD
2017-12-10,0.746,1.24,0.515,1.23,132663664,USD
2017-12-17,1.23,1.27,0.5893,0.834,112307936,USD
2017-12-24,0.834,1.03,0.6958,0.803,34179508,USD
2017-12-31,0.803,2.22,0.77,2.06,71272992,USD
2018-01-07,2.06,2.39,1.45,2.3882,51243040,USD
2018-01-14,2.3882,2.4527,1.131,1.8175,38442452,USD
2018-01-21,1.8175,1.849,1.18,1.5109,24986868,USD
2018-01-28,1.5109,1.6428,1.409,1.4539,11536095,USD
2018-02-04,1.03979,1.06918,0.53856,0.87003,10617161,USD
2018-02-11,0.87003,1.06444,0.7833,1.06443,5644712,USD
2018-02-18,1.06443,1.0723,0.79577,0.81971,5360401,USD
2018-02-25,0.81971,0.88634,0.78012,0.82814,4004736,USD
2018-03-04,0.82814,0.83441,0.58239,0.66499,3733381,USD
2018-03-11,0.66499,0.70974,0.49986,0.49986,2024606,USD
2018-03-18,0.49986,0.78047,0.41445,0.72333,4744932,USD
2018-03-25,0.72333,0.73852,0.56212,0.60805,3361825,USD
2018-04-01,0.60805,0.63541,0.48661,0.53946,2266633,USD
2018-04-08,0.53946,0.64791,0.51635,0.6317,2769640,USD
2018-04-15,0.6317,0.79802,0.6116,0.75791,2738370,USD
2018-04-22,0.75791,0.88858,0.71274,0.74263,4295916,USD
2018-04-29,0.74263,0.93984,0.74169,0.80908,4340792,USD
2018-05-06,0.8102,0.82584,0.58579,0.62354,2888266,USD
2018-05-13,0.62356,0.66821,0.52844,0.58381,2885375,USD
2018-05-20,0.58381,0.61699,0.47156,0.50694,3972942,USD
2018-05-27,0.50694,0.53144,0.46537,0.52843,1410098,USD
2018-06-03,0.52843,0.54621,0.47425,0.4776,1460793,USD
2018-06-10,0.4776,0.4776,0.31313,0.32287,2756711,USD
2018-06-17,0.32295,0.35262,0.24289,0.26589,3505693,USD
2018-06-24,0.26446,0.28196,0.20167,0.23335,1945159,USD
2018-07-01,0.23336,0.3225,0.03395,0.30006,3181422,USD
2018-07-08,0.30006,0.30311,0.25003,0.25342,1579651,USD
2018-07-15,0.25342,0.33342,0.24762,0.27427,2027144,USD
2018-07-22,0.27427,0.28319,0.24566,0.252,1206779,USD
2018-07-29,0.252,0.25345,0.20179,0.20282,1305808,USD
2018-08-05,0.20282,0.20681,0.14252,0.16602,1896745,USD
2018-08-12,0.16602,0.18249,0.13385,0.16633,2044023,USD
2018-08-19,0.16633,0.24182,0.14504,0.23303,2898552,USD
2018-08-26,0.23303,0.25514,0.20446,0.24234,1680880,USD
2018-09-02,0.24234,0.26331,0.19331,0.21149,3685074,USD
2018-09-09,0.21149,0.22008,0.20006,0.20836,858814,USD
2018-09-16,0.20836,0.23729,0.20115,0.22416,1093583,USD
2018-09-23,0.22416,0.2334,0.19793,0.22909,1654364,USD
2018-09-30,0.22909,0.23156,0.21505,0.22421,695357,USD
2018-10-07,0.22421,0.22657,0.20527,0.22086,1108459,USD
2018-10-14,0.22086,0.24012,0.218,0.2229,747054,USD
2018-10-21,0.2229,0.23306,0.21575,0.21578,750589,USD
2018-10-28,0.21578,0.2212,0.20116,0.21116,825492,USD
2018-11-04,0.21116,0.22848,0.2101,0.22638,935457,USD
2018-11-11,0.22638,0.2294,0.20018,0.21336,1044458,USD
2018-11-18,0.21336,0.2242,0.19389,0.19856,1471642,USD
2018-11-25,0.19856,0.22894,0.1928,0.21622,2020398,USD
2018-12-02,0.21622,0.2281,0.19607,0.20989,2062451,USD
2018-12-09,0.20989,0.2178,0.18857,0.19423,422354,USD
2018-12-16,0.19423,0.19844,0.147,0.15737,1771697,USD
2018-12-23,0.15927,0.16807,0.10829,0.12889,2455610,USD
2018-12-30,0.12889,0.1304,0.10249,0.11277,668869,USD
2019-01-06,0.11277,0.1319,0.09418,0.11269,1781175,USD
2019-01-13,0.11269,0.1185,0.08564,0.0947,1072783,USD
2019-01-20,0.0947,0.09479,0.07591,0.07637,636915,USD
2019-01-27,0.07637,0.08427,0.06107,0.06493,832541,USD
2019-02-03,0.06493,0.07195,0.05569,0.06712,522650,USD
2019-02-10,0.06712,0.07372,0.06021,0.06519,475544,USD
2019-02-17,0.06519,0.12037,0.06516,0.11334,2994333,USD
2019-02-24,0.11334,0.11627,0.09925,0.11301,1243410,USD
2019-03-03,0.11301,0.14805,0.10556,0.1387,1152689,USD
2019-03-10,0.1387,0.17638,0.1312,0.14979,3019238,USD
2019-03-17,0.14974,0.15798,0.14578,0.15022,656587,USD
2019-03-24,0.15023,0.15582,0.13727,0.14632,1442016,USD
2019-03-31,0.14632,0.16652,0.13133,0.16011,2263058,USD
2019-04-07,0.16011,0.16507,0.13597,0.14244,1406656,USD
2019-04-14,0.14244,0.14252,0.13064,0.13684,616131,USD
2019-04-21,0.13684,0.13754,0.10958,0.11955,1288968,USD
2019-04-28,0.11955,0.13016,0.11485,0.12122,535319,USD
