Date,Open,High,Low,Close,Volume,Currency
2018-03-04,0.14,0.17,0.06,0.0611,1559,USD
2018-03-11,0.0611,0.11,0.0155,0.0155,2310,USD
2018-03-18,0.0155,0.04,0.0,0.04,792,USD
2018-03-25,0.04,0.1,0.0,0.1,19,USD
2018-04-01,0.1,0.1,0.0,0.1,4,USD
2018-04-08,0.1,0.1,0.0,0.07,285,USD
2018-04-15,0.07,0.0857,0.0,0.074,818,USD
2018-04-22,0.074,0.1043,0.0,0.1,1918,USD
2018-04-29,0.0,0.12,0.0,0.0605,368,USD
2018-05-06,0.0605,0.075,0.0,0.0605,109,USD
2018-05-13,0.0605,0.0605,0.0,0.0253,545,USD
2018-05-20,0.0591,0.0591,0.0,0.02,0,USD
2018-05-27,0.0591,0.0591,0.02,0.02,93,USD
2018-06-03,0.02,0.032,0.02,0.03,82,USD
2018-06-10,0.0,0.03,0.0,0.016,0,USD
