Date,Open,High,Low,Close,Volume,Currency
2018-03-04,0.2524,0.269,0.1593,0.18141,6264284,USD
2018-03-11,0.18141,0.2028,0.15,0.154,3626839,USD
2018-03-18,0.154,0.16001,0.1112,0.143,7561005,USD
2018-03-25,0.143,0.15299,0.097322,0.1105,3354660,USD
2018-04-01,0.1105,0.13004,0.0976,0.12,1306903,USD
2018-04-08,0.12,0.204,0.11503,0.1703,3192551,USD
2018-04-15,0.1703,0.196,0.15,0.18839,3853723,USD
2018-04-22,0.18839,0.1999,0.15987,0.1782,2513299,USD
2018-04-29,0.1782,0.23489,0.16631,0.228,3636074,USD
2018-05-06,0.228,0.2346,0.14834,0.1568,1614260,USD
2018-05-13,0.1568,0.1822,0.13901,0.14877,1245641,USD
2018-05-20,0.14877,0.1649,0.12,0.12812,804410,USD
2018-05-27,0.13121,0.1492,0.118,0.13848,409611,USD
2018-06-03,0.1358,0.1449,0.1186,0.12131,316337,USD
2018-06-10,0.12339,0.12339,0.093991,0.1009,327290,USD
2018-06-17,0.1009,0.11486,0.095394,0.096649,236465,USD
2018-06-24,0.095132,0.101,0.088,0.09868,383441,USD
2018-07-01,0.10659,0.10659,0.085,0.089036,315228,USD
2018-07-08,0.089036,0.094105,0.073478,0.081892,105048,USD
2018-07-15,0.081892,0.095,0.052613,0.073,597725,USD
2018-07-22,0.073,0.075101,0.051904,0.066795,772975,USD
2018-07-29,0.066795,0.130742,0.057525,0.06001,1398561,USD
2018-08-05,0.06001,0.06601,0.04636,0.046378,833001,USD
2018-08-12,0.046378,0.054984,0.033106,0.043478,527859,USD
2018-08-19,0.043478,0.04911,0.040844,0.044,317667,USD
2018-08-26,0.044,0.05,0.041,0.0471,213609,USD
2018-09-02,0.0471,0.049,0.027936,0.027936,314439,USD
2018-09-09,0.027936,0.043,0.027936,0.043,271991,USD
2018-09-16,0.043,0.049982,0.036,0.048,168075,USD
2018-09-23,0.048,0.06949,0.045,0.057011,251056,USD
2018-09-30,0.057011,0.073,0.055,0.0694,137623,USD
2018-10-07,0.0694,0.091532,0.05791,0.061,366512,USD
2018-10-14,0.061,0.0749,0.052477,0.060296,194268,USD
2018-10-21,0.060296,0.067676,0.046,0.056913,245296,USD
2018-10-28,0.056913,0.057,0.04613,0.047353,1351218,USD
2018-11-04,0.047353,0.0531,0.04,0.04699,432274,USD
2018-11-11,0.04699,0.04699,0.0291,0.0327,552882,USD
2018-11-18,0.0327,0.0327,0.0213,0.0213,215165,USD
2018-11-25,0.0213,0.0295,0.016296,0.029158,301516,USD
2018-12-02,0.029158,0.029158,0.0112,0.0147,726305,USD
2018-12-09,0.0147,0.017849,0.0112,0.012,192817,USD
2018-12-16,0.012,0.01549,0.01121,0.013556,665998,USD
2018-12-23,0.015,0.0194,0.013668,0.014896,592450,USD
