Date,Open,High,Low,Close,Volume,Currency
2017-02-26,0.00189,0.00196,0.00155,0.00176,25639400,USD
2017-03-05,0.00176,0.00213,0.00151,0.00175,41052684,USD
2017-03-12,0.00175,0.00207,0.00175,0.00182,63401344,USD
2017-03-19,0.00182,0.00245,0.00178,0.00191,105807616,USD
2017-03-26,0.00191,0.0029,0.00179,0.00268,177645680,USD
2017-04-02,0.00268,0.0052,0.00253,0.00295,465851072,USD
2017-04-09,0.00295,0.0035,0.00273,0.0034,236412832,USD
2017-04-16,0.00347,0.00403,0.00333,0.00382,239016400,USD
2017-04-23,0.00382,0.00573,0.00371,0.00534,246896704,USD
2017-04-30,0.00534,0.024,0.00478,0.0225,1428314880,USD
2017-05-07,0.0225,0.0821,0.01889,0.0385,2332071936,USD
2017-05-14,0.0385,0.05596,0.037,0.05375,753155584,USD
2017-05-21,0.05375,0.06909,0.02,0.03201,594984832,USD
2017-05-28,0.03201,0.043,0.02799,0.03729,535869632,USD
2017-06-04,0.03729,0.05646,0.03729,0.04196,442061600,USD
2017-06-11,0.04196,0.04752,0.0293,0.0396,329616992,USD
2017-06-18,0.0396,0.0446,0.03537,0.03631,171115680,USD
2017-06-25,0.03631,0.03706,0.02225,0.02397,408407712,USD
2017-07-02,0.02397,0.028,0.01715,0.0216,255282624,USD
2017-07-09,0.0216,0.0225,0.012,0.0176,905841408,USD
2017-07-16,0.0176,0.0241,0.01347,0.0231,1095061760,USD
2017-07-23,0.0231,0.02393,0.01549,0.0175,692778496,USD
2017-07-30,0.0175,0.02728,0.01521,0.02381,671709248,USD
2017-08-06,0.02381,0.0252,0.0194,0.02,545382144,USD
2017-08-13,0.02,0.0203,0.01529,0.01644,652546944,USD
2017-08-20,0.01644,0.024,0.01593,0.02125,664918848,USD
2017-08-27,0.02125,0.02456,0.01913,0.0204,407388480,USD
2017-09-03,0.0204,0.02198,0.0158,0.01789,421235328,USD
2017-09-10,0.01789,0.0182,0.00611,0.01188,698393984,USD
2017-09-17,0.01188,0.01384,0.01,0.0119,553906560,USD
2017-09-24,0.0119,0.01491,0.0113,0.01398,346585632,USD
2017-10-01,0.01398,0.0247,0.01126,0.02077,800943744,USD
2017-10-08,0.02077,0.022,0.0158,0.0175,744388160,USD
2017-10-15,0.0175,0.0478,0.01665,0.0366,1891412864,USD
2017-10-22,0.0366,0.0429,0.02955,0.0308,619268416,USD
2017-10-29,0.0308,0.03353,0.02345,0.02735,459216736,USD
2017-11-05,0.02735,0.0399,0.02616,0.0326,662679104,USD
2017-11-12,0.0326,0.03788,0.0269,0.03637,492898400,USD
2017-11-19,0.03637,0.044,0.036,0.04328,382651264,USD
2017-11-26,0.04328,0.09819,0.0431,0.09359,1476148864,USD
2017-12-03,0.09359,0.1587,0.086,0.1311,1118928896,USD
2017-12-10,0.1311,0.235,0.1,0.2339,862747456,USD
2017-12-17,0.2339,0.305,0.143,0.2226,795998208,USD
2017-12-24,0.2226,0.37,0.1807,0.3043,483755616,USD
2017-12-31,0.3043,0.9199,0.2953,0.6883,673483648,USD
2018-01-07,0.6883,0.7349,0.425,0.65938,245524112,USD
2018-01-14,0.65938,0.674,0.3,0.526,284705376,USD
2018-01-21,0.526,0.64822,0.421,0.611,210085136,USD
2018-01-28,0.611,0.635,0.30018,0.44756,161347232,USD
2018-02-04,0.44756,0.47344,0.25934,0.38862,186326880,USD
2018-02-11,0.38842,0.47751,0.33983,0.47279,73259448,USD
2018-02-18,0.47279,0.47691,0.32863,0.34069,65109592,USD
2018-02-25,0.34069,0.36996,0.31199,0.34709,41080616,USD
2018-03-04,0.34709,0.39977,0.26138,0.28674,62066432,USD
2018-03-11,0.28674,0.3101,0.19965,0.20818,50932276,USD
2018-03-18,0.20818,0.28073,0.15854,0.23236,111158976,USD
2018-03-25,0.23236,0.24523,0.17357,0.2045,82565408,USD
2018-04-01,0.2045,0.23779,0.18729,0.19898,87139152,USD
2018-04-08,0.19898,0.2747,0.19091,0.25238,78612568,USD
2018-04-15,0.25238,0.39963,0.25238,0.37176,108744736,USD
2018-04-22,0.37258,0.4364,0.3243,0.4291,120023904,USD
2018-04-29,0.43029,0.46546,0.38916,0.43112,92080752,USD
2018-05-06,0.43176,0.43376,0.29469,0.35611,74280392,USD
2018-05-13,0.35805,0.37961,0.30059,0.31332,66487776,USD
2018-05-20,0.31332,0.33243,0.26384,0.28204,67417672,USD
2018-05-27,0.28218,0.30289,0.24473,0.29842,70895312,USD
2018-06-03,0.29842,0.31002,0.27907,0.27994,69019760,USD
2018-06-10,0.27994,0.27997,0.20448,0.22999,65917268,USD
2018-06-17,0.23005,0.24009,0.19578,0.20132,43680796,USD
2018-06-24,0.20153,0.20292,0.17185,0.19349,58640608,USD
2018-07-01,0.19329,0.22112,0.18889,0.20825,44578064,USD
2018-07-08,0.20824,0.21731,0.18023,0.20836,47209360,USD
2018-07-15,0.20836,0.32552,0.20654,0.29358,117389856,USD
2018-07-22,0.29358,0.35163,0.28037,0.31529,105389904,USD
2018-07-29,0.31529,0.31909,0.23443,0.23946,81118160,USD
2018-08-05,0.23946,0.24697,0.19442,0.21636,99202800,USD
2018-08-12,0.21636,0.24744,0.19586,0.22177,100109096,USD
2018-08-19,0.22177,0.2322,0.20267,0.21765,69048656,USD
2018-08-26,0.21765,0.23894,0.20925,0.2287,74827720,USD
2018-09-02,0.2287,0.23474,0.19188,0.19385,85868640,USD
2018-09-09,0.19385,0.21199,0.18266,0.203,78767424,USD
2018-09-16,0.203,0.27785,0.19368,0.23958,144035104,USD
2018-09-23,0.23957,0.30175,0.23121,0.25501,154555392,USD
2018-09-30,0.25501,0.26351,0.23795,0.24045,45339416,USD
2018-10-07,0.24045,0.25,0.20644,0.21669,44442824,USD
2018-10-14,0.21669,0.25804,0.20967,0.25066,54281516,USD
2018-10-21,0.25066,0.25421,0.2305,0.23109,37585552,USD
2018-10-28,0.23102,0.24294,0.21895,0.2367,51424780,USD
2018-11-04,0.23675,0.27009,0.23626,0.26448,71060024,USD
2018-11-11,0.26448,0.28643,0.21639,0.24825,102757056,USD
2018-11-18,0.24825,0.25778,0.15306,0.16076,107476528,USD
2018-11-25,0.161,0.17387,0.13841,0.16469,114026840,USD
2018-12-02,0.16469,0.16802,0.10601,0.11658,105488064,USD
2018-12-09,0.11658,0.12522,0.09189,0.09489,64377328,USD
2018-12-16,0.09477,0.13294,0.09472,0.1202,98089144,USD
2018-12-23,0.1202,0.14184,0.10673,0.11442,97887120,USD
2018-12-30,0.11422,0.11803,0.10911,0.11181,44119652,USD
2019-01-06,0.11181,0.12755,0.10178,0.10469,63543876,USD
2019-01-13,0.10469,0.11104,0.09958,0.10661,50519952,USD
2019-01-20,0.10661,0.10754,0.09687,0.09839,42526308,USD
2019-01-27,0.09839,0.09843,0.07887,0.08315,63242064,USD
2019-02-03,0.08315,0.0836,0.07271,0.0808,58479536,USD
2019-02-10,0.0808,0.08155,0.07488,0.07835,81022896,USD
2019-02-17,0.07835,0.09677,0.07758,0.09398,1210200576,USD
2019-02-24,0.09398,0.09682,0.08079,0.08368,3319295232,USD
2019-03-03,0.08368,0.09168,0.08014,0.09012,3611968000,USD
2019-03-10,0.09012,0.11216,0.0895,0.10817,4183281408,USD
2019-03-17,0.10817,0.11837,0.10216,0.10778,3679458816,USD
2019-03-24,0.10779,0.10809,0.0989,0.10716,2781650944,USD
2019-03-31,0.10716,0.13321,0.1064,0.1244,4328830976,USD
2019-04-07,0.1244,0.13497,0.11028,0.11524,3280991232,USD
2019-04-14,0.11524,0.12185,0.11137,0.11501,2855115008,USD
2019-04-21,0.115,0.11508,0.09723,0.10111,3939356416,USD
2019-04-28,0.10111,0.1042,0.09549,0.09907,3554537984,USD
2019-05-05,0.09907,0.10603,0.08769,0.10439,3652826880,USD
2019-05-12,0.10442,0.1604,0.09632,0.13109,8317541376,USD
2019-05-19,0.13109,0.1444,0.11944,0.12649,4518743552,USD
