Date,Open,High,Low,Close,Volume,Currency
2018-02-04,3.3077,4.0124,2.0152,3.31,26699,USD
2018-02-11,3.31,3.9763,2.458,2.7355,211178,USD
2018-02-18,2.7355,5.0528,2.6,5.0424,167466,USD
2018-02-25,5.0424,5.1,3.2,4.4644,101120,USD
2018-03-04,4.4644,4.6291,2.7769,3.0,69523,USD
2018-03-11,3.0,3.8227,2.8,2.8,20527,USD
2018-03-18,2.8,3.8942,2.542,3.8942,34027,USD
2018-03-25,3.8942,4.496,2.8,2.9,33437,USD
2018-04-01,2.9,3.358,2.542,2.747,49967,USD
2018-04-08,2.747,3.288,2.6417,2.9593,33656,USD
2018-04-15,2.9593,3.2752,2.8232,3.0685,67458,USD
2018-04-22,3.0685,4.19,3.0155,3.6,59125,USD
2018-04-29,3.6,4.334,3.519,4.2624,55789,USD
2018-05-06,4.2624,4.5,3.55,3.9061,37842,USD
2018-05-13,3.9061,5.99,3.7391,4.88,56139,USD
2018-05-20,4.88,5.3037,3.8642,4.584,20062,USD
2018-05-27,4.7436,5.943,4.2001,5.7951,58943,USD
2018-06-03,5.7951,5.9429,4.9922,5.1505,48877,USD
2018-06-10,5.1505,5.493,3.6,3.9695,30628,USD
2018-06-17,4.1829,4.855,3.6032,3.7321,16499,USD
2018-06-24,3.6999,4.383,3.2,3.8306,24374,USD
2018-07-01,3.8306,4.3823,1.0999,1.8,18920442,USD
2018-07-08,1.8,2.49,1.8,1.9644,9830148,USD
2018-07-15,1.9644,2.4998,1.9235,2.1801,4443266,USD
2018-07-22,2.1968,2.2999,1.98,2.0731,1925735,USD
2018-07-29,2.0731,2.104,1.5363,1.864,2685330,USD
2018-08-05,1.864,1.9215,1.3697,1.509,2151884,USD
2018-08-12,1.509,1.5899,1.1604,1.333,3145895,USD
2018-08-19,1.333,1.6838,1.2603,1.3615,3190062,USD
2018-08-26,1.3615,1.4356,1.29,1.4115,1214791,USD
2018-09-02,1.4115,1.47,1.1231,1.1473,2049900,USD
2018-09-09,1.1473,1.77,1.12,1.622,5851072,USD
2018-09-16,1.622,1.8,1.3811,1.6691,5415524,USD
2018-09-23,1.6691,1.7267,1.38,1.4316,2756952,USD
2018-09-30,1.4316,1.4948,1.2986,1.3443,2677033,USD
2018-10-07,1.3443,1.4486,1.2099,1.2507,2795900,USD
2018-10-14,1.2507,1.512,1.202,1.3388,3515832,USD
2018-10-21,1.3388,1.4593,1.32,1.3545,1013213,USD
2018-10-28,1.3545,1.3709,1.2639,1.3267,881280,USD
2018-11-04,1.3267,1.3741,1.2847,1.31,1109778,USD
2018-11-11,1.31,1.3351,1.0895,1.1138,1598887,USD
2018-11-18,1.1138,1.1267,0.5626,0.581,3128688,USD
2018-11-25,0.581,0.629,0.4801,0.511,5688047,USD
2018-12-02,0.511,0.5153,0.3089,0.3885,6784191,USD
2018-12-09,0.3885,0.50628,0.32193,0.38816,13853610,USD
2018-12-16,0.38816,0.48711,0.38667,0.4652,13564306,USD
2018-12-23,0.46519,0.56492,0.44536,0.49882,9183772,USD
2018-12-30,0.49925,0.50092,0.4492,0.46881,5100391,USD
2019-01-06,0.46882,0.50265,0.41079,0.41613,5684404,USD
2019-01-13,0.41613,0.42904,0.37893,0.41914,4772738,USD
2019-01-20,0.41914,0.42921,0.40619,0.40922,11208572,USD
2019-01-27,0.40937,0.40941,0.36382,0.37986,38199548,USD
2019-02-03,0.37986,0.39652,0.35601,0.37908,57644528,USD
2019-02-10,0.37908,0.45847,0.37293,0.42993,21175620,USD
2019-02-17,0.42988,0.46628,0.42733,0.44069,17974440,USD
2019-02-24,0.44049,0.45703,0.39821,0.40119,32702316,USD
2019-03-03,0.40122,0.42014,0.39511,0.41454,29605850,USD
2019-03-10,0.41454,0.50389,0.41394,0.49762,29153072,USD
2019-03-17,0.49762,0.83501,0.48022,0.7205,25982936,USD
2019-03-24,0.7205,0.94005,0.65057,0.93978,10241814,USD
2019-03-31,0.93978,1.08569,0.84651,0.96087,14231685,USD
2019-04-07,0.96087,1.02337,0.87771,0.9725,6009154,USD
2019-04-14,0.9725,1.39759,0.95447,1.34015,14654969,USD
2019-04-21,1.33868,1.4709,1.03256,1.21883,13245375,USD
2019-04-28,1.21819,1.32348,1.1061,1.21222,7114882,USD
2019-05-05,1.21224,1.3253,1.08727,1.26543,6518862,USD
