Date,Open,High,Low,Close,Volume,Currency
2020-11-08,2.4725,3.8572,2.4725,3.8104,112805720,USD
2020-11-15,3.8127,4.1955,3.2791,3.8382,134344160,USD
2020-11-22,3.8524,4.3533,3.2067,3.4616,89829480,USD
2020-11-29,3.461,4.0561,3.3952,3.6861,51569232,USD
2020-12-06,3.6829,3.8043,2.9544,3.1225,36299292,USD
2020-12-13,3.1217,4.1911,3.1123,3.9622,46596416,USD
2020-12-20,3.9594,3.9659,3.1675,3.4183,52518104,USD
2020-12-27,3.4156,5.1566,3.4156,4.8564,81730728,USD
2021-01-03,4.8594,6.5621,4.7537,6.22,79278520,USD
2021-01-10,6.2405,8.6555,4.5443,8.3968,80494496,USD
2021-01-17,8.401,9.4627,7.45,9.3413,64347656,USD
2021-01-24,9.3357,19.5918,9.3357,19.5918,105609912,USD
2021-01-31,19.566,21.2994,17.391,19.2133,67602536,USD
2021-02-07,19.2033,23.4713,17.7559,21.7764,39803032,USD
2021-02-14,21.8646,31.1463,17.5708,28.7059,33390910,USD
2021-02-21,28.8246,30.5584,21.1463,23.5148,65763024,USD
2021-02-28,23.4518,29.3,21.0,28.5201,44835288,USD
2021-03-07,28.5523,34.6101,28.5523,32.5366,32532108,USD
2021-03-14,32.4683,34.5065,28.7562,32.0342,20517028,USD
2021-03-21,32.0137,35.1837,26.2819,28.1578,33714752,USD
2021-03-28,28.2637,31.8505,27.3801,29.355,18210812,USD
2021-04-04,29.16,32.0469,27.9881,29.7649,13752867,USD
2021-04-11,29.8332,39.06,29.2697,34.8123,36228280,USD
2021-04-18,34.7959,38.2183,28.2315,30.1715,49341468,USD
2021-04-25,30.2007,42.947,30.2007,40.3,35283840,USD
2021-05-02,40.317,44.629,38.536,40.419,35592056,USD
2021-05-09,40.498,43.678,35.539,36.591,28827124,USD
2021-05-16,36.583,39.099,19.269,20.36,45428048,USD
2021-05-23,20.347,29.47,14.233,23.168,61072476,USD
2021-05-30,23.173,28.86,22.01,25.614,33431624,USD
2021-06-06,25.591,27.204,20.588,21.248,22264612,USD
2021-06-13,21.288,24.359,19.783,19.783,13564227,USD
2021-06-20,19.777,20.856,14.633,16.113,26700346,USD
2021-06-27,16.135,19.152,15.767,19.033,14734615,USD
2021-07-04,20.789,23.215,19.357,20.254,23589936,USD
2021-07-11,20.251,21.409,15.931,16.098,18610118,USD
2021-07-18,16.087,18.924,14.055,18.463,20701068,USD
2021-07-25,17.886,21.951,17.263,21.746,19737512,USD
2021-08-01,21.746,28.982,20.68,28.309,21576566,USD
2021-08-08,28.317,30.647,25.392,30.118,19783076,USD
2021-08-15,30.124,31.243,25.341,28.235,20359958,USD
2021-08-22,28.228,29.617,25.03,26.8,13821844,USD
2021-08-29,26.84,31.38,25.59,28.56,27502384,USD
2021-09-05,28.59,30.26,21.09,22.72,27418360,USD
2021-09-12,22.73,27.59,21.41,24.53,21507500,USD
2021-09-19,24.52,24.63,18.24,19.47,19321128,USD
2021-09-26,19.47,27.2,17.75,26.15,45952000,USD
2021-10-03,26.14,26.59,23.83,25.14,15199031,USD
2021-10-10,25.16,27.91,22.3,27.03,20484172,USD
2021-10-17,27.06,27.74,24.89,26.85,12025912,USD
2021-10-24,26.85,28.3,23.68,24.89,16543628,USD
2021-10-31,24.92,27.46,24.02,25.15,14605043,USD
2021-11-07,25.15,28.45,23.89,24.66,18582860,USD
2021-11-14,24.66,24.98,19.64,22.02,13876461,USD
2021-11-21,22.02,22.33,18.75,19.5,10818297,USD
2021-11-28,19.49,23.03,13.42,17.23,16060233,USD
2021-12-05,17.21,18.77,14.98,15.87,15138668,USD
2021-12-12,15.9,16.19,13.7,15.58,12568038,USD
2021-12-19,15.57,18.27,13.98,17.46,15561441,USD
2021-12-26,17.46,20.07,16.72,17.47,18066254,USD
2022-01-02,17.49,19.84,14.55,14.93,18617732,USD
2022-01-09,14.92,16.7,14.67,16.48,10130805,USD
2022-01-16,16.47,18.15,10.42,11.15,14098451,USD
2022-01-23,11.15,11.91,9.54,11.13,15022538,USD
2022-01-30,11.15,11.95,9.98,11.25,12124890,USD
2022-02-06,11.26,12.9,10.4,10.65,14642456,USD
2022-02-13,10.63,11.53,9.78,10.02,8710672,USD
2022-02-20,10.03,10.04,7.51,9.04,18019374,USD
2022-02-27,9.06,10.81,8.66,9.02,55370008,USD
2022-03-06,9.0,9.45,8.12,8.46,138646096,USD
2022-03-13,8.46,9.96,8.11,9.74,118929704,USD
2022-03-20,9.72,11.13,9.14,10.63,17281900,USD
2022-03-27,10.62,11.56,10.46,11.26,8316021,USD
