Date,Open,High,Low,Close,Volume,Currency
2021-03-07,39.826,60.879,37.804,49.162,8363446,USD
2021-03-14,49.142,51.247,41.299,42.28,4014553,USD
2021-03-21,42.232,48.646,36.666,47.686,3502331,USD
2021-03-28,47.9,67.665,46.8,52.059,6437924,USD
2021-04-04,51.935,66.571,51.935,59.904,2918360,USD
2021-04-11,59.997,95.117,59.777,82.129,6346473,USD
2021-04-18,82.244,87.567,60.199,60.918,5750170,USD
2021-04-25,61.05,119.703,60.899,106.566,9013524,USD
2021-05-02,106.655,132.999,96.866,132.928,6492426,USD
2021-05-09,133.753,144.725,97.737,112.771,7654847,USD
2021-05-16,112.455,136.827,34.342,34.437,35312148,USD
2021-05-23,34.459,41.844,21.597,29.255,20561238,USD
2021-05-30,29.242,35.261,27.6,28.939,9095845,USD
2021-06-06,28.866,29.769,21.712,22.65,6679778,USD
2021-06-13,22.691,33.343,22.595,25.723,6796117,USD
2021-06-20,25.67,26.708,16.878,17.491,6828156,USD
2021-06-27,17.59,20.452,17.17,18.828,3227450,USD
2021-07-04,19.856,22.461,18.45,18.851,4252384,USD
2021-07-11,18.88,20.113,15.478,15.935,2551757,USD
2021-07-18,15.97,17.448,13.387,16.732,2619936,USD
2021-07-25,17.693,32.0,17.168,29.79,13995648,USD
2021-08-01,29.812,34.935,26.272,34.007,5131781,USD
2021-08-08,34.045,39.624,29.034,37.887,6383948,USD
2021-08-15,37.85,39.834,32.636,35.012,4641290,USD
2021-08-22,35.052,38.204,30.98,32.03,3525402,USD
2021-08-29,32.05,40.35,29.54,37.76,6505856,USD
2021-09-05,37.78,42.77,27.22,36.28,7420318,USD
2021-09-12,36.3,36.86,30.26,32.32,2914174,USD
2021-09-19,32.3,32.32,21.29,22.41,4483626,USD
2021-09-26,22.43,27.86,19.84,26.27,3429184,USD
2021-10-03,26.26,31.49,24.7,27.89,3003152,USD
2021-10-10,27.91,31.81,25.31,28.57,3360542,USD
2021-10-17,28.56,34.16,27.07,31.65,3266825,USD
2021-10-24,31.64,32.38,25.1,25.8,3211158,USD
2021-10-31,25.81,27.65,25.01,26.38,2644209,USD
2021-11-07,26.41,29.16,23.72,24.95,2792801,USD
2021-11-14,24.96,25.57,20.53,23.2,2376727,USD
2021-11-21,23.2,28.73,20.33,21.76,4983760,USD
2021-11-28,21.75,25.13,16.86,18.7,3026792,USD
2021-12-05,18.68,20.49,14.91,18.35,2697767,USD
2021-12-12,18.42,19.04,14.76,15.31,2075221,USD
2021-12-19,15.3,16.6,14.35,16.47,1376404,USD
2021-12-26,16.46,17.57,14.84,16.08,1535093,USD
2022-01-02,16.08,16.85,13.37,13.92,1774638,USD
2022-01-09,13.94,14.57,12.7,14.17,1051419,USD
2022-01-16,14.16,14.31,6.3,7.6,2431050,USD
2022-01-23,7.59,8.69,6.72,8.22,3490996,USD
2022-01-30,8.22,9.11,7.55,8.67,1754587,USD
2022-02-06,8.68,10.78,8.51,8.98,3160259,USD
2022-02-13,8.97,14.35,8.53,9.99,11078744,USD
2022-02-20,9.99,10.31,7.44,8.98,4301396,USD
2022-02-27,8.97,11.47,8.21,8.84,8588510,USD
2022-03-06,8.84,9.15,8.15,8.57,16675295,USD
2022-03-13,8.57,9.66,8.15,9.15,17445850,USD
2022-03-20,9.14,10.79,8.77,10.24,3102399,USD
2022-03-27,10.24,11.48,10.21,10.87,1464962,USD
